Unnamed: 0,소속사,연예인 이름,사건 날짜,AR1,AR2,그룹,사건 내용,라벨 1,라벨 2,라벨 3,사건 날짜(매핑된 주가 날짜),"CAR(1,2)",시가총액,년월,관심도,log_시가총액,시가총액_랭크,stock_trend_n10,사생활,사회적 감수성,종교/이념,범죄 혐의,발언 문제,혐의정보 유포,세금 문제,무혐의,팬 대응,무의식적 태도,병역 문제,기타,성 관련
0,HYBE,지민,2022-04-25,0.027321408,0.018461657,방탄소년단,"2022년 4월 25일, 언론사 비즈한국의 취재결과 건강보험료 체납으로 보유하고 있던 아파트를 압류당한 사실이 뒤늦게 확인되었다. 총 4번의 압류 등기가 발송된 후에야 체납된 건보료를 변제했다고 한다. 압류당한 아파트는 89평형의 나인원한남 아파트로 2021년 5월에 59억 원에 매입한 아파트이다. # 국민건강보험법 제81조에 따르면, 체납 독촉을 받은 자가 그 납부기한까지 보험료 등을 내지 아니하면 보건복지부장관 승인을 받아 국세 체납처분 예에 따라 이를 징수할 수 있다. 압류된 재산은 추심 또는 공매 등의 처분하고 이를 통해 미납된 건보료를 충당(강제 징수)한다. 즉, 방탄소년단 지민이 미납·연체된 건보료를 계속 내지 않을 경우, 압류된 그의 아파트는 공매 처분될 가능성도 있었다. # 이후 소속사에서 올린 공지 에 따르면 ""아티스트 숙소로 도착한 우편물을 회사가 1차적으로 수령해 아티스트에게 전달하는 과정에서 일부 우편물에 대한 착오로 누락이 발생했다""고 한다. 지민 본인은 작년 연말부터 진행된 해외 일정 및 장기 휴가와 이후 해외 스케줄 등으로 연체 사실 등을 인지하지 못하고 있다가 이를 확인한 즉시 체납액을 전액 납부해 현재는 본 사안이 종결된 상태라고 전했다. # 국민건강보험공단 에서 언론과의 인터뷰를 통해 밝힌 바에 의하면 정상적인 압류 절차였다고 한다. 또한 ""일반 우편뿐만 아니라 본인에게도 문자 메시지를 전송한다. 일반적으로, 체납한 상태에서 병원을 이용하면 당사자에게 알린다""며 2022년 1월에 코로나19 감염 및 급성 충수염 으로 병원을 찾은 바 있던 지민이 정말 몰랐을 확률은 낮다고도 설명했다. 하지만 지민은 방탄소년단 명의로 기부해온 것뿐만 아니라 개인적으로도 꾸준히 기부를 해오는 멤버로 유명하다. 이러한 사실을 아는 대다수 팬들은 몇 억씩 기부를 하면서 겨우 몇 천을 못냈다는 것에 의아한 반응이 많다. 이 사건에는 또한 사생팬이 지민의 통보서를 몇 차례 훔쳐간 일도 있어 팬들은 소속사의 관리부실에 화를 내는 입장이다.",세금 문제,팬 대응,,2022-04-25,0.045783065,10359000000000.0,2022-04,0.0,29.96887682300452,0.9877300613496932,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,HYBE,정국,2024-01-06,-0.017446631,0.018590299,방탄소년단,"2024년 1월 6일, 정국이 입대 후 신병 교육을 받는 동안 발생했다. 탈취범은 정국의 동의 없이 정국 명의로 3개의 증권 계좌를 무단 개설하고, 이를 이용해 주식을 무단으로 이동시키고 매도한 것으로 드러났다. 탈취범이 정국의 의사와 무관하게 이동시킨 하이브 주식은 총 3만 3500주다. 탈취범은 정국의 하이브 주식 3만 3000주(1월 5일 종가 기준 83억 1600만 원)를 정국의 새로운 증권 계좌로 이전하고, 500주(1억 2600만 원)는 제3자에게 매도해 이전했다. 이에 2024년 3월 정국은 500주를 매수해 간 제3자에 대해 주식을 반환해 달라는 민사소송을 제기했다. 2025년 2월 서울서부지방법원은 “주식에 대한 양도계약이 성립한 바 없고, 정국은 명의도용 피해를 당한 것에 불가하다”​며 “​제3자는 정국에게 해당 주식을 반환해야 한다”고 판결했다. 제3자는 선의취득(법적으로 정당한 권리를 가지고 있다고 믿고 거래한 경우 보호받는 원칙)을 주장했지만, 법원은 인정하지 않았다. 재판부는 “해당 주식이 대주주 지분이라는 이야기만 듣고, 명의자 확인 절차 없이 거래를 진행한 것에 중대한 과실이 없었다고 할 수 없다”고 지적했다. 정국의 계좌를 탈취한 범인은 아직 잡히지 않은 상황. 정국의 계좌, 신분증, 은행 비밀번호 등 금융 정보를 모두 알고 있었다는 점을 고려하면 지인이 개입했을 가능성이 제기됐다. 빅히트 뮤직 측은 ""회사와 아티스트는 해당 범죄 행위를 인지한 즉시, 계좌에 대한 지급정지조치 및 원상회복 조치 등 실질적인 피해를 방지했다. 법적인 조치와 별개로 아티스트 개인정보 및 기기 관련 정보 보안 강화 대책도 마련하여 재발방지 조치를 시행했다""고 밝혔다. #",범죄 혐의,기타,,2024-01-08,0.001143668,10454700000000.0,2024-01,0.0,29.978072753992866,0.9923312883435584,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,HYBE,제이,2023-01-10,-0.001733139,-0.012679151,엔하이픈,"2023년 1월 10일, 멤버 성훈과 함께 진행한 위버스 라이브 도중 요즘 한국사 공부가 재미있다는 성훈의 말에 제이가 “나는 세계사 공부가 재미있다. 한국사는 뭔가 정보량이 그렇게 많지 않다. 그냥 좀 몇 주 공부하거나 싹 훑어보면 너무 빨리 끝나 버린다고 해야 하나. 너무 단편소설 같다. ”, “다른 나라들은 정말 끝도 없다. 별의별 나라들을 다 봤는데 다른 나라의 역사는 끝이 없다. 그런데 한국(역사)은 발해 전에 한번에 쑥 지나갔다가 삼국시대부터는 조금 있다. (삼국시대) 전에는 뭔가 훅 지나가 버린다. 왜 빨리 끝났지라는 느낌을 받았다.”와 같은 한국사를 폄하하는 발언을 해 큰 비난을 받았다. # # [ 펼치기 · 접기 ] 제이: 난 로마 진짜 가 보고 싶어. 성훈: 이탈리아? 이태리 로마? 제이: 응, 로마 진짜 가 보고 싶어. 나는 워낙... 난 역사 같은 것 되게 좋아하잖아. 세계사 같은 것 볼 때 나는 항상 좀 역사가 많이 밀집되어 있는 게... 로마 제국 역사 되게 좋아해서 많이 봤거든. 근데 그러니까 뭔가 거기 한 번 되게 가 보고 싶다는 생각이 들었는데, 아직 한 번도 못 가 봐 가지고. 네, 다음에 한 번 가 보는 걸로. 성훈: 저 솔직히 늙은 것, 늙어진 것 같아요. 옛날에 역사가 진짜 재미가 없었는데, 요즘에는 한국사가 재밌어요. 옛날에 진짜 싫어했는데. 제이: 나는 세계사. 한국사는 솔직히 나는 그냥 학교 공부로 어느 정도 배웠어 가지고. 성훈: 재밌어, 그냥. 기록을 너무 잘 해 놔 가지고. 제이: 맞아, 근데 또 그런 게 있어. 한국사는 내가 이제 역사를 워낙 좋아하다 보니까 한국사는 뭔가가 정보량이 그렇게 뭔가 많지 않다고 해야 하나? 성훈: 정보량이 많아. 제이: 아니, 그러니까 뭘 어떻게 설명해야 할지 모르겠는데. 성훈: 다 기록해 놨어, 하나하나. 제이: 다 기록은 해... 아니, 그러니까 그런 건 많지. 뭐라고 해야 되지? 그냥 좀... 한 몇 주? 공부하거나 싹 훑어보면은 뭔가가 너무 빨리 끝나 버린다고 해야 되나? 그러니까 너무 살짝 단편소설 같은 느낌이야. 성훈: 그런가? (갸우뚱) 제이: 뭔가 다른 나라들은 진짜 끝도 없거든. 내가 별의 별 나라를 다 봤는데, 계속... 그냥 끝이 없어. 성훈: 그건 여러 나라잖아. 제이: 다른 나라들은 뭔가 쭉쭉쭉쭉 하는데, 한국은 발해? 발해 이후부터 아니, 발해 전 게 좀 뭔가 한번에 쑥 지나갔다가 삼국... 성훈: 삼국시대. 제이: 삼국시대 되고 나서 조금 이렇게 있는 거지. 그 전엔 그냥 훅 지나가고 막 그러잖아. 그러니까 뭐라 해야 되지? 어, 생각보다 왜 이렇게 빨리 끝났지? 라는 느낌을 많이 받긴 했어. 공부했을 때. 성훈: 나는 그렇게까지 공부를 안 해 가지고. 당시 Weverse LIVE의 발언 중 일부 이와 같은 제이의 발언이 공분을 산 이유는 제이가 미국에서 태어났지만 초중고 교육을 모두 한국에서 받았기 때문이다. 만약 공부를 많이 하지 못해 한국사를 잘 몰랐다고 해도 잘 모르는 분야에 대해 쉽게 평가하고 폄하하는 것을 자제하는 게 옳은 일인데, 성훈이 계속해서 '한국사의 정보량은 많다.' 라는 의견을 제시했음에도 받아들이지 않고 ""한국사는 정보의 양이 적다."" 라는 주장만을 펼쳤기 때문. 현재 제이는 복수국적을 유지하고 있는 것으로 알려져 있으나, 엄연히 한국에서 역사 교육을 받았음에도 한국사에 대한 자부심보다는 평가절하하는 듯한 태도를 보인 것에 대한 거부감이 일고 있는 것이다. 그 와중 성훈은 방송인 만큼 제이의 발언을 직접적으로 부정하진 못했지만 나름 해당 발언을 무마시키려 노력했다는 평을 받고 있다. 이러한 발언이 온라인 커뮤니티를 중심으로 빠르게 퍼지며 상황이 악화되자 제이는 다음 날 1월 11일 새벽 3시 47분에 팬 커뮤니티를 통해 사과문을 게시했다. [ 펼치기 · 접기 ] 안녕하세요 엔하이픈 제이입니다. 제가 오늘 위버스 라이브를 한 후 팬분들의 반응을 보면서 정말 놀랐습니다. 이유가 어찌 됐건 엔진 여러분들의 마음을 불편하게 해 드린 점에 대해 진심으로 사과드립니다. 제가 한국사라는 중요한 주제에 대해 개인적인 인상만으로 너무 부주의하게 말을 하였습니다. 부족한 지식을 가지고 함부로 이야기할 내용이 아니었습니다. 제가 아직도 배울 게 많다는 것을 오늘 다시 한 번 크게 깨닫는 계기가 되었습니다. 우리의 자랑스러운 역사를 가볍게 보려는 의도는 전혀 없었지만 충분히 그렇게 느끼실 수 있는 말들이었다 생각하고 제 잘못입니다. 죄송합니다. 앞으로 항상 조심하고 더 공부하여 엔진 여러분들께 부끄럽지 않는 아티스트가 되겠습니다. 항상 여러분께 많은 걸 배웁니다. 감사합니다. 제이의 1차 사과문 전문 하지만 전 세계의 팬들이 다 보고 있을 라이브 방송에서 약 5000년이나 되는 한반도의 역사에 대해 너무 가벼이 생각하고 말했다는 점과 이중국적자지만 대한민국의 국적을 지닌 사람으로서 가장 예민하고 중요한 문제(한국의 역사)를 건드렸다는 점 에서 “한국사를 제대로 알면 절대 할 수 없는 발언이다.”, “공부의 깊이 여부를 떠나 해서는 안 될 말을 했다.”, “경솔한 언행이다.”, “부족한 지식 가지고 함부로 이야기할 내용이 아니었다.” 등의 비판의 목소리가 여전히 끊이지 않고 있는 상태이며, 심지어 ""한국사가 단편소설이면 미국사는 삼행시냐, 이 무식한 빡대가리 새끼야? "" 등 조롱 섞인 비판까지 등장해 여론이 최악으로 치닫고 있는 상태다. 또한 사과문에 대해서도 “팬분들의 반응을 보면서 정말 놀랐습니다. ”, “ 이유가 어찌 됐건 팬분들의 마음을 불편하게 해 죄송합니다.”, ""우리의 자랑스러운 역사를 가볍게 보려는 의도는 전혀 없었지만 ""이라는 사과문이라면 절대 들어가선 안 될 최악의 단어 선택으로 인해 사과문의 진정성에 대한 논란까지 생겨 , 대응의 방식마저 잘못되었다는 반응이 쏟아지고 있다. 팬들의 반응을 보며 정말 놀랐다는 말은 이렇게 큰 논란이 될 것이라는 점을 예상하지 못했다 는 뜻을 담고 있고, 이유가 어찌 됐건 이라는 단어 선택은 본인의 언행 자체가 잘못임을 인정하지 않는다는 뜻으로 해석될 수 있고, 의도는 전혀 없었지만 이라는 표현은 고의가 아닌 실수로 인해 일어난 일이라는 변명으로 받아들일 여지가 있기 때문이다. “이유가 어찌 됐건” 엔하이픈 제이, 이게 사과문이야 기싸움이야 (종합) “어찌 됐건 사과” 한국사도 사과 방법도 모르는 엔하이픈 제이 더 심각한 문제는 제이가 단순히 한국사를 비하한 것을 넘어 해외 팬들에게 한국사에 대한 왜곡된 인식을 심어줬다는 데 있다. 발언 이후 한국인들의 비판이 잇따르자 외국인 팬들은 한국인들이 그의 발언을 오해한 것이라며 되려 한국인들을 ‘오해를 가지고 제이를 사과하게 만들었다’라며 공격했고, 제이가 해당 발언 전에 로마에 가고 싶다는 얘기를 했다는 것과 억지로 엮어 한국사가 로마사보다 양이 적다고 한 것이라며 무조건적으로 옹호하는 모습을 보였다. 로마 뿐만 아니라 '다른 나라들은'이라고 표현했음을 고려하면 제이의 무지함은 달라지지 않는데도 말이다. 거기다 한국의 역사가 수천년 단위이고 조선 하나만 해도 제이의 본국인 미국 역사보다 2배 이상 긴 것을 생각하면 미국인이 저런 얘기를 하는건 더 어처구니 없을 수 밖에 없다. 더군다나 일본 과 중국의 혐한 네티즌까지 가세해 ‘한국은 중국의 속국이었으니 단편소설이라 할 만하다’, ‘제이가 옳은 말을 했다’며 제이의 발언이 한국사 왜곡에 유용하게 쓰이고 있는 모양새이다. 결국 이러한 팬덤의 모습이 앞서 언급한 제이의 무성의한 사과 태도와 맞물려서 제이에 대한 여론을 더욱 악화시키고 이슈를 키웠다. # ENHYPEN 의 경우 국내보다 해외에서의 인지도나 팬덤 규모, 영향력이 더 크다보니 심각한 상황이다. 엔하이픈, 한국사 폄하까지 경솔한 언행 ‘몹쓸’ 영향력 [뮤직와치] 이렇듯 1차 사과문을 게시하며 빠르게 대응했지만 사과문의 불성실한 내용 및 극성적인 외국팬들의 무조건적인 옹호 때문에 국내 여론은 개선되기는커녕 더욱더 악화되었고, 결국 동년 1월 18일 2차 사과문을 공개하기에 이르렀다. [ 펼치기 · 접기 ] 안녕하세요 엔하이픈 제이입니다. 지난 1월 10일 위버스 라이브에서 제가 우리나라 역사에 대해 잘못된 표현을 한 부분에 대해 다시 한 번 깊이 사과드리고 싶어 글을 씁니다. 제가 우리나라의 깊은 역사에 대해 충분히 알지 못한 채 부족한 어휘력으로 잘못 표현한 점을 사과드립니다. 당시 라이브에서 저는 제가 접한 한정적인 자료만을 가지고 한국 역사에 대한 저의 생각을 표현했고, 잘못된 의미가 전달될 수 있다는 것을 깨닫지 못했습니다. 함께 있던 멤버가 이를 고쳐 주려고 노력했으나 당시의 저는 그것을 깨닫지 못할 만큼 경솔한 상태였던 것 같습니다. 그리고 지난 사과의 글에 담긴 저의 단어 선택 또한 많이 부족했습니다. 신중하게 고민해서 말씀드렸어야 했는데 이에 대해서도 사과드립니다. 사과의 마음을 제대로 표현할 어휘력조차 부족한 제가 우리나라의 깊은 역사에 대해 잘못 표현한 것은 정말 경솔한 행동이었습니다. 위버스 라이브와 지난번 글 이후에 엔진분들과 많은 분들이 해주시는 말들을 읽으며 알게 된 제 잘못의 무게에 마음이 아팠습니다. 저의 실수가 얼마나 큰 문제로 커질 수 있는지 느끼며 반성했습니다. 하지만 반성만으로 해결되지 않는 일이라는 점을 느꼈고, 저의 발언에서부터 시작된 일들을 바로잡기 위해서는 제 잘못을 제대로 인정하고 다시 사과드려야 한다고 생각했습니다. 혹시나 이 사과에서 또 다시 부족한 표현을 하면 안 된다는 생각에 고민하다 오늘 늦게나마 글을 올리게 되었습니다. 어떻게 해야 제가 다시는 같은 실수를 반복하지 않을까 계속해서 고민을 하고 답을 찾고 있습니다. 지금까지 생각해 본 방법으로는 아직도 부족한 것 같습니다. 더 깊이 고민해서 저의 노력을 말보다는 행동으로 꾸준히 보여드리고 싶습니다. 앞으로 더 많은 분들의 이야기에 귀 기울이고 신중한 자세를 갖는 사람이 되도록 노력하겠습니다. 저의 부족한 표현들 때문에 팀에 너무나 큰 피해를 입힌 것 같아 엔하이픈 멤버들과 저희를 사랑해 주시는 엔진분들에게 진심으로 죄송한 마음입니다. 말뿐만 아니라 정말 더 나은 사람이 되어 엔진 여러분 앞에 설 수 있도록 노력하겠습니다.",발언 문제,사회적 감수성,무의식적 태도,2023-01-10,-0.01441229,7050750000000.0,2023-01,0.5,29.58415511007318,0.9693251533742332,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0
3,HYBE,김채원,2023-09-05,-0.003702133,-0.011397708,르세라핌,2023년 9월 5일 방송통신심의위원회 방송소위원회에서 “경찰에서 무혐의 결론이 났고 KBS에서도 해명됐다”며 전원 일치로 ‘문제없음’ 의결했다.,무혐의,,,2023-09-05,-0.015099841,10454700000000.0,2023-09,0.5,29.978072753992866,0.9923312883435584,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,HYBE,김채원,2022-10-19,-0.025109026,0.010665332,르세라핌,2022년 10월 19일 김채원 과 허윤진 이 차량 이동 중 접촉 사고 를 당했다. 회사 공식입장 다행히 크게 다친 사람은 없었으나 사고로 인해 두 멤버 모두 경미한 근육통 과 타박상 을 입어 당분간 휴식이 필요하다는 진단을 받아 20일 엠 카운트다운 과 21일 뮤직뱅크 출연이 취소되었다. 10월 21일과 22일 팬사인회 는 일정 조정 후 당첨자 대상을 재공지할 예정이다. #,기타,,,2022-10-19,-0.014443694,4900380000000.0,2022-10,0.5,29.220333869058614,0.9631901840490796,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,HYBE,김채원,2024-04-03,-0.017832826,0.027896365,르세라핌,"2024년 4월 3일 주간문춘 은 카즈하 가 같은 HYBE 레이블 산하에 소속된 보이그룹의 멤버와 교제 중이라는 내용을 보도했다. 카즈하가 일본을 방문했던 3월 중순, 도쿄에 있는 고급 야키니쿠 전문점의 룸에서 두 사람이 함께 식사를 했고, 그 뒤에는 자정이 넘도록 드라이브를 하다 각자 숙소로 돌아갔다는 내용이었다. 익명의 하이브 관계자의 인터뷰도 함께 실려 있는데, 두 사람은 2021년부터 친분을 쌓아 2022년 여름부터 사귀기 시작하다가 2023년에 소속사에게 연애 사실을 들켜 헤어진 뒤 최근부터 다시 몰래 사귀기 시작했다는 주장이다. 그러나 주간문춘이 제기한 시점이 애초부터 성립하지를 않는다. 카즈하는 2021년까지 네덜란드에서 발레단 생활을 했고, 한국에 처음 온 것도 2022년 1월이기 때문에 '2021년부터 친분을 쌓았다'는 주장은 당연히 거짓이며, 주간문춘 측이 공개한 사진들 역시 두 사람이 각자 숙소를 빠져나오는 모습 정도로 두 사람이 함께 찍혀있는 사진 한 장조차 없는지라 상기한 채원의 건과 마찬가지로 신빙성이 크게 떨어지게 되었다. [ 펼치기 • 접기 ] 주간문춘이 소속사인 하이브에 문의한 결과, 두 사람이 함께 식사를 한 것은 사실이지만 사귀는 관계는 아니라며 부인하였다고 전하였으나 이는 문춘의 주장일 뿐이며, HYBE 는 ‘교제는 사실이 아니다’라는 공식 입장을 내놓았다.",사생활,,,2024-04-03,0.010063539,9330070000000.0,2024-04,0.5,29.864263633439183,0.9785276073619632,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,HYBE,김채원,2024-04-13,0.067403091,-0.019131479,르세라핌,"2024년 4월 13일, 코첼라 밸리 뮤직 앤드 아츠 페스티벌 무대에 오른 르세라핌에 대해 라이브 실력 논란이 제기됐다. # , # MBC , SBS , KBS , 연합뉴스TV , YTN 등도 해당 논란을 다뤘다. MBC SBS KBS YTN 연합뉴스TV 이후 르세라핌은 현지 시간 20일 오후 3시 12분(한국 시간 기준, 21일 오후 2시 50분), 두 번째 코첼라 무대에서 여정을 마무리했다.",기타,,,2024-04-15,0.048271612,8934370000000.0,2024-04,0.5,29.820926752820696,0.9754601226993864,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,HYBE,조슈아,2023-08-07,-0.010333585,-0.056148686,세븐틴,"2023년 8월 7일 , 조슈아가 인스타 인플루언서 조미영 과 약 3년간 교제해 왔다고 추정하는 교제설이 수면 위로 떠올랐다. # 이 여파로 '조슈아 여자친구'가 트위터 의 실시간 트렌드 1위에 오르며 닷새가 지난 시점에도 사라질 기미가 보이지 않을 만큼 논란이 일파만파 퍼지게 되었다. 논란이 터지기 직전에도 2023년 7월 TMEA 공연을 위해 출국할 당시 세븐틴 의 상징이라고 할 수 있는 팀 반지 가 손에서 빠져 있는 대신 약지에 다른 반지가 있어 열애설이 돌았었다. 그러나 공연 종료 후 한국으로 입국 시 호시가 올려준 위버스 사진에 팀 반지를 목걸이로 걸어놓고 있는 것이 포착되어 출국 시에도 목걸이로 했을 수도 있다는 주장과, 다른 한 손이 옷소매에 가려져 있는 상태라 다른 손에 끼고 있다는 주장도 함께 제기되었다. 이후의 영상통화 팬싸인회에서 조슈아는 그때 당시 다이어트로 인해 반지가 자꾸 빠져 잃어버릴까 봐 사람이 많은 공항에서는 빼고 무대에서만 테이핑을 하고 다시 꼈다고 밝혔고 실제로 그 시기에 조슈아는 다른 스케줄에서도 테이핑을 하고 반지를 낀 모습이 포착되었다. 약지에 낀 반지 또한 커플링이 아닌 것으로 밝혀졌다. # 한편, 알계가 올렸던 증거에 대해 반박을 하는 글 # 과 영상 # 들이 게시되었다. 또, 옷장을 공유하고 같이 여행도 다녔는데 사귀었다고 추정되는 기간인 3년 동안 둘이 함께 찍힌 사진이 단 한 장도 없다는 의문도 제시되었다. 추가로 7월에 국내에서 진행했던 콘서트 에 논란이 되었던 여성과 여성의 지인들이 초대되었다는 사실이 드러났다. # 해당 콘서트는 전석 추첨제로 진행되었던 만큼 해당 여성이 자신의 지인들과 함께 콘서트를 예매했는데 세 명 모두 1열로 나란히 좌석을 배정받았다는 둥의 변명도 불가능하다. 온라인 콘서트 스트리밍 영상에도 10초가량이나 카메라에 해당 1열이 담겼다. 이후 여성의 럽스타그램으로 큰 증거가 되었던 밤 산책에 관한 게시물에서 기존의 해명 # , # 에 더불어, 여성의 사진이 합성일 수 있다는 의혹 이 나오며 인스타그램 게시물이 팬 기만이라는 논란은 추측에 불과하게 되었다. 8월 10일, 하이브 본사 앞에서 연애 및 팬 기만 등에 대한 비난과 탈퇴를 요구하는 메시지를 담은 중국팬들의 트럭 시위가 일어났다. 열애설의 증거 중 하나라고도 주장되는 포르쉐 도 동반되었다. 시위 전반은 중국 측에서 주도하였으며, FML 의 중국 판매량을 내세워 조슈아에 대한 실망감 및 분노를 드러냈다. # 8월 13일 트럭은 홍대를 거쳐 4대 엔터테인먼트 회사 주위를 순회하였으며, 15일 조슈아를 비난하는 문구가 프린트된 종이를 붙이고 풍선을 달아 웨딩카로 꾸민 포르쉐가 방송 3사 앞을 지나갔다. 일주일간 이어진 트럭 시위는 8월 16일부로 종료되었다. 열애설이 제기되었을 뿐인데도 이렇게까지 분위기가 과열된 주요 원인은 팬 기만 인 것으로 보인다. 조슈아는 2023년에 단 한 번도 위버스 라이브를 진행한 적이 없고 소통을 잘 하지도 않던 멤버 였기 때문이라는 말이 많다. 또한 간간이 올리던 인스타그램 게시물조차 럽스타그램의 일부였다는 주장이 제기됨에 따라 논란에 더욱 불을 지핀 것으로 사료된다. 그러나 열애설의 진위가 밝혀지지도 않은 상황 속에서 논란을 과도하게 키우는 것이 아닌가 하는 시선도 존재한다. 또한, 위버스 라이브나 게시글만이 소통의 수단이 아닐 뿐더러 소통을 중시하지 않는다는 이유로 멤버의 사생활에 대한 해명을 요구하는 것은 지나치다고 볼 수도 있다. 하필 사건이 터진 8월 7일이 멤버 에스쿱스 의 생일 하루 전임과 동시에 데뷔 3000일이 얼마 남지 않은 시점이었으며, 일본 컴백도 앞두고 있었기에 우려의 목소리가 컸다. 이에 따라 조슈아가 어떠한 방식으로 다시 소통을 재개할 것인지에 대해 귀추가 주목되었는데, 논란 열흘 후인 8월 17일 멤버 에스쿱스 의 부상 및 향후 활동 계획 공지 이후 에스쿱스 본인이 Weverse 게시물을 올렸고 조슈아는 댓글을 달아 오랜만에 모습을 보였다. 12월 19일, 조슈아의 인스타그램 피드에서 논란이 된 게시물을 포함한 게시물 80여 개가 삭제되었다.",사생활,팬 대응,기타,2023-08-07,-0.066482271,11433500000000.0,2023-08,1.0,30.06756875858556,0.9969325153374232,1.0,1,0,0,0,0,0,0,0,1,0,0,1,0
10,HYBE,도겸,2022-01-24,0.012688096,-0.066132744,세븐틴,"2022년 1월 24일, (도겸을 제외한) 아무도 없는 숙소에서 도겸의 V LIVE 방송 도중 외출했던 버논과 디노가 현관문을 열고 들어온 후, 디노가 '난리를 치고 싶은 날엔 꼭 예원 누나가 있더라고. 어? 없네..?' 라며 생방송임을 알지 못한 채 실수로 발언하고 도겸이 놀라며 논란이 되었다. 스태프라고 한다. 아래는 V LIVE 당시 상황을 그대로 옮긴 전문이다. [ 펼치기 · 접기 ] 디노: 뭔가 오늘 난리를 치고 싶은데 그런 날에는 꼭 예원 누나가 있더라고. 어 없네? (정적) 도겸: V LIVE 중이었어… 디노: 그렇구나. 도겸: 나와 나와 나와. 버논: 안녕하세묘~ 도겸: (웃음) 버논: (남은 치킨을 가리키며) 먹어도 돼? 도겸: 먹을래 이거? 버논: 먹어도 돼? 도겸: 응. 버논: 감사합니다. 도겸: 저는 이제 다 먹었으니 종료를 하겠습니다. 디노의 발언에 의하면 예원누나라는 인물이 세븐틴의 숙소에 자주 출입한다는 것인데, 스타일리스트나 스태프라면 바로 해명을 했을 테고 이렇게까지 당황할 일도 아니라 의심을 불러일으켰다. 방송사고 직후 일부 팬들은 디노가 경솔했던 거라는 의견과 도겸이 브이라이브 중이라고 말하지 않은 것이 문제라는 의견으로 나뉘었다. 디노의 발언보다는 도겸의 반응이 수상했던 게 제일 아쉬운 대처라는 팬들의 반응이 가장 컸다. 해당 방송 이후 V LIVE 다시보기는 삭제되었다.",사생활,무의식적 태도,,2022-01-24,-0.053444648,11454900000000.0,2022-01,0.5,30.0694387019836,1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0
11,HYBE,민지,2024-01-02,-0.001242357,0.009328911,뉴진스,"2024년 1월 2일 , 위버스 멤버십 라이브에서 멤버들과 낙지탕탕이에 관해 대화하던 도중 민지는 1년 전쯤 있었던 칼국수 발언에 대한 해명성 이야기를 했다. 민지: 낙지 탕탕이 나도 안 먹어 봤어. 민지: 아! 나 이제 안 먹어봤다는 말 좀 그만하려고. 혜인 : 그냥 해요, 안 먹었으면 안 먹었다고 그래요. 민지: 여러분, 제가 칼국수를 모르겠어요? 그니까 What’s 칼국수 mean like, 이게 참… 하니 : 나한테 물어본 거야? 민지: No. 민지: 어쨌든 그렇습니다. 제가 모르겠냐구요, 여러분. (하니: 모르신 거예요. 하하) 두 번 생각해 보세요. 해린 : 근데 안 먹어본 걸 안 먹어봤다고 하지… 먹어봤다고 하는 게... 민지: 그러니까, 모르니깐 모른다 그러지. 여러분들 칼국수의 종류가 얼마나 많은지, 뭐가 들어가는지, 어떤 재료로 만드는지 다 알고 계세요? 당시 내용 방송 종료 후, 네이트 판 , 디시인사이드 , 더쿠 , 유튜브 , X(SNS) 등 인터넷 커뮤니티에서 화제가 되었다. 종합한 반응은, 애초에 칼국수를 모른다는 발언이 1년 동안 악플로 까일 일은 아니다. 라는 것이다. 민지의 초등학교 근처에 칼국수집이 있다는 증언도 있기도 하고 춘천시가 칼국수를 포함해 여러 유명음식이 많기는 하지만 말 그대로 관심이 없으면 기억이 안 날 수도 있고 , 민지의 발언처럼 칼국수 자체를 모른다기 보단 칼국수를 다른 국수들과 헷갈렸을 수도 있을 수도 있으며 말이 단순히 헛나온 것일 수도 있다. 그리고 만에하나라도 민지가 평소 편식이 있다는 이미지로 인해 약간의 컨셉질 을 한 거라 하더라도, 이것이 해명을 요구하거나 비판받을 일이 전혀 아니다. 뉴진스 팬 커뮤니티에서 해당 논란에 부정적인 반응이 나온 이유는, 민지가 평소 안 먹어본 음식에 대해 낯가림이 심해 처음 보는 음식은 잘 먹지 않는다고 전에도 여러 번 밝혀왔기 때문. # 즉 팬들은 칼국수를 모른다는 게 문제가 될 일이 아니었다는 반응이다. 이로부터 1년 후 라이브 방송에서 이를 언급한 민지의 대응이 적절하진 않았다는 비판도 있었다. # 해당 라이브 방송은 위버스 멤버십에 유료 가입한 팬들 대상으로 진행하는 라이브 방송이었기 때문이다.",발언 문제,무의식적 태도,,2024-01-02,0.008086554,10059000000000.0,2024-01,0.5,29.939488872080748,0.9846625766871164,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0
