소속사,그룹,연예인 이름,사건 날짜,사건 내용
HYBE,방탄소년단,슈가,2020-05-17,"2020년 5월 17일 발매된 슈가의 믹스테잎 D-2 의 수록곡 <어떻게 생각해?>의 도입부에 인민사원 집단 자살 사건 의 주범으로 악명높은 짐 존스 의 육성 연설이 샘플링되어 삽입되어 있다는 게 밝혀져 논란이 되었다. 이에 대해 슈가가 악플러들에 대한 반어적 비유를 사용하기 위해 짐 존스의 연설을 삽입한 거 아니냐는 의견과 존스타운과 전혀 관계없는 노래에 굳이 범죄자의 육성을 삽입한 이유가 궁금하다는 의견 등등 갑론을박이 벌어졌다. 인민사원 집단 자살 사건 이 국내에서는 별로 알려진 사건이 아니지만, 해당 사건이 일어난 국가 내에서는 꾸준히 교육시킬 정도로 심각했던 사건인 것은 사실이다. 곡에 담긴 연설의 부분은 ""당신은 죽더라도 살 것이다. 살아서 믿는 자는 결코 죽지 않을 것이다.""라는 내용이다. 다만 원래 이 문장은 요한복음 11장 25절에 있는 구절이다. 즉, 사이비 목사가 성경 내용을 악의적으로 이용한 것이다. 하지만 해당 연설 내용은 집단 자살 사건을 의미하기 때문에 문제가 된다. 해외에서도 짐 존스를 소재로 삼은 곡들이 꽤 있다. 포스트 말론의 '존스타운'과 릴 우지 버트의 'Leaders'는 가사에서 짐 존스가 언급되며, BROCKHAMPTON 의 '1998 TRUMAN'는 짐 존스의 음성이 들어간다. 그러나 이 곡들은 모두 맥락의 부합성 면에서 슈가의 노래와 큰 차이점을 보인다. '존스타운'의 경우는 2분이 채 되지 않는 짧은 곡으로 앞 트랙의 흐름을 이어가는 역할이고, 'Leaders'의 경우에는 '짐 존스처럼 교단을 이끌어'라며 자신의 인기를 과시하기 위한 비유로 써 먹었다. '1998 TRUMAN'은 거대한 환상같은 현실 속 방탕한 삶을 사는 청년들의 현실을 폭로하는 내용으로, '너흰 자유가 아냐, 너흰 노예야!'라 외치는 짐 존스의 육성이 곡의 테마를 잡는다. 해당 아티스트들이 곡에서 짐 존스를 언급한 의도는 각자 다르고, 이에 대한 평가도 '범죄자 미화다', '예술의 영역이다', '수많은 피해자를 낳은 범죄자인데 육성 삽입 자체가 적절치 못했다' 등등 다 달랐다. 하여튼 슈가의 노래와 달리 짐 존스가 왜 등장했는지 그 의도와 맥락의 부합성이 분명하다는 공통점이 있다. 해명 논란이 일자 빅히트 엔터테인먼트(현 빅히트 뮤직 )는 ""도입부 연설 보컬 샘플은 해당 곡의 트랙을 작업한 프로듀서가 특별한 의도 없이 연설자를 알지 못한 상태에서 곡 전체의 분위기를 고려해 선정했다. 해당 연설 보컬 샘플을 선정한 이후 회사는 내부 프로세스에 따라 내용의 적정성을 확인하는 절차를 진행했다. 하지만 선정 및 검수 과정에서 내용상 부적절한 샘플임을 인지하지 못하고 곡에 포함하는 오류가 있었다.""며 해명하고 공식 사과했다. # 이후 연설 음성을 삭제한 음원을 재발매하였다. 이후 같은 곡에서 베트남 전범 범죄자의 연설을 사용했다는 루머가 추가로 나돌기도 하였으나 소속사인 빅히트 엔터테인먼트 측에서 ""사실무근""이라며 이를 일축했다. 해당 소문은 단순 허위사실 루머인 것으로 확인되었다. # 확인 결과, 논란이 된 짐 존스의 연설 샘플은 빅히트 프로듀서가 직접 짐 존스 연설 원본에서 샘플링한 것이 아니라 스플라이스라는 샘플 플랫폼에서 판매되고 있는 샘플이었다. # 해당 곡의 트랙을 작업한 빅히트 프로듀서는 연설자가 누군지 모르고 실수로 해당 연설 보컬 샘플을 선정한 것으로 추측된다. 또한 짐 존스 연설 샘플이 사용된 트랙 <어떻게 생각해?>의 크레딧을 확인해보면 슈가가 프로듀서 명단에 들어가있는 다른 곡들과 다르게 해당 곡은 EL CAPITXN , GHSTLOOP만 프로듀서 명단에 들어가 있는 것을 확인할 수 있다. 즉, 실수로 해당 연설 보컬 샘플을 선정한 프로듀서는 슈가가 아니며 슈가는 이 노래에는 트랙이 아니라 작사, 녹음 등의 작업에만 참여했다."
HYBE,방탄소년단,슈가,2020-05-29,"2020년 5월 29일, 진행한 V LIVE 에서 슈가는 팬들 에게 총 10곡이 담긴 솔로 믹스테이프 ‘ D-2 ’의 작업 뒷이야기를 전하며 ‘대취타’와 ‘인터루드 : 셋 미 프리’(Interlude : Set Me Free) 작업을 끝내고 믹스테이프에 수록할 수 있었던 것에 대해 “코로나19가 가져다준 행운”이라고 말했다. 이어 “코로나19 ‘때문’이 아닌 코로나19 ‘덕분’”이라고 재차 강조했다. 이후 온라인상에서는 슈가가 전 세계를 패닉에 빠트린 코로나19에 ‘행운’이라는 단어와 긍정적 맥락에 쓰이는 ‘덕분’라는 표현을 가져다 붙인 것을 두고 부적절했다는 반응이 이어졌다. #"
HYBE,방탄소년단,RM,2016-07-06,"2016년 7월 6일 방탄소년단의 소속사 빅히트 엔터테인먼트 는 여성혐오 가사 논란에 대해 죄송하고 피드백을 받겠다는 공식 입장을 밝혔다. # 입장 발표 이후 해당 논란을 주로 제기하던 트위터 계정 도 '피드백에 기쁨을 느끼며 앞으로도 응원하겠다'는 입장을 밝히면서 사건은 일단락되었다. 한편, 출판사 열린책들 에서는 방탄소년단의 가사를 키워드로 한 기획 기사를 내보내면서 이 문제를 지적하기도 했다. # 다만, 방탄소년단 측에서 이러한 지적을 수긍했다는 점을 언급하며, 최근 앨범 수록곡인 <21세기 소녀>에 대해서는 소녀팬들에게 자기 긍정의 메시지를 전달했다는 점을 높이 평가했다. 다만 2015~2016년 방탄소년단의 여성혐오 가사 논란 당시 관련 인터넷 커뮤니티에서 상당히 많이 제기된 의혹이 있었는데, 가사에 문제를 제기했던 사람들이 사실 타 그룹 팬덤이고, 적극적으로 이슈화에 앞장선 건 남성 혐오 성향이 있는 사람들이라는 것이다. 즉, 순수한 목적으로 문제를 제기한 게 아니었다는 것인데, 어쨌든 당시 방탄소년단은 무명에 가까웠던 시절을 끝내고 드디어 국내에서 인지도를 올리고 팬덤을 키워가던 시점이었기 때문에 사회 분위기를 고려하여 빠르게 문제를 해결하는 것을 선택했다. 문제가 된 가사들은 개사하여 부르게 되었다. 여성혐오 가사 논란 이후 RM 은 페미니즘 관련 도서를 읽는 모습을 보여주었다. 해외 언론에서도 방탄소년단을 주목해야 할 이유로 정신적 고뇌(Whalien 52), 정치(Change), 여성 인권(21세기 소녀)을 노래한다는 점을 언급했다. 링크 한편, 피드백 이후 2017년 고척 스카이돔 콘서트 메들리 때 과거 히트곡 <호르몬 전쟁>의 일부 소절을 부른 것에 대해 일부에서는 이제 <호르몬 전쟁>은 아예 부르지도 말아야 된다고 주장 했는데, 해당기사 댓글 반응을 보면 그러한 지적에 동의하지 않는 반응이 있었다. 참고로 해당 곡 발표 당시에 어느 여성 에디터의 반응은 30대 여성이 듣기엔 오글거림이 심하다는 것이었는데, 여성혐오 라 해석하지는 않았다. 링크 어쨌든 해당 문제 제기도 받아들여 이 이후부터는 부르지 않았다."
HYBE,방탄소년단,지민,2022-04-25,"2022년 4월 25일, 언론사 비즈한국의 취재결과 건강보험료 체납으로 보유하고 있던 아파트를 압류당한 사실이 뒤늦게 확인되었다. 총 4번의 압류 등기가 발송된 후에야 체납된 건보료를 변제했다고 한다. 압류당한 아파트는 89평형의 나인원한남 아파트로 2021년 5월에 59억 원에 매입한 아파트이다. # 국민건강보험법 제81조에 따르면, 체납 독촉을 받은 자가 그 납부기한까지 보험료 등을 내지 아니하면 보건복지부장관 승인을 받아 국세 체납처분 예에 따라 이를 징수할 수 있다. 압류된 재산은 추심 또는 공매 등의 처분하고 이를 통해 미납된 건보료를 충당(강제 징수)한다. 즉, 방탄소년단 지민이 미납·연체된 건보료를 계속 내지 않을 경우, 압류된 그의 아파트는 공매 처분될 가능성도 있었다. # 이후 소속사에서 올린 공지 에 따르면 ""아티스트 숙소로 도착한 우편물을 회사가 1차적으로 수령해 아티스트에게 전달하는 과정에서 일부 우편물에 대한 착오로 누락이 발생했다""고 한다. 지민 본인은 작년 연말부터 진행된 해외 일정 및 장기 휴가와 이후 해외 스케줄 등으로 연체 사실 등을 인지하지 못하고 있다가 이를 확인한 즉시 체납액을 전액 납부해 현재는 본 사안이 종결된 상태라고 전했다. # 국민건강보험공단 에서 언론과의 인터뷰를 통해 밝힌 바에 의하면 정상적인 압류 절차였다고 한다. 또한 ""일반 우편뿐만 아니라 본인에게도 문자 메시지를 전송한다. 일반적으로, 체납한 상태에서 병원을 이용하면 당사자에게 알린다""며 2022년 1월에 코로나19 감염 및 급성 충수염 으로 병원을 찾은 바 있던 지민이 정말 몰랐을 확률은 낮다고도 설명했다. 하지만 지민은 방탄소년단 명의로 기부해온 것뿐만 아니라 개인적으로도 꾸준히 기부를 해오는 멤버로 유명하다. 이러한 사실을 아는 대다수 팬들은 몇 억씩 기부를 하면서 겨우 몇 천을 못냈다는 것에 의아한 반응이 많다. 이 사건에는 또한 사생팬이 지민의 통보서를 몇 차례 훔쳐간 일도 있어 팬들은 소속사의 관리부실에 화를 내는 입장이다."
HYBE,방탄소년단,정국,2019-09-16,"2019년 9월 16일, 거제도 한 노래방에서 정국으로 보이는 남자가 짧은 금발 머리 여성과 백허그하는 CCTV 사진이 해당 노래방 관계자에 의해 유포됐다. 이와 관련하여 ' 거제도 정국' '거제도 열애' 등의 검색어가 1, 2위 등 네이버 검색어의 상위권을 차지했다. 이에 정국의 소속사 빅히트 엔터테인먼트 는 입장문을 통해 정국은 이번 휴가 기간 거제도 방문 중 평소 알고 지내던 타투샵 지인들이 현지 방문 중인 것을 알고 해당 여성 포함 타투샵 지인들 및 거제도 지인들과 함께 식사를 하고 단체로 그 노래방에 간 것뿐이라며 열애는 사실이 아님을 밝혔다. 그리고 정국이 찍힌 해당 CCTV 사진 유출에 관해 개인정보 유출 및 사생활 침해로 법적 대응 을 예고하고 해당 노래방 관계자를 경찰에 고발했다. 그 여성 타투이스트도 자신의 인스타그램을 통해 정국과는 단지 친한 친구 사이라며 열애를 부인했다."
HYBE,방탄소년단,정국,2019-12-02,"2019년 12월 2일, 빅히트 엔터테인먼트의 고발장을 접수한 거제 경찰서는 경찰 수사 결과 정국이 찍힌 CCTV 사진을 유출한 거제 시내 노래방 관계자 2명을 지난달 기소 의견 으로 검찰에 송치했다고 밝혔다."
HYBE,방탄소년단,정국,2019-11-02,"2019년 11월 2일 , 자신의 벤츠 승용차를 몰고 가던 중 서울특별시 용산구 한남동 의 한남오거리 인근에서 본인의 착오로 도로교통법을 위반해 택시와 부딪치는 사고를 냈다. 정국과 피해 택시 운전자는 이 사고로 타박상을 입고 병원에서 치료를 받았다. 사고 현장에 출동한 경찰이 정국을 상대로 음주 측정을 한 결과, 음주운전은 아닌 것으로 확인됐다."
HYBE,방탄소년단,정국,2019-11-04,"2019년 11월 4일 정국의 소속사 빅히트 엔터테인먼트는 정국이 사고 직후 본인의 도로교통법 위반을 인정하고 적법한 절차에 따라 현장 처리 및 경찰서 진술을 진행했으며, 이후 피해자인 택시기사와 원만하게 합의를 완료했다고 밝혔다. 아울러 소속사는 피해자에게 사과를 하고 팬들에게도 사과의 뜻을 전했다."
HYBE,방탄소년단,정국,2019-11-08,"2019년 11월 8일 , 용산경찰서는 이 사건에 대해 중과실이 발생한 부분이 있음을 밝히고, 정국을 도로교통법 위반과 교통사고처리 특례법 위반 혐의로 피의자 신분으로 불구속 입건하고 정식 수사에 착수했다. 신호 위반하여 교통사고를 내는 것은 12대 중과실 교통사고 중 하나로 현행법 상 12대 중과실 교통사고 를 낸 경우 피해자와의 합의 여부와는 관계 없이 형사 처벌의 대상이 될 수 있다. 일각에서 전해지고 있는 불법주차를 피하려다 피치 못하게 신호를 위반하여 사고를 냈다는 소문은 ""사실이 아니다"" 라고 밝혔다."
HYBE,방탄소년단,정국,2019-12-10,2019년 12월 10일 해당 사건을 기소 의견 으로 검찰에 송치한다고 밝혔다.
