소속사,그룹,연예인 이름,사건 날짜,사건 내용 (날짜+내용 전체)
HYBE,방탄소년단,진,,nan
HYBE,방탄소년단,슈가,2020년 5월 17일,"2020년 5월 17일 발매된 슈가의 믹스테잎
D-2
의 수록곡 <어떻게 생각해?>의 도입부에
인민사원 집단 자살 사건
의 주범으로 악명높은
짐 존스
의 육성 연설이 샘플링되어 삽입되어 있다는 게 밝혀져 논란이 되었다. 이에 대해 슈가가 악플러들에 대한 반어적 비유를 사용하기 위해 짐 존스의 연설을 삽입한 거 아니냐는 의견과 존스타운과 전혀 관계없는 노래에 굳이 범죄자의 육성을 삽입한 이유가 궁금하다는 의견 등등 갑론을박이 벌어졌다.
인민사원 집단 자살 사건
이 국내에서는 별로 알려진 사건이 아니지만, 해당 사건이 일어난 국가 내에서는 꾸준히 교육시킬 정도로 심각했던 사건인 것은 사실이다.
곡에 담긴 연설의 부분은 ""당신은 죽더라도 살 것이다. 살아서 믿는 자는 결코 죽지 않을 것이다.""라는 내용이다. 다만 원래 이 문장은 요한복음 11장 25절에 있는 구절이다. 즉, 사이비 목사가 성경 내용을 악의적으로 이용한 것이다. 하지만 해당 연설 내용은 집단 자살 사건을 의미하기 때문에 문제가 된다. 해외에서도 짐 존스를 소재로 삼은 곡들이 꽤 있다. 포스트 말론의 '존스타운'과 릴 우지 버트의 'Leaders'는 가사에서 짐 존스가 언급되며,
BROCKHAMPTON
의 '1998 TRUMAN'는 짐 존스의 음성이 들어간다. 그러나 이 곡들은 모두 맥락의 부합성 면에서 슈가의 노래와 큰 차이점을 보인다.
'존스타운'의 경우는 2분이 채 되지 않는 짧은 곡으로 앞 트랙의 흐름을 이어가는 역할이고, 'Leaders'의 경우에는 '짐 존스처럼 교단을 이끌어'라며 자신의 인기를 과시하기 위한 비유로 써 먹었다. '1998 TRUMAN'은 거대한 환상같은 현실 속 방탕한 삶을 사는 청년들의 현실을 폭로하는 내용으로, '너흰 자유가 아냐, 너흰 노예야!'라 외치는 짐 존스의 육성이 곡의 테마를 잡는다. 해당 아티스트들이 곡에서 짐 존스를 언급한 의도는 각자 다르고, 이에 대한 평가도 '범죄자 미화다', '예술의 영역이다', '수많은 피해자를 낳은 범죄자인데 육성 삽입 자체가 적절치 못했다' 등등 다 달랐다. 하여튼 슈가의 노래와 달리 짐 존스가 왜 등장했는지 그 의도와 맥락의 부합성이 분명하다는 공통점이 있다.
해명
논란이 일자 빅히트 엔터테인먼트(현
빅히트 뮤직
)는 ""도입부 연설 보컬 샘플은 해당 곡의 트랙을 작업한 프로듀서가 특별한 의도 없이 연설자를 알지 못한 상태에서 곡 전체의 분위기를 고려해 선정했다. 해당 연설 보컬 샘플을 선정한 이후 회사는 내부 프로세스에 따라 내용의 적정성을 확인하는 절차를 진행했다. 하지만 선정 및 검수 과정에서 내용상 부적절한 샘플임을 인지하지 못하고 곡에 포함하는 오류가 있었다.""며 해명하고 공식 사과했다.
#
이후 연설 음성을 삭제한 음원을 재발매하였다. 이후 같은 곡에서 베트남 전범 범죄자의 연설을 사용했다는 루머가 추가로 나돌기도 하였으나 소속사인 빅히트 엔터테인먼트 측에서 ""사실무근""이라며 이를 일축했다. 해당 소문은 단순 허위사실 루머인 것으로 확인되었다.
#
확인 결과, 논란이 된 짐 존스의 연설 샘플은 빅히트 프로듀서가 직접 짐 존스 연설 원본에서 샘플링한 것이 아니라 스플라이스라는 샘플 플랫폼에서 판매되고 있는 샘플이었다.
#
해당 곡의 트랙을 작업한 빅히트 프로듀서는 연설자가 누군지 모르고 실수로 해당 연설 보컬 샘플을 선정한 것으로 추측된다.
또한 짐 존스 연설 샘플이 사용된 트랙 <어떻게 생각해?>의 크레딧을 확인해보면 슈가가 프로듀서 명단에 들어가있는 다른 곡들과 다르게 해당 곡은
EL CAPITXN
, GHSTLOOP만 프로듀서 명단에 들어가 있는 것을 확인할 수 있다. 즉, 실수로 해당 연설 보컬 샘플을 선정한 프로듀서는 슈가가 아니며 슈가는 이 노래에는 트랙이 아니라 작사, 녹음 등의 작업에만 참여했다.
2.
군대 관련 가사 논란
[편집]
국회
에서까지 언급된 사건으로 짐 존스 연설 샘플링 논란이 되었던 곡 <어떻게 생각해?>에 ""Woo Woo, 군대는 때되면 알아서들 갈 테니까 우리 이름 팔아먹으면서 숟가락을 얹으려고 한 새끼들 싸그리 다 닥치길""이라는 가사가 대중예술인 예술체육요원 대체복무 찬반 논란 때문에 화제가 되었고,
국정감사
에까지 이 가사가 오르내리게 되었다. 이후 슈가가 BTS에서 혼자만
사회복무요원
으로 복무하게 되어 한 번 더 논란이 되었다.
#
[[https://www.gynews.kr/news/articleView.html?idxno=20891|#]
3.
코로나바이러스감염증-19 관련 실언 논란
[편집]"
HYBE,방탄소년단,슈가,2020년 5월 29일,"2020년 5월 29일, 진행한
V LIVE
에서 슈가는
팬들
에게 총 10곡이 담긴 솔로 믹스테이프 ‘
D-2
’의 작업 뒷이야기를 전하며 ‘대취타’와 ‘인터루드 : 셋 미 프리’(Interlude : Set Me Free) 작업을 끝내고 믹스테이프에 수록할 수 있었던 것에 대해 “코로나19가 가져다준 행운”이라고 말했다. 이어 “코로나19 ‘때문’이 아닌 코로나19 ‘덕분’”이라고 재차 강조했다.
이후 온라인상에서는 슈가가 전 세계를 패닉에 빠트린 코로나19에 ‘행운’이라는 단어와 긍정적 맥락에 쓰이는 ‘덕분’라는 표현을 가져다 붙인 것을 두고 부적절했다는 반응이 이어졌다.
#
4.
스쿠터 음주운전 사건
[편집]
자세한 내용은
방탄소년단 슈가 음주운전 사건
문서를 참고하십시오.
이 문서의 내용 중 전체 또는 일부는
슈가(방탄소년단)
문서의
r2663
판,
4번 문단
에서 가져왔습니다.
이전 역사 보러 가기
이지논술 (대입/수시논술)
blog.naver.com/easyeducation
잠실송파 입시 논술학원 No. 1 이지논술. 정직하게 가르치고 결과로 증명합니다.
대학별논술특강 대치닥터논술팀
cafe.naver.com/dokhaksarang
대학별논술특강 대학별논술전문가그룹  대학별논술합격을위한선택 대치닥터논술팀
약술형논술전문 시그널
blog.naver.com/signalstudy
가천 삼육 상명 을지 신한 수원대 등 약술논술 신규 개강 및 설명회(강동/분당관)
이 저작물은
CC BY-NC-SA 2.0 KR
에 따라 이용할 수 있습니다. (단, 라이선스가 명시된 일부 문서 및 삽화 제외)
기여하신 문서의 저작권은 각 기여자에게 있으며, 각 기여자는 기여하신 부분의 저작권을 갖습니다.
나무위키는 백과사전이 아니며 검증되지 않았거나, 편향적이거나, 잘못된 서술이 있을 수 있습니다.
나무위키는 위키위키입니다. 여러분이 직접 문서를 고칠 수 있으며, 다른 사람의 의견을 원할 경우 직접 토론을 발제할 수 있습니다."
HYBE,방탄소년단,제이홉,,nan
HYBE,방탄소년단,RM,"2016년
7월 6일","2016년
7월 6일
방탄소년단의 소속사
빅히트 엔터테인먼트
는 여성혐오 가사 논란에 대해 죄송하고 피드백을 받겠다는 공식 입장을 밝혔다.
#
입장 발표 이후 해당 논란을 주로 제기하던
트위터 계정
도 '피드백에 기쁨을 느끼며 앞으로도 응원하겠다'는 입장을 밝히면서 사건은 일단락되었다.
한편, 출판사
열린책들
에서는 방탄소년단의 가사를 키워드로 한 기획 기사를 내보내면서 이 문제를 지적하기도 했다.
#
다만, 방탄소년단 측에서 이러한 지적을 수긍했다는 점을 언급하며, 최근 앨범 수록곡인 <21세기 소녀>에 대해서는 소녀팬들에게 자기 긍정의 메시지를 전달했다는 점을 높이 평가했다.
다만 2015~2016년 방탄소년단의 여성혐오 가사 논란 당시 관련 인터넷 커뮤니티에서 상당히 많이 제기된 의혹이 있었는데, 가사에 문제를 제기했던 사람들이 사실 타 그룹 팬덤이고, 적극적으로 이슈화에 앞장선 건 남성 혐오 성향이 있는 사람들이라는 것이다. 즉, 순수한 목적으로 문제를 제기한 게 아니었다는 것인데, 어쨌든 당시 방탄소년단은 무명에 가까웠던 시절을 끝내고 드디어 국내에서 인지도를 올리고 팬덤을 키워가던 시점이었기 때문에 사회 분위기를 고려하여 빠르게 문제를 해결하는 것을 선택했다. 문제가 된 가사들은 개사하여 부르게 되었다.
여성혐오 가사 논란 이후
RM
은 페미니즘 관련 도서를 읽는 모습을 보여주었다. 해외 언론에서도 방탄소년단을 주목해야 할 이유로 정신적 고뇌(Whalien 52), 정치(Change), 여성 인권(21세기 소녀)을 노래한다는 점을 언급했다.
링크
한편, 피드백 이후 2017년
고척 스카이돔
콘서트 메들리 때 과거 히트곡 <호르몬 전쟁>의 일부 소절을 부른 것에 대해 일부에서는 이제 <호르몬 전쟁>은 아예 부르지도 말아야 된다고
주장
했는데, 해당기사 댓글 반응을 보면 그러한 지적에 동의하지 않는 반응이 있었다. 참고로 해당 곡 발표 당시에 어느 여성 에디터의 반응은 30대 여성이 듣기엔 오글거림이 심하다는 것이었는데,
여성혐오
라 해석하지는 않았다.
링크
어쨌든 해당 문제 제기도 받아들여 이 이후부터는 부르지 않았다.
4.1.
정말 논란거리였는가?
[편집]
RM
의 믹스테잎 수록곡
<농담>
에 대해서는 여성을 저격한 것이 아니라 오히려 허세 부리는 남성을 지적한 것이라고 볼 수도 있다.
가사 전문
뮤직비디오
가사의 앞부분과 뒷부분을 보면, 화자의 저격 대상은 남성으로 드러나 있는데,
꼴마초
래퍼를 비판하는 메시지라고도 볼 수 있다. 가사 중에 너무나도 쉽게 까는 철판들 지들 곡에선 지들이 뭐 이건희에 여잔 파리보다 더 꼬여 아서 니 현실 싹 다 보여 (중략)
그냥 좆이나 까잡숴
라고 남성 래퍼를 디스하는 표현이 있고 그 다음에 넌 최고의 여자라는 표현이 나오기 때문. 맥락을 연결지어서 보면 '넌 남자도 아니다'라는 얘기가 된다는 것이다.
위 주장대로라면
악마의 편집
으로 인해 가사의 내용이 잘못 전달되었을 가능성이 있지만, 한편으로는 글의 맥락이 불분명하여 오독을 유발했다고 볼 여지도 있다. 참고로 뮤직비디오에서는 정신병원 구속복을 입은
RM
과 이를 감시하는 또 하나의 RM이 등장한다.
이 곡의 가사에 대해서는 RM이
힙합플레이야
와 가진 인터뷰의 내용을 참조하자.
링크
김봉현: 랩의 테크닉에 초점을 맞춘 곡이 몇 개 있다. 예를 들면 '농담'이 그렇다. 이 곡에 대해 말해준다면.
RM: '농담'은
의식의 흐름
대로 가사를 쓴 곡이다. 그래서 제목도 '농담'이다. 가사에 뭘 숨겨놓았거나 그런 게 전혀 없다. 500% 랩의 청각적 쾌감을 위한 곡이다. 다른 곡에서 메시지나 정서를 담았으니 아무 생각 없이 리프레쉬하는 곡도 필요하다고 생각했다. 내가 생각하는 랩의 '스킬'을 많이 집어넣었다.
또한 웹진
ize
와 가진 인터뷰에서는 자신의 팬들을
빠순이
라고 비하하는 이들에 대한 반격을 담았다고도 했다.
링크
“힙합 신도 많은 여자분들이 음반을 사고 공연을 보러 가잖아요. 그런데 아이돌이라는 이유만으로 비난하는 것에 대해 뒤집어서 말하고 싶었죠. 시장의 현실을 봤을 때 너희도 크게 다르지 않고, 그분들이 없으면 너희들도 존재할 수 없다고.
5.
유리천장 가사 논란
[편집]
YOU NEVER WALK ALONE
에 수록된 곡 '
Not Today
'의 가사 중 ""널 가두는
유리천장
따윈 부숴""라는 구절을 두고 네티즌 사이에서 갑론을박이 오갔다.
기사
비판 측에서는 유리천장이라는 단어의 뉘앙스를 잘못되게 사용했다고 보았다.
이에 대해
방탄소년단
의 리더
RM
은 이번 논란을 인지하고 논란에 대해 해명했다.
유리천장
이란 단어가 최근
확장된 의미
로서 사용되고 있는 흐름에 따라 무엇을 시사하는지에 대해 정확히 알고있으며, 오용 논란에 대해서는 사실이 아님을 밝히며 비판을 겸허히 받아들여 발전하겠다는 입장을 밝혔다.
기사
[1]
원래 인터뷰는 텍스트 버전과 영상 버전의 늬앙스가 다르다. 당연히 텍스트 버전은 기자의 평소 문체에 맞춰 말투도 바뀌어서 나온다.
[2]
인터뷰나 방송은 독자 또는 시청자를 대상으로 하는 것이므로, 모든 이에게 존칭으로 불리는 안중근 의사 같은 위인이나 고인을 제외하면 원칙적으로
압존법
을 사용하여서 모든 존대말과 존칭을 빼는 것이 맞다. ""누구누구 선배""란 표현도 시청자나 독자에게는 그 사람이 선배가 아니므로 쓰지 않는 것이 맞으며, 본인을 직접 가르치지 않은 사람에게는 그 계통의 높은 배분의 선배라도 선생님이라 부르는 것도 맞지 않는다. 2010년대 이후엔 압존법이 희미해진 것이 사실이지만, 본인보다 배분이 높다고 제 3자를 높여 부르는 일은 그 대상자보다 나이 든 독자, 시청자에겐 불쾌감을 줄 수 있는 표현이 맞다.
[3]
성관계를 통해 임균에 감염되어 발생하는 생식기의 감염증.
[4]
한때 회자되었던
싸이월드 허세글
을 인용한 듯하다. 이 부분은 여혐 가사가 아니라는 의견도 일부 존재한다.
이 문서의 내용 중 전체 또는 일부는 다른 문서에서 가져왔습니다.
[ 펼치기 · 접기 ]
RM
문서의
r1890
판,
5번 문단
(
이전 역사
)
방탄소년단/논란 및 사건 사고
문서의
r2752
판 (
이전 역사
)
잠실새내역, 더바름치과병원
www.더바름치과.com
월,화,수,목 야간진료,구강악안면외과, 치과교정과, 치주과, 치과보존과,치과보철과
송파교정 가나가와치과의원
www.kdcpark.com
박한성원장
1:1상담과
직접진료
송파교정 다년간 임상경험 비발치 치아교정, 양재역 3번출구, 공휴일, 일요일진료
연세올곧은치과 교정과치과의원
www.allgodeundent.co.kr
잠실역 7번출구, 타워730 2층, 치과교정과 전문의
이 저작물은
CC BY-NC-SA 2.0 KR
에 따라 이용할 수 있습니다. (단, 라이선스가 명시된 일부 문서 및 삽화 제외)
기여하신 문서의 저작권은 각 기여자에게 있으며, 각 기여자는 기여하신 부분의 저작권을 갖습니다.
나무위키는 백과사전이 아니며 검증되지 않았거나, 편향적이거나, 잘못된 서술이 있을 수 있습니다.
나무위키는 위키위키입니다. 여러분이 직접 문서를 고칠 수 있으며, 다른 사람의 의견을 원할 경우 직접 토론을 발제할 수 있습니다."
HYBE,방탄소년단,지민,2022년 4월 25일,"2022년 4월 25일, 언론사 비즈한국의 취재결과 건강보험료 체납으로 보유하고 있던 아파트를 압류당한 사실이 뒤늦게 확인되었다. 총 4번의 압류 등기가 발송된 후에야 체납된 건보료를 변제했다고 한다. 압류당한 아파트는 89평형의 나인원한남 아파트로 2021년 5월에 59억 원에 매입한 아파트이다.
#
국민건강보험법
제81조에 따르면, 체납 독촉을 받은 자가 그 납부기한까지 보험료 등을 내지 아니하면
보건복지부장관
승인을 받아 국세 체납처분 예에 따라 이를 징수할 수 있다. 압류된 재산은 추심 또는 공매 등의 처분하고 이를 통해 미납된 건보료를 충당(강제 징수)한다. 즉, 방탄소년단 지민이 미납·연체된 건보료를 계속 내지 않을 경우, 압류된 그의 아파트는 공매 처분될 가능성도 있었다.
#
이후 소속사에서 올린
공지
에 따르면 ""아티스트 숙소로 도착한 우편물을 회사가 1차적으로 수령해 아티스트에게 전달하는 과정에서 일부 우편물에 대한 착오로 누락이 발생했다""고 한다. 지민 본인은 작년 연말부터 진행된 해외 일정 및 장기 휴가와 이후 해외 스케줄 등으로 연체 사실 등을 인지하지 못하고 있다가 이를 확인한 즉시 체납액을 전액 납부해 현재는 본 사안이 종결된 상태라고 전했다.
#
국민건강보험공단
에서 언론과의 인터뷰를 통해 밝힌 바에 의하면 정상적인 압류 절차였다고 한다. 또한 ""일반 우편뿐만 아니라 본인에게도 문자 메시지를 전송한다. 일반적으로, 체납한 상태에서 병원을 이용하면 당사자에게 알린다""며 2022년 1월에
코로나19
감염 및
급성 충수염
으로 병원을 찾은 바 있던 지민이 정말 몰랐을 확률은 낮다고도 설명했다. 하지만 지민은 방탄소년단 명의로 기부해온 것뿐만 아니라 개인적으로도 꾸준히 기부를 해오는 멤버로 유명하다. 이러한 사실을 아는 대다수 팬들은 몇 억씩 기부를 하면서 겨우 몇 천을 못냈다는 것에 의아한 반응이 많다. 이 사건에는 또한 사생팬이 지민의 통보서를 몇 차례 훔쳐간 일도 있어 팬들은 소속사의 관리부실에 화를 내는 입장이다.
2.1.
반박
[편집]
첫째, 일명 톱스타로 불리는 탑 연예인들은 대부분 재무관리사나 세금을 정리해 주는 사람이 있기 마련이나, 건보료는 세금이 아니니 세금에 포함되지 않았고, 설령 건보료의 존재를 알았어도 스스로가 ‘세금에 포함됐겠지’라고 생각할 수 있다. 대부분의 대중들이 중점을 잘못 잡는 이유가, 세금과 건보료를 혼동하기 때문. 세금과 다르게 건보료는 강제성이 비교적 덜하다. 지민이 당시 실거주하고 있던 곳은 통보서가 날아온 곳인 숙소가 아닌 개인 자가였다는 점, 그리고 그 통보서를 사생이 2개 넘게 빼돌려 인터넷에 올렸다는 점에서 그러하다. 지민의 체납 시점과 통보서가 날아오는 시점 등을 계산했을 때 정말 2개 넘게 빼돌린 것이라면 통보서가 지민의 손은 물론 이외의 스태프의 손에도 쥐어지지 않았을 가능성이 있다.
[1]
이와 관해 입장표명과 동시에 하이브 측은 “드릴 말씀이 없다”며 개인정보유출도 인정했다.
둘째,
방탄소년단
이
사생
때문에 전화번호를 매우 자주 변경했을 가능성이 높기 때문에, 국민건강보험공단 측에서 연락을 취했어도 닿지 못했을 가능성이 있다. 추가로 사생들이 평소 너무 자주 보내는 문자, 카톡, 전화 등 때문에 지민은 평소 핸드폰의 지난 문자, 카톡, 부재중 전화 등을 자주 확인하려고 하지 않았을 것이라는 추측이다. 그리고 ‘의료 접수처가 알렸을 것’이라는 설은 주장일 뿐이고, 알리지 않았거나, 스태프나 직원이 접수했지만 전달되지 않았을 확률도 존재한다. 이런 여러 이유들을 총합해 봤을 때, 실제로 ‘본인 스스로가 체납을 인지하고 있지 못했다’는 주장이 아예 말이 되지 않는 거짓 주장은 아니라는 점이다. 실제로 이사해서나 회사를 그만두거나 한 사람들의 건보료 체납 관련 얘기는 여러 인터넷에서 밥 먹듯 볼 수 있다. 건보료 체납이 되어봤던 여러 인물들의 말에 따르면 ‘아무리 체납되어도 연락 같은 건 오지 않아 몰랐다’는 말을 하는 사람들을 인터넷 등지에서 볼 수 있다.
셋째, 이미 낸 건보료보다는 통지서가 날아올 동안 그걸 어떤 식으로 사생이 빼돌릴 수 있었던 걸까. 통지서는 개인 혹은 법적대리인 혹은 스태프 정도가 수령할 수 있는 것 아닌가. 주민등록번호까지 있는 개인 통지서를 여러 개 빼돌렸다는 것은, 이미 심각한 개인정보유출이 이뤄지고 있다는 반증이다.
이와 별개로 고의적 체납이 인정되지 않았고, 연예인들 사이에서 문제가 큰 의도적 탈세나 탈루가 아닌 이미 사건이 언론에 보도되기 전 미납된 건보료와 여러 연체금까지 다 납부했는데도 불구, 심하게 비난 글을 일삼는 여러 악플러들에 대한 문제점을 제기하는 여론도 있다. 위의 이유들과 더불어, ‘과연 지민이 2,800만원 아끼자고 본인 손해가 큰 건보료를 미납했을까?’라는 여론도 존재한다. 여러 증거를 조작해 세금을 제하는 탈세와는 달리, 건보료는 미납과 동시에 본인 소유의 59억 아파트도 압류되고, 여러 수술이나 진료에서 건강보험금 혜택 지급이 안 되기 때문이다.
만약 의도적으로 체납을 했다면, 오히려 이런 손해를 생각하지 않았을 리가 없다. 고로 의도적인 체납이 아닐 것이라는 의견이 다수이다.
[1]
유출된 통지서가 4번째 날아온 것이라는 말은 4번째 항목이라는 말이 와전된 것이다.
이 문서의 내용 중 전체 또는 일부는
지민
문서의
uuid not found
판,
14.1번 문단
에서 가져왔습니다.
이전 역사 보러 가기
송파구이사 친절한상담
18008880.co.kr
365일 고객추천업체,이사,퀵서비스,소형용달.대형용달.다마스~25톤 기업월결제환영
건물철거 완파, 무료견적
blog.naver.com/ys3280
건축물철거, 해체계획서,신고,허가,멸실신고,민원 one-stop 빠른진행
철거 평당5만원부터 야간가능
haccpkorea.modoo.at
원상복구 철거 전문팀 운영, 철거 비교견적 환영, 주야간 공사 가능, 납기일 준수
이 저작물은
CC BY-NC-SA 2.0 KR
에 따라 이용할 수 있습니다. (단, 라이선스가 명시된 일부 문서 및 삽화 제외)
기여하신 문서의 저작권은 각 기여자에게 있으며, 각 기여자는 기여하신 부분의 저작권을 갖습니다.
나무위키는 백과사전이 아니며 검증되지 않았거나, 편향적이거나, 잘못된 서술이 있을 수 있습니다.
나무위키는 위키위키입니다. 여러분이 직접 문서를 고칠 수 있으며, 다른 사람의 의견을 원할 경우 직접 토론을 발제할 수 있습니다."
HYBE,방탄소년단,뷔,,nan
HYBE,방탄소년단,정국,2019년 9월 16일,"2019년 9월 16일, 거제도 한 노래방에서 정국으로 보이는 남자가 짧은 금발 머리 여성과 백허그하는 CCTV 사진이 해당 노래방 관계자에 의해 유포됐다. 이와 관련하여 '
거제도
정국' '거제도 열애' 등의 검색어가 1, 2위 등 네이버 검색어의 상위권을 차지했다. 이에 정국의 소속사
빅히트 엔터테인먼트
는 입장문을 통해 정국은 이번 휴가 기간 거제도 방문 중 평소 알고 지내던 타투샵 지인들이 현지 방문 중인 것을 알고 해당 여성 포함 타투샵 지인들 및 거제도 지인들과 함께 식사를 하고 단체로 그 노래방에 간 것뿐이라며 열애는 사실이 아님을 밝혔다. 그리고 정국이 찍힌 해당 CCTV 사진 유출에 관해 개인정보 유출 및 사생활 침해로
법적 대응
을 예고하고 해당 노래방 관계자를 경찰에 고발했다. 그 여성 타투이스트도 자신의 인스타그램을 통해 정국과는 단지 친한 친구 사이라며 열애를 부인했다.
기사"
HYBE,방탄소년단,정국,2019년 12월 2일,"2019년 12월 2일, 빅히트 엔터테인먼트의 고발장을 접수한
거제
경찰서는 경찰 수사 결과 정국이 찍힌 CCTV 사진을 유출한 거제 시내 노래방 관계자 2명을 지난달
기소 의견
으로 검찰에 송치했다고 밝혔다.
기사
3.
도로교통법 위반
[편집]"
HYBE,방탄소년단,정국,"2019년
11월 2일","2019년
11월 2일
, 자신의 벤츠 승용차를 몰고 가던 중
서울특별시
용산구
한남동
의 한남오거리 인근에서 본인의 착오로 도로교통법을 위반해 택시와 부딪치는 사고를 냈다. 정국과 피해 택시 운전자는 이 사고로 타박상을 입고 병원에서 치료를 받았다. 사고 현장에 출동한 경찰이 정국을 상대로 음주 측정을 한 결과, 음주운전은 아닌 것으로 확인됐다.
#"
