날짜,종가,시가,고가,저가,거래량,변동 %
2014-03-14,5900.0,"5,710","6,200","5,710",731.82K,1.37%
2014-03-17,5820.0,"5,950","6,030","5,730",328.39K,-1.36%
2014-03-18,5980.0,"5,840","5,990","5,760",303.54K,2.75%
2014-03-19,5950.0,"5,950","6,100","5,920",306.93K,-0.50%
2014-03-20,5960.0,"5,710","6,040","5,710",346.46K,0.17%
2014-03-21,5910.0,"5,940","6,000","5,890",155.30K,-0.84%
2014-03-24,5980.0,"5,910","6,100","5,870",387.10K,1.18%
2014-03-25,5970.0,"6,000","6,010","5,850",352.94K,-0.17%
2014-03-26,5900.0,"5,970","6,050","5,850",206.70K,-1.17%
2014-03-27,5690.0,"5,910","5,910","5,620",490.88K,-3.56%
2014-03-28,5690.0,"5,690","5,810","5,500",332.19K,0.00%
2014-03-31,5750.0,"5,760","5,900","5,650",229.30K,1.05%
2014-04-01,5780.0,"5,690","5,780","5,600",269.32K,0.52%
2014-04-02,5810.0,"5,740","5,820","5,710",153.48K,0.52%
2014-04-03,5770.0,"5,790","5,900","5,670",230.82K,-0.69%
2014-04-04,5650.0,"5,760","5,790","5,610",283.01K,-2.08%
2014-04-07,5470.0,"5,580","5,680","5,440",231.95K,-3.19%
2014-04-08,5820.0,"5,480","5,920","5,450",581.92K,6.40%
2014-04-09,5920.0,"6,030","6,180","5,900",1.10M,1.72%
2014-04-10,5900.0,"5,940","6,090","5,890",271.94K,-0.34%
2014-04-11,6000.0,"5,820","6,030","5,800",236.53K,1.69%
2014-04-14,6060.0,"6,200","6,240","6,040",346.35K,1.00%
2014-04-15,6080.0,"6,080","6,100","5,960",287.39K,0.33%
2014-04-16,6090.0,"6,070","6,190","6,000",221.42K,0.16%
2014-04-17,5900.0,"6,080","6,100","5,900",238.72K,-3.12%
2014-04-18,5910.0,"5,900","5,950","5,840",191.94K,0.17%
2014-04-21,5950.0,"6,000","6,000","5,890",132.22K,0.68%
2014-04-22,6030.0,"5,910","6,060","5,910",246.49K,1.34%
2014-04-23,5980.0,"6,030","6,110","5,980",233.20K,-0.83%
2014-04-24,5910.0,"5,990","6,030","5,830",240.05K,-1.17%
2014-04-25,5840.0,"5,940","5,950","5,690",462.70K,-1.18%
2014-04-28,5580.0,"5,770","5,790","5,250",1.28M,-4.45%
2014-04-29,5450.0,"5,350","5,480","5,210",1.88M,-2.33%
2014-04-30,5160.0,"5,410","5,450","5,070",1.66M,-5.32%
2014-05-02,5200.0,"5,030","5,320","4,930",1.93M,0.78%
2014-05-07,5030.0,"5,270","5,270","4,985",835.29K,-3.27%
2014-05-08,5220.0,"5,030","5,290","5,030",713.82K,3.78%
2014-05-09,5270.0,"5,220","5,300","5,140",477.11K,0.96%
2014-05-12,5290.0,"5,240","5,320","5,220",441.50K,0.38%
2014-05-13,5340.0,"5,280","5,350","5,230",391.33K,0.95%
2014-05-14,5340.0,"5,320","5,370","5,250",372.51K,0.00%
2014-05-15,5340.0,"5,340","5,340","5,250",286.40K,0.00%
2014-05-16,5250.0,"5,370","5,420","5,150",541.02K,-1.69%
2014-05-19,5120.0,"5,250","5,300","5,030",325.54K,-2.48%
2014-05-20,5050.0,"5,130","5,210","5,000",242.31K,-1.37%
2014-05-21,5300.0,"5,050","5,350","5,030",478.09K,4.95%
2014-05-22,5190.0,"5,310","5,350","5,150",217.59K,-2.08%
2014-05-23,5110.0,"5,180","5,200","5,060",237.47K,-1.54%
2014-05-26,5190.0,"5,120","5,260","5,070",162.99K,1.57%
2014-05-27,5120.0,"5,200","5,200","5,040",207.01K,-1.35%
2014-05-28,5030.0,"5,160","5,160","5,010",264.06K,-1.76%
2014-05-29,4910.0,"5,080","5,100","4,835",287.32K,-2.39%
2014-05-30,4860.0,"4,820","4,920","4,770",279.52K,-1.02%
2014-06-02,4725.0,"4,900","4,910","4,715",263.96K,-2.78%
2014-06-03,4545.0,"4,750","4,825","4,485",432.31K,-3.81%
2014-06-05,4365.0,"4,575","4,575","4,300",310.74K,-3.96%
2014-06-09,4550.0,"4,400","4,570","4,365",160.56K,4.24%
2014-06-10,4535.0,"4,530","4,620","4,500",116.31K,-0.33%
2014-06-11,4445.0,"4,550","4,575","4,390",132.80K,-1.98%
2014-06-12,4480.0,"4,445","4,500","4,380",92.68K,0.79%
2014-06-13,4480.0,"4,540","4,695","4,455",176.56K,0.00%
2014-06-16,4470.0,"4,480","4,520","4,380",123.57K,-0.22%
2014-06-17,4480.0,"4,470","4,510","4,430",47.79K,0.22%
2014-06-18,4440.0,"4,500","4,500","4,405",85.74K,-0.89%
2014-06-19,4595.0,"4,475","4,595","4,385",119.64K,3.49%
2014-06-20,4440.0,"4,560","4,580","4,420",146.79K,-3.37%
2014-06-23,4180.0,"4,415","4,425","4,120",283.04K,-5.86%
2014-06-24,4220.0,"4,125","4,260","4,080",181.61K,0.96%
2014-06-25,4225.0,"4,170","4,330","4,150",109.09K,0.12%
2014-06-26,4350.0,"4,225","4,390","4,225",96.66K,2.96%
2014-06-27,4390.0,"4,350","4,425","4,330",92.03K,0.92%
2014-06-30,4450.0,"4,460","4,475","4,365",87.86K,1.37%
2014-07-01,4470.0,"4,515","4,515","4,420",62.01K,0.45%
2014-07-02,4600.0,"4,500","4,880","4,475",358.79K,2.91%
2014-07-03,4530.0,"4,600","4,640","4,510",108.88K,-1.52%
2014-07-04,4610.0,"4,485","4,690","4,450",120.95K,1.77%
2014-07-07,4515.0,"4,610","4,650","4,470",152.87K,-2.06%
2014-07-08,4450.0,"4,555","4,555","4,395",143.59K,-1.44%
2014-07-09,4340.0,"4,450","4,470","4,335",170.11K,-2.47%
2014-07-10,4355.0,"4,360","4,450","4,340",109.47K,0.35%
2014-07-11,4300.0,"4,355","4,390","4,260",156.59K,-1.26%
2014-07-14,4230.0,"4,290","4,370","4,195",165.71K,-1.63%
2014-07-15,4240.0,"4,225","4,275","4,180",144.36K,0.24%
2014-07-16,4270.0,"4,260","4,330","4,230",98.65K,0.71%
2014-07-17,4280.0,"4,270","4,320","4,270",69.65K,0.23%
