날짜,종가,시가,고가,저가,거래량,변동 %,거래량 변화율
2014-03-10,675,656,675,656,1764000.0,4.2,
2014-03-11,672,679,692,670,3091000.0,-0.47,0.752267573696145
2014-03-12,673,677,680,668,3355000.0,0.11,0.08540925266903909
2014-03-13,679,678,679,661,3502000.0,0.94,0.04381520119225035
2014-03-14,659,669,677,659,2424000.0,-2.96,-0.307824100513992
2014-03-17,645,657,662,639,2440000.0,-2.18,0.0066006600660066805
2014-03-18,666,651,685,651,2905000.0,3.29,0.19057377049180335
2014-03-19,674,682,691,664,1554000.0,1.28,-0.46506024096385545
2014-03-20,671,665,673,657,2479000.0,-0.52,0.5952380952380953
2014-03-21,692,677,692,668,1355000.0,3.1,-0.45340863251311014
2014-03-24,674,693,697,672,1343000.0,-2.54,-0.0088560885608856
2014-03-25,657,670,670,646,2990000.0,-2.51,1.2263588979895754
2014-03-26,663,661,665,656,3173000.0,0.93,0.06120401337792636
2014-03-27,651,661,662,650,602000.0,-1.78,-0.810274188465175
2014-03-28,655,651,658,648,848000.0,0.55,0.4086378737541527
2014-03-31,653,657,664,641,843000.0,-0.3,-0.005896226415094352
2014-04-01,673,654,676,653,686000.0,3.09,-0.18623962040332143
2014-04-02,691,679,698,678,1337000.0,2.56,0.9489795918367347
2014-04-03,684,691,694,679,2070000.0,-1.01,0.5482423335826476
2014-04-04,682,683,685,673,1268000.0,-0.26,-0.3874396135265701
2014-04-07,662,675,679,659,1556000.0,-2.89,0.2271293375394321
2014-04-08,680,660,680,660,3267000.0,2.65,1.0996143958868894
2014-04-09,676,681,689,670,5285000.0,-0.56,0.6176920722375268
2014-04-10,692,682,692,680,1789000.0,2.43,-0.6614947965941343
2014-04-11,694,681,699,681,1874000.0,0.29,0.047512576858580235
2014-04-14,699,696,701,694,1176000.0,0.7,-0.37246531483457845
2014-04-15,692,706,706,689,1734000.0,-1.09,0.4744897959183674
2014-04-16,698,693,699,691,1383000.0,0.98,-0.20242214532871972
2014-04-17,708,702,710,698,1213000.0,1.38,-0.12292118582791034
2014-04-18,719,712,725,707,1784000.0,1.6,0.47073371805441044
2014-04-21,714,719,722,713,1579000.0,-0.74,-0.11491031390134532
2014-04-22,727,718,728,715,908000.0,1.79,-0.4249525015832806
2014-04-23,721,729,732,721,2222000.0,-0.8,1.447136563876652
2014-04-24,717,725,727,705,1924000.0,-0.52,-0.13411341134113408
2014-04-25,714,715,719,707,2996000.0,-0.43,0.5571725571725572
2014-04-28,719,711,721,710,1237000.0,0.65,-0.5871161548731643
2014-04-29,717,724,726,714,2056000.0,-0.24,0.662085691188359
2014-04-30,728,721,728,719,3285000.0,1.58,0.597762645914397
2014-05-02,738,736,749,736,2229000.0,1.28,-0.3214611872146119
2014-05-07,737,739,741,732,1731000.0,-0.1,-0.22341857335127857
2014-05-08,721,743,746,717,1828000.0,-2.2,0.05603697284806475
2014-05-09,709,726,728,697,1279000.0,-1.61,-0.300328227571116
2014-05-12,722,711,728,705,1339000.0,1.84,0.04691164972634865
2014-05-13,742,731,747,730,1165000.0,2.72,-0.12994772218073192
2014-05-14,741,743,743,734,1115000.0,-0.08,-0.0429184549356223
2014-05-15,723,746,751,721,1333000.0,-2.47,0.19551569506726452
2014-05-16,724,726,730,717,1140000.0,0.19,-0.14478619654913727
2014-05-19,710,727,728,705,1191000.0,-2.02,0.044736842105263186
2014-05-20,711,708,711,696,2328000.0,0.16,0.9546599496221662
2014-05-21,709,708,712,706,1048000.0,-0.21,-0.5498281786941581
2014-05-22,718,715,718,711,1670000.0,1.26,0.5935114503816794
2014-05-23,710,720,720,709,852000.0,-1.14,-0.4898203592814371
