날짜,종가,시가,고가,저가,거래량,변동 %
2014-03-10,675.86,656.91,675.86,656.31,17.64K,4.20%
2014-03-11,672.68,679.36,692.03,670.19,30.91K,-0.47%
2014-03-12,673.39,677.49,680.32,668.75,33.55K,0.11%
2014-03-13,679.69,678.71,679.74,661.38,35.02K,0.94%
2014-03-14,659.55,669.19,677.63,659.55,24.24K,-2.96%
2014-03-17,645.19,657.17,662.62,639.68,24.40K,-2.18%
2014-03-18,666.43,651.67,685.26,651.67,29.05K,3.29%
2014-03-19,674.93,682.4,691.77,664.03,15.54K,1.28%
2014-03-20,671.4,665.44,673.78,657.56,24.79K,-0.52%
2014-03-21,692.19,677.49,692.19,668.12,13.55K,3.10%
2014-03-24,674.62,693.01,697.79,672.24,13.43K,-2.54%
2014-03-25,657.66,670.65,670.65,646.83,29.90K,-2.51%
2014-03-26,663.77,661.06,665.86,656.52,31.73K,0.93%
2014-03-27,651.96,661.72,662.14,650.24,6.02K,-1.78%
2014-03-28,655.55,651.65,658.33,648.51,8.48K,0.55%
2014-03-31,653.58,657.55,664.04,641.85,8.43K,-0.30%
2014-04-01,673.8,654.22,676.25,653.75,6.86K,3.09%
2014-04-02,691.07,679.66,698.32,678.13,13.37K,2.56%
2014-04-03,684.11,691.62,694.19,679.83,20.70K,-1.01%
2014-04-04,682.33,683.77,685.86,673.91,12.68K,-0.26%
2014-04-07,662.59,675.74,679.05,659.62,15.56K,-2.89%
2014-04-08,680.17,660.84,680.24,660.12,32.67K,2.65%
2014-04-09,676.39,681.08,689.21,670.1,52.85K,-0.56%
2014-04-10,692.86,682.91,692.86,680.45,17.89K,2.43%
2014-04-11,694.89,681.99,699.23,681.45,18.74K,0.29%
2014-04-14,699.76,696.91,701.0,694.25,11.76K,0.70%
2014-04-15,692.14,706.59,706.63,689.01,17.34K,-1.09%
2014-04-16,698.91,693.42,699.92,691.75,13.83K,0.98%
2014-04-17,708.56,702.13,710.21,698.97,12.13K,1.38%
2014-04-18,719.87,712.08,725.29,707.28,17.84K,1.60%
2014-04-21,714.54,719.11,722.48,713.23,15.79K,-0.74%
2014-04-22,727.31,718.61,728.75,715.18,9.08K,1.79%
2014-04-23,721.48,729.55,732.23,721.48,22.22K,-0.80%
2014-04-24,717.7,725.98,727.0,705.02,19.24K,-0.52%
2014-04-25,714.63,715.43,719.82,707.49,29.96K,-0.43%
2014-04-28,719.28,711.78,721.3,710.8,12.37K,0.65%
2014-04-29,717.54,724.67,726.24,714.89,20.56K,-0.24%
2014-04-30,728.9,721.8,728.9,719.47,32.85K,1.58%
2014-05-02,738.23,736.91,749.43,736.09,22.29K,1.28%
2014-05-07,737.46,739.57,741.76,732.24,17.31K,-0.10%
2014-05-08,721.27,743.44,746.95,717.48,18.28K,-2.20%
2014-05-09,709.66,726.05,728.8,697.7,12.79K,-1.61%
2014-05-12,722.73,711.1,728.7,705.32,13.39K,1.84%
2014-05-13,742.42,731.61,747.19,730.68,11.65K,2.72%
2014-05-14,741.79,743.52,743.8,734.84,11.15K,-0.08%
2014-05-15,723.5,746.47,751.83,721.01,13.33K,-2.47%
2014-05-16,724.91,726.14,730.91,717.0,11.40K,0.19%
2014-05-19,710.29,727.62,728.19,705.68,11.91K,-2.02%
2014-05-20,711.45,708.89,711.73,696.59,23.28K,0.16%
2014-05-21,709.94,708.54,712.86,706.28,10.48K,-0.21%
2014-05-22,718.92,715.45,718.92,711.34,16.70K,1.26%
2014-05-23,710.73,720.43,720.46,709.22,8.52K,-1.14%
2014-05-26,712.61,716.18,720.84,712.61,11.42K,0.26%
2014-05-27,710.96,716.74,717.29,698.95,11.80K,-0.23%
2014-05-28,711.95,711.82,713.87,704.92,28.38K,0.14%
2014-05-29,702.27,717.8,718.99,702.27,19.85K,-1.36%
2014-05-30,715.68,707.24,718.36,701.23,39.93K,1.91%
2014-06-02,701.06,721.59,721.59,698.77,15.99K,-2.04%
2014-06-03,691.42,702.28,702.28,688.12,13.18K,-1.38%
2014-06-05,679.34,692.63,696.93,675.43,18.25K,-1.75%
2014-06-09,690.73,685.16,694.44,676.22,11.91K,1.68%
2014-06-10,701.33,695.68,702.58,690.0,14.71K,1.53%
2014-06-11,672.75,702.63,704.45,670.55,10.11K,-4.08%
2014-06-12,676.11,674.7,683.69,672.07,7.50K,0.50%
2014-06-13,678.83,681.32,685.55,674.57,7.35K,0.40%
2014-06-16,692.31,682.83,696.89,679.38,7.87K,1.99%
2014-06-17,688.21,696.46,698.82,688.21,9.38K,-0.59%
2014-06-18,690.02,689.85,692.85,681.37,12.91K,0.26%
2014-06-19,691.36,692.14,695.07,688.87,10.00K,0.19%
2014-06-20,695.71,693.08,698.58,689.18,9.67K,0.63%
2014-06-23,679.54,694.38,695.18,674.15,14.74K,-2.32%
2014-06-24,685.52,686.97,694.09,678.12,15.54K,0.88%
2014-06-25,668.07,685.85,685.85,668.07,20.92K,-2.55%
2014-06-26,663.43,672.48,680.71,661.4,13.35K,-0.69%
2014-06-27,668.52,666.91,671.99,661.15,8.62K,0.77%
2014-06-30,671.3,669.46,671.33,662.24,7.67K,0.42%
2014-07-01,694.91,669.82,694.91,667.09,9.13K,3.52%
2014-07-02,696.34,697.3,697.83,691.64,9.19K,0.21%
2014-07-03,684.74,696.29,696.29,684.48,10.39K,-1.67%
2014-07-04,689.31,689.21,697.15,676.9,30.94K,0.67%
2014-07-07,697.95,692.5,698.31,687.2,19.44K,1.25%
2014-07-08,708.56,703.17,714.36,699.05,15.45K,1.52%
2014-07-09,710.76,708.46,711.62,700.73,11.68K,0.31%
2014-07-10,709.79,710.23,711.18,702.26,9.53K,-0.14%
2014-07-11,686.74,694.99,698.28,685.11,23.67K,-3.25%
2014-07-14,691.96,693.84,694.73,690.24,10.68K,0.76%
2014-07-15,686.61,696.01,698.92,684.48,20.31K,-0.77%
2014-07-16,671.72,688.96,689.64,670.05,14.67K,-2.17%
2014-07-17,665.45,675.54,677.51,662.03,11.75K,-0.93%
2014-07-18,664.32,663.94,670.82,662.74,10.51K,-0.17%
2014-07-21,656.88,667.43,670.89,651.99,9.42K,-1.12%
2014-07-22,658.91,656.54,668.98,654.35,10.16K,0.31%
2014-07-23,647.42,666.15,666.33,647.42,13.02K,-1.74%
2014-07-24,632.43,651.04,651.47,630.64,11.48K,-2.32%
2014-07-25,636.41,633.83,641.48,632.22,14.99K,0.63%
2014-07-28,628.33,638.82,639.26,617.33,14.03K,-1.27%
2014-07-29,615.06,629.68,632.25,612.4,10.19K,-2.11%
2014-07-30,619.96,612.79,623.05,611.69,9.71K,0.80%
2014-07-31,611.55,623.37,624.22,607.81,7.52K,-1.36%
2014-08-01,633.93,602.76,634.7,602.37,6.85K,3.66%
2014-08-04,648.77,639.15,648.77,635.42,6.92K,2.34%
2014-08-05,625.49,650.52,650.56,623.18,13.38K,-3.59%
2014-08-06,636.06,623.83,636.06,621.38,22.10K,1.69%
2014-08-07,640.67,634.19,643.97,631.62,15.00K,0.72%
2014-08-08,625.6,635.9,638.06,622.28,10.68K,-2.35%
2014-08-11,618.77,631.23,631.37,616.16,10.14K,-1.09%
2014-08-12,623.85,623.53,628.79,618.65,12.42K,0.82%
2014-08-13,655.12,644.0,657.91,643.45,11.96K,5.01%
2014-08-14,664.55,658.25,667.98,655.19,12.48K,1.44%
2014-08-18,669.23,675.8,676.69,663.61,7.03K,0.70%
2014-08-19,670.73,671.68,673.53,665.0,7.64K,0.22%
2014-08-20,669.34,679.11,680.07,668.08,6.97K,-0.21%
2014-08-21,692.72,682.94,695.61,679.99,11.20K,3.49%
2014-08-22,694.83,693.35,703.39,691.28,14.06K,0.30%
2014-08-25,713.24,698.62,713.24,698.62,8.98K,2.65%
2014-08-26,713.22,721.36,721.4,706.5,10.22K,0.00%
2014-08-27,703.48,715.01,715.64,696.32,8.82K,-1.37%
2014-08-28,706.91,703.05,709.09,699.25,7.11K,0.49%
2014-08-29,710.17,704.0,713.77,701.99,9.72K,0.46%
2014-09-01,724.21,720.48,725.11,716.78,14.98K,1.98%
2014-09-02,712.02,718.67,721.4,710.43,9.38K,-1.68%
2014-09-03,719.61,715.23,721.39,711.57,7.61K,1.07%
2014-09-04,713.03,729.29,733.62,711.18,8.30K,-0.91%
2014-09-05,700.08,714.01,718.79,696.56,5.88K,-1.82%
2014-09-11,688.37,706.3,706.3,687.18,7.98K,-1.67%
2014-09-12,689.14,692.98,695.1,678.3,7.84K,0.11%
2014-09-15,680.74,692.72,696.41,680.25,8.55K,-1.22%
2014-09-16,692.08,688.19,695.17,686.18,9.07K,1.67%
2014-09-17,692.19,694.41,697.5,691.35,5.32K,0.02%
2014-09-18,701.26,697.29,701.66,693.17,6.72K,1.31%
2014-09-19,709.93,704.99,713.19,701.15,9.39K,1.24%
2014-09-22,692.41,712.57,712.57,691.49,4.88K,-2.47%
2014-09-23,673.77,689.63,689.65,670.49,7.22K,-2.69%
2014-09-24,680.63,673.01,682.67,671.73,8.75K,1.02%
2014-09-25,681.03,681.67,689.41,676.55,8.39K,0.06%
2014-09-26,672.07,671.2,677.18,668.64,7.77K,-1.32%
2014-09-29,669.99,677.13,680.28,664.49,15.40K,-0.31%
2014-09-30,666.99,669.88,675.73,656.85,8.79K,-0.45%
2014-10-01,650.2,670.72,671.88,650.2,7.26K,-2.52%
2014-10-02,661.9,646.85,663.22,637.95,5.32K,1.80%
2014-10-06,659.84,665.78,669.65,659.84,8.00K,-0.31%
2014-10-07,665.72,663.35,670.85,658.06,7.32K,0.89%
2014-10-08,663.99,664.55,669.46,662.11,6.87K,-0.26%
2014-10-10,619.38,661.05,662.31,619.38,8.53K,-6.72%
2014-10-13,575.47,610.84,610.84,566.11,15.02K,-7.09%
2014-10-14,597.33,575.58,598.91,575.25,10.39K,3.80%
2014-10-15,589.46,596.33,599.58,583.37,7.87K,-1.32%
2014-10-16,600.81,582.92,611.92,576.47,12.04K,1.93%
2014-10-17,600.93,606.39,613.07,599.82,6.11K,0.02%
2014-10-20,626.12,604.55,628.97,604.36,6.68K,4.19%
2014-10-21,633.45,628.49,633.45,618.24,7.76K,1.17%
2014-10-22,639.53,642.88,643.87,637.51,6.94K,0.96%
2014-10-23,636.9,638.35,642.91,634.04,6.67K,-0.41%
2014-10-24,624.93,641.9,642.45,617.91,5.74K,-1.88%
2014-10-27,626.76,623.0,628.94,611.62,6.55K,0.29%
2014-10-28,621.52,630.77,631.56,621.22,4.46K,-0.84%
2014-10-29,624.26,630.22,630.82,624.14,4.93K,0.44%
2014-10-30,609.83,626.56,628.12,607.92,4.70K,-2.31%
2014-10-31,610.29,612.25,613.35,605.56,4.42K,0.08%
2014-11-03,599.99,614.03,614.16,598.39,5.06K,-1.69%
2014-11-04,575.07,598.95,601.82,565.82,6.59K,-4.15%
2014-11-05,575.36,575.36,584.25,571.83,4.73K,0.05%
2014-11-06,547.54,573.12,576.0,535.54,6.02K,-4.84%
2014-11-07,549.71,550.69,551.57,536.93,13.95K,0.40%
2014-11-10,554.35,549.99,563.65,549.99,8.87K,0.84%
2014-11-11,569.55,560.76,572.17,558.11,13.62K,2.74%
2014-11-12,564.04,573.39,573.39,561.42,11.58K,-0.97%
2014-11-13,569.29,569.04,573.45,565.85,11.84K,0.93%
2014-11-14,565.8,575.13,575.57,563.33,17.52K,-0.61%
2014-11-17,557.31,566.23,566.23,546.77,8.22K,-1.50%
2014-11-18,572.23,564.3,575.76,562.07,16.09K,2.68%
2014-11-19,579.41,574.84,579.93,572.94,16.44K,1.25%
2014-11-20,580.06,584.61,584.61,575.0,13.52K,0.11%
2014-11-21,586.75,584.29,588.13,578.18,14.44K,1.15%
2014-11-24,587.96,591.64,594.55,582.19,7.81K,0.21%
2014-11-25,602.18,594.69,619.85,594.66,22.96K,2.42%
2014-11-26,605.26,601.78,608.43,598.53,9.80K,0.51%
2014-11-27,594.29,607.7,607.7,594.29,8.73K,-1.81%
2014-11-28,595.49,593.23,601.87,590.36,8.18K,0.20%
2014-12-01,591.05,596.96,601.88,589.77,12.21K,-0.75%
2014-12-02,594.56,594.04,597.3,591.78,8.22K,0.59%
2014-12-03,602.51,596.46,604.83,593.55,13.72K,1.34%
2014-12-04,566.68,602.92,603.65,562.15,16.83K,-5.95%
2014-12-05,569.48,572.08,574.54,566.89,9.81K,0.49%
2014-12-08,568.88,571.39,581.74,566.99,13.21K,-0.11%
2014-12-09,565.27,568.11,572.91,564.55,9.10K,-0.63%
2014-12-10,556.48,568.33,568.89,554.78,9.77K,-1.56%
2014-12-11,545.16,549.31,553.95,544.14,13.04K,-2.03%
2014-12-12,550.55,548.2,552.69,544.73,11.40K,0.99%
2014-12-15,556.57,545.87,559.07,543.46,7.28K,1.09%
2014-12-16,548.05,553.56,561.0,548.05,6.94K,-1.53%
2014-12-17,538.64,548.99,551.95,538.64,6.50K,-1.72%
2014-12-18,530.19,543.86,545.0,521.45,8.62K,-1.57%
2014-12-19,531.32,535.46,537.67,524.96,4.95K,0.21%
2014-12-22,535.55,531.19,536.26,520.52,6.46K,0.80%
2014-12-23,533.4,534.12,535.83,529.93,8.99K,-0.40%
2014-12-24,532.62,533.3,536.5,530.48,7.44K,-0.15%
