날짜,종가,시가,고가,저가,거래량,변동 %,로그 수익률,거래량 변화율
2021-11-24,40450,40050,44200,39050,85819000.0,-1.1,-0.0110634195442553,
2021-11-25,40750,41100,42950,39950,35759000.0,0.74,0.007389196182371,-0.5833207098661135
2021-11-26,36900,40500,40500,36600,28836000.0,-9.45,-0.0992442886403902,-0.1936016107832993
2021-11-29,32350,34600,34700,32250,22678000.0,-12.33,-0.1315975300995718,-0.21355250381467605
2021-11-30,30150,32900,34900,29900,21425000.0,-6.8,-0.0704290977737151,-0.05525178587177004
2021-12-01,30100,30150,31250,29000,9968000.0,-0.17,-0.0016597514183643,-0.5347491248541423
2021-12-02,29950,29400,30650,29400,6728000.0,-0.5,-0.0049958471933716,-0.3250401284109149
2021-12-03,32100,30550,32500,30300,19036000.0,7.18,0.0693267055745117,1.829369797859691
2021-12-06,30650,31650,31650,30400,5848000.0,-4.52,-0.0462233677537497,-0.6927926034881278
2021-12-07,31200,30600,31450,30300,7629000.0,1.79,0.0177854324332163,0.3045485636114911
2021-12-08,32800,31500,34500,31300,31963000.0,5.13,0.0500104205746614,3.189670992266352
2021-12-09,32850,32800,33400,32050,6567000.0,0.15,0.0015232295405214,-0.7945436911428839
2021-12-10,32050,33000,33200,31800,6189000.0,-2.44,-0.0246545615639404,-0.057560529922338954
2021-12-13,31000,31800,32400,30700,5816000.0,-3.28,-0.0333099788815328,-0.06026821780578451
2021-12-14,30000,30700,30800,29800,5472000.0,-3.23,-0.0327898228229908,-0.05914718019257226
2021-12-15,29150,30000,30000,29050,4142000.0,-2.83,-0.0287424688656539,-0.24305555555555558
2021-12-16,28700,29350,29550,28650,4440000.0,-1.54,-0.015557790030926,0.07194591984548526
2021-12-17,27950,28300,29000,27950,3278000.0,-2.61,-0.0264799231644672,-0.2617117117117117
2021-12-20,26350,27950,27950,26250,7236000.0,-5.72,-0.0589489246137368,1.207443563148261
2021-12-21,27400,26100,27450,25500,8337000.0,3.98,0.0390747384066531,0.152155887230514
2021-12-22,27950,26800,28650,26500,12350000.0,2.01,0.0198741862070836,0.4813482067890129
2021-12-23,27500,28000,29000,27500,5429000.0,-1.61,-0.0162311949285825,-0.5604048582995951
2021-12-24,26950,27600,27600,26550,5558000.0,-2.0,-0.0202027073175194,0.023761282004052253
2021-12-27,26000,27050,27050,26000,4704000.0,-3.53,-0.035886759333524,-0.1536523929471033
2021-12-28,26500,26550,27250,25400,6757000.0,1.92,0.0190481949706944,0.436437074829932
2021-12-29,27200,26750,27200,26400,3252000.0,2.64,0.0260722403097751,-0.5187213260322628
2021-12-30,27200,27250,28150,26900,4610000.0,0.0,0.0,0.4175891758917589
2022-01-03,28350,27200,28550,27200,4624000.0,4.23,0.0414100568718094,0.0030368763557484524
2022-01-04,29000,28600,29000,27950,5062000.0,2.29,0.0226687998127128,0.09472318339100338
2022-01-05,27500,29100,29300,27500,4274000.0,-5.17,-0.0531098253139484,-0.15566969577242196
2022-01-06,27300,27150,27500,26300,3777000.0,-0.73,-0.0072993024816116,-0.11628451099672443
2022-01-07,26550,27350,28400,25950,7732000.0,-2.75,-0.0278569545029662,1.0471273497484774
2022-01-10,25200,26450,26450,25150,4362000.0,-5.08,-0.0521857531705701,-0.4358510087946198
2022-01-11,24550,25250,25500,24500,2864000.0,-2.58,-0.026132140276848,-0.34342044933516735
2022-01-12,24550,24400,24950,24400,2406000.0,0.0,0.0,-0.1599162011173184
2022-01-13,24000,24600,24900,23800,3552000.0,-2.24,-0.0226580238925839,0.4763092269326683
2022-01-14,22950,23750,23750,22800,3679000.0,-4.38,-0.0447358938413914,0.03575450450450446
2022-01-17,22900,23200,23200,22600,2144000.0,-0.22,-0.0021810259463602,-0.41723294373471054
2022-01-18,24100,22900,24300,22250,4850000.0,5.24,0.0510749299364152,1.2621268656716418
2022-01-19,24500,23800,28100,23750,29274000.0,1.66,0.0164612770540719,5.035876288659794
2022-01-20,25000,24350,25550,23950,5132000.0,2.04,0.0202027073175194,-0.8246908519505363
2022-01-21,23900,25000,25200,23900,2415000.0,-4.4,-0.0449973659307358,-0.529423226812159
2022-01-24,23300,24100,24100,23000,3283000.0,-2.51,-0.02542509836581,0.35942028985507246
2022-01-25,22250,23150,23500,22250,3319000.0,-4.51,-0.0461113519594056,0.010965580261955488
2022-01-26,21600,22000,22350,21400,5610000.0,-2.92,-0.0296486939221299,0.69026815305815
2022-01-27,19850,21950,22100,19800,6328000.0,-8.1,-0.0844893075569198,0.12798573975044558
2022-01-28,20400,19850,20550,19350,2802000.0,2.77,0.0273308937169712,-0.5572060682680151
2022-02-03,20800,20900,21100,20450,1812000.0,1.96,0.0194180858571015,-0.3533190578158458
2022-02-04,21400,20800,21600,20300,2096000.0,2.88,0.0284379353205334,0.1567328918322295
2022-02-07,21200,21300,21600,20850,1755000.0,-0.93,-0.009389740349839,-0.16269083969465647
2022-02-08,21200,21200,22100,20650,2555000.0,0.0,0.0,0.45584045584045585
2022-02-09,21400,21200,21400,21000,1460000.0,0.94,0.0093897403498391,-0.4285714285714286
2022-02-10,21000,21450,21500,20500,2722000.0,-1.87,-0.0188684843043828,0.8643835616438356
2022-02-11,20050,20800,20800,19800,2316000.0,-4.52,-0.0462932839708447,-0.14915503306392364
2022-02-14,18750,19350,19700,18700,4087000.0,-6.48,-0.0670354013361583,0.7646804835924006
2022-02-15,17900,18750,19000,17250,1994000.0,-4.53,-0.0463930395697105,-0.5121115732811353
2022-02-16,18950,18300,19000,18100,2505000.0,5.87,0.0570032186817261,0.25626880641925776
2022-02-17,19000,18950,20150,18700,2949000.0,0.26,0.002635047638005,0.17724550898203595
2022-02-18,19300,18600,19400,18250,1421000.0,1.58,0.0156661167443994,-0.5181417429637165
2022-02-21,19700,19600,19800,18750,1724000.0,2.07,0.020513539833103,0.21323011963406047
2022-02-22,18650,18900,19300,18000,11677000.0,-5.33,-0.0547724896541182,5.773201856148492
2022-02-23,19050,18700,21200,18400,15030000.0,2.14,0.0212209554828854,0.2871456709771345
2022-02-24,17950,19000,19100,17750,5004000.0,-5.77,-0.059476986638422,-0.667065868263473
2022-02-25,6167,6117,6233,5933,11372000.0,-65.65,-1.068377618924932,1.2725819344524378
2022-02-28,6317,6167,6483,6100,8758000.0,-65.86,-1.0745263201677158,-0.22986282096377064
2022-03-02,6367,6267,6433,6100,8376000.0,0.79,0.007883989118325,-0.043617264215574325
2022-03-03,6383,6400,6417,6317,5736000.0,0.26,0.002509805239032,-0.31518624641833815
2022-03-04,6450,6383,6650,6167,13022000.0,1.04,0.0104419245337609,1.2702231520223153
2022-03-07,6167,6267,6383,6100,11645000.0,-4.39,-0.0448676347983254,-0.10574412532637079
2022-03-08,6033,6117,6233,5833,8831000.0,-2.16,-0.021968096550731,-0.24164877629884074
2022-03-10,6367,6117,6367,5917,11313000.0,5.53,0.0538840015762636,0.28105537311742723
