날짜,종가,시가,고가,저가,거래량,변동 %
2014-03-14,51700.0,"52,100","53,200","51,700",214.32K,-2.82%
2014-03-17,50000.0,"51,500","51,600","48,550",517.68K,-3.29%
2014-03-18,51000.0,"50,100","51,100","49,250",249.08K,2.00%
2014-03-19,49750.0,"51,000","51,300","49,650",199.28K,-2.45%
2014-03-20,47800.0,"46,550","49,050","45,800",1.49M,-3.92%
2014-03-21,49000.0,"47,800","49,000","46,900",588.51K,2.51%
2014-03-24,47200.0,"49,200","49,200","46,200",634.01K,-3.67%
2014-03-25,45850.0,"46,500","46,950","45,150",501.28K,-2.86%
2014-03-26,46900.0,"46,150","47,000","45,850",320.69K,2.29%
2014-03-27,46250.0,"46,450","46,750","45,350",326.18K,-1.39%
2014-03-28,46400.0,"45,050","46,400","44,400",584.84K,0.32%
2014-03-31,47250.0,"46,650","47,550","46,200",312.10K,1.83%
2014-04-01,49150.0,"47,550","49,350","47,450",417.36K,4.02%
2014-04-02,49200.0,"49,500","49,950","48,600",221.67K,0.10%
2014-04-03,48600.0,"49,200","49,300","48,100",180.05K,-1.22%
2014-04-04,47350.0,"48,200","48,850","47,150",257.27K,-2.57%
2014-04-07,46600.0,"47,300","47,900","46,300",215.22K,-1.58%
2014-04-08,48150.0,"46,750","48,250","46,650",186.00K,3.33%
2014-04-09,48200.0,"48,300","48,750","47,700",152.95K,0.10%
2014-04-10,48000.0,"48,400","48,550","47,500",112.45K,-0.41%
2014-04-11,48050.0,"47,500","48,200","47,300",104.94K,0.10%
2014-04-14,48200.0,"48,400","48,550","47,950",131.82K,0.31%
2014-04-15,47200.0,"48,100","48,350","46,600",331.09K,-2.07%
2014-04-16,47550.0,"47,200","48,300","47,000",206.03K,0.74%
2014-04-17,47600.0,"47,450","48,200","47,300",160.40K,0.11%
2014-04-18,49400.0,"48,100","49,600","47,950",406.83K,3.78%
2014-04-21,48900.0,"49,300","49,400","48,200",201.25K,-1.01%
2014-04-22,51000.0,"49,000","51,000","48,900",440.93K,4.29%
2014-04-23,50500.0,"51,200","51,200","49,800",229.46K,-0.98%
2014-04-24,49900.0,"50,500","50,900","48,600",237.02K,-1.19%
2014-04-25,49650.0,"49,900","50,100","48,950",188.04K,-0.50%
2014-04-28,48750.0,"49,200","50,000","48,250",191.32K,-1.81%
2014-04-29,48400.0,"48,850","49,150","48,150",88.28K,-0.72%
2014-04-30,48750.0,"48,600","48,950","48,300",83.93K,0.72%
2014-05-02,49950.0,"48,850","50,000","48,850",188.39K,2.46%
2014-05-07,50500.0,"51,200","51,200","50,100",203.36K,1.10%
2014-05-08,50500.0,"50,800","50,800","49,800",156.10K,0.00%
2014-05-09,51000.0,"52,000","52,300","50,600",221.14K,0.99%
2014-05-12,50800.0,"51,200","51,300","50,300",127.77K,-0.39%
2014-05-13,50300.0,"51,300","52,100","50,100",197.44K,-0.98%
2014-05-14,49800.0,"50,300","50,800","49,450",219.04K,-0.99%
2014-05-15,46900.0,"49,750","50,400","46,500",957.22K,-5.82%
2014-05-16,46950.0,"47,000","47,450","46,200",575.37K,0.11%
2014-05-19,45800.0,"47,250","47,300","43,900",638.71K,-2.45%
2014-05-20,45700.0,"45,200","46,000","44,800",248.45K,-0.22%
2014-05-21,45700.0,"45,700","46,100","45,350",137.52K,0.00%
2014-05-22,45700.0,"45,750","46,100","45,450",119.84K,0.00%
2014-05-23,46000.0,"45,650","46,450","45,650",142.57K,0.66%
2014-05-26,46700.0,"46,300","47,100","46,150",209.97K,1.52%
2014-05-27,46650.0,"46,950","47,150","46,250",147.56K,-0.11%
2014-05-28,46000.0,"46,800","46,850","44,750",278.08K,-1.39%
2014-05-29,45000.0,"46,100","46,300","44,650",263.74K,-2.17%
2014-05-30,43950.0,"45,050","45,350","43,600",220.73K,-2.33%
2014-06-02,43300.0,"44,200","44,600","42,350",381.67K,-1.48%
2014-06-03,40550.0,"43,300","43,700","40,500",473.97K,-6.35%
2014-06-05,37350.0,"40,500","41,350","36,700",821.96K,-7.89%
2014-06-09,38200.0,"37,900","38,300","37,000",501.67K,2.28%
2014-06-10,39550.0,"38,100","40,300","38,000",518.76K,3.53%
2014-06-11,36700.0,"39,600","39,800","36,700",891.64K,-7.21%
2014-06-12,37100.0,"36,950","37,500","35,350",833.86K,1.09%
