날짜,종가,시가,고가,저가,거래량,변동 %,로그 수익률,거래량 변화율
2014-03-18,49538,48077,50923,47615,38391000.0,3.54,0.0347525319908395,
2014-03-19,49231,49538,49769,48538,13003000.0,-0.62,-0.0062165454480346,-0.6613008257143602
2014-03-20,49154,47769,49538,47692,20890000.0,-0.16,-0.0015652795796407,0.6065523340767516
2014-03-21,49615,49538,49769,48846,10489000.0,0.94,0.009334980564651,-0.49789372905696505
2014-03-24,48538,49692,49923,48462,11447000.0,-2.17,-0.0219462110480598,0.09133377824387456
2014-03-25,46923,48000,48462,46385,22462000.0,-3.33,-0.0338390359579307,0.9622608543723246
2014-03-26,48154,46923,48308,46769,12135000.0,2.62,0.0258962481614228,-0.45975425162496664
2014-03-27,47923,48538,48692,47846,8377000.0,-0.48,-0.0048086523334454,-0.3096827358879275
2014-03-28,48077,47846,48846,47385,6540000.0,0.32,0.0032083360853931,-0.21929091560224423
2014-03-31,48769,48769,49000,48154,9307000.0,1.44,0.0142909728297103,0.4230886850152906
2014-04-01,48923,48769,49385,48538,10399000.0,0.32,0.00315276844701,0.11733104115182114
2014-04-02,48923,49308,49846,48769,10396000.0,0.0,0.0,-0.00028848927781521816
2014-04-03,48385,48846,49077,48154,7559000.0,-1.1,-0.0110577852173994,-0.272893420546364
2014-04-04,48077,48462,49154,47692,10264000.0,-0.64,-0.006385956059321,0.357851567667681
2014-04-07,46538,47692,47923,46154,17677000.0,-3.2,-0.0325347091088292,0.7222330475448169
2014-04-08,47846,46538,49846,46538,24664000.0,2.81,0.0277183366736339,0.3952593765910506
2014-04-09,48538,48231,49154,47846,12435000.0,1.45,0.0143594764797553,-0.49582387285111906
2014-04-10,48538,49000,49231,48231,7027000.0,0.0,0.0,-0.4349014877362284
2014-04-11,48462,48000,48923,47923,6247000.0,-0.16,-0.0015670106299307,-0.1110004269247189
2014-04-14,48538,48231,48692,48154,5458000.0,0.16,0.0015670106299307,-0.12630062429966382
2014-04-15,48077,48769,48846,48000,5628000.0,-0.95,-0.0095431040445602,0.031146940271161494
2014-04-16,48231,48385,48538,47923,4787000.0,0.32,0.0031980755753479,-0.14943141435678753
2014-04-17,47385,48154,48308,47385,6300000.0,-1.75,-0.0176962449267744,0.31606434092333413
2014-04-18,47692,47462,48077,47077,10176000.0,0.65,0.0064579460217272,0.6152380952380951
2014-04-21,47000,47769,47769,46923,9145000.0,-1.45,-0.0146160672338269,-0.10131682389937102
2014-04-22,47231,47077,47769,46385,9708000.0,0.49,0.0049028549570961,0.061563696008748
2014-04-23,46692,47308,47462,46692,5979000.0,-1.14,-0.0114776128767378,-0.3841161928306551
2014-04-24,46308,46923,47231,45846,9898000.0,-0.82,-0.0082581114469348,0.6554607793945475
2014-04-25,45692,46154,46308,45538,8467000.0,-1.33,-0.0133915044717813,-0.14457466154778742
2014-04-28,45769,45692,46538,45462,7491000.0,0.17,0.0016837781828746,-0.11527105232077473
2014-04-29,45385,46154,46231,45308,8531000.0,-0.84,-0.0084253520759847,0.13883326658657058
2014-04-30,47538,45231,47538,45231,19519000.0,4.74,0.0463477372325693,1.28800843980776
2014-05-02,49300,49300,50900,48600,27985000.0,3.71,0.0363946898374846,0.43373123623136434
2014-05-07,47800,49300,49300,47750,12800000.0,-3.04,-0.0308984415512341,-0.542612113632303
2014-05-08,48300,47550,51100,47400,27893000.0,1.05,0.0104059211611168,1.179140625
2014-05-09,48300,47900,48450,47400,6655000.0,0.0,0.0,-0.7614096726777327
2014-05-12,47800,48300,48350,47650,6095000.0,-1.04,-0.0104059211611166,-0.08414725770097675
2014-05-13,48400,47800,48700,47800,5129000.0,1.26,0.0124741742251758,-0.1584905660377358
2014-05-14,48300,48400,49200,48200,7172000.0,-0.21,-0.002068253064059,0.3983232598947164
2014-05-15,49300,48800,49850,48450,11544000.0,2.07,0.0204925203901173,0.6095928611266035
2014-05-16,48150,49300,49850,47800,16583000.0,-2.33,-0.0236029428045098,0.43650381150381157
2014-05-19,45050,47550,47800,44550,32924000.0,-6.44,-0.0665481541897876,0.9854067418440571
2014-05-20,44050,44900,45200,43400,26252000.0,-2.22,-0.0224476316721584,-0.20264852387316246
2014-05-21,44050,43700,44400,43650,11325000.0,0.0,0.0,-0.5686042968154807
2014-05-22,44150,44000,44600,44000,7254000.0,0.23,0.0022675746677805,-0.3594701986754967
