소속사,그룹,연예인 이름,사건 날짜,사건 내용
YG,빅뱅,승리,2014-09-12,"2014년 9월 12일 승리가 자신의 포르쉐 911 터보 S 를 몰고 강변북로를 달리다 서빙고 신동아아파트 쪽에서 앞서 가던 벤츠 E클래스 를 들이박았다. # 피해자인 벤츠 E클래스 차량에 탑승하고 있던 3명은 병원으로 이송되어 치료를 받았다. 가해자인 승리가 운전하던 포르쉐 911 차량은 가드레일을 들이받고 뒤집어졌고 9월 12일에 경미한 출혈이 발견되었으나, 부상이 경미하여 귀가했다. 의류 브랜드 출시 기념행사 에 참석하고 귀가하던 중 일어난 사고였다. 그런데 해당 사고의 블랙박스 영상 이 공개되어 위험운전을 했다는 사실이 알려지고 음주운전 의혹이 일었지만, 사고 현장에서 경찰이 음주 여부를 측정한 결과 음주운전은 아니었다. 그렇지만 음주운전은 아니라 해도, 맨정신으로 저런 위험한 운전을 한다는 것은 평소 운전 습관을 보여주는 것이라는 의견이 속출하고 있다. 9월 25일 병원에서 퇴원했다가 병원에 재입원 했다. 해당 기사 에는 교통사고를 '당했다'고 반복해서 표현하며 40도 고열에도 스케줄을 강행한 책임감을 강조하고 있는데 엄연히 승리는 교통사고를 일으켜 피해자에게 부상을 입히고 차량을 손상시킨 가해자 다. 피해자에 대한 제대로 된 사죄가 없고 사실을 교묘하게 왜곡한 YG의 언플용 기사와 일부 빅뱅 팬의 몰지각한 반응이 더더욱 사람들의 반감을 불러일으켰다. 경찰은 승리에게 피의자 신분으로 전환됨 을 알려왔다. 서울 용산경찰서는 승리가 최근 교통사고처리특례법 위반 혐의로 입건돼 경찰 조사를 받았으며, 이에 경찰은 불구속 기소 의견으로 사건을 검찰에 송치했다. 도로교통공단에 승리 차량의 과속 여부 감정을 의뢰한 결과, 속도를 위반한 것으로 확인됐다. 사고 당시 승리가 몰던 포르쉐는 강변북로 규정 속도인 시속 80km를 넘어 시속 100km에서 110km 사이로 주행했다."
YG,빅뱅,승리,2019-02-27,2019년 2월 27일 미디어오늘 은 2014년 승리의 음주운전 의혹을 제기한 기자에게 YG 측에서 1억 원을 건네 보도를 무마했다는 의혹을 제기했다. 사건 당시 스포츠월드 김 기자는 목격자 진술을 인용하여 승리가 음주운전을 했다고 주장했고 이후 양측은 법정공방에 들어갔으나 YG측에서 소를 취하하며 종결됐다. 이후 김 기자가 YG측으로부터 1억을 현금으로 받아 전세금을 갚는 데 썼다는 복수의 증언이 나왔다. ‘승리 음주운전 의혹 보도’ 김용호 기자 “양현석은 만났지만 1억 안 받아” 보도 다음날 김용호 기자는 자신의 유튜브 채널을 통해 양현석 대표와 만난 것은 사실이나 돈을 받은 사실은 없다고 입장을 밝혔다. 그리고 김용호 기자는 단순히 기자들 사이의 뜬소문을 일방적으로 보도한 미디어오늘에 대해 법적절차에 착수했다고 밝히며 언론중재위원회 를 거치지 않고 민형사상 소송을 진행하겠다며 강경대응했다. 이 때문에 해당 진실을 둘러싸고 미디어오늘과 김용호 기자 간의 법적공방이 예고되었다.
YG,빅뱅,승리,2019-03-13,"2019년 3월 13일 경찰 유착이 의심되는 승리 카톡이 나오자 이 사건도 다시 재조명되었고, 최종훈이 음주운전을 걸렸던 담당 경찰서가 용산경찰서였다는 점에서 경찰과의 유착이 다시 주목받고 있는 상황 이다."
YG,빅뱅,승리,2019-03-18,"2019년 3월 18일 승리는 본인의 인스타그램 에 경찰 정복을 입고 찍은 사진을 삭제했다. 해당 사진이 개재된 시점은 2014년 교통사고와 비교적 가까운 날로, 5년이 지난 사진을 갑자기 삭제한 이유에 대해 의혹이 제기됐다. 승리 인스타그램의 1,660여개의 게시물 중 버닝썬 사건이 터진 후 승리가 삭제한 사진은 이 사진 이 유일하다."
YG,빅뱅,승리,2021-08-12,2021년 8월 12일에는 1심 보통군사법원에서 징역 3년을 선고받고 법정 구속됐다.
YG,빅뱅,승리,2022-01-27,2022년 1월 27일 2심 고등군사법원에서 징역 1년 6개월로 감형됐다.
YG,빅뱅,승리,2022-05-26,2022년 5월 26일 대법원에서 징역 1년 6개월을 선고한 원심이 확정되었다. 이 사건 이후 승리는 연예계를 은퇴했다.
YG,빅뱅,승리,2012-09-18,"2012년 9월 18일, 배우 쿠보 안나가 승리에게 키스하는 장면이 포착 되었다. 쿠보 안나는 배우 성룡 의 아들인 방조명(팡쭈밍)의 전 여자친구라고 한다. 2015년 10월엔 승리가 미모의 글래머 여성과 손을 잡고 클럽을 방문했다고 중국에서 기사 가 떴다. 1일 YG 측은 승리의 열애설에 대해 “대만 현지에서 진행된 콘서트를 마친 뒤 초대한 지인들과 함께 뒷풀이를 한 것”이라고 해명했다. 사실 이 여성은 승리와 친한 지인 사이이자 빅뱅 담당인 중국통역사이자 선생님이다. 열애설이라고 찍힌 사진을 보더라도 손을 잡기보단 부축하며 안내하는 모션이라, 흔한 중국 언론의 짜집기식 찌라시에 걸려든 거라고 봐도 무방하다. 2017년 3월, 중국 팬과 열애설 기사가 떴다."
YG,빅뱅,승리,2018-10-19,"2018년 10월 19일, 모델 출신의 신인 배우 유혜원 과 열애설 기사가 떴다."
YG,빅뱅,승리,2012-09-14,"2012년 9월 14일 일본의 황색 잡지 프라이데이 에서 승리와 성관계를 가졌다는 여성의 인터뷰와 사진을 기사화했다. 또한 승리의 성벽에 대한 내용 도 담겼다. 이에 대해 YG는 아직 대응을 하지 않는 중이다. 사실 이걸 대응하는 것도 난감한 일이기는 하나, 개인적인 차원에서도 아무런 말도 없다는 것은 YG가 언제나 그러했듯이 무대응으로 나가는 것으로 방향을 잡았다는 것으로 보인다. # 사생활 문제를 괜히 들춘다는 주장 도 있다. 다만 아이돌 스타라는 위치를 감안할 때 아무런 문제도 없다고 단정하기는 힘들다. 혼전 성행위보다는 기사에 적힌 성벽이 문제시될 만하다. 하지만 이러한 폭로 스캔들 기사들은 사진만 믿어야 한다는 말이 일본 현지의 공공연한 의견. 증거 사진이 합성이라는 주장 이 있지만 합성이 아니라는 반론 이 이어졌다. 9월 27일 4명의 멤버들만 무대에 오른 자리에서 빅뱅은 위의 일본 스캔들을 인정하고 팬들에게 사과를 했다. 지디는 ""승리는 잘 지내고 있다. 지금 일본에서 촬영 중이다.""라고 근황을 전했고 태양은 ""허심탄회하게 얘기하겠다. 혼을 많이 냈다. (승리가) 반성하고 있다. 실수할 수 있는 것이고 사실 그런 실수를 저희는 같은 형제로서 용서해 주는 게 맞는 것이다. 저희가 안고 가야 할 문제이기도 하다. 승리를 혼냈고, 다시는 그러지 않도록 하겠다."" 라는 말로 무대응으로 일관한 당사자 승리와 소속사 YG와 달리 진심으로 인정하고 사죄하였다. 게다가 대성이 지금 자리에 없는 승리에게 사랑한다고 말하자고 하자, 태양은 ""사실 지금 사랑한다는 얘기는 못하겠다. 아직 반성의 시간이 더 필요하다""고 진지하게 책임지는 모습을 보였다. # 그런데 노컷뉴스 에서는 태양을 비판하는 기사를 실어서 논란이 되었다. 지금은 기사가 삭제됐지만, 소속사에서 가만히 있는데 독단적으로 입장 표명을 했다는 식으로 태양을 비판했는데 애당초 소속사가 일을 제대로 했으면 태양이 어려운 일을 떠맡을 필요가 없었을 것이다 . 실제로 태양이 입장을 정리하고 분명하게 사죄를 밝히자 온갖 추측성 보도가 자취를 감췄다 . 후에 솔로 활동 때 SNL에 나와 이에 대해선 할 말이 있었는지 승리 자신이 직접 패러디를 하며 해명하기도 했다."
