소속사,그룹,연예인 이름,사건 날짜,사건 내용 (날짜+내용 전체)
YG,빅뱅,승리,"2014년
9월 12일","2014년
9월 12일
승리가 자신의
포르쉐 911 터보 S
를 몰고 강변북로를 달리다
서빙고 신동아아파트
쪽에서 앞서 가던
벤츠 E클래스
를 들이박았다.
#
피해자인 벤츠 E클래스 차량에 탑승하고 있던 3명은 병원으로 이송되어 치료를 받았다. 가해자인 승리가 운전하던
포르쉐 911
차량은 가드레일을 들이받고 뒤집어졌고 9월 12일에 경미한 출혈이 발견되었으나, 부상이 경미하여 귀가했다.
의류 브랜드 출시 기념행사
에 참석하고 귀가하던 중 일어난 사고였다. 그런데 해당 사고의
블랙박스 영상
이 공개되어 위험운전을 했다는 사실이 알려지고 음주운전 의혹이 일었지만, 사고 현장에서 경찰이 음주 여부를 측정한 결과
음주운전은 아니었다.
그렇지만 음주운전은 아니라 해도, 맨정신으로 저런 위험한 운전을 한다는 것은 평소 운전 습관을 보여주는 것이라는 의견이 속출하고 있다.
9월 25일 병원에서
퇴원했다가 병원에 재입원
했다.
해당 기사
에는 교통사고를 '당했다'고 반복해서 표현하며 40도 고열에도 스케줄을 강행한 책임감을 강조하고 있는데 엄연히 승리는
교통사고를 일으켜 피해자에게 부상을 입히고 차량을 손상시킨 가해자
다. 피해자에 대한 제대로 된 사죄가 없고 사실을 교묘하게 왜곡한 YG의 언플용 기사와 일부 빅뱅 팬의 몰지각한 반응이 더더욱 사람들의 반감을 불러일으켰다.
경찰은 승리에게
피의자 신분으로 전환됨
을 알려왔다. 서울 용산경찰서는 승리가 최근 교통사고처리특례법 위반 혐의로 입건돼 경찰 조사를 받았으며, 이에 경찰은 불구속 기소 의견으로 사건을 검찰에 송치했다. 도로교통공단에 승리 차량의 과속 여부 감정을 의뢰한 결과, 속도를 위반한 것으로 확인됐다. 사고 당시 승리가 몰던 포르쉐는 강변북로 규정 속도인 시속 80km를 넘어 시속 100km에서 110km 사이로 주행했다.
YG, ‘승리 음주운전 의혹’ 기사 쓴 기자에 1억 건넸다?"
YG,빅뱅,승리,"2019년
2월 27일","2019년
2월 27일
미디어오늘
은 2014년 승리의 음주운전 의혹을 제기한 기자에게 YG 측에서 1억 원을 건네 보도를 무마했다는 의혹을 제기했다. 사건 당시 스포츠월드 김 기자는 목격자 진술을 인용하여 승리가 음주운전을 했다고 주장했고 이후 양측은 법정공방에 들어갔으나 YG측에서 소를 취하하며 종결됐다. 이후 김 기자가 YG측으로부터 1억을 현금으로 받아 전세금을 갚는 데 썼다는 복수의 증언이 나왔다.
‘승리 음주운전 의혹 보도’ 김용호 기자 “양현석은 만났지만 1억 안 받아”
보도 다음날
김용호
기자는 자신의 유튜브 채널을 통해 양현석 대표와 만난 것은 사실이나 돈을 받은 사실은 없다고 입장을 밝혔다. 그리고 김용호 기자는 단순히 기자들 사이의 뜬소문을 일방적으로 보도한 미디어오늘에 대해 법적절차에 착수했다고 밝히며
언론중재위원회
를 거치지 않고 민형사상 소송을 진행하겠다며 강경대응했다. 이 때문에 해당 진실을 둘러싸고 미디어오늘과 김용호 기자 간의 법적공방이 예고되었다."
YG,빅뱅,승리,"2019년
3월 13일","2019년
3월 13일
경찰 유착이 의심되는 승리 카톡이 나오자 이 사건도 다시 재조명되었고, 최종훈이 음주운전을 걸렸던 담당 경찰서가 용산경찰서였다는 점에서 경찰과의 유착이
다시 주목받고 있는 상황
이다."
YG,빅뱅,승리,"2019년
3월 18일","2019년
3월 18일
승리는
본인의 인스타그램
에 경찰 정복을 입고 찍은 사진을 삭제했다. 해당 사진이 개재된 시점은 2014년 교통사고와 비교적 가까운 날로, 5년이 지난 사진을 갑자기 삭제한 이유에 대해 의혹이 제기됐다. 승리 인스타그램의 1,660여개의 게시물 중 버닝썬 사건이 터진 후 승리가 삭제한 사진은
이 사진
이 유일하다.
2.2.
짠내투어 방통위 징계
[편집]
짠내투어 중국편에 출연한 승리가
구구단
의 멤버
세정
에게 호감이 가는 사람에게 술을 따를 것을 권유하는 장면이 논란이 되었다. 승리는 “지금 남자가 5명 있다. 그 사람의 위치, 인지도 그런 건 다 집어치우고 그 사람의 성향과 스타일만 봤을 때”라며 세정에게 술 따르기를 권유했다. 그러면서 승리는 “남자 다섯 분은 앞의 잔을 다 비워주시라”며 “(
맥주
를) 세정 씨가 갖고 있다가 남자 다섯 분이 눈을 감고 있으면 (따르라)”이라고 방법을 알려줬다.
위의 방송 화면 캡처에서도 볼 수 있듯이 방송에 적응 잘하기로 유명한 세정은 당황한 모습을 보여주었고 승리의 이러한 요구는 충분히 무례한 행위였다. 방송통신심의위원회의 또한 10월 10일 짠내투어에 대해 양성평등 규정 위반 정도가 중하다고 판단해 법정제재를 의결하고 전체회의에 상정하기로 했다고 밝혔다. 여행 프로그램에서 여성 출연자로 하여금 남성 출연자에 대한 호감 표현의 수단으로 술을 따르게 하는 내용을 방송한 짠내투어에 대해 법정제재를 의결하고 전체회의에 상정하며 tvN의 경우 양성평등 관련 심의규정을 반복 위반하고 있으며 이 같은 내용을 청소년시청보호시간대에 방송해 법정제재가 불가피하다고 밝혔다. 이어 방송사 자체심의에서도 해당 내용의
성희롱
으로 비칠 수 있음을 지적당했음에도 그대로 방송한 점, 사회 전 분야에서 양성평등 이념 실현을 위한 노력이 진행되고 있음에도 프로그램 제작진의 성 평등 감수성 부재로 시청자의 윤리적 감정과 정서를 해쳤다고 덧붙였다.
관련 기사 1
,
관련 기사 2
2.3.
버닝썬 게이트
[편집]
자세한 내용은
버닝썬 게이트
문서를 참고하십시오.
버닝썬 게이트
[ 펼치기 · 접기 ]
경찰-연예계-유흥업계 유착 의혹 사건
클럽 버닝썬 폭행 사건
강남경찰서 형사 의문사 사건
연예계
승리
YG엔터테인먼트
양현석
유흥업계
버닝썬
아레나
레이블
경찰
서울지방경찰청
서울강남경찰서
윤규근
정준영 등 불법촬영물 제작 및 유포 사건
정준영
승리
최종훈
용준형
이종현
로이킴
에디 킴
강인
정진운
이철우
유인석
유리홀딩스
승리
와 공동대표
김 모 씨
버닝썬 직속 직원
허 모 씨
YG엔터테인먼트
직원
박 모 씨
일반 사업가
권혁준
유리
의 친오빠
박유천 마약 투약 사건
박유천
황하나
※ 무죄나 무혐의, 사법기관에서 정식으로 처벌받지 않은 자는
취소선
처리
(단, 관련없는 다른 사건을 저지르더라도 버닝썬 관련 사건에만
혐의가 없을 경우, 이에 포함됩니다. (예: 이종현))
단순히 일개 연예인 사건으로 치부하기에는 너무 커져버린 사건
으로, 그야말로 승리를 완전히 몰락시킨 사건이다.
2018년 11월에 시작되어 2019년 초까지 계속된 이 사건 때문에 승리는 이 사태에 같이 휘말린
정준영
,
최종훈
,
박유천
등과 함께 연예계에서 퇴출되었으며, 인정된 혐의만 해도
성매매 알선, 성매매, 업무상횡령(변호사비 명목으로 유리홀딩스 자금 2,200만원 횡령), 특정경제범죄 가중처벌 등에 관한 법률 위반(버닝썬 자금 5억 2,800여만원 횡령), 특수폭행교사, 성폭력범죄의 처벌 등에 관한 특례법 위반(불법촬영물 유포), 식품위생법 위반(몽키뮤지엄을 일반음식점으로 신고하고 유흥주점으로 불법 운영), 외국환거래법 위반(환치기), 상습도박으로 무려 9개에 달한다.
과거 받은 혐의까지 합하면 특수강간, 성접대, 탈세, 마약 투약, 마약 유통에 뇌물도 있었다. 즉, 15개의 혐의를 받았다는 것.
앞서 언급된 사건 사고와는 차원이 다른 논란으로, 이 사건으로 인해 사실상 승리는 연예계에서 은퇴하게 되었다."
YG,빅뱅,승리,2021년 7월 1일,"2021년 7월 1일 승리는 징역 5년을 구형 받았고,"
YG,빅뱅,승리,2021년 8월 12일,2021년 8월 12일에는 1심 보통군사법원에서 징역 3년을 선고받고 법정 구속됐다.
YG,빅뱅,승리,2022년 1월 27일,2022년 1월 27일 2심 고등군사법원에서 징역 1년 6개월로 감형됐다.
YG,빅뱅,승리,2022년 5월 26일,"2022년 5월 26일 대법원에서 징역 1년 6개월을 선고한 원심이 확정되었다. 이 사건 이후 승리는
연예계를 은퇴했다.
2.4.
각종 열애설
[편집]"
YG,빅뱅,승리,2012년 9월 18일,"2012년 9월 18일, 배우 쿠보 안나가 승리에게 키스하는 장면이
포착
되었다. 쿠보 안나는 배우
성룡
의 아들인 방조명(팡쭈밍)의 전 여자친구라고 한다.
2015년 10월엔 승리가 미모의 글래머 여성과 손을 잡고 클럽을 방문했다고 중국에서
기사
가 떴다. 1일 YG 측은 승리의 열애설에 대해 “대만 현지에서 진행된 콘서트를 마친 뒤 초대한 지인들과 함께 뒷풀이를 한 것”이라고 해명했다. 사실 이 여성은 승리와 친한 지인 사이이자 빅뱅 담당인 중국통역사이자 선생님이다. 열애설이라고 찍힌 사진을 보더라도 손을 잡기보단 부축하며 안내하는 모션이라, 흔한 중국 언론의 짜집기식 찌라시에 걸려든 거라고 봐도 무방하다.
2017년 3월, 중국 팬과
열애설
기사가 떴다."
YG,빅뱅,승리,2018년 10월 19일,"2018년 10월 19일, 모델 출신의 신인 배우
유혜원
과
열애설
기사가 떴다.
3.
논란
[편집]
3.1.
성관계 관련 스캔들
[편집]"
