"카테고리: 예술, 엔터테인먼트"

월,신동 슈퍼주니어: (대한민국),티파니 소녀시대: (대한민국),현진 스트레이키즈: (대한민국),해찬 엔시티: (대한민국),김수현: (대한민국)
2014-01,0,0,0,0,32
2014-02,0,0,0,0,25
2014-03,0,0,0,0,18
2014-04,0,<1,0,0,10
2014-05,0,0,0,0,9
2014-06,0,0,0,0,8
2014-07,0,0,0,0,5
2014-08,0,0,0,<1,6
2014-09,0,0,0,0,4
2014-10,0,<1,0,0,4
2014-11,0,0,0,0,4
2014-12,0,<1,0,0,5
2015-01,0,0,0,0,5
2015-02,0,0,0,0,4
2015-03,0,0,0,0,4
2015-04,0,0,0,0,5
2015-05,0,0,0,0,7
2015-06,0,0,0,0,10
2015-07,0,<1,0,0,6
2015-08,0,<1,0,0,4
2015-09,0,<1,0,0,4
2015-10,0,<1,0,0,4
2015-11,0,0,0,0,3
2015-12,0,<1,0,0,3
2016-01,0,0,0,0,3
2016-02,0,0,0,0,3
2016-03,0,0,0,0,2
2016-04,0,0,0,0,3
2016-05,0,<1,0,0,2
2016-06,0,0,0,0,2
2016-07,0,<1,0,0,2
2016-08,0,<1,0,0,2
2016-09,0,<1,0,0,2
2016-10,0,0,0,0,3
2016-11,0,0,0,0,2
2016-12,0,0,0,0,1
2017-01,0,0,0,0,2
2017-02,0,0,0,0,2
2017-03,0,0,0,0,1
2017-04,0,0,0,0,2
2017-05,0,0,0,0,2
2017-06,0,0,0,0,6
2017-07,0,0,0,0,6
2017-08,0,<1,0,0,2
2017-09,0,0,0,0,1
2017-10,0,0,0,0,2
2017-11,0,0,0,0,2
2017-12,0,0,0,0,2
2018-01,0,0,0,0,2
2018-02,0,0,0,0,1
2018-03,0,0,0,0,1
2018-04,0,0,0,0,1
2018-05,0,0,0,0,1
2018-06,0,0,0,0,2
2018-07,0,0,0,0,2
2018-08,0,0,0,0,2
2018-09,0,0,0,0,2
2018-10,0,0,0,0,2
2018-11,0,0,0,0,3
2018-12,0,0,0,0,2
2019-01,0,0,0,0,1
2019-02,0,0,<1,0,1
2019-03,0,0,0,0,1
2019-04,0,0,0,0,1
2019-05,0,0,0,0,1
2019-06,0,0,0,0,1
2019-07,0,0,0,0,2
2019-08,0,0,0,0,1
2019-09,0,0,0,0,2
2019-10,0,0,0,0,1
2019-11,0,0,0,0,1
2019-12,0,0,<1,0,2
2020-01,0,0,0,0,2
2020-02,0,0,0,0,2
2020-03,0,0,0,0,1
2020-04,0,0,0,0,2
2020-05,0,0,0,0,1
2020-06,0,0,<1,0,4
2020-07,0,0,1,0,6
2020-08,0,0,<1,0,4
2020-09,0,0,<1,0,2
2020-10,0,0,<1,0,2
2020-11,0,0,<1,0,2
2020-12,0,0,1,0,2
2021-01,0,0,1,0,2
2021-02,0,0,1,0,2
2021-03,0,<1,<1,0,1
2021-04,0,0,<1,0,4
2021-05,0,0,<1,0,1
2021-06,0,0,<1,0,1
2021-07,0,0,0,0,1
2021-08,0,0,<1,0,1
2021-09,0,0,0,0,2
2021-10,0,0,<1,0,1
2021-11,0,0,<1,0,2
2021-12,0,0,<1,0,2
2022-01,0,0,0,0,1
2022-02,0,0,0,0,2
2022-03,0,0,0,0,1
2022-04,0,0,<1,0,1
2022-05,0,0,<1,0,1
2022-06,0,0,<1,0,1
2022-07,0,0,<1,0,1
2022-08,0,<1,<1,0,1
2022-09,0,0,0,0,1
2022-10,0,0,<1,0,1
2022-11,0,0,<1,0,1
2022-12,0,0,<1,0,1
2023-01,<1,0,<1,0,1
2023-02,0,0,<1,0,1
2023-03,0,0,<1,0,1
2023-04,0,0,<1,0,1
2023-05,<1,0,<1,0,1
2023-06,0,0,<1,0,1
2023-07,0,0,<1,0,1
2023-08,0,0,<1,0,1
2023-09,0,0,<1,0,1
2023-10,0,0,<1,0,1
2023-11,0,0,<1,0,1
2023-12,0,0,<1,0,1
2024-01,0,0,<1,0,1
2024-02,0,0,<1,0,1
2024-03,0,0,<1,0,13
2024-04,0,0,<1,0,10
2024-05,0,<1,0,0,6
2024-06,0,0,0,0,5
2024-07,0,0,<1,0,4
2024-08,0,0,<1,0,3
2024-09,0,0,<1,0,2
2024-10,0,0,<1,0,2
2024-11,0,0,0,0,2
2024-12,0,0,<1,0,2
2025-01,0,0,<1,0,3
2025-02,0,0,0,0,6
2025-03,0,0,<1,0,100
2025-04,0,0,<1,0,13
2025-05,<1,<1,<1,<1,8
