월,김수현,정국,지드래곤,카이,슈가,육성재,승리,슬기,김현중,필릭스,나연,아이린,윈터,써니,장동건,RM,유리,제니,리아,하루토,지젤,방찬,김채원,지효,태일,루카스,리사,서은광,유노윤호,정원,백현,쟈니,소연,예리,태용,택연,서현,이성경,우기,태연,찬열,시원,윤제문,정우성,홍은채,임현식,윤재혁,니키,이정재,지민,이창섭,구하라,준케이,제이,닝닝,수영,휘인,닉쿤,조슈아,이특,화사,희철,첸,도겸,이승훈,다니엘,대성,은혁,민규,탑,웬디,던,채영,민혁,송민호,민지,프니엘,신동,티파니,현진,해찬,윈윈,런쥔,슈화
2014-01,32,0,<1,0,0,0,0,0,1,0,0,0,0,<1,2,0,<1,0,<1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,<1,0,0,0,1,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,25,0,0,0,0,0,0,0,<1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,<1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04,10,0,0,0,0,0,0,0,0,0,0,0,0,<1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,<1,0,0,0,0,0
2014-05,9,0,0,0,0,0,0,0,<1,0,0,0,0,0,1,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,<1,0,1,<1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,<1,0,0,<1,<1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,6,0,0,0,0,0,0,0,1,0,0,0,0,<1,1,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0
2014-09,4,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,<1,0,1,<1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,4,0,0,0,0,0,0,0,1,0,0,0,0,<1,1,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,1,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0
