소속사,그룹,연예인 이름,url
키이스트,,김수현,https://namu.wiki/w/%EA%B9%80%EC%88%98%ED%98%84/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
키이스트,,김수현,https://namu.wiki/w/%EB%A6%AC%EC%96%BC(%EC%98%81%ED%99%94)#s-9.2
키이스트,,김수현,https://namu.wiki/w/%EA%B9%80%EC%88%98%ED%98%84-%EA%B9%80%EC%83%88%EB%A1%A0%20%EA%B5%90%EC%A0%9C%20%EA%B4%80%EB%A0%A8%20%EB%85%BC%EB%9E%80
키이스트,,김현중,https://namu.wiki/w/%EA%B9%80%ED%98%84%EC%A4%91(1986)/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
키이스트,,구하라,https://namu.wiki/w/%EA%B5%AC%ED%95%98%EB%9D%BC/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
키이스트,,구하라,https://namu.wiki/w/%EA%B5%AC%ED%95%98%EB%9D%BC-%EC%B5%9C%EC%A2%85%EB%B2%94%20%EB%B2%95%EC%A0%81%20%EA%B3%B5%EB%B0%A9
키이스트,,구하라,https://namu.wiki/w/%EA%B5%AC%ED%95%98%EB%9D%BC%20%EC%82%AC%EB%A7%9D%20%EC%82%AC%EA%B1%B4
아티스트컴퍼니,,정우성,https://namu.wiki/w/%EC%A0%95%EC%9A%B0%EC%84%B1%20%ED%98%BC%EC%99%B8%EC%9E%90%20%EB%B0%8F%20%EC%82%AC%EC%83%9D%ED%99%9C%20%EB%85%BC%EB%9E%80
아티스트컴퍼니,,이정재,https://namu.wiki/w/%EC%9D%B4%EC%A0%95%EC%9E%AC/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM C&C,,윤제문,https://namu.wiki/w/%EC%9C%A4%EC%A0%9C%EB%AC%B8#s-4
SM C&C,,장동건,https://namu.wiki/w/%EC%9E%A5%EB%8F%99%EA%B1%B4#s-6.1
YG,,이성경,https://namu.wiki/w/%EC%9D%B4%EC%84%B1%EA%B2%BD#s-9
YG,,이성경,https://namu.wiki/w/%EC%9D%B4%EC%84%B1%EA%B2%BD#s-9
