소속사,그룹,연예인 이름,사건 날짜,사건 내용
키이스트,,김수현,2025년 3월 21일,"2025년 3월 21일 ""김 씨 할 말 많은데 하지를 못 하겠다, 높은곳에서 떨어질텐데 꽉 잡아라"", “내 인생 너의 인생 모두의 인생이 ‘리얼’ ”이라며 “암울 그 자체”라고 적은 것을 시작으로 최근까지 “동생을 보낸 지 6년, 너가 노리개질 한 거 6년, 앞으로 너가 받을 고통 6년, 너무 빨리 부서지지 말아달라” 고 하는 등 명백히 김수현을 저격하는 글 등을 연이어 올렸다. 해당 게시글을 본 네티즌들 사이 '설리의 죽음에도 무언가 연관이 있는거 아니냐' 하는 의심이 불거졌고, 결국 설리의 친오빠인 A씨는 28일 공식적으로 김수현과 감독 이사랑 에게 3가지 답변을 요구했고 요구 사항은 다음과 같다. 장례식장 때 스태프들과 배우들의 증언으로 알게 됐는데 설리와 김수현과의 베드신이 원래 대본에는 구체화 되어있지 않았다 고 들었다. 이에 대한 김수현의 입장. 촬영 당시 설리의 나체신에 대해 대역 배우가 있으며 대역배우가 현장에 있었던 것으로 아는데 왜 대역을 쓰지 않고 설리를 설득해 베드신과 나체신을 강요했는지 에 대한 답변. 당초 베드신과 나체신을 찍는 날 대역배우가 아파서 못 왔다고 하는데 당시 장례식장에서 참석자들의 증언에 의하면 대역 배우가 현장에 있었다고 하는데 사실 여부와 관련한 입장. A씨는 “이외에도 설리의 장례식장에서 많은 소식을 접했지만 팩트 위주로 3가지 질문만을 드리니 이에 적극적으로 답해 주시기 바란다”고 강조했다. 이에 김수현 측은 ""확인중""이라는 답변을 했으나 설리 친오빠인 A씨가 자신의 SNS 계정에 자신에겐 연락하지 않고 어머니에게 연락해 입막음을 시도했다는 입장이 올라와 다시 한 번 논란에 불을 지폈다. # 교체 전 감독인 이정섭 감독 역시 X를 통해 사건에 대한 입장 을 밝히며 김수현 및 이로베의 강요 의혹 논란이 구체화 되고 있다. # 이후 “ 아이유 -김수현과 친분. '리얼' 최초 여주연 제의 거절 후 설리에게 시나리오 던짐”이라는 게시글과 함께 타 여배우들 언급과 설리가 최자와 연인이기 이전에 블락비 의 피오 와 연애하였고 가족끼리 봤다며 불필요한 사생활을 유족이 공개했다는 점에서 많은 이들의 비판을 받고 있다. 이후 아이유 측과 피오 측은 별다른 입장이 없다고 밝혔다. # # 이에 대해 4월 2일, 김수현의 소속사이자 ‘리얼’ 이사랑 감독이 대표로 있는 골드메달리스트 측은 출연계약서를 작성 시에도 노출 범위에 대한 조항을 별도로 기재했다라고 자료를 보여주며 ""베드신은 배우들에게 큰 용기가 필요하다는 것을 알기에 제작진은 충분한 사전 준비 과정을 가졌고, 故 최진리 배우는 베드신에 대해 사전에 숙지하고 촬영에 임했다""며 ""연기를 대신하는 대역 배우가 아닌 ‘연기는 하지 않고’ 촬영 준비 단계에서 배우의 동선을 대신하는 ‘스탠딩 배우’가 있었다""고 설명했다. 또한 ""베드신을 포함하여 모든 장면의 촬영을 진행했던 영화 ‘리얼’ 김중옥 조감독, 이준현 스크립터의 사실확인서를 첨부한다. 그리고 시나리오와 콘티 작업, 촬영은 제작진의 영역으로, 작품에 배우로 참여한 김수현 배우는 관계가 없다는 점을 말씀드린다""고 밝혔으면 故 최진리 배우의 어머니에게 연락 드린 사실도 없습니다. 연락처를 알지도 못한다고 강조했다. # 4월 3일, 설리의 친오빠 A씨는 자신의 SNS 계정에 ""골드메달리스트 입장문 잘 봤다. 대역 배우가 아닌 스탠딩 배우였다고요. 강요 의혹 제시 했었지만 여럿 증언에 따라 강요는 없었다라는 거 입장문 올리시기 며칠 전에 인지했다. 콘티대로 진행도 하셨을 거라 생각한다""면서 베드신 강요가 아니었다라는 것을 인정했다. 다만 ""촬영 당시에 영화와 관련 아무런 문제가 없었다면 이정섭 감독의 도중 하차 관련 해서도 투명하게 공개를 요청한다"", ""제가 들은 내용은 이정섭 감독님께서 '리얼' 감독 직에 있을 때 이미 80% 촬영이 진행 돼 있었다. 그만한 분량을 찍고서도 하차하는 것이 제 상식선에선 이해가 되지 않는다""라고 감독 교체한 이유를 밝혀달라고 요청했다. 덧붙여 ""이 말에도 오류가 있다면 오류가 있는 점도 알려주셨으면 감사하겠다""고 입장문을 올렸다. # 4월 4일, 당시 리얼 관련 관계자들의 취재에 의하면 '리얼' 각본을 맡고, 연출을 담당했던 이정섭 감독이 중도 하차한 건 촬영 말미에 그를 둘러싸고 수억원 상당의 배임, 횡령 등 의혹이 불거졌기 때문이었다. 다만 이에 대해 구체적으로 알려지지 않은 이유는 양측이 115억원의 제작비가 투입된 영화 개봉을 위해 '비밀 유지서약'에 합의했기 때문에 당시 외부에는 알릴 수 없다고 하였다. 이정섭 감독이 대표로 있었던 모 법인은 당시 '리얼'의 제작사인 '리얼문화산업전문회사'의 위탁을 받았는데, 이 과정에서 인건비와 운영자금 등을 과다하게 지급받은 정황이 촬영 말미에 포착됐으며 독자적으로 협찬, 제작 지원을 받으면서 메인 투자사의 경쟁 업체의 제작 지원을 받아 문제가 될 뻔했다가 미수에 그친 사례도 있는 것으로 파악됐다."
키이스트,,김수현,2025년 3월 28일,"2025년 3월 28일, 원래 촬영을 맡았던 이정섭 감독이 당시 감독 교체 해프닝에 대해 “오랫동안 참 마음 아팠습니다.”라고 대답하였다. # 제작비가 115억 원이라고 한다. 비슷한 시기에 개봉한 《 악녀 》가 47억 원(450만 달러)의 제작비를 쓴 것을 고려하면, 리얼은 말도 안 되게 헛돈을 많이 쓴 셈이다. 심지어 리얼과 같은 날 개봉한 《 박열 》은 26억 원(230만 달러)의 제작비만 들었다. 리얼의 1/4이다. 거기에 《 악녀 》의 경우에는 국내 손익분기점이 190만 명이고 120만 명의 국내 관객을 동원했지만 개봉하기 전에 136개국에 사전 판매를 하여서 상당한 수익을 벌어서 손익분기점 걱정을 하지 않아도 되는 상황이고, 《 박열 》의 경우에도 평균적인 한국 상업 영화 제작비에 못 미치는 비교적 적은 예산으로 촬영된 데다 박스오피스 1위를 달리며 관객몰이를 하고 있기 때문에 손익분기점에 대해서는 리얼보다는 훨씬 더 나은 상황이다. 결국 박열 은 개봉한 지 4일 만에 손익분기점을 넘기고 최종적으로 제작비의 4배가 넘는 매출을 올렸다. 한국 영화들의 흥행수익이 다들 이런지라 리얼은 옹호 받을 구석조차 없이 점점 더 궁지에 몰리게 된 셈이다. 박서준 , 배수지 , 아이유 , 안소희 , 손현주 , 김다솜 , 경리 , 박민하 , 쿨케이, 모델 정하은 등 최다 초호화 카메오 군단이 출연했으나 한 명도 못 알아봤다는 시사 후기가 많다. 심지어 박서준, 안소희, 아이유 등 몇몇은 CJ 엔터테인먼트 공식 SNS 계정에 카메오 출연 스틸컷이 공개되었음에도 이 스틸컷을 보고도 어디서 나왔는지 기억이 나지 않는다는 관객 평이 대부분. 이쯤 되면 카메오 도 아니고 그냥 지나가던 사람 수준. 오죽하면 각 카메오 등장 신을 정리한 기사 까지 나왔으나, ""보려고 작정하면 보인다."", ""그야말로 스쳐 지나간다."", ""가족이라도 찾기 쉽지 않을 듯..."", ""이게 무슨 월리를 찾아라 냐?"" 등등 비판하는 표현이 다수 등장한다. 카메오 중 유일하게 눈에 띄는 카메오는 뉴스 진행자 역할의 김주하 앵커로, 작중에서도 뉴스 진행자 역할이라 나름대로 대사까지 챙겼다. 김수현이 시사회에서 인터뷰하던 도중에 눈물을 흘렸다. 김수현 본인이 직접 밝힌 바로는 시사회 날 극장 첫 줄에 영화 내내 함께 동고동락한 막내 스태프들이 앉아서 '수현이 형, 화이팅!'을 외쳤다고 한다. 순간 감동하여 눈물이 왈칵 쏟아졌다고. 원래 김수현이 눈물이 많고 감성적인 성격이기도 하다. 시사회 이틀 전 기자 간담회에서는 ""군 입대, 한 작품만 더 하고 갔으면"" 이라는 인터뷰를 해서 입대 연기 떡밥을 까냐고 비난을 받았었는데, 결과적으로 리얼의 처참한 완성도가 드러나며 그런 말을 한 게 이제 이해가 된다는 반응들이 생겨났다(...). 모호한 시나리오에 대해서는 배우들이 개봉 전에 이야기했던 부분이기도 하다. # 김수현은 시나리오를 보자마자 덮었었다고 하고, 설리는 몇 번이나 더 보고서 스토리를 이해했다고. 성동일 역시 이 영화를 여섯 번을 봐야 이해할 것이라고 평했다. 우스갯소리로 미이라 리부트 작 과 트랜스포머: 최후의 기사 , 그리고 국산 영화 리얼의 연속 혹평으로 인해서 2017년 6월의 저주 라는 말이 생겼다. 셋이 묶여서 ""노잼 삼파전""이라는 유행어도 있다. 물론 그중에서도 리얼의 평가가 가장 낮으며, 위의 두 작품은 그럭저럭 손익분기점을 넘겼다. 이 영화를 어떻게든 유의미하게 보고자 영화 내용물 자체에 초점을 맞추지 말고, 감독이 허세와 야욕에 취해서 걸작 영화를 만들려고 했으나 역량 부족으로 영화가 손쓸 수 없이 실시간으로 무너져가는 걸 보고, 끝내 모든 것을 포기해버리는 감독의 정신상태 붕괴 변화상에 초점을 두고 관람해야 한다는 시도가 나왔다. 파라다이스 그룹 이 이 영화에 제작비 80% 제공+장소 협찬까지 했다고 한다. 아무래도 파라다이스의 주 업종 중 하나가 카지노 인 데다가, 영화에 많이 나오는 소재가 카지노라서 그런 듯. 참고로 지금은 리얼의 작중 카지노 장면들을 자사의 카지노 광고에 재활용하고 있다. 또한 리얼 투자계약을 하면서 김수현도 그룹 홍보모델로 계약했다고 한다. 인천국제공항 등지나 일본, 마카오 등 해외에서도 심심치 않게 해당 광고들을 볼 수도 있으나, 다행히 광고는 아주 멀쩡하게 뽑혔다. 안방 극장계 최고의 사기꾼으로 불리는 출발 비디오 여행 의 김경식 이 포기한 유일한 작품이다. 영화 대 영화 에서 같이 소개한 어쌔신 크리드 도 만만찮은 혹평을 듣는 작품이긴 한데, 그쪽은 나름대로 개연성 있는 개그를 덧붙여 VR 역사 강의를 소재로 한 공복 탈출 버라이어티로 승화시켜주었다. 반면 리얼은 왜곡이라고는 복면가왕 드립과 배우 개그 정도에, 그것도 후반부에는 본격 영화를 노골적으로 조롱하기 시작하며 관객에게 돈과 시간의 소중함을 리얼하게 알려주는 영화라고 비꼬았다. 여러 유튜브 크리에이터들이 리뷰했는데, 대부분 영상의 조회수가 리얼의 관람객 수보다 두, 세배 이상 많다. 그리고 이 영화의 리뷰하는 유튜버들은 개인의 최다 조회 수 기록을 경신하는 동영상이 되기도 한다. 특히 거의없다 의 리뷰는 거의없다 출세작이라 해야할 정도로 거의없다 역대급 히트작이며, 거의없다의 평균 조회수 약 40만회 보다도 무려 4배를 훨씬 넘긴다. 기대작이었던 영화가 개봉 후 흥행에 참패했을 때, 리얼이 자주 거론되며 비교의 대상이 된다. # , # 설리는 vip 시사회 현장에서 ""이상하지만 이해해달라.""라는 발언을 해서 네티즌들이 '무개념하다.' 라는 반응이었지만 리얼이 최악의 혹평을 받자 출연진들 중 설리만 유일하게 양심적이었다는 재평가를 받게 되었다. 중국 회사인 알리바바 픽처스 에서 투자했지만, 중국 문화는 성적인 내용에 극히 보수적인 데다가, 마약 유통 업자들에게 가차없이 사형을 때릴 정도로 마약에 대해 법적으로 엄격하고, 영화에 대한 심의 역시 아주 엄격한 잣대로 판단하기 때문에 김수현 하나만으로 중국에서의 흥행이 보장될 지 알 수 없다. 영화를 보면 성적으로 수위 높은 노출 장면이 있으며, 주인공은 시종일관 마약에 취해 있는 모습을 보이고, 주요 악당이 중국계 인물이다. 전체 줄거리에서 마약을 뺄 수 없는 이 영화가 중국의 심의부터 통과하는 것이 난제라고 할 수 있다. 따라서 중국에서 개봉은 물 건너가리라 예측한 사람이 많았으며, 결국 중국 개봉은 물 건너간 것으로 보인다. 김수현은 20대 마지막 출연작이자 영화 복귀작인 리얼 이후 군에 입대했다. 설리가 영화 개봉 2년 뒤 사망하면서 설리의 영화 유작이 되었다. 김수현-김새론 관련 논란에 이어 설리 친오빠의 폭로에 대한 여파로 영화가 재주목을 받자, 쿠팡플레이 인기 영화 순위에서 메인까지 올라갔다. 본래 감독은 이정섭이 맡았으나 대부분의 촬영을 담당한 이후 하차하고 이사랑으로 교체되었고 편집만 맡아서 했다. 대표 이로베 . 언론의 보도에 따르면 이로베와 이사랑은 동일 인물이다. '로베'는 'LOVE'를 철자 그대로{로(LO)베(VE)} 읽은 것이다. 손익분기점은 320만 명이다. 출처(아카이브, 원본 링크 삭제됨) ~ 2017/08/01 영화진흥위원회 영화관입장권통합전산망 기준 개봉 첫 날 스크린 《 광해, 왕이 된 남자 》 - 688개, 《 7번방의 선물 》 - 787개, 《 베테랑 》 - 957개, 《 내부자들 》 - 907개. 출처- 한국영화통합전산망 # 다만 비교 예시가 부적절하다는 반박도 있는데, 극장에서 애니메이션에 좀처럼 관을 밀어주는 경우는 드물다는 것. 심지어 상대가 일본 애니메이션이라면 더더욱 그러하다. 그래도 CJ 측에서는 영화 개봉 직전 ""우리는 배급사가 아니라 언제까지나 배급 대행""이라며 일어날지 모르는 흥행 실패 책임론에 대해 발을 뺄 여지를 남겨 두었다. 이미 언론 시사회에서 극찬을 받았고 톰 홀랜드 등 주연 배우들이 방한하여 홍보에 참여했다. 노무현입니다는 상업영화 가 아닌 독립영화 이다. 다큐멘터리 독립영화로서는 이례적인 초반 흥행세를 보였다고는 하지만, 7월 14일이면 이미 개봉한 지 50일이 지난 시점이었다. 그럼에도 개봉 3주차에 접어든 리얼의 흥행세가 더 크게 감소하는 바람에 노무현입니다보다 더 적은 일일 관객수를 기록한 것이다. 최종 누적 관객 수 역시 리얼이 노무현입니다를 따라잡지 못했기에 인터넷 커뮤니티에서는 이와 관련된 이야기가 나오기도 했다. 기왕 라라랜드와 비교를 했으니 후일담으로 조금 더 쓰자면, 2017년 12월 라라랜드가 개봉 1주년 기념으로 재개봉을 했는데, 재개봉 2주차 월요일 하루의 관객수가 2,800여 명을 찍었다. 그러나 김하늘 의 《 여교사 》는 적어도 평론가들한테서 호평을 받은 작품인 데다 독립영화 만큼 초저예산으로 제작된 작품이라서 앞의 다른 두 영화들과 비교될 작품은 아니다. 이유는 간단하다. 대중들이 19금 장면만을 원한다면 그냥 포르노를 보는 것이 훨씬 낫기 때문이다. 더군다나 《 악녀 》는 2017년 제70회 칸 영화제 공식 초청작이다! 호불호는 갈릴지언정 리얼에 비해서 훨씬 잘 만든 영화다. 그나마 《 악녀 》가 6월 개봉 블록버스터 중 괜찮은 평을 들었다. 이게 얼마나 대단한 것인지 설명하자면, 한국 영화 에서 한 기업이 50% 이상 제작비를 투자해 주고 장소 협조까지 시원하게 해준 경우가 별로 없기 때문이다."
키이스트,,김수현,2018년 7월 5일,"2018년 7월 5일 기준, 2017년 당시에는 100만 회 돌파했다.), 라이너의 컬쳐쇼크 리뷰 영상은 58만회, 김스카이 의 하늘담 리뷰 영상은 114만회. 너무 망가져서 유명해버린 영화답게 희대의 망작이라고 악명을 떨치는 바람에 도대체 얼마나 재미없으면 이렇게 수 많은 혹평을 하는지 호기심이 생기지만 막상 보면 후회할까봐 걱정되는 사람들에게는 이 해당 리뷰 영상들을 보는 게 적합할 것이다."
키이스트,,김수현,2020년 10월 26일,"2020년 10월 26일 끝내 200만 뷰를 넘기고야 말았다. 아편전쟁 이후 중국에서 펼쳐진 암담한 근현대사 때문에 지금도 중국은 마약에 대해 지독한 트라우마 를 가지고 있다. 반체제적 내용, 범죄 미화로 보일 가능성이 높은 내용, 사회적 문제에 대해서 암담하고 부정적으로 다루는 내용은 일체 극장에 내걸 수 없을 정도. 만약 중국에서 개봉조차 하지 못하게 될 경우 알리바바 픽처스는 투자에 실패한 셈이다. 혹자는 이런 영화에 알리바바 픽처스가 투자를 했다는 사실을 가지고 알리바바 픽처스의 경영 능력에 의문을 표하기도 했을 정도."
키이스트,,김수현,2024년 3월 24일,"2024년 3월 24일 작성된 것으로 알려졌는데 유가족은 해당 내용이 김새론이 생전 열애설에 관련하여 입장문을 발표하기 위해 가족과 상의했던 내용이며 모두 사실이라고 다시금 설명했다. 2024년에 작성된 김새론 입장문 [ 펼치기 · 접기 ] 안녕하세요. 김새론입니다. 먼저 제 불찰로 인해 피해와 혼란을 겪었을 여러분들과 방송 관계자분들에게 죄송하다는 말씀 먼저 드립니다. 앞서 기사화되고 있는 열애설은 사실무근이라 기사화되었지만, 그것은 진실이 아닌 점을 명백히 밝힙니다."
키이스트,,김수현,2021년 7월 7일,"2021년 7월 7일까지 이어져 왔습니다. 제 나이는 16살 상대는 30살이였습니다. 그렇게 6년의 연애가 끝이 났습니다. 태생부터 직업이 배우였던지라 회사와 매니지먼트의 재계약 시즌을 앞두고 회사를 알아보던 시기에 전 연인의 회사와 계약을 논의하던 중 계약과 조건사항을 거두절미하고 현 골든메달리스트 와 계약을 하였고 신인 캐스팅, 비주얼 디렉팅까지 마다 않고 일을 하였지만 이에 대해 어떠한 정당한 지급을 받지 않았음을 밝힙니다. 기존의 소속사 재계약과는 달리 금전대차를 조건으로 계약갱신확약서를 작성하였으며, 갱신할 시기가 되어 소속사와 김수현에게 연락을 취했으나 모두 연락이 두절되었고 추후 기간 갱신이 되지 않았다고 협박성 내용증명서를 보냈습니다. 그렇게 2022년 5월 골든메달리스트와 전속계약이 종료되었습니다. 이 문제로 인해 드라마 관계자 그리고 수많은 스태프들의 노고와 사건과 관련 없는 배우 선배님들 그리고 작가님 감독님 그리고 작품에 기여한 모든 여러분들께 진심으로 사죄의 말씀 드립니다. 그렇지만 현재 골든메달리스트에서 입장문을 낸 '의도를 전혀 모르겠다'라는 말은 본인들이 한 행동과 전혀 앞뒤가 맞지 않으며 전 회사에 있을 당시 제가 당한 피해에 대한 사과와 본인들의 잘못을 정확하게 짚고 넘어갔으면 하는 바이며 배우로서 시청자들에게 그릇된 이미지로 소비되는 사람에겐 사실을 전할 필요가 있다고 생각하여 이 글을 전하는 바입니다. 이와 관련되어 김수현 소속사 골드메달리스트 측은 유튜브 채널 가로세로연구소 의 주장에 대해 ""가로세로연구소가 유튜브 방송을 통해 김수현 배우와 관련하여 주장한 내용은 명백한 허위 사실""이라 반박하며 법적 대응을 예고했다 . 더불어 ""부디 일고의 가치도 없는 허위사실들이 더 이상 유포되거나 확대, 재생산되지 않도록 하여 주실 것을 간곡히 요청드린다""고 덧붙였다. 골드메달리스트 입장문 [ 펼치기 · 접기 ] 안녕하세요. 주식회사 골드메달리스트입니다. 금일 당사 소속 배우인 김수현 배우와 관련된 가로세로연구소의 유튜브 방송에 대한 공식입장입니다. 가로세로연구소가 유튜브 방송을 통해 김수현 배우와 관련하여 주장한 내용은 명백한 허위사실입니다. 가로세로연구소는 당사와 김수현 배우가 유튜버 이진호와 결탁하여 故김새론 배우를 괴롭혔다는 취지로 주장을 하면서, 故김새론 배우가 15세부터 김수현 배우와 연애를 하였다는 주장, 故김새론 배우의 음주운전 사고 당시 소속사의 대처가 부당했다는 주장, 당사 소속 매니저가 유튜버 이진호와 친분이 있다는 주장 등 당사와 김수현 배우에게 악의적인 많은 주장들을 하였으나, 이는 모두 도저히 묵과할 수 없는 허위사실로서 당사는 가로세로연구소의 허위사실 유포에 대하여 취할 수 있는 가장 강력한 수준의 법적 대응을 검토할 예정입니다. 당사는 한때 당사에 몸 담았던 故김새론 배우의 사망 소식에 비통한 심정을 느끼고 고인을 애도하고 있습니다. 그런데 가로세로연구소의 위와 같은 허위사실 유포는 고인이 생전 그렇게도 힘들어했던 이른바 '사이버 렉카'의 행태를 그대로 답습하는 것으로서, 그저 자신의 이익을 위해 당사뿐만 아니라 고인의 명예를 훼손하는 것인 바, 당사는 이에 대해 엄정히 대응할 것입니다. 부디 일고의 가치도 없는 허위사실들이 더 이상 유포되거나 확대, 재생산되지 않도록 하여 주실 것을 간곡히 요청드립니다. 이에 가로세로연구소 측은 유튜브 커뮤니티 글 에 ""김새론 배우 유가족에게 직접 받은 자료와 인터뷰로 방송한 것""이라며 입장을 밝혔으며 ""내일 중 미성년자 성문제 관련해서 누군가의 고발장이 들어갈 것""이라는 의미심장한 말을 덧붙였다. #"
키이스트,,김수현,2024년 3월 19일,"2024년 3월 19일 오후에 보낸 문자였다. 소속사 골드메달리스트는 김수현이 창업자이자 김수현과 김수현의 사촌동생인 이로베 가 지분을 공동으로 100% 소유하고 있는 회사이기 때문에 김새론은 당시 김수현에게 연락할 수밖에 없었다. 그러나 김수현은 이에 응답하지 않았고, 이후 김새론은 사촌언니의 핸드폰을 빌려 연락을 취했으나 김수현에게 응답이 오지 않았고, 이후 사촌언니의 번호로 번호의 연예부 기자들의 연락만 왔다고 했다."
키이스트,,김수현,2021년 7월 7일,"2021년 7월 7일까지 이어져왔다""라는 취지의 입장문 을 작성 해 놓았으나 내지는 않았다는 사실도 알려졌다. # 김새론의 이모는 가세연을 통해 "" 조작한 것이 아니다. 이진호 가 새론이가 스토리에 올린 사진이 허위라는 식으로 사실무근이라고 한 것에 대해 억울함을 밝히고자 이 얘기를 안 할 수가 없기 때문에 한 거지 우리가 김수현을 물고 뜯고 하려는 게 아니다. 사실은 사실이라고 가족들이 얘기할 수밖에 없다. 바람이 있다면, 진짜 이제는 제발 가족들을 상대로 하는 안 좋은 댓글들은 제발 멈춰줬으면 좋겠다""고 당부했다. 이어 김새론의 어머니도 ""이미 내 옆에 있지 않은 아이의 이야기를 다시 하는 이유는, 거짓 기사 때문에 한순간에 망가져 버린 아이의 명예를 회복하기 위한 것이지 뭘 얻기 위해서도 분란을 조장하기 위해서도 아니다""라고 입장을 말했다. 이어 ""그냥 연기자로 인정받았던 생전의 그 명예대로 기억되고 추모되길 원할 뿐이다. 누군가의 가십거리로 오르내리지 않고 배우로서 생전 명예를 회복할 수 있길 도와 달라""고 전했다."
키이스트,,김수현,2025년 3월 11일,"2025년 3월 11일 가로세로연구소 방송에서 공개된 사진은 모두 2020년 겨울의 같은 날 교제 중이던 두 사람의 사적인 모습을 담은 것이었습니다. 당시 김새론 씨가 입은 옷은 2019년 6월 한 브랜드에서 발표한 옷으로, 해당 사진이 김새론 씨가 미성년자 시절인 2016년 촬영되었다는 가세연의 주장은 성립 자체가 불가능합니다."
키이스트,,김수현,2019년 12월 24일,"2019년 12월 24일 크리스마스 이브를 맞아 두 사람이 촬영한 것으로, 해당 사진에 대한 메타데이터(단락 하단)를 확보하고 있습니다. 3월 13일에 공개한 사진 역시 같은 의상을 입은 것에서 확인할 수 있듯 같은 날 촬영한 것입니다. 가세연에서 김수현 씨가 김새론 씨와 미성년자 시절부터 사귀었다는 근거로 내세운 모든 사진들은 김새론 씨가 성인이 된 시절에 촬영한 것입니다. 가세연에서 반복적으로 주장하는 '2016년에 촬영된 사진'은 존재할 수 없습니다. 당시 두 사람은 교제하지 않았기 때문입니다. [반박자료2] 김수현 씨가 군 시절 김새론 씨에게 보낸 편지는 가까운 지인들에게 보내는 편지 중 하나였습니다. 내용에서 확인할 수 있듯 김수현 씨는 군 생활에 적응 중이었고, 지인들에게 군에서의 일상에 대해 자세하게 적어 보내곤 했습니다. 보고 싶다는 표현은 군 생활 중인 군인이 가까운 지인들에게 가벼운 의미로 했던 표현입니다. 그러나 가세연은 2015년부터 두 사람이 사귀었다고 주장하면서 김새론 씨가 성인이 된 후 찍은 사진을 미성년자 시절로 왜곡했고, 교제 이후에 보낸 엽서와 군 시절 보낸 편지를 나란히 배열하여 평범한 편지가 연애 편지처럼 받아들여지게 만들었습니다. 김새론 씨가 2016년부터 SNS에 공개적으로 쓰던 별명은 두 사람 사이에만 쓰는 애칭처럼 왜곡되었습니다. 두 사람의 교제에 관해 김수현 씨에 대해 많은 비판이 있습니다. 성인인 두 사람의 교제가 사적인 영역이라 할지라도 많은 사람들에게 큰 사랑을 받는 김수현 씨의 삶 또한 대중의 평가를 받는 것은 당연하고, 그 평가가 날카로운 비판이라면 더더욱 진지하고 아프게 받아들여야 합니다. 그러나 가세연의 보도로 인해 지금 이 시간에도 수많은 잘못된 정보와 허위 사실이 진실인 것처럼 퍼져나가고 있습니다. 가세연에 출연해 수많은 허위 사실을 주장한 제보자는 방송에서 김새론 씨의 가족이라 주장했습니다. 그러나 한 매체의 보도에 따르면 김새론 씨 어머니의 지인이라고 합니다. 신분마저 정확하지 않은 제보자를 통해 정보를 왜곡한 몇 장의 사진을 근거로 사실을 왜곡하고 당사자에게 확인 절차조차 밟지 않은 루머를 양산하고 있습니다. 두 사람의 지극히 개인적인 사생활이 타인에 의해 강제로 공개되고, 그로 인해 김수현 씨는 물론 고인의 사생활이 수많은 루머와 억측과 함께 확산되는 것은 김수현 씨를 비롯해 두 사람의 주변인들에게까지 너무나 큰 고통입니다. 가세연을 통해 두 사람의 사생활이 공개된 뒤 김수현 씨의 선택에 대한 대중의 다양한 시선은 회피할 수 없다 생각합니다. 하지만 성인인 두 사람이 만나고 헤어진 지난 날이 타인에 의해 왜곡되어 이 순간에도 수많은 거짓들로 퍼져나가고 있습니다. 한 사람이 사생활로 인해 이런 일들까지 감내하기란 너무나 고통스럽습니다. 또한 고인의 사생활을 파헤치고 명예를 훼손하는 행위입니다. ▶ 김수현 씨가 김새론 씨의 경제적 문제를 외면했다는 주장은 사실이 아닙니다. 가세연의 보도로 인해 김수현 씨는 김새론 씨를 죽음으로 내몬 악마가 되었습니다. 김수현 씨의 소속사인 골드메달리스트가 고인의 음주운전 사고로 인해 물어야 할 빚을 독촉했고, 김새론 씨가 이에 대해 도움을 청했으나 김수현 씨가 외면했다는 것이 가세연의 주장입니다. 이로 인해 김새론 씨가 극단적인 선택을 할 수밖에 없었다는 억측이 뒤따랐습니다. 그러나 이는 사실이 아닙니다. 당시 골드메달리스트는 김새론 씨 개인이 감당할 수 없는 남은 채무 전액을 변제하였습니다. 골드메달리스트는 음주운전 사건 이후 김새론 씨의 배우 활동과 관련된 각종 위약금, 음주운전으로 인해 피해를 입은 상인들에 대한 손해 배상 등을 김새론 씨와 함께 해결해 나갔습니다. 당시 해당 사고로 인한 위약금 규모는 약 11억 1천 4백만원이었습니다. 배상액이 결정되는 과정에서 당사는 김새론 씨의 부담을 최소화 하고자 배상액을 줄이기 위해 노력했습니다. 이후 채무를 갚기 위한 김새론 씨의 여러 노력을 통해 남은 배상액을 약 7억으로 줄였습니다. 금액을 줄이는 과정에는 음주운전 사고로 인해 심하게 파손된 김새론 씨의 차량을 수리 및 매각 진행하는 것도 포함되어 있었습니다. 이는 김새론 씨 의뢰에 따라 운행 불가능한 상태의 사고 차량을 골드메달리스트에서 수리 및 매각 진행, 피해액 일부를 보상한 것이었습니다. 가세연에 출연한 제보자가 주장한, 당사가 김새론 씨의 차량을 빼앗았다는 주장은 이에 대한 왜곡이었습니다. [반박자료3] 그러나 김새론 씨는 많은 노력에도 불구, 음주운전 사고 이후 활동에 어려움을 겪었고 현실적으로 남은 금액을 갚기 어려운 상황에 처했습니다. 이로 인해 당사는 김새론 씨가 더 이상 채무를 갚을 능력이 없다고 판단했습니다. 이에 따라 김새론 씨의 채무는 당사가 2023년 12월 손실 보전 처리했습니다."
