소속사,그룹,연예인 이름,사건 날짜,사건 내용
큐브,아이들,소연,2019년 3월 1일,"2019년 3월 1일 유튜브 공식 채널에서 공개된 (여자)아이들((G)I-DLE) - 'MADE by SOYEON' Part. 2 영상에서 소연의 작업용 노트북의 바탕화면이 공개되었는데, 9:50 부근 바탕화면에 각종 가상악기 , VST 들의 크랙 파일이 발견되어 논란이 되었다. # , # # 발견된 복돌 의심 프로그램은 다음과 같다. Native Instruments 의 샘플러 플러그인 프로그램 Kontakt 5.41 macOS 버전 크랙 압축파일 및 압축을 해제한 폴더 (약 44만원 ) 이펙터 프로그램 Waves 설치파일 및 플러그 통합 크랙판(약 337만원 ) 신시사이저 VST 프로그램 Xfer Serum 폴더(약 21만원 ) 신시사이저 VST 프로그램 Spectrasonics Omnisphere 2 압축파일(약 56만원) 신시사이저 프로그램 TAL 소프트웨어 TAL-U-NO-LX 와 키제너레이터 가 포함된 폴더(￦67,330) 논란이 확산되자 해당 영상은 업로드된 날인 3월 1일 23시경 삭제되었으며, 그 전날인 2월 28일 업로드된 (여자)아이들((G)I-DLE) - 'MADE by SOYEON' Part. 1 만 남게 되었다. 이후 이 영상은 제목 뒤의 Part. 1을 지워버렸다. 논란이 확산된지 얼마 되지 않은 3월 2일 2시 8분, 큐브는 피드백을 하지 않는다는 우려와는 다르게 본인이 직접 공식 팬카페에 사과글을 작성 하였다. 잘못된 일이지만 빠른 피드백을 통해 깔끔히 정리 했다는 평가를 듣고 있다. 다만 이 복돌 의혹 프로그램들에 대해 '과거에 쓴 것이고 지금은 정품 사용 중'이라고 해명했는데, 해당 제품들에 대한 정품인증은 없기 때문에 비판의 의견도 지속 되고 있다. 또한 ""회사에서 프로젝트 할 때 직원이 사비 들여서 해야하느냐""라며 큐브 엔터테인먼트도 비판하는 의견도 있는데, 애초에 소연이 프로그램 구매 부대비용을 요청했는지 여부도, 회사 기자재에 대해 청구할 수 있는 시스템이 어떤지도 알 수 없는 상황에서 '큐브 엔터테인먼트가 필요 자재도 안사준다'며 단정하고 비판하는 것은 경솔한 행위다. 다만 표준이라고 단정할 수 없다 해도 사용 가능한 프로그램이 무한한 것은 아니며 입사 후 소속사를 통해 작곡을 배웠고 음악을 다루는 소속사이자 이전 선배 그룹들에게도 작곡을 가르친 것으로 알려진 소속사라면 필요한 프로그램의 범주 정도는 소속사에서 당연히 알고 있어야 하는 게 맞고(만약 모르고 있다면 소속사의 직무태만으로 볼 수 있다) 구체적으로 어떤 프로그램이 필요한지 정도는 미리 확인해 제공하는 게 충분히 가능하고 그래야 하는 것은 맞다. 무엇보다 자신들의 소유물인 회사 기자재이고 소속 직원, 그것도 자사가 연습생으로 발탁하고 데뷔시키고 작곡도 가르친 신인 가수에게 자사 기자재를 사용케 하면서 준 권한에 대한 관리 감독 소홀은 잘못이다. 설령 기자재의 소유자이며 관리 주체이자 소속 직원에 대한 육성, 지원, 관리, 감독, 교육의 의무가 있는 소속사가 소속 직원에게 충분히 필요한 자재에 대해 묻고 필요 물품에 대한 요청, 청구 시스템이 있으며 이에 대해 잘 알려줬음에도 직원이 이에 대해 대답하거나 요청하지 않고 불법 소프트웨어 사용에 대한 심각성을 잘 알면서도 굳이 불법 크랙 사용법과 입수 경로까지 혼자 알아내 한 독단 행위가 맞다고 가정해도 회사가 책임을 오롯이 면할 수는 없다. 왜냐하면 회사가 직원 사비가 들지 않게 작업 환경을 제공해 줄 준비를 잘 했고 미리 알려줬음에도 기이하게도 직원이 응하지 않고 철저히 본인이 알아내 벌인 불법 행위가 맞다 쳐도 자사 소유 물품에 자사가 교육하고 양성한 소속 직원이 자사가 준 권한 안에서 어떤 일탈, 불법 행위를 했는데 관리 감독을 해야하지만 몰랐거나 놔뒀고 수익과 권리는 나눠 가지면서도 책임은 없다는 것은 어불성설이기 때문이다. 동종, 유사 사례들을 봐도 감독, 교육 주체 또한 비판받는 게 마땅하다. # # # # 이 경우는 회사 소유 기자재인데다 소속 직원이 작업한 결과물에서 이익 발생 시 이를 공유하는 공동 수익자 중 회사가 포함됨에도 1차로 잘못을 사전에 막거나 금방 시정할 수 있는 권한 있는 주체이며 그래야 하는 관리 감독의 의무가 있음에도 하지 못하거나 안 한점, 2차로 잘못을 방치한 채 공식 유튜브에까지 올린 점 때문에 소속사도 책임에서 자유로울 수는 없다. 소연 사과문 [ 펼치기 · 접기 ] 안녕하세요. 소연입니다. 먼저 불미스러운 일로 심려를 끼쳐 드려 너무 죄송하다는 말씀드립니다. 이번 일에 대해서 제가 직접 말씀드려야 할 것 같아 팬카페에 글을 남기게 되었습니다. 먼저 불법 파일을 사용했었고 소지하고 있던 것에 대해 깊이 반성하고 있습니다. 처음 작곡 공부를 시작하면서 곡 작업에 필요한 여러 프로그램들을 사용해보고 배워나가던 시절에 사용했던 것으로 기억합니다. 이전 프로그램들을 바로 삭제 및 정리하지 않고, 인지조차 하지 못하고 있었던 점 또한 매우 반성하고 있습니다. 본격적으로 작곡을 시작한 시점부터 현재까지 곡 작업 관련해서는 모두 정식 프로그램만을 사용하고 있지만, 어떤 상황의 어떤 일로든 창작자로서 저작권에 대해 더욱 유의 깊게 생각하고 행동해야 했어야 함에도 불구하고 저의 무지함으로 인해 여러분들께 심려를 끼쳐 드린 점 다시 한번 사과 말씀드립니다. 앞으로 그 어떤 불법적인 파일도 사용하거나 소지하는 일이 없도록 더욱 공부하고 행동하도록 하겠습니다. 큐브엔터테인먼트 입장문 [ 펼치기 · 접기 ] 큐브엔터테인먼트입니다. 소연의 불법프로그램 사용 논란에 대해 공식입장 전달드립니다. 논란이 된 불법프로그램은 소연이 연습생시절 작곡 공부를 막 시작할 무렵 여러 작곡 관련 프로그램을 사용하고 배우는 중 다운로드 받았던 프로그램으로 본격적으로 작곡을 시작한 이후 사용하지 않는 프로그램입니다. 현재까지 발표된 소연의 자작곡들은 모두 로직정품 프로그램과 내장악기, 월정기적으로 결제되는 스플라이스만을 이용해 작업한것임을 확인하였습니다. 하지만 불법 프로그램을 다운받고 사용했던 일이 그 어떤 변명으로도 용서받지 못하는 일임을 본인 스스로 인지하고 있으며 깊이 반성중입니다. 소속사로써 연습생과 아티스트의 작업 환경을 좀더 면밀히 관찰하고 관리하지 못한 점 사과드리며 향후 큐브엔터테인먼트의 소속 아티스트를 비롯해 연습생들의 창작활동에 있어 그 어떤 불법적인 방법이 사용되지 않도록 회사 차원에서의 관리 감독과 지원을 아끼지 않도록 하겠습니다. 결국 소연 개인이 한 번, 소속사가 한 번 총 두 번의 해명이 있었지만 둘 다 근거(정품인증)는 없이 주장만 있는 해명이었다."
큐브,아이들,소연,2022년 2월 27일,"2022년 2월 27일 이 미션곡이 방송에서 공개되자, SUN 이 2019년 발매됐던 ATEEZ 의 타이틀 곡 WAVE 와 유사한 멜로디를 가지고 있어 표절 논란이 불거졌다. WAVE는 발매된 지 3년이 채 되지 않은 인기 아이돌의 타이틀이었고, 해당 프로그램이 공중파 방송 프로그램이었기 때문에 표절 논란은 방송 고작 몇 시간 만에 시작되었다. 이는 SUN의 음원이 채 발매되기도 전의 시점이었다."
큐브,아이들,소연,2022년 2월 28일,"2022년 2월 28일, SUN의 음원이 음원사이트들에 일제히 공개되었다. 멜론 작곡가란에는 소연 과 Pop Time과 함께 표절 피해를 입은 이드너리 의 이름도 올라와 있었던 한편, 지니와 벅스 등 타 음원사이트에는 Eden-ary 의 이름이 추가되어 있지 않았다. 당시 양측 모두 어떠한 입장 표명을 하지 않은 상황이었기에 소연 이 이드너리 와 합의를 진행하고 있는 것이 아닐까 추측만 무성한 상황이었다. 그러나 Eden-ary 와 ATEEZ 의 소속사인 KQ 엔터테인먼트 는 '당사는 물론 WAVE 작곡가인 Eden-ary 와 어떠한 사전 논의도 없었다 '고 밝혔다. 다음은 KQ 엔터테인먼트 의 입장문이다. [ 펼치기 · 접기 ] 안녕하세요. KQ 엔터테인먼트 입니다. 지난 27일 MBC '방과후 설렘' FINAL 경연 1라운드에서 도전조가 선보인 '썬(SUN)' 무대가 방송되고 난 후, 당사의 오피셜 채널과 웹마스터 메일로 해당 곡이 2019년 발매된 에이티즈(ATEEZ)의 '웨이브(WAVE)'와 후렴구 멜로디가 유사하다는 다수의 제보가 접수되었습니다. 이에 당사는 관련 내용을 모니터링 하던 가운데 '썬(SUN)'의 크레딧 정보에 당사 소속 프로듀싱팀 ' 이드너리 (Eden-ary)'가 기재되어 있음을 발견했습니다. 이는 당사는 물론 ' 이드너리 (Eden-ary)'와도 어떠한 사전 논의가 없었음을 분명히 알려드리고자 합니다. 고유한 작업활동을 하는 창작자를 존중하는 의미에서 속히 잘못된 정보가 바로 잡히길 바라며 이에 대한 무분별한 추측은 자제해 주시길 부탁드립니다. KQ 엔터테인먼트 의 입장문이 올라온 이후 소연 은 무의식적 표절 이었으며 양 곡 사이 유사성을 인정한다는 사과문을 U CUBE 에 업로드했다. 비슷한 시기 소연 의 소속사인 큐브 측에서도 사건에 대한 입장문을 내놓았다. 그러나 표절 자체는 고의가 아닐 수는 있어도 , 크레딧의 무단 기재는 실수라고 보기 어렵고 양측의 주장이 갈린 만큼 큰 논란이 되었다. 양측의 입장을 종합하면 큐브 측은 방송 직후 표절 논란이 일어남에 따라 모니터링을 진행, 해당 멜로디의 유사성을 발견하고 즉시 WAVE 작곡가에게 사과와 함께 크레딧 공동 표기를 의사를 전하고 수정을 했다고 주장한다. 그런데 발매 1시간 전 작곡가의 소속사가 크레딧 추가를 반대한다는 연락을 받았고, 큐브는 제작사 측에 크레딧 수정 요구를 했으나 멜론에서는 미처 반영되지 못한 채 그대로 발매되었다고 하였다. 반면 KQ 엔터테인먼트 측은 제보 및 모니터링을 통해서야 크레딧에 올라간 것을 확인하였으며, 발매 전 KQ 엔터테이먼트 뿐만 아니라 작곡가와도 크레딧에 관련된 어떠한 논의가 없었다고 주장했다. 이후 KQ엔터테인먼트와 큐브엔터테인먼트 양측에서 별 다른 입장문을 내놓지 않았다. 음원 발매 전 크레딧에 대해 연락을 주고 받은 게 맞는지, 한 쪽이 거짓말을 하고 있는 건지 제3자가 알 수 없는 상황이다. 그런데 시간이 지난 후 한국음악저작권협회에 해당 곡이 등록이 되어 있는 것으로 확인되며 다시 한 번 논란이 불거졌다. 음원사이트에 기재되었던 Eden-ary 의 이름은 크레딧 기재에 동의한 적 없다는 KQ의 입장문 발표를 기점으로 빠졌고, 작곡가 란에 소연 과 작곡가 Pop Time의 이름만이 올라가 있었기 때문이다."
큐브,아이들,소연,2022년 4월 18일,"2022년 4월 18일, 표절 사건 최초 발생으로부터 2개월 가량이 지난 시점에 등록되었으며, 비슷한 시기에 U CUBE 에 업로드되었던 사과문 역시 삭제되었다. 이면에서 양측의 합의가 있었던 것 아니냐는 주장이 있었지만 이 역시 명확히 알 수 없다. 본 사건이 다시 논란이 된 시점에서 당사자들인 전소연과 큐브 엔터테인먼트, Pop Time, KQ 엔터테인먼트 전부 어떤 입장이나 유감 표명이 없어 정확한 사정을 알기 어려운 상황이다."
큐브,아이들,소연,2023년 12월 15일,"2023년 12월 15일 새벽, 창모가 기습적으로 전소연을 언급하는 스토리를 올렸다. 이 이후의 상황은 밝혀지지 않았나, 일부 네티즌들의 추측이 맞는 것이 아니냐는 의혹이 생겼다. 창모가 직접 올린 스토리가 맞다는 전제하에서 봐도 전소연이 철저히 리얼리티만을 살려 다큐로 곡을 쓰는 스타일은 아니고 그마저도 가사가 상황과 맞지 않는 부분이 있어 여전히 열애설과 연관 짓기에는 어려운 점이 있으나 최소한 디스는 맞았던 것이 아닌가 하는 추정은 할 수 있다. 어떠한 형태로건 갈등, 불화 내지 오해가 있었던 것은 사실일 가능성이 있는 것이다. 다만 보통 개인적인 일로 디스, 맞디스를 할 때는 당사자만 서로 언급하는데 반해 자신이 적을 두거나 뒀던 회사와의 직접적인 갈등 상황도 아니고 타 회사가 어떤 가시적인 언론 플레이를 하거나 자신을 공격한 정황이 대중에게 알려진 것도 아닌데 창모가 남들이 쉽게 볼 수 있는 스토리에 굳이 타 소속사까지 그것도 시간이 많이 지난 뒤에 언급한 상황이 일반적이지는 않다. 어쩌면 일적으로 회사가 관여된 어떤 갈등이 있었던 게 아닌가 하는 새로운 의구심을 들게 했다."
큐브,아이들,소연,2023년 8월 21일,"2023년 8월 21일, 솔로지옥 에 출연했던 문세훈 과의 열애설이 보도되었다. 두 사람은 압구정 한 백화점에서 같이 쇼핑을 하는 모습이 포착되었고 이후 문세훈 측은 ""단순 친한 사이일 뿐"", ""진짜 사귀면 대놓고 돌아다니겠냐"" 라는 입장을 내놓으면서 열애설은 해프닝으로 끝났다."
큐브,아이들,우기,2019년 8월 6일,"2019년 8월 6일 홍콩 민주화 운동 이 계속되는 가운데, 웨이보를 통해 오성홍기를 훼손시키지 말아 달라는 캠페인에 참여했다. 이는 홍콩 시위 도중 시위대에 의해 오성홍기 가 훼손된 사건으로부터 시작된 챌린지로, 오성홍기 훼손 사건에 대한 부정적인 성격을 가지고 있다. 이 글이 하나의 중국 글이라고 알려지기도 했으나 하나의 중국 글은 아니며, 홍콩 경찰 을 지지했다고 알려지기도 했으나 오성홍기 훼손을 막자는 캠페인 참여글 외에 홍콩 경찰을 지지하는 글을 올리지는 않았다."
큐브,아이들,우기,2021년 7월 1일,"2021년 7월 1일, 중국공산당 100주년 기념 축하글을 웨이보 계정에 올렸다. # 같은 그룹에 양안관계 로 예민할 수도 있는 대만인 인 슈화 가 있고, 슈화는 현재까지 정치적인 행보를 보인 적 없기 때문에 이 부분 또한 우려되었다. 다만 이전에도 이후에도 평소 정치적 의사를 표현한 적이 없고 오성홍기는 자국의 국기이고 중국공산당 100주년 축하 자체는 사실상 일당전제국가인 중국 이기에 어쩔 수 없는 측면이 있는 것도 사실이다. 실제로 한국 에서 활동하는 중국인 들 중 정치적 의사를 딱히 표현한 적 없어도 오성홍기 수호 캠페인, 공산당 100주년 기념 축하는 참여하는 경우가 많았다. 이러한 캠페인에 참여하지 않을 시 집단적인 공격을 하는 극단적인 중국인들이 있는 것이 현실이며 우기는 당시에도 중국에서 활동하고 있었기에 본인과 중국에 거주하는 가족들의 안전 및 정상적 활동을 위해 필요한 소극적인 범위 내에서 참여했다고 볼 여지가 있다. 사실 옳고 그름에 대한 판단은 개개인에게 맡기더라도 우리나라 전직 대통령들 중에도 중국 전승절 열병식에 참석한 대통령 # , 공산당 100주년 기념 축하를 중국 주석과 통화 중 건넨 대통령 이 있었고 중국공산당 100주년 기념식에 참석한 여당 대표도 있었다. # 일본 자위대 창립 행사는 서울 에서 열리기도 했으며 당 총재 # , 여야 국회의원들, 국방부 , 통일부 간부들도 참석한 적이 있다. # # # 또 과거 의원 시절 남북축구를 개최한 전 대통령 은 태극기 대신 한반도기 를 들지 않았다고 화를 냈다는 일화가 있으며 # 주한중국대사관 은 2023년에도 서울에서 중국인민해방군 창립 행사를 열었고 여기에 우리 정부 관계자도 참석하였다. # 공산당과는 척만 지고 있을 것 같은 통념과는 달리 보수 정당 중에서도 오래 전부터 중국공산당과 자매결연을 맺고 있는 경우가 있기도 하다. # # 이처럼 한국에서도 경제 논리가 크게 작용하는 민간 영역은 당연하고 정치, 행정 분야에서도 정치경제, 외교, 군사, 그 외 이유 등으로 국민 감정 일부 혹은 다수와 맞지 않는 부분이 있는데도 외교적 수사를 통해 띄워주거나 상대의 행위가 국민 정서상 부정적인 부분이 있는데도 묵인하는 경우가 적지는 않은데 이 중에는 국가 및 국민들 사이의 감정의 골이 깊은 상황일 때도 있다. 우리나라 사람들조차 이런데 하물며 중국에 가족이 있고 중국에서도 활동하는 개인이 어찌할 수 없는 엄혹하고 특수한 상황임은 공산당 독재 정권이 전 국가주석 , 자국 톱스타 와 대기업 오너 에게도 가하는 국가권력의 서슬 퍼런 탄압과 검열, 민족주의 극우 성향 중국인들의 파상공격을 피하기 어려운 # 사례 등만 봐도 충분히 짐작할 수 있다. 여기에 더해 글을 올릴 시점에도 중국에서 활동하고 있었고 본인과 가족이 중국에 있는 상황에서 중국 SNS에 중국인 대상으로 중국어로 올린 게시물을 가지고 한국에서 활동하는 연예인이라는 이유만으로 다른 정치적 발언 없이 자국 국기인 오성홍기를 훼손하지 말자는 글과 자국의 집권독재정당인 중국공산당 100주년 기념 축하글을 올린 것을 비판, 비난하는 것은 타국, 타인에 대한 지나친 간섭으로 보일 여지도 있고 아무것도 안 했을 때 중국공산당과 홍위병 들이 실제로 가할 수 있는 위험을 고려하지 않은 너무한 반응 아니냐는 말도 나왔다. 또한 앞서 서술한 예처럼 관계가 좋지 못한 상황에서도 우리나라뿐 아니라 세계적으로 개인과 단체, 기업, 국가를 막론하고 이해관계, 처한 환경에 따라 상대에게 축하와 덕담을 건네는 경우가 있는데 더욱이 중국 공산당 정권이 체제 유지를 위해 인권을 무시하고 사생활까지 감시, 추적, 통제하고 조작과 강요, 탄압도 서슴지 않고 자행하면서 실체적 위협까지 가하는 닫힌 중국 사회의 집요함, 무서움, 위험성을 국내에서도 언론, 커뮤니티 등에서 숱하게 언급하고 비판하면서도 막상 그 위협에 가장 먼저 직면할 수밖에 없고 피하는 것도 거의 불가능한 중국인의 불안한 상황을 간과하는 건 모순 아닌가 하는 지적을 하는 의견도 있었다. 다만 비록 일회성 발언이었다지만 그럼에도 국내에서도 활동하는 건 맞고, 이성적으로는 국내 반응 중에서 이해가 잘 가지 않는 부분도 있다지만 어쨌든 국내 정서에는 맞지 않는 행동인 것 또한 사실이기에 하지 않은 행동까지 결부짓고 단정지어 비난하는 게 아니라면 본인이 한 것이 맞다면 한 행동에 따른 정당한 비판까지는 감내하고 앞으로 더 조심해야 한다는 의견도 어느 정도 일리는 있다. 한편 중국 정부 차원에서 직접 대상자에게 가하는 탄압 외에도 중국의 인터넷은 많은 사람들이 알다시피 검열이 매우 심하고 # 웨이보를 비롯한 SNS 계정 역시 강도 높은 검열이 일상이다. # # 게다가 중국 현지 업무는 중국 회사에 위탁하고 있고 이 회사들 역시 중국 정부의 영향에서 자유로울 수 없기에 중국 내 위탁 업무를 담당하는 측에서 올리거나 올리도록 종용했을 가능성 역시 다른 몇몇 중국인 연예인들과 마찬가지로 있는 것 또한 사실이다."
큐브,아이들,우기,2019년 11월 20일,"2019년 11월 20일, V앱 응원봉 언박싱 방송 에서 우기가 슈화 에게 ""슈화는 피부가 하얘서 어두운 곳에서도 잘 보일 듯하다."" 라고 말했다. 그런데 문제는 트위터에서 터져버렸다. 닉네임이 아이들뷰 인, 평소에 (여자)아이들과 관련된 정보나 소식을 영어로 번역해서 올리는 한 네버랜드 가 이 대화를 번역해서 트위터에 올렸는데, 번역 내용이 우기가 인종차별 발언을 했다는 듯한 오해가 생길 수 있는 뉘앙스로 오역해서 해외 팬들 사이에서 논란이 되었다. 결국 다음 날인 21일, 우기가 사과문을 올리게 되었고 아이들뷰 역시 “피부색에 대한 언급이 다양한 국가에서 얼마나 민감하고 중요한 이슈임을 알고 있음에도 불구하고, 오해를 초래할 수 있는 번역을 게시한 것 또한 저의 명백한 잘못입니다.” 라는 내용으로 사과문을 올렸다. 아무 이상이 없는 말을 잘못 번역한 번역계의 잘못으로 애꿎은 우기가 사과를 한 일이다."
큐브,아이들,슈화,2023년 6월 5일,"2023년 6월 5일. 문명특급 에 게스트로 (여자)아이들 이 나왔는데, MC인 재재 가 슈화에게 무대에 대한 질문을 던지자, 슈화는 ""아니, 나 부담스러웠다""고 대답했다. 이에 재재는 갑자기 반말 모드냐고 물었고, 멤버들도 갑자기 왜 반말을 하냐고 장난스레 받아쳤다. 이 부분에서는 어색한 분위기를 무마하려는 것으로 보였다. 이후 나온 슈화의 발언과 태도가 문제가 되었다. 재재는 과거에 슈화가 SNS에 매운 라면을 먹은 뒤 소스를 입에 묻힌 채 사진을 올렸던 이유를 물었고 민니 는 "" 립스틱 같다며""라고 슈화의 말을 유도했다. 그런데 슈화는 ""립스틱... 어... 네""라며 갑자기 말이 꼬이자 당황하며 "" 어쩌라고 "" 라며 상황에 맞지 않는 질문을 했다. 슈화가 표정 연기를 부탁하는 말을 듣자 ""저 이런 거 시키는 거 안 좋아해요"" 라며 거절하며 하지 않았다. 또 재재는 진행을 하던 중 슈화에게 웃으면서 ""제 말 듣고 계시죠?""라고 기습 질문을 던졌고, 슈화는 다른 곳을 보고 있다가, ""알아서 진행해주세요""라고 받아쳤다. 이에 재재는 ""알아서 진행해요?""라며 ""아니, 본인이 나왔으면서 알아서 진행해요?""라고 반문하며 상황은 일단락되었다. '존댓말을 못 쓰는 것도 아닌데 갑자기 반말을 하면서 저런 발언을 한 건 무례하다' 등의 의견이 나오면서 태도 논란이 나오게 되었다. 다만 그동안 슈화가 연예 활동에서 예능 프로그램을 비롯한 방송 경력이 짧은 것도 아니었던데다 한국어를 못 하는 것도 아닌 만큼 재재가 정말로 슈화에게 불편하게 대한 부분이 있을 수도 있었고, 슈화가 무슨 이유 때문에 기분이 좋지 않았는지 그 이유를 자세히 들어봐야 한다. 이미 슈화가 방송 경력이 5년도 넘어갔던 상황에서 누가 문제였는지 잘잘못과 상관 없이 아무 이유 없이 무례하게 행동하지 않았을 것이다. 일각에서 이러한 반응들이 나온 이유는 슈화가 평소 삶을 비롯한 여러 주제에 대한 생각 깊은 글과 외모로 고민하는 팬을 위해 진지하게 조언하는 글/댓글을 쓰기도 했고, 범죄 피해자 여성을 위해 대중의 주목을 쉽게 받는 아이돌 로서 하지 못하는 피해자를 응원하고 범죄자를 규탄하는 글을 올리며, 평소에 행실이 무례하다는 발언과 거리가 먼 행보를 보였다. # 그래서 그동안 슈화가 경솔한 발언을 했거나 인성에 문제가 있다는 지적을 전혀 받지 않았기 때문에 적어도 왜 그런 태도를 보여줬는지 이유를 들어봐야 한다는 것이다. 슈화는 이 사건 이전에도 이후에도 방송과 관련해 무례하다거나 무성의하다는 지적들은 전혀 받지 않았고, 재재와의 어떤 친분, 갈등 관계가 있었다는 정황도 없었다가 방송상에서 이유 없이 반말을 했다는 점이 의문을 낳았다. 어떤 상황에 대한 판단, 비판에 앞서 가급적 동기와 진행 과정, 행위의 수위, 가중할 만한 사유, 참작할 만한 사유, 양쪽의 입장 등 제반사항을 고루 살펴봐야 군중 심리, 확증편향 등에 휩쓸리지 않고 비판할 점이 있다면 그에 알맞은 비판을 하고 억울한 점, 과한 점, 틀린 점이 있다면 바로잡기도 쉽다. 만약 정말로 이 사안처럼 행위의 원인에 의문점이 있는 상태라면, 더욱 조심해서 그 원인을 살펴야 한다. 재재도 이 사안을 문제삼거나 언급한 적은 없었고, 슈화도 입장을 따로 밝힌 적이 없기 때문에, 이러한 발언이 나온 계기는 알 수 없다. 리얼리티를 표방하는 예능임에도 미리 짜인 연출이 있는 경우가 적지 않은 만큼 예능적 재미를 위해 어느 정도는 교감을 맞추었을 가능성도 있다. 영상에서는 슈화는 어느 순간 말이 꼬이자 당황한 상태였던 것으로 보이는데, 생활 한국어에는 익숙하다 해도 어휘 사용과 문장 표현에 있어 한계가 있는 외국인인 만큼 긴장한 상태에서 임기응변으로 나온 의도가 없는 단순 실수일 가능성도 있다. 한국인이라도 낯선 진행자가 진행하고 프로그램의 성격과 진행 방식을 잘 모르거나 알아도 자신의 성격, 성향과 맞지 않다면 평소보다 더 긴장하고 쉽게 당황할 수 있는데 외국인이라면 더 그럴 수 있는 게 일반적이다. 또한 평소 그룹 내 분위기가 데뷔 전과 데뷔 초에 회사에서 따로 시킨 경우를 제외하면 엄격하게 존댓말, 반말을 구분하지 않는 수평적인 분위기라 언니 동생들 사이에서도 호칭은 언니를 붙이면서 말은 가끔 놓을 때가 있다. 긴장, 당황하거나 반대로 편한 상태일 때, 팬들을 위한 라이브 방송을 할 때, 인스타그램 에서 팬들에게 댓글을 달아줄 때 등에서 종종 반말이 나올 때도 있다. 이 사안에서는 긴장, 당황한 경우에 부합하고 상기의 습관, 분위기에 긴장, 당황이 겹쳐 이러한 상황이 발생했을 가능성이 있는 것이다. 한편 재재의 연기 부탁을 거절한 건 만약 연기 부탁이 사전에 조율이 된 것이 아니라면 당사자 입장에서는 준비되지 않은 것을 시키는 것이고, 연기를 배웠다 해도 직업 연기자도 아닌 만큼 이러한 부탁은 불쾌하거나 당황할 수 있는 부분이고 그게 아니라도 위의 아이돌로서 하기 힘든 글을 쓰는 경우를 비롯해 아닌 건 아니라고 솔직하게 말하는 성격이 있어 거절했을 수 있다. 부탁을 거절하는 과정에서 반말과 결부되어 더 강하게 느껴진 면도 있다. 물론 시청자와 대중들이 이러한 사정을 다 알 수는 없고 다 알 필요도 없으며, 표면적인 부분만 보면 충분히 무례해 보일 수 있고 불편함을 느낄 수 있는 부분이 있기에 보이지 않는 부분까지 확대, 과장 해석하여 인간성, 성격 자체를 논한다거나 하는 것이 아니라면 불편함을 느끼고 앞으로 그러지 않기를 바라는 정도의 반응은 합리적인 반응이라 할 수 있다. 이러한 상황이 발생한 이유까지 정확히 알려면 해당 상황에 대한 관계자들의 증언, 증거를 통한 교차 검증이 필요하며 그 전까지는 이유에 대한 섣부른 접근과 단정적인 판단은 지양해야 한다. 예를 들어 당시 발언 전후의 상황과 편집 여부, 사전 연출 여부 등도 이유를 파악하는 데 필요한 부분에 해당한다. 그러한 내용을 확실히 알 수 있어야 이 사안의 원인과 잘못의 경중을 좀 더 정확하게 따질 수 있다. 당장 문명특급 제작진이 다른 인물과 사전에 합의된 구성이라고 댓글로 밝혔으나, 실제 의도와는 상관없이 프로그램 제작, 연출로 피해를 주고 양측의 팬들이 서로 감정적 대응을 해 상처를 준 전례가 있는 것도 # 원인에 대한 분석을 할 때 더더욱 좀 더 신중한 접근이 필요한 이유 중 하나다. 4. 前 멤버"
