소속사,그룹,연예인 이름,url
JYP,데이식스,성진,
JYP,데이식스,영케이,
JYP,데이식스,원필,
JYP,데이식스,도운,
JYP,2PM,준케이,https://namu.wiki/w/2PM/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#JUN.%20K
JYP,2PM,닉쿤,https://namu.wiki/w/2PM/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EB%8B%89%EC%BF%A4
JYP,2PM,택연,https://namu.wiki/w/2PM/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%ED%83%9D%EC%97%B0
JYP,2PM,우영,
JYP,2PM,준호,
JYP,2PM,찬성,
JYP,트와이스,나연,https://namu.wiki/w/TWICE/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0/%EA%B0%9C%EC%9D%B8#%EB%82%98%EC%97%B0
JYP,트와이스,정연,
JYP,트와이스,모모,
JYP,트와이스,사나,https://namu.wiki/w/TWICE/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0/%EA%B0%9C%EC%9D%B8#%EC%82%AC%EB%82%98
JYP,트와이스,지효,https://namu.wiki/w/TWICE/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0/%EA%B0%9C%EC%9D%B8#%EC%A7%80%ED%9A%A8
JYP,트와이스,미나,
JYP,트와이스,다현,
JYP,트와이스,채영,https://namu.wiki/w/TWICE/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0/%EA%B0%9C%EC%9D%B8#%EC%B1%84%EC%98%81
JYP,트와이스,쯔위,https://namu.wiki/w/TWICE/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0/%EA%B0%9C%EC%9D%B8#%EC%AF%94%EC%9C%84
JYP,스트레이 키즈,방찬,https://namu.wiki/w/Stray%20Kids/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EB%B0%A9%EC%B0%AC
JYP,스트레이 키즈,리노,
JYP,스트레이 키즈,창빈,
JYP,스트레이 키즈,현진,https://namu.wiki/w/Stray%20Kids/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%ED%98%84%EC%A7%84
JYP,스트레이 키즈,한,
JYP,스트레이 키즈,필릭스,https://namu.wiki/w/Stray%20Kids/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%ED%95%84%EB%A6%AD%EC%8A%A4
JYP,스트레이 키즈,승민,
JYP,스트레이 키즈,아이엔,
JYP,있지,예지,
JYP,있지,리아,https://namu.wiki/w/ITZY/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EB%A6%AC%EC%95%84
JYP,있지,류진,
JYP,있지,채령,
JYP,있지,유나,
JYP,엔믹스,해원,
JYP,엔믹스,릴리,
JYP,엔믹스,설윤,
JYP,엔믹스,배이,
JYP,엔믹스,지우,
JYP,엔믹스,규진,
