소속사,그룹,연예인 이름,url
SM,엑소,시우민,
SM,엑소,수호,
SM,엑소,백현,https://namu.wiki/w/%EB%B0%B1%ED%98%84/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,엑소,첸,https://namu.wiki/w/%EC%B2%B8(EXO)/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,엑소,찬열,https://namu.wiki/w/%EC%B0%AC%EC%97%B4/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,엑소,디오,https://namu.wiki/w/EXO/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EB%94%94%EC%98%A4
SM,엑소,카이,https://namu.wiki/w/%EC%B9%B4%EC%9D%B4(EXO)/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,엑소,세훈,
SM,동방신기,유노윤호,https://namu.wiki/w/%EB%8F%99%EB%B0%A9%EC%8B%A0%EA%B8%B0/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EC%9C%A0%EB%85%B8%EC%9C%A4%ED%98%B8
SM,동방신기,최강창민,
SM,슈퍼주니어,이특,https://namu.wiki/w/SUPER%20JUNIOR/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EC%9D%B4%ED%8A%B9
SM,슈퍼주니어,희철,https://namu.wiki/w/%ED%9D%AC%EC%B2%A0#s-12
SM,슈퍼주니어,예성,
SM,슈퍼주니어,신동,https://namu.wiki/w/%EC%8B%A0%EB%8F%99(SUPER%20JUNIOR)#s-6
SM,슈퍼주니어,은혁,https://namu.wiki/w/%EC%9D%80%ED%98%81#s-8
SM,슈퍼주니어,동해,
SM,슈퍼주니어,시원,https://namu.wiki/w/%EC%8B%9C%EC%9B%90(SUPER%20JUNIOR)#s-6
SM,슈퍼주니어,려욱,
SM,슈퍼주니어,규현,
SM,소녀시대,태연,https://namu.wiki/w/%ED%83%9C%EC%97%B0/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,소녀시대,써니,https://namu.wiki/w/%EC%8D%A8%EB%8B%88(%EC%86%8C%EB%85%80%EC%8B%9C%EB%8C%80)/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,소녀시대,티파니,https://namu.wiki/w/%ED%8B%B0%ED%8C%8C%EB%8B%88%20%EC%98%81/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,소녀시대,효연,https://namu.wiki/w/%ED%9A%A8%EC%97%B0/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,소녀시대,유리,https://namu.wiki/w/%EC%9C%A0%EB%A6%AC(%EC%86%8C%EB%85%80%EC%8B%9C%EB%8C%80)/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,소녀시대,수영,https://namu.wiki/w/%EC%88%98%EC%98%81(%EC%86%8C%EB%85%80%EC%8B%9C%EB%8C%80)/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,소녀시대,윤아,https://namu.wiki/w/%EC%9C%A4%EC%95%84/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,소녀시대,서현,https://namu.wiki/w/%EC%84%9C%ED%98%84/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,샤이니,온유,https://namu.wiki/w/%EC%98%A8%EC%9C%A0(SHINee)#s-8
SM,샤이니,종현,
SM,샤이니,키,
SM,샤이니,민호,
SM,샤이니,태민,
SM,레드벨벳,아이린,https://namu.wiki/w/Red%20Velvet/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EC%95%84%EC%9D%B4%EB%A6%B0
SM,레드벨벳,슬기,https://namu.wiki/w/Red%20Velvet/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EC%8A%AC%EA%B8%B0
SM,레드벨벳,웬디,https://namu.wiki/w/Red%20Velvet/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EC%9B%AC%EB%94%94
SM,레드벨벳,조이,https://namu.wiki/w/Red%20Velvet/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EC%A1%B0%EC%9D%B4
SM,레드벨벳,예리,https://namu.wiki/w/Red%20Velvet/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EC%98%88%EB%A6%AC
SM,NCT,쟈니,https://namu.wiki/w/%EC%9F%88%EB%8B%88(NCT)#s-6
SM,NCT,태용,https://namu.wiki/w/%ED%83%9C%EC%9A%A9%20%EC%A4%91%ED%95%99%EA%B5%90%20%EC%8B%9C%EC%A0%88%20%EB%85%BC%EB%9E%80
SM,NCT,유타,
SM,NCT,쿤,
SM,NCT,도영,
SM,NCT,텐,
SM,NCT,재현,https://namu.wiki/w/NCT/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EC%9E%AC%ED%98%84
SM,NCT,윈윈,https://namu.wiki/w/NCT/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EC%9C%88%EC%9C%88
SM,NCT,정우,https://namu.wiki/w/NCT/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EC%A0%95%EC%9A%B0
SM,NCT,마크,
SM,NCT,샤오쥔,
SM,NCT,헨드리,
SM,NCT,런쥔,https://namu.wiki/w/NCT/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EB%9F%B0%EC%A5%94
SM,NCT,제노,
SM,NCT,해찬,https://namu.wiki/w/NCT/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%ED%95%B4%EC%B0%AC
SM,NCT,재민,
SM,NCT,양양,
SM,NCT,천러,
SM,NCT,지성,
SM,NCT,루카스,https://namu.wiki/w/%EB%A3%A8%EC%B9%B4%EC%8A%A4(%EA%B0%80%EC%88%98)/%EC%82%AC%EC%83%9D%ED%99%9C%20%ED%8F%AD%EB%A1%9C%20%EB%85%BC%EB%9E%80
SM,NCT,태일,https://namu.wiki/w/%EB%AC%B8%ED%83%9C%EC%9D%BC%20%EC%84%B1%EB%B2%94%EC%A3%84%20%ED%94%BC%EC%86%8C%20%EB%B0%8F%20%ED%8C%80%20%ED%87%B4%EC%B6%9C%20%EC%82%AC%EA%B1%B4
SM,에스파,카리나,https://namu.wiki/w/aespa/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EC%B9%B4%EB%A6%AC%EB%82%98
