소속사,그룹,연예인 이름,url
큐브,아이들,소연,https://namu.wiki/w/i-dle/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EC%86%8C%EC%97%B0
큐브,아이들,우기,https://namu.wiki/w/i-dle/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#s-3.4
큐브,아이들,슈화,https://namu.wiki/w/i-dle/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EC%8A%88%ED%99%94
큐브,비투비,서은광,https://namu.wiki/w/%EB%B9%84%ED%88%AC%EB%B9%84/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EC%84%9C%EC%9D%80%EA%B4%91%2C%20%EC%9C%A1%EC%84%B1%EC%9E%AC%20%EB%8F%99%EC%8B%A0%EB%8C%80%ED%95%99%EA%B5%90%20%ED%95%99%EC%9C%84%C2%B7%ED%95%99%EC%A0%90%20%EC%B7%A8%EC%86%8C
큐브,비투비,이민혁,https://namu.wiki/w/%EB%B9%84%ED%88%AC%EB%B9%84/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
큐브,비투비,이창섭,https://namu.wiki/w/%EB%B9%84%ED%88%AC%EB%B9%84/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EC%9D%B4%EC%B0%BD%EC%84%AD
큐브,비투비,임현식,https://namu.wiki/w/%EB%B9%84%ED%88%AC%EB%B9%84/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#s-3.3.1
큐브,비투비,육성재,https://namu.wiki/w/%EB%B9%84%ED%88%AC%EB%B9%84/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EC%9C%A1%EC%84%B1%EC%9E%AC
큐브,비투비,프니엘,https://namu.wiki/w/%EB%B9%84%ED%88%AC%EB%B9%84/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
큐브,펜타곤,후이,https://namu.wiki/w/%ED%8E%9C%ED%83%80%EA%B3%A4(%EC%95%84%EC%9D%B4%EB%8F%8C)/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EC%98%8C%EC%95%88
큐브,펜타곤,옌안,https://namu.wiki/w/%ED%8E%9C%ED%83%80%EA%B3%A4(%EC%95%84%EC%9D%B4%EB%8F%8C)/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EC%98%8C%EC%95%88
큐브,펜타곤,던,https://namu.wiki/w/%EB%8D%98(%EA%B0%80%EC%88%98)/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
RBW,마마무,휘인,https://namu.wiki/w/%EB%A7%88%EB%A7%88%EB%AC%B4/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%ED%9C%98%EC%9D%B8
RBW,마마무,화사,https://namu.wiki/w/%EB%A7%88%EB%A7%88%EB%AC%B4/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%ED%99%94%EC%82%AC
