날짜,종가,시가,고가,저가,거래량,변동 %,로그 수익률,거래량 변화율
2020-10-19,187110,196515,200475,185130,197000000.0,-5.74,-0.0590672316869814,
2020-10-20,180675,188100,191565,174240,177000000.0,-3.44,-0.0349968420370962,-0.10152284263959388
2020-10-21,177210,178695,183645,175230,162000000.0,-1.92,-0.0193643671817912,-0.0847457627118644
2020-10-22,178200,174735,183150,173745,117000000.0,0.56,0.0055710450494554,-0.2777777777777778
2020-10-23,170775,181170,182160,169785,89373000.0,-4.17,-0.0425596144187958,-0.2361282051282051
2020-10-26,154440,171270,171765,154440,96726000.0,-10.47,-0.1105915650753788,0.08227316974925314
2020-10-27,160875,152955,164340,150975,111000000.0,4.17,0.0408219945202552,0.14757149060232
2020-10-28,156915,159885,161865,155925,55978000.0,-2.46,-0.0249234084524568,-0.49569369369369365
2020-10-29,155430,153945,159885,152955,51409000.0,-0.95,-0.0095087879690273,-0.08162135124513203
2020-10-30,140580,147510,149985,140580,113000000.0,-9.55,-0.1004187477470473,1.1980587056741037
2020-11-02,142065,141075,145035,139590,40982000.0,0.05,0.0004576417449136,-0.6373274336283186
2020-11-03,150480,143055,150480,143055,68793000.0,5.92,0.0575454856466005,0.678615001708067
2020-11-04,147510,151965,151965,145530,32875000.0,-1.97,-0.0199342149008172,-0.522117075865277
2020-11-05,162360,148995,171270,148500,157000000.0,10.07,0.0959201218787392,3.7756653992395437
2020-11-06,160380,162855,164340,157905,41303000.0,-1.22,-0.0122700925918143,-0.7369235668789809
2020-11-09,161370,162360,167805,159390,42924000.0,-0.39,-0.0038964702791232,0.039246543834588365
2020-11-10,166320,166815,169785,164835,49197000.0,3.07,0.0302137785964966,0.1461420184512161
2020-11-11,162360,168795,170280,161370,29595000.0,-2.38,-0.0240975515790605,-0.39843892920300017
2020-11-12,155925,162360,162360,154440,32511000.0,-3.96,-0.0404409695585107,0.09853015712113522
2020-11-13,158400,154935,160875,154440,21843000.0,1.59,0.0157483569681391,-0.3281350927378426
2020-11-16,169785,153945,170280,152955,116000000.0,6.12,0.0593591155186662,4.310625829785286
2020-11-17,177705,167310,181170,163845,92935000.0,4.66,0.0455919413223389,-0.19883620689655168
2020-11-18,179685,179685,183645,176220,41745000.0,1.11,0.0110804457765719,-0.5508150858126648
2020-11-19,178200,179685,180675,174240,28740000.0,-0.83,-0.008298802814695,-0.3115343154868847
2020-11-20,182655,180180,191070,176220,81998000.0,2.5,0.0246926125903714,1.853096729297147
2020-11-23,178200,183150,184140,176220,40342000.0,-3.41,-0.0347429484438729,-0.5080123905461109
2020-11-24,179190,179190,179685,172260,38514000.0,0.56,0.0055401803756153,-0.045312577462694015
2020-11-25,172260,181665,182655,170775,44061000.0,-3.87,-0.0394417320512967,0.1440255491509581
2020-11-26,174240,175230,179685,173250,34349000.0,1.15,0.0114286958236228,-0.22042168811420526
2020-11-27,176220,176220,176715,173250,12728000.0,1.14,0.0112995552539334,-0.6294506390287926
2020-11-30,177705,176220,179190,174735,17667000.0,-0.17,-0.001658678217253,0.38804211187932114
2020-12-01,179190,180675,183150,177705,32876000.0,0.84,0.0083218233374922,0.8608705496122715
2020-12-02,180180,181170,181170,178200,19583000.0,0.55,0.0055096558109697,-0.40433751064606405
2020-12-03,187605,181665,188595,180180,67119000.0,4.12,0.0403823374456857,2.427411530409028
2020-12-04,185625,187110,187605,183150,25852000.0,-1.06,-0.0106101791120155,-0.6148333556816996
2020-12-07,178695,186615,186615,178200,25364000.0,-3.73,-0.0380480676375298,-0.018876682655113775
2020-12-08,180180,178200,181665,175230,20253000.0,0.83,0.0082759093038596,-0.20150607159753986
2020-12-09,178200,181170,181170,178200,15536000.0,-1.1,-0.0110498361865849,-0.2329037673431097
2020-12-10,179685,177210,179685,175230,38896000.0,0.83,0.008298802814695,1.5036045314109168
2020-12-11,178695,180180,180180,177210,14368000.0,-0.55,-0.0055248759319698,-0.6306046894282189
2020-12-14,173745,177705,177705,173250,19833000.0,-2.77,-0.028091734867015,0.38035913140311806
2020-12-15,170280,173745,173745,168795,15146000.0,-1.99,-0.0201445660924674,-0.23632329955125297
2020-12-16,171270,171270,172260,169290,9647000.0,0.58,0.0057971176843259,-0.3630661560808134
2020-12-17,159885,167310,167310,158895,71674000.0,-6.65,-0.0687864518350677,6.429667254068622
2020-12-18,160380,160875,162360,158895,16125000.0,0.31,0.0030911925696728,-0.7750230209001869
2020-12-21,156915,160380,160380,155430,15894000.0,-3.14,-0.0318920777685502,-0.014325581395348785
2020-12-22,152955,155925,156915,152460,16552000.0,-2.52,-0.0255604969795351,0.04139927016484202
