날짜,종가,시가,고가,저가,거래량,변동 %,로그 수익률
2021-11-24,40450,40050,44200,39050,85819000.0,-1.1,-0.011063419544255333
2021-11-25,40750,41100,42950,39950,35759000.0,0.74,0.007389196182371085
2021-11-26,36900,40500,40500,36600,28836000.0,-9.45,-0.09924428864039023
2021-11-29,32350,34600,34700,32250,22678000.0,-12.33,-0.13159753009957187
2021-11-30,30150,32900,34900,29900,21425000.0,-6.8,-0.07042909777371513
2021-12-01,30100,30150,31250,29000,9968000.0,-0.17,-0.0016597514183643968
2021-12-02,29950,29400,30650,29400,6728000.0,-0.5,-0.004995847193371666
2021-12-03,32100,30550,32500,30300,19036000.0,7.18,0.06932670557451176
2021-12-06,30650,31650,31650,30400,5848000.0,-4.52,-0.046223367753749724
2021-12-07,31200,30600,31450,30300,7629000.0,1.79,0.01778543243321634
2021-12-08,32800,31500,34500,31300,31963000.0,5.13,0.050010420574661416
2021-12-09,32850,32800,33400,32050,6567000.0,0.15,0.0015232295405214163
2021-12-10,32050,33000,33200,31800,6189000.0,-2.44,-0.02465456156394047
2021-12-13,31000,31800,32400,30700,5816000.0,-3.28,-0.03330997888153285
2021-12-14,30000,30700,30800,29800,5472000.0,-3.23,-0.03278982282299084
2021-12-15,29150,30000,30000,29050,4142000.0,-2.83,-0.02874246886565398
2021-12-16,28700,29350,29550,28650,4440000.0,-1.54,-0.015557790030926008
2021-12-17,27950,28300,29000,27950,3278000.0,-2.61,-0.026479923164467265
2021-12-20,26350,27950,27950,26250,7236000.0,-5.72,-0.05894892461373688
2021-12-21,27400,26100,27450,25500,8337000.0,3.98,0.03907473840665316
2021-12-22,27950,26800,28650,26500,12350000.0,2.01,0.01987418620708363
2021-12-23,27500,28000,29000,27500,5429000.0,-1.61,-0.016231194928582552
2021-12-24,26950,27600,27600,26550,5558000.0,-2.0,-0.020202707317519466
2021-12-27,26000,27050,27050,26000,4704000.0,-3.53,-0.03588675933352406
2021-12-28,26500,26550,27250,25400,6757000.0,1.92,0.01904819497069441
2021-12-29,27200,26750,27200,26400,3252000.0,2.64,0.026072240309775105
2021-12-30,27200,27250,28150,26900,4610000.0,0.0,0.0
2022-01-03,28350,27200,28550,27200,4624000.0,4.23,0.0414100568718094
2022-01-04,29000,28600,29000,27950,5062000.0,2.29,0.022668799812712893
2022-01-05,27500,29100,29300,27500,4274000.0,-5.17,-0.05310982531394841
2022-01-06,27300,27150,27500,26300,3777000.0,-0.73,-0.007299302481611608
2022-01-07,26550,27350,28400,25950,7732000.0,-2.75,-0.027856954502966224
2022-01-10,25200,26450,26450,25150,4362000.0,-5.08,-0.05218575317057019
2022-01-11,24550,25250,25500,24500,2864000.0,-2.58,-0.026132140276848057
2022-01-12,24550,24400,24950,24400,2406000.0,0.0,0.0
2022-01-13,24000,24600,24900,23800,3552000.0,-2.24,-0.02265802389258399
2022-01-14,22950,23750,23750,22800,3679000.0,-4.38,-0.044735893841391414
2022-01-17,22900,23200,23200,22600,2144000.0,-0.22,-0.002181025946360226
2022-01-18,24100,22900,24300,22250,4850000.0,5.24,0.05107492993641525
2022-01-19,24500,23800,28100,23750,29274000.0,1.66,0.01646127705407193
