일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2023-05-12,4692,0,0.0,4722,4829,4639,21624,306980310,136019153580,9674193
2023-05-15,4859,167,3.56,4756,4939,4739,57098,829184540,140856250080,9674193
2023-05-16,4889,30,0.62,4822,4999,4812,86287,1270211550,141726927450,9674193
2023-05-17,5079,190,3.89,4889,5133,4806,95875,1442448950,147241217460,9674193
2023-05-18,4996,-83,-1.64,5079,5079,4939,34422,514125580,145181949210,9698193
2023-05-19,5299,303,6.08,5002,5340,4926,351418,5914158130,154007304840,9698193
2023-05-22,5673,374,7.05,5857,6875,5526,6530076,122538277390,164869281000,9698193
2023-05-23,5603,-70,-1.24,5847,5890,5410,1459074,24563136760,162832660470,9698193
2023-05-24,5223,-380,-6.79,5553,5563,5199,653864,10439027550,151776720450,9698193
2023-05-25,5069,-154,-2.94,5106,5166,5026,425349,6470120020,147315551670,9698193
2023-05-26,4912,-157,-3.09,5022,5046,4892,237698,3534790150,142757400960,9698193
2023-05-30,5113,201,4.08,4939,5139,4926,204799,3100826410,148576316760,9698193
2023-05-31,5009,-104,-2.02,5113,5126,4956,133714,2005817050,145569876930,9698193
2023-06-01,5056,47,0.93,4972,5466,4966,729419,11328359290,146927623950,9698193
2023-06-02,5036,-20,-0.4,5043,5096,4989,119862,1805305030,146345732370,9698193
2023-06-05,5036,0,0.0,5043,5073,4956,66465,998871650,146345732370,9698193
2023-06-07,4949,-87,-1.72,5039,5043,4932,101725,1519904790,143824202190,9698193
2023-06-08,4776,-173,-3.51,4912,4926,4776,122997,1775802500,138781141830,9698193
2023-06-09,4936,160,3.35,4799,4972,4799,119607,1759022620,143436274470,9698193
2023-06-12,5006,70,1.42,4939,5043,4882,79101,1183988950,145472895000,9698193
2023-06-13,5046,40,0.8,5006,5076,4919,93733,1398122000,146636678160,9698193
2023-06-14,4959,-87,-1.72,5043,5106,4956,113057,1709896320,144115147980,9698193
2023-06-15,5153,194,3.9,5006,5189,4932,160346,2448104150,149740099920,9698193
2023-06-16,5450,297,5.76,5179,5460,5113,403986,6484081460,158371491690,9698193
2023-06-19,5576,126,2.33,5506,5607,5423,346223,5734425170,162056805030,9698193
2023-06-20,6374,798,14.3,5576,6775,5473,4938568,93030388220,185235486300,9698193
2023-06-21,5843,-531,-8.32,6191,6191,5843,533157,9596857530,169815359430,9698193
2023-06-22,5770,-73,-1.26,5843,5927,5730,271250,4723226350,167681756970,9698193
2023-06-23,5740,-30,-0.52,5757,5904,5677,170783,2964179470,166808919600,9698193
2023-06-26,5763,23,0.41,5630,5793,5580,132732,2272643030,167487793110,9698193
2023-06-27,5863,100,1.74,5763,5927,5730,154357,2708618050,170397251010,9698193
2023-06-28,5873,10,0.17,5870,6014,5850,163115,2889547710,170688196800,9698193
2023-06-29,5670,-203,-3.47,5810,5847,5566,207122,3523263350,164772299070,9698193
2023-06-30,5857,187,3.3,5667,5860,5607,179500,3101822750,170203287150,9698193
2023-07-03,5740,-117,-1.99,5860,6267,5717,596689,10497593830,166808919600,9698193
2023-07-04,6020,280,4.88,6530,7460,5930,3878912,26326274720,58383121860,9698193
2023-07-05,5630,-390,-6.48,6070,6070,5630,396710,2300325650,54600826590,9698193
2023-07-06,5410,-220,-3.91,5540,5580,5350,222005,1203382270,52467224130,9698193
2023-07-07,5380,-30,-0.55,5300,5520,5300,109883,592876640,52176278340,9698193
2023-07-10,5420,40,0.74,5330,5440,5330,82650,444995640,52564206060,9698193
2023-07-11,5540,120,2.21,5430,5550,5410,92506,508209150,53727989220,9698193
2023-07-12,5750,210,3.79,5570,5770,5530,121952,688453770,55764609750,9698193
2023-07-13,5760,10,0.17,5800,5800,5670,80782,462648140,54979758720,9545097
2023-07-14,5720,-40,-0.69,5800,5800,5570,84195,477308110,54597954840,9545097
2023-07-17,5800,80,1.4,5640,5930,5540,146951,853758640,55361562600,9545097
2023-07-18,5840,40,0.69,5810,5860,5650,81272,468447040,55743366480,9545097
2023-07-19,6330,490,8.39,5900,6980,5600,1223091,7832165130,60420464010,9545097
2023-07-20,6160,-170,-2.69,6270,6280,5940,266540,1627277560,58797797520,9545097
2023-07-21,6170,10,0.16,5970,6220,5960,148209,902746930,58893248490,9545097
2023-07-24,5590,-580,-9.4,5560,5760,5410,521602,2920979220,53357092230,9545097
