날짜,종가,시가,고가,저가,거래량,변동 %,로그 수익률,거래량 변화율
2014-03-17,3840,4200,4265,3675,216000000.0,-7.02,-0.0728050403733058,
2014-03-18,3900,3850,3970,3680,127000000.0,1.56,0.0155041865359652,-0.4120370370370371
2014-03-19,3900,3990,4000,3850,107000000.0,0.0,0.0,-0.15748031496062997
2014-03-20,3835,3565,3850,3520,510000000.0,-1.67,-0.0168071183163812,3.766355140186916
2014-03-21,3845,3885,3910,3740,196000000.0,0.26,0.0026041681383877,-0.615686274509804
2014-03-24,3595,3850,3850,3580,191000000.0,-6.5,-0.0672296117845973,-0.025510204081632626
2014-03-25,3690,3600,3780,3510,181000000.0,2.64,0.0260824668794258,-0.05235602094240843
2014-03-26,3740,3725,3790,3660,86862000.0,1.36,0.0134591533740047,-0.5200994475138121
2014-03-27,3640,3730,3780,3595,64077000.0,-2.67,-0.0271019297777912,-0.2623126338329764
2014-03-28,3795,3550,3795,3440,154000000.0,4.26,0.041700729198944,1.4033584593535902
2014-03-31,3815,3820,3830,3660,95118000.0,0.53,0.0052562538888271,-0.38235064935064933
2014-04-01,3880,3830,3955,3750,153000000.0,1.7,0.0168944888987618,0.6085283542547153
2014-04-02,3795,3930,3930,3795,75234000.0,-2.19,-0.0221507427875888,-0.5082745098039216
2014-04-03,3755,3805,3830,3685,67038000.0,-1.05,-0.0105961256314951,-0.10894010686657629
2014-04-04,3845,3750,3930,3735,95839000.0,2.4,0.0236853177415093,0.42962200542975615
2014-04-07,3755,3780,3875,3750,40548000.0,-2.34,-0.0236853177415092,-0.5769154519558843
2014-04-08,3945,3760,3960,3680,94272000.0,5.06,0.0493606690817394,1.3249482095294467
2014-04-09,3960,3975,4120,3870,174000000.0,0.38,0.0037950709685515,0.8457230142566192
2014-04-10,4010,3980,4055,3925,59804000.0,1.26,0.0125472160520885,-0.6562988505747127
2014-04-11,4045,3905,4045,3895,61239000.0,0.87,0.0086903091919772,0.023995050498294423
2014-04-14,4050,4045,4115,4015,73052000.0,0.12,0.0012353306079928,0.19289994937866384
2014-04-15,3980,4050,4100,3955,55621000.0,-1.73,-0.0174350618221014,-0.23861085254339376
2014-04-16,4200,4020,4375,4015,272000000.0,5.53,0.0538027059929761,3.89023929810683
2014-04-17,4155,4150,4235,4095,79872000.0,-1.07,-0.010772096981911,-0.7063529411764706
2014-04-18,4145,4125,4310,4105,84769000.0,-0.24,-0.0024096397201531,0.061310596955128194
2014-04-21,4060,4130,4150,4010,51855000.0,-2.05,-0.0207198149736169,-0.3882787339711451
2014-04-22,4045,4045,4125,4040,39404000.0,-0.37,-0.0037014231031862,-0.24011185035194293
2014-04-23,3955,4085,4130,3940,65820000.0,-2.22,-0.0225009492908377,0.6703887930159376
2014-04-24,3975,3935,4065,3870,67934000.0,0.51,0.005044146886678,0.03211789729565484
2014-04-25,3980,3970,3990,3835,40127000.0,0.13,0.0012570711900511,-0.40932375540966237
2014-04-28,3910,3980,3980,3905,17120000.0,-1.76,-0.0177444452990719,-0.573354599147706
2014-04-29,4100,4040,4245,4015,232000000.0,4.86,0.0474495997129877,12.551401869158878
2014-04-30,4300,4135,4320,4135,186000000.0,4.88,0.0476280489892546,-0.19827586206896552
2014-05-02,4575,4350,4630,4280,296000000.0,6.4,0.0619916760279678,0.5913978494623655
2014-05-07,4805,4640,4875,4510,311000000.0,5.03,0.0490503436947711,0.05067567567567566
2014-05-08,5000,4790,5000,4605,255000000.0,4.06,0.0397808700118444,-0.180064308681672
2014-05-09,4860,5020,5050,4855,172000000.0,-2.8,-0.028399474521698,-0.3254901960784313
2014-05-12,4940,4870,5010,4805,129000000.0,1.65,0.0163268932874286,-0.25
2014-05-13,4880,4940,5000,4835,75578000.0,-1.21,-0.0122201113347753,-0.41412403100775197
2014-05-14,4800,4870,4980,4730,107000000.0,-1.64,-0.0165293019512105,0.4157559078038582
2014-05-15,4645,4770,4930,4520,270000000.0,-3.23,-0.0328245456480434,1.5233644859813085
2014-05-16,4650,4670,4695,4530,130000000.0,0.11,0.0010758473334631,-0.5185185185185186
2014-05-19,4465,4640,4675,4410,121000000.0,-3.98,-0.0405980052708025,-0.0692307692307692
2014-05-20,4425,4515,4560,4335,93370000.0,-0.9,-0.0089989358685695,-0.22834710743801656
2014-05-21,4610,4430,4625,4380,94979000.0,4.18,0.0409575785486643,0.0172325157973654
2014-05-22,4550,4650,4660,4500,57788000.0,-1.3,-0.013100624045698,-0.3915707682750924
2014-05-23,4630,4500,4630,4490,66484000.0,1.76,0.0174296351352835,0.15048106873399325
2014-05-26,4650,4650,4730,4600,83260000.0,0.43,0.0043103515011222,0.2523313880031286
2014-05-27,4450,4610,4680,4400,66905000.0,-4.3,-0.043963123421116,-0.19643286091760748
2014-05-28,4550,4455,4555,4360,70270000.0,2.25,0.0222231367847102,0.05029519467902244
2014-05-29,4405,4550,4580,4405,34512000.0,-3.19,-0.0323869735747162,-0.5088658033300129
2014-05-30,4230,4410,4450,4200,58482000.0,-3.97,-0.0405382663299562,0.6945410292072323
2014-06-02,4255,4245,4370,4150,47346000.0,0.59,0.0058927689671509,-0.1904175643787832
2014-06-03,4005,4230,4315,3900,50368000.0,-5.88,-0.0605511815050149,0.06382798969289905
2014-06-05,3780,4000,4075,3725,67773000.0,-5.62,-0.0578195708888262,0.3455567026683608
2014-06-09,3830,3850,3920,3685,50534000.0,1.32,0.0131407935610583,-0.25436383220456527
2014-06-10,4050,3835,4070,3785,57426000.0,5.74,0.0558520779258932,0.13638342502077805
2014-06-11,3915,4130,4130,3910,56347000.0,-3.33,-0.0339015516756813,-0.018789398530282497
2014-06-12,3950,3930,4050,3810,36645000.0,0.89,0.008900249470264,-0.3496548174703179
2014-06-13,3840,3950,3975,3800,31532000.0,-2.78,-0.028243212313395,-0.13952790285168504
2014-06-16,3720,3850,3900,3655,49855000.0,-3.13,-0.0317486983145803,0.5810922237726754
2014-06-17,3550,3720,3725,3525,100000000.0,-4.57,-0.0467760647977307,1.0058168689198674
2014-06-18,3595,3525,3665,3470,70012000.0,1.27,0.0125963876856855,-0.29988000000000004
2014-06-19,3595,3570,3640,3565,33129000.0,0.0,0.0,-0.5268096897674684
2014-06-20,3565,3510,3585,3510,32316000.0,-0.83,-0.0083799373067506,-0.024540432853391247
2014-06-23,3140,3565,3585,3125,129000000.0,-11.92,-0.1269412539460973,2.991830672112885
2014-06-24,3295,3200,3405,3195,151000000.0,4.94,0.0481833680343084,0.1705426356589148
2014-06-25,3250,3390,3410,3245,60261000.0,-1.37,-0.0137511716128244,-0.6009205298013245
2014-06-26,3325,3300,3385,3250,41761000.0,2.31,0.0228146777661712,-0.3069978925009542
2014-06-27,3320,3375,3380,3295,22533000.0,-0.15,-0.0015048911794202,-0.46042958741409445
2014-06-30,3400,3325,3415,3320,31517000.0,2.41,0.0238106486937186,0.3987041228420538
2014-07-01,3735,3445,3750,3380,120000000.0,9.85,0.093972386962665,2.8074689849922265
2014-07-02,3745,3790,3800,3675,75916000.0,0.27,0.0026737983844022,-0.3673666666666666
2014-07-03,3685,3770,3795,3680,43115000.0,-1.6,-0.0161510913278828,-0.4320696559355076
2014-07-04,3850,3720,3885,3690,101000000.0,4.48,0.0438026226583928,1.3425721906529051
2014-07-07,3840,3900,3905,3740,56794000.0,-0.26,-0.0026007817000573,-0.43768316831683163
2014-07-08,3720,3785,3880,3710,38325000.0,-3.13,-0.0317486983145803,-0.3251928020565553
2014-07-09,3835,3655,3850,3550,72599000.0,3.09,0.0304457665341644,0.8942987606001305
2014-07-10,4000,3900,4090,3760,149000000.0,4.3,0.0421249263006711,1.0523698673535447
2014-07-11,4045,4105,4180,4010,231000000.0,1.13,0.0111871893905643,0.5503355704697988
2014-07-14,4010,4050,4120,3985,56777000.0,-0.87,-0.0086903091919771,-0.7542121212121212
2014-07-15,4025,4000,4100,3960,74609000.0,0.37,0.0037336695520488,0.3140708385437765
2014-07-16,3980,4000,4040,3680,104000000.0,-1.12,-0.0112430915741803,0.39393370772963054
2014-07-17,3930,3970,4145,3930,79400000.0,-1.26,-0.0126423934151764,-0.2365384615384616
2014-07-18,3890,3935,4010,3850,44471000.0,-1.02,-0.0102302682508149,-0.439911838790932
2014-07-21,4095,3875,4125,3875,101000000.0,5.27,0.0513575596746778,1.2711429920622428
2014-07-22,4075,4045,4145,4000,45856000.0,-0.49,-0.0048959706122066,-0.545980198019802
2014-07-23,3840,4050,4075,3800,85659000.0,-5.77,-0.0593983800931905,0.8679998255408234
2014-07-24,3695,3805,3840,3645,74024000.0,-3.78,-0.0384918121994703,-0.1358292765500414
2014-07-25,3700,3665,3755,3640,35871000.0,0.14,0.0013522652500137,-0.5154139198097913
2014-07-28,3525,3780,3780,3465,53390000.0,-4.73,-0.0484523833859467,0.48838894929051313
2014-07-29,3450,3480,3600,3450,29364000.0,-2.13,-0.0215062052209636,-0.45000936504963474
2014-07-30,3575,3415,3605,3380,34390000.0,3.62,0.0355909451027025,0.17116196703446396
2014-07-31,3400,3495,3650,3320,48602000.0,-4.9,-0.0501897445238552,0.4132596685082872
2014-08-01,3480,3330,3515,3320,32298000.0,2.35,0.0232568621642671,-0.3354594461133287
2014-08-04,3535,3550,3565,3490,22388000.0,1.58,0.015681005562153,-0.30683014428137967
2014-08-05,3420,3535,3535,3355,33129000.0,-3.25,-0.0330727482740223,0.47976594604252276
2014-08-06,3350,3380,3480,3300,40476000.0,-2.05,-0.0206802052375387,0.221769446708322
2014-08-07,3200,3345,3345,3150,95379000.0,-4.48,-0.0458095360312942,1.356433442039727
2014-08-08,3220,3205,3265,3170,34039000.0,0.63,0.0062305497506361,-0.6431185061701212
2014-08-11,3170,3200,3250,3165,27210000.0,-1.55,-0.0156497716671276,-0.2006228150063163
2014-08-12,3250,3175,3270,3140,27227000.0,2.52,0.0249234084524569,0.0006247703050348274
2014-08-13,3390,3260,3390,3260,39083000.0,4.31,0.0421749250507127,0.43545010467550593
2014-08-14,3500,3415,3545,3350,48633000.0,3.24,0.031933047103009,0.24435176419415083
2014-08-18,3400,3575,3575,3370,46703000.0,-2.86,-0.0289875368732522,-0.039684987559887364
2014-08-19,3320,3380,3400,3275,36766000.0,-2.35,-0.0238106486937185,-0.21277005759801293
2014-08-20,3310,3320,3400,3255,34695000.0,-0.3,-0.0030165935394256,-0.05632921721155415
2014-08-21,3590,3325,3650,3325,105000000.0,8.46,0.0812040131112159,2.0263726761781236
2014-08-22,3620,3670,3670,3535,54817000.0,0.84,0.0083218233374922,-0.4779333333333333
2014-08-25,3500,3615,3650,3500,42109000.0,-3.31,-0.0337110573423117,-0.23182589342722149
2014-08-26,3510,3510,3535,3465,27257000.0,0.29,0.0028530689824064,-0.3527036975468427
2014-08-27,3450,3525,3660,3380,73434000.0,-1.71,-0.0172418064345061,1.6941336170525
2014-08-28,3385,3440,3505,3320,48879000.0,-1.88,-0.0190203246790301,-0.3343818939455838
2014-08-29,3695,3435,3705,3390,139000000.0,9.16,0.0876266480359267,1.8437570326725177
2014-09-01,3925,3800,3960,3770,207000000.0,6.22,0.0603857968342066,0.48920863309352525
2014-09-02,3955,3970,3985,3840,114000000.0,0.76,0.0076142499852454,-0.4492753623188406
2014-09-03,4050,3965,4140,3915,152000000.0,2.4,0.0237362798988305,0.33333333333333326
2014-09-04,4135,4155,4265,3890,231000000.0,2.1,0.0207704473572069,0.519736842105263
2014-09-05,4090,4080,4125,4015,83835000.0,-1.09,-0.0109423584209442,-0.6370779220779221
2014-09-11,4060,4145,4230,4015,72499000.0,-0.73,-0.007361996441069,-0.13521798771396198
2014-09-12,3910,4060,4075,3860,67863000.0,-3.69,-0.0376455996163668,-0.06394570959599444
2014-09-15,3915,3830,3980,3800,72092000.0,0.13,0.0012779554454919,0.06231672634572605
2014-09-16,3915,3900,3950,3850,42726000.0,0.0,0.0,-0.40734062031848195
2014-09-17,3750,3915,3915,3730,62599000.0,-4.21,-0.043059489460447,0.46512662079295986
2014-09-18,3855,3760,3865,3730,62690000.0,2.8,0.0276151670329733,0.0014536973434080558
2014-09-19,3745,3815,3850,3725,60732000.0,-2.85,-0.02894939004611,-0.03123305152336897
2014-09-22,3675,3745,3780,3620,53566000.0,-1.87,-0.0188684843043828,-0.11799380886517818
2014-09-23,3520,3675,3690,3430,86791000.0,-4.22,-0.0430921430547943,0.6202628533024679
2014-09-24,3565,3455,3625,3450,40994000.0,1.28,0.0127030642562534,-0.527669919692134
2014-09-25,3510,3605,3615,3485,24825000.0,-1.54,-0.0155480163884847,-0.3944235741815876
2014-09-26,3690,3575,3710,3515,68744000.0,5.13,0.0500104205746614,1.769144008056395
2014-09-29,3655,3690,3755,3595,50351000.0,-0.95,-0.0095303648506939,-0.26755789596182944
2014-09-30,3435,3670,3705,3370,84329000.0,-6.02,-0.0620791675274292,0.6748227443347699
2014-10-01,3315,3440,3460,3280,63142000.0,-3.49,-0.0355593020364868,-0.2512421586879958
2014-10-02,3370,3300,3390,3205,30632000.0,1.66,0.0164551207264444,-0.5148712425960533
2014-10-06,3260,3420,3420,3250,41650000.0,-3.26,-0.033185548985654,0.35968921389396713
2014-10-07,3320,3205,3330,3205,21826000.0,1.84,0.0182375875497807,-0.47596638655462187
2014-10-08,3325,3270,3370,3260,19436000.0,0.15,0.0015048911794203,-0.10950242829652712
2014-10-10,2830,3270,3330,2830,260000000.0,-14.89,-0.1611929624526712,12.377238114838445
2014-10-13,2420,2800,2805,2410,218000000.0,-14.49,-0.1565091714865512,-0.16153846153846152
2014-10-14,2540,2420,2610,2420,115000000.0,4.96,0.0483965408618502,-0.47247706422018354
2014-10-15,2540,2580,2645,2480,70054000.0,0.0,0.0,-0.39083478260869564
2014-10-16,2590,2530,2620,2415,41262000.0,1.97,0.0194937946810011,-0.41099723070773975
2014-10-17,2585,2590,2650,2530,27336000.0,-0.19,-0.0019323677510539,-0.33750181765304643
2014-10-20,2825,2600,2895,2600,92316000.0,9.28,0.0887828566380118,2.377085162423178
2014-10-21,2860,2880,2925,2785,40640000.0,1.24,0.0123132602333568,-0.5597729537674943
