일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2016-05-23,2585,-5,-0.19,2610,2610,2570,108611,281111455,179741646920,69532552
2016-05-24,2570,-15,-0.58,2585,2605,2560,109859,281917790,178698658640,69532552
2016-05-25,2580,10,0.39,2590,2630,2570,168497,436431875,179393984160,69532552
2016-05-26,2570,-10,-0.39,2600,2600,2565,99510,256091485,178698658640,69532552
2016-05-27,2590,20,0.78,2570,2600,2570,119022,306888835,180089309680,69532552
2016-05-30,2595,5,0.19,2580,2620,2580,160459,417723115,180436972440,69532552
2016-05-31,2620,25,0.96,2600,2625,2600,162355,424245675,182175286240,69532552
2016-06-01,2610,-10,-0.38,2630,2630,2605,138109,361104985,181479960720,69532552
2016-06-02,2600,-10,-0.38,2635,2640,2595,157777,411507760,180784635200,69532552
2016-06-03,2600,0,0.0,2600,2620,2580,102359,265482780,180784635200,69532552
2016-06-07,2605,5,0.19,2590,2620,2585,141353,367437040,181132297960,69532552
2016-06-08,2610,5,0.19,2610,2640,2600,184373,482983250,181479960720,69532552
2016-06-09,2655,45,1.72,2620,2680,2610,341683,904411160,184608925560,69532552
2016-06-10,2645,-10,-0.38,2655,2670,2630,136430,360740515,183913600040,69532552
2016-06-13,2605,-40,-1.51,2645,2650,2595,186983,488890900,181132297960,69532552
2016-06-14,2585,-20,-0.77,2580,2610,2550,214252,552531220,179741646920,69532552
2016-06-15,2555,-30,-1.16,2590,2595,2555,181647,465903845,177655670360,69532552
2016-06-16,2545,-10,-0.39,2565,2580,2500,135998,345555135,176960344840,69532552
2016-06-17,2530,-15,-0.59,2565,2565,2520,151452,383115015,175917356560,69532552
2016-06-20,2535,5,0.2,2550,2565,2525,126392,320871330,176265019320,69532552
2016-06-21,2495,-40,-1.58,2535,2550,2495,364700,915022165,173483717240,69532552
2016-06-22,2525,30,1.2,2510,2530,2495,104963,263685540,175569693800,69532552
2016-06-23,2485,-40,-1.58,2515,2515,2465,168980,420648385,172788391720,69532552
2016-06-24,2435,-50,-2.01,2500,2580,2290,485299,1177371920,169311764120,69532552
2016-06-27,2430,-5,-0.21,2295,2445,2295,132543,316563805,168964101360,69532552
2016-06-28,2455,25,1.03,2425,2455,2400,107807,261829475,170702415160,69532552
2016-06-29,2490,35,1.43,2455,2500,2455,143660,357056115,173136054480,69532552
2016-06-30,2460,-30,-1.2,2515,2525,2450,124356,308038025,171050077920,69532552
2016-07-01,2495,35,1.42,2470,2510,2470,121766,303287680,173483717240,69532552
2016-07-04,2490,-5,-0.2,2495,2515,2490,116661,291712215,173136054480,69532552
2016-07-05,2490,0,0.0,2505,2515,2490,70882,176992305,173136054480,69532552
2016-07-06,2480,-10,-0.4,2500,2500,2450,138686,341780480,172440728960,69532552
2016-07-07,2495,15,0.6,2480,2535,2460,211285,528697885,173483717240,69532552
2016-07-08,2460,-35,-1.4,2505,2510,2435,171119,421106585,171050077920,69532552
2016-07-11,2400,-60,-2.44,2430,2440,2375,391573,939577000,166878124800,69532552
2016-07-12,2410,10,0.42,2390,2410,2385,105485,253287390,167573450320,69532552
2016-07-13,2415,5,0.21,2410,2430,2405,106516,257727295,167921113080,69532552
2016-07-14,2410,-5,-0.21,2425,2425,2395,139396,335426775,167573450320,69532552
2016-07-15,2380,-30,-1.24,2430,2430,2375,237852,568092785,165487473760,69532552
2016-07-18,2395,15,0.63,2385,2400,2375,130321,310758385,166530462040,69532552
2016-07-19,2405,10,0.42,2410,2435,2390,155797,374901180,167225787560,69532552
2016-07-20,2375,-30,-1.25,2415,2420,2350,197335,467571725,165139811000,69532552
2016-07-21,2360,-15,-0.63,2390,2395,2340,230634,545135930,164096822720,69532552
2016-07-22,2330,-30,-1.27,2365,2365,2315,271521,631288175,162010846160,69532552
2016-07-25,2335,5,0.21,2340,2365,2310,138183,322749610,162358508920,69532552
2016-07-26,2345,10,0.43,2335,2365,2335,154584,363058535,163053834440,69532552
2016-07-27,2340,-5,-0.21,2355,2355,2325,179193,418463965,162706171680,69532552
2016-07-28,2400,60,2.56,2350,2410,2340,220640,524030265,166878124800,69532552
2016-07-29,2370,-30,-1.25,2400,2415,2365,114849,273870160,164792148240,69532552
2016-08-01,2345,-25,-1.05,2390,2395,2325,186747,438865800,163053834440,69532552
2016-08-02,2260,-85,-3.62,2325,2350,2235,431558,987934895,157143567520,69532552
2016-08-03,2230,-30,-1.33,2250,2260,2180,273296,603872080,155057590960,69532552
2016-08-04,2235,5,0.22,2215,2250,2180,180135,399746840,155405253720,69532552
2016-08-05,2110,-125,-5.59,2220,2220,2105,548304,1168375175,146713684720,69532552
2016-08-08,2180,70,3.32,2095,2190,2095,259238,559698575,151580963360,69532552
2016-08-09,2255,75,3.44,2165,2270,2165,315674,706787690,156795904760,69532552
2016-08-10,2325,70,3.1,2275,2330,2265,275444,634717980,161663183400,69532552
2016-08-11,2310,-15,-0.65,2325,2325,2295,117257,269793975,160620195120,69532552
