날짜,종가,시가,고가,저가,거래량,변동 %,로그 수익률,거래량 변화율
2014-03-17,50000,51500,51600,48550,51768000.0,-3.29,-0.0334347760862373,
2014-03-18,51000,50100,51100,49250,24908000.0,2.0,0.0198026272961797,-0.518853345696183
2014-03-19,49750,51000,51300,49650,19928000.0,-2.45,-0.024815169119724,-0.19993576361008514
2014-03-20,47800,46550,49050,45800,149000000.0,-3.92,-0.0399848241071915,6.476916900843035
2014-03-21,49000,47800,49000,46900,58851000.0,2.51,0.0247946586132162,-0.6050268456375839
2014-03-24,47200,49200,49200,46200,63401000.0,-3.67,-0.0374264055191169,0.07731389441130987
2014-03-25,45850,46500,46950,45150,50128000.0,-2.86,-0.0290186938890358,-0.20935001025220423
2014-03-26,46900,46150,47000,45850,32069000.0,2.29,0.0226424767497597,-0.36025774018512613
2014-03-27,46250,46450,46750,45350,32618000.0,-1.39,-0.0139562114937994,0.017119336430821086
2014-03-28,46400,45050,46400,44400,58484000.0,0.32,0.0032379952737753,0.7929977313139984
2014-03-31,47250,46650,47550,46200,31210000.0,1.83,0.0181531947075421,-0.46634977087750495
2014-04-01,49150,47550,49350,47450,41736000.0,4.02,0.0394241926534237,0.337263697532842
2014-04-02,49200,49500,49950,48600,22167000.0,0.1,0.0010167769050868,-0.4688757906843013
2014-04-03,48600,49200,49300,48100,18005000.0,-1.22,-0.0122700925918143,-0.18775657508909638
2014-04-04,47350,48200,48850,47150,25727000.0,-2.57,-0.0260567112743607,0.4288808664259929
2014-04-07,46600,47300,47900,46300,21522000.0,-1.58,-0.0159662785004871,-0.16344696233528977
2014-04-08,48150,46750,48250,46650,18600000.0,3.33,0.0327205971125343,-0.13576805129634795
2014-04-09,48200,48300,48750,47700,15295000.0,0.1,0.00103788281242,-0.1776881720430108
2014-04-10,48000,48400,48550,47500,11245000.0,-0.41,-0.0041580101486636,-0.26479241582216406
2014-04-11,48050,47500,48200,47300,10494000.0,0.1,0.0010411245084105,-0.06678523788350377
2014-04-14,48200,48400,48550,47950,13182000.0,0.31,0.0031168856402531,0.25614636935391655
2014-04-15,47200,48100,48350,46600,33109000.0,-2.07,-0.0209651284650449,1.511682597481414
2014-04-16,47550,47200,48300,47000,20603000.0,0.74,0.0073878963998895,-0.377722069527923
2014-04-17,47600,47450,48200,47300,16040000.0,0.11,0.001050972245975,-0.221472601077513
2014-04-18,49400,48100,49600,47950,40683000.0,3.78,0.0371176629565025,1.5363466334164588
2014-04-21,48900,49300,49400,48200,20125000.0,-1.01,-0.0101730277130505,-0.5053216331145687
2014-04-22,51000,49000,51000,48900,44093000.0,4.29,0.0420482362434994,1.1909565217391305
2014-04-23,50500,51200,51200,49800,22946000.0,-0.98,-0.0098522964430115,-0.4795999364978568
2014-04-24,49900,50500,50900,48600,23702000.0,-1.19,-0.0119523335238411,0.032946918852959195
2014-04-25,49650,49900,50100,48950,18804000.0,-0.5,-0.0050226122662913,-0.20664922791325624
