일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,거래량 변화율
2014-08-22,48000,-3100,-6.07,50500,51400,47750,1062988,52562574000,720845568000,15017616,
2014-08-25,46200,-1800,-3.75,48150,48350,46050,656489,30881700400,693813859200,15017616,-0.3824116546941264
2014-08-26,51200,5000,10.82,46950,51900,46800,1463631,72490444100,768901939200,15017616,1.2294829007035912
2014-08-27,49000,-2200,-4.3,51000,51300,48000,768406,38044366850,735863184000,15017616,-0.4750001878888873
2014-08-28,48700,-300,-0.61,49250,50200,47850,356980,17496225300,731357899200,15017616,-0.5354278857791324
2014-08-29,48700,0,0.0,48500,49650,48450,305389,14983819100,731357899200,15017616,-0.14452070143985662
2014-09-01,50300,1600,3.29,49750,51600,49750,582929,29436220750,755386084800,15017616,0.9088081103117662
2014-09-02,49850,-450,-0.89,50600,50600,49450,270112,13487753900,748628157600,15017616,-0.5366296753120878
2014-09-03,49300,-550,-1.1,50400,50700,48550,334730,16550889450,740368468800,15017616,0.23922669115033757
2014-09-04,49300,0,0.0,50300,51000,49200,358269,17925159150,740368468800,15017616,0.07032234935619752
2014-09-05,50400,1100,2.23,49300,50400,48800,253913,12647433800,756887846400,15017616,-0.29127834113473394
2014-09-11,50600,200,0.4,51200,52400,50400,414116,21274626000,759891369600,15017616,0.6309365806398255
2014-09-12,51200,600,1.19,51800,53700,50300,1151177,60071713600,768901939200,15017616,1.779841880052932
2014-09-15,52100,900,1.76,51900,52900,51000,623964,32569035000,782417793600,15017616,-0.45797735708757215
2014-09-16,53200,1100,2.11,54000,55600,53000,1382346,75116867300,798937171200,15017616,1.2154258899551897
2014-09-17,53500,300,0.56,53400,54100,52300,386689,20612393900,803442456000,15017616,-0.7202661272937456
2014-09-18,54200,700,1.31,53700,54500,52800,391199,21042762200,813954787200,15017616,0.011663119457755444
2014-09-19,52900,-1300,-2.4,54100,54500,52900,367741,19617525200,794431886400,15017616,-0.05996436596208066
2014-09-22,51500,-1400,-2.65,52400,52700,50700,443708,22761587900,773407224000,15017616,0.20657745532861438
2014-09-23,51300,-200,-0.39,51100,51300,49700,328972,16628261550,770403700800,15017616,-0.25858447447420374
2014-09-24,51600,300,0.58,51300,52700,51000,267884,13920189500,774908985600,15017616,-0.18569361526208916
2014-09-25,51600,0,0.0,51900,52500,51000,159136,8229483900,774908985600,15017616,-0.40595182989652234
2014-09-26,51500,-100,-0.19,51100,51900,50300,190798,9721667300,773407224000,15017616,0.1989618942288358
2014-09-29,50700,-800,-1.55,51800,52100,49950,211486,10820559400,761393131200,15017616,0.10842880952630529
2014-09-30,51500,800,1.58,50100,52000,48800,339643,17158092100,773407224000,15017616,0.6059833747860379
2014-10-01,49550,-1950,-3.79,51000,51900,49500,248230,12507346300,744122872800,15017616,-0.2691443662904873
2014-10-02,51000,1450,2.93,48800,51400,48450,245724,12332811550,765898416000,15017616,-0.010095475969866707
2014-10-06,50600,-400,-0.78,51000,52000,50400,221818,11365668900,759891369600,15017616,-0.09728801419478761
2014-10-07,52200,1600,3.16,50900,52900,50900,396843,20737228500,783919555200,15017616,0.7890477779080147
2014-10-08,51600,-600,-1.15,52200,52800,51100,295728,15315295300,774908985600,15017616,-0.254798497138667
2014-10-10,49500,-2100,-4.07,50900,51700,48650,303341,15153047800,743371992000,15017616,0.025743250554563613
