날짜,종가,시가,고가,저가,거래량,변동 %
2020-10-16,198495,250470,250470,197010,444000000.0,-22.29
2020-10-19,187110,196515,200475,185130,197000000.0,-5.74
2020-10-20,180675,188100,191565,174240,177000000.0,-3.44
2020-10-21,177210,178695,183645,175230,162000000.0,-1.92
2020-10-22,178200,174735,183150,173745,117000000.0,0.56
2020-10-23,170775,181170,182160,169785,89373000.0,-4.17
2020-10-25,172500,172500,172500,172500,,1.01
2020-10-26,154440,171270,171765,154440,96726000.0,-10.47
2020-10-27,160875,152955,164340,150975,111000000.0,4.17
2020-10-28,156915,159885,161865,155925,55978000.0,-2.46
2020-10-29,155430,153945,159885,152955,51409000.0,-0.95
2020-10-30,140580,147510,149985,140580,113000000.0,-9.55
2020-11-01,142000,142000,142000,142000,,1.01
2020-11-02,142065,141075,145035,139590,40982000.0,0.05
2020-11-03,150480,143055,150480,143055,68793000.0,5.92
2020-11-04,147510,151965,151965,145530,32875000.0,-1.97
2020-11-05,162360,148995,171270,148500,157000000.0,10.07
2020-11-06,160380,162855,164340,157905,41303000.0,-1.22
2020-11-08,162000,162000,162000,162000,,1.01
2020-11-09,161370,162360,167805,159390,42924000.0,-0.39
2020-11-10,166320,166815,169785,164835,49197000.0,3.07
2020-11-11,162360,168795,170280,161370,29595000.0,-2.38
2020-11-12,155925,162360,162360,154440,32511000.0,-3.96
2020-11-13,158400,154935,160875,154440,21843000.0,1.59
2020-11-15,160000,160000,160000,160000,,1.01
2020-11-16,169785,153945,170280,152955,116000000.0,6.12
2020-11-17,177705,167310,181170,163845,92935000.0,4.66
2020-11-18,179685,179685,183645,176220,41745000.0,1.11
2020-11-19,178200,179685,180675,174240,28740000.0,-0.83
2020-11-20,182655,180180,191070,176220,81998000.0,2.5
2020-11-22,184500,184500,184500,184500,,1.01
2020-11-23,178200,183150,184140,176220,40342000.0,-3.41
2020-11-24,179190,179190,179685,172260,38514000.0,0.56
2020-11-25,172260,181665,182655,170775,44061000.0,-3.87
2020-11-26,174240,175230,179685,173250,34349000.0,1.15
2020-11-27,176220,176220,176715,173250,12728000.0,1.14
2020-11-29,178000,178000,178000,178000,,1.01
2020-11-30,177705,176220,179190,174735,17667000.0,-0.17
2020-12-01,179190,180675,183150,177705,32876000.0,0.84
2020-12-02,180180,181170,181170,178200,19583000.0,0.55
2020-12-03,187605,181665,188595,180180,67119000.0,4.12
2020-12-04,185625,187110,187605,183150,25852000.0,-1.06
2020-12-07,178695,186615,186615,178200,25364000.0,-3.73
2020-12-08,180180,178200,181665,175230,20253000.0,0.83
2020-12-09,178200,181170,181170,178200,15536000.0,-1.1
2020-12-10,179685,177210,179685,175230,38896000.0,0.83
2020-12-11,178695,180180,180180,177210,14368000.0,-0.55
2020-12-14,173745,177705,177705,173250,19833000.0,-2.77
2020-12-15,170280,173745,173745,168795,15146000.0,-1.99
2020-12-16,171270,171270,172260,169290,9647000.0,0.58
2020-12-17,159885,167310,167310,158895,71674000.0,-6.65
2020-12-18,160380,160875,162360,158895,16125000.0,0.31
2020-12-20,162000,162000,162000,162000,,1.01
2020-12-21,156915,160380,160380,155430,15894000.0,-3.14
2020-12-22,152955,155925,156915,152460,16552000.0,-2.52
2020-12-23,151470,152955,156420,150975,14868000.0,-0.97
2020-12-24,156420,151470,156915,149985,13308000.0,3.27
2020-12-28,154935,156915,157410,153450,11532000.0,-0.95
2020-12-29,156915,154935,158895,153450,11116000.0,1.28
2020-12-30,158400,156915,159390,155925,11808000.0,0.95
2021-01-04,156420,158400,158895,154440,15337000.0,-1.25
2021-01-05,156915,155430,157410,153945,16817000.0,0.32
2021-01-06,156915,158400,159390,155925,14873000.0,0.0
2021-01-07,155430,156915,157905,155430,13996000.0,-0.95
2021-01-08,158895,156420,160380,153450,28580000.0,2.23
2021-01-11,152955,160380,160875,152460,25428000.0,-3.74
2021-01-12,151965,152955,155430,148500,20378000.0,-0.65
2021-01-13,166815,151965,178200,151470,209000000.0,9.77
2021-01-14,164340,164835,168795,161865,34272000.0,-1.48
2021-01-15,155430,159390,160875,155430,69369000.0,-5.42
2021-01-17,157000,157000,157000,157000,,1.01
2021-01-18,163845,154440,166815,152955,63430000.0,4.36
2021-01-19,171765,166320,172755,165330,46215000.0,4.83
2021-01-20,174240,172260,175230,167310,42638000.0,1.44
2021-01-21,171270,176220,176220,171270,24262000.0,-1.7
2021-01-22,190575,171270,196020,169785,222000000.0,11.27
2021-01-24,192500,192500,192500,192500,,1.01
2021-01-25,201465,199980,214830,195525,190000000.0,4.66
2021-01-26,208395,201465,216810,192555,90290000.0,3.44
2021-01-27,205425,205920,219285,204435,94317000.0,-1.43
2021-01-28,217800,210870,222750,206415,166000000.0,6.02
2021-01-29,202455,219780,219780,198495,77294000.0,-7.05
2021-01-31,204500,204500,204500,204500,,1.01
2021-02-01,215325,202455,215325,197010,60936000.0,5.29
2021-02-02,230175,216810,240075,211365,137000000.0,6.9
2021-02-03,230175,229185,238590,223245,54772000.0,0.0
2021-02-04,239085,231660,244530,226215,86558000.0,3.87
2021-02-05,240570,241065,247005,235125,40048000.0,0.62
2021-02-08,243045,244530,248985,240570,32773000.0,1.03
2021-02-09,228690,239580,240075,227700,58694000.0,-5.91
2021-02-10,229185,229680,238590,228195,38999000.0,0.22
2021-02-14,231500,231500,231500,231500,,1.01
2021-02-15,224235,230670,234630,223740,30746000.0,-3.14
2021-02-16,245520,225720,253935,225225,93911000.0,9.49
2021-02-17,246510,245025,252450,239580,39539000.0,0.4
2021-02-18,239085,252450,256410,237105,43817000.0,-3.01
2021-02-19,232155,240075,243540,226710,34294000.0,-2.9
2021-02-21,234500,234500,234500,234500,,1.01
2021-02-22,224730,233640,234135,224235,22500000.0,-4.17
2021-02-23,226215,225225,232155,218790,20790000.0,0.66
2021-02-24,208890,232155,237105,207900,57356000.0,-7.66
2021-02-25,209880,212850,214335,202950,38693000.0,0.47
2021-02-26,204435,200475,206910,198495,27257000.0,-2.59
2021-03-02,204930,210870,214335,203940,17490000.0,0.24
2021-03-03,210375,207900,212355,205920,22757000.0,2.66
2021-03-04,210870,207405,214830,206910,23517000.0,0.24
2021-03-05,205425,207405,207900,202455,16707000.0,-2.58
2021-03-08,205920,207405,213345,203940,28270000.0,0.24
2021-03-09,198000,207405,208890,195030,30386000.0,-3.85
2021-03-10,191070,201465,201960,190575,21530000.0,-3.5
2021-03-11,209385,192555,211365,191070,44930000.0,9.59
2021-03-12,225720,212850,226215,212355,46228000.0,7.8
2021-03-14,228000,228000,228000,228000,,1.01
2021-03-15,215820,217800,224235,211860,35769000.0,-5.34
2021-03-16,216810,218790,220770,213840,18156000.0,0.46
2021-03-17,228690,217800,231660,217800,38909000.0,5.48
2021-03-18,231660,229680,233145,227700,25323000.0,1.3
2021-03-19,223740,226215,229185,220770,21196000.0,-3.42
2021-03-21,226000,226000,226000,226000,,1.01
2021-03-22,227700,225225,232155,224235,20362000.0,0.75
2021-03-23,219780,229680,232155,217800,18312000.0,-3.48
2021-03-24,216810,218790,223245,213840,14417000.0,-1.35
2021-03-25,233145,216810,233145,216315,30456000.0,7.53
2021-03-26,239580,234630,240570,226710,39824000.0,2.76
2021-03-28,242000,242000,242000,242000,,1.01
2021-03-29,234135,241065,241065,231660,22634000.0,-3.25
2021-03-30,240075,235620,246015,234630,36050000.0,2.54
2021-03-31,240570,242550,248490,238590,27533000.0,0.21
2021-04-01,236610,243540,244530,231660,28043000.0,-1.65
2021-04-02,240570,237600,241065,231660,45220000.0,1.67
2021-04-04,243000,243000,243000,243000,,1.01
2021-04-05,245520,252450,262350,241065,167000000.0,1.04
2021-04-06,256410,250470,261855,248985,92655000.0,4.44
2021-04-07,273240,259380,276705,253935,104000000.0,6.56
2021-04-08,264330,275220,282150,262350,63522000.0,-3.26
2021-04-09,255420,265320,269280,254430,51094000.0,-3.37
2021-04-11,258000,258000,258000,258000,,1.01
2021-04-12,249975,253440,259875,247500,45894000.0,-3.11
2021-04-13,249975,252945,255915,248985,31751000.0,0.0
2021-04-14,233145,239085,244530,229680,102000000.0,-6.73
2021-04-15,247500,225225,252450,225225,126000000.0,6.16
2021-04-16,249000,253500,255500,242500,43781000.0,0.61
2021-04-18,249000,249000,249000,249000,,0.0
2021-04-19,241500,250000,254000,240500,34579000.0,-3.01
2021-04-20,242000,241000,247500,239500,21442000.0,0.21
2021-04-21,242000,242000,246500,241000,22961000.0,0.0
2021-04-22,255000,246000,256000,245500,44460000.0,5.37
2021-04-23,258500,256000,261500,251500,28351000.0,1.37
2021-04-26,259000,260000,262500,255500,21560000.0,0.19
2021-04-27,256000,260000,264500,255000,23338000.0,-1.16
2021-04-28,244000,257000,258500,242000,40936000.0,-4.69
2021-04-29,243500,247000,247500,242000,17499000.0,-0.2
2021-04-30,243000,244500,249000,240000,18237000.0,-0.21
2021-05-02,243000,243000,243000,243000,,0.0
2021-05-03,236500,243000,245000,234000,19406000.0,-2.67
2021-05-04,239500,237000,240500,234000,19427000.0,1.27
2021-05-05,239500,239500,239500,239500,,0.0
2021-05-06,251000,240000,251000,237000,26300000.0,4.8
2021-05-07,252500,253500,256000,249000,19328000.0,0.6
2021-05-09,252500,252500,252500,252500,,0.0
2021-05-10,258500,255500,262000,253500,25566000.0,2.38
2021-05-11,259000,258000,261000,253500,19329000.0,0.19
2021-05-12,246000,259000,264000,244500,37983000.0,-5.02
2021-05-13,240500,242000,246000,238000,24708000.0,-2.24
2021-05-14,242500,245000,245000,241000,14886000.0,0.83
2021-05-16,242500,242500,242500,242500,,0.0
2021-05-17,248500,242500,248500,242500,14258000.0,2.47
2021-05-18,260500,250000,260500,249000,39388000.0,4.83
2021-05-19,260500,260500,260500,260500,,0.0
2021-05-20,266000,261000,266000,255000,33970000.0,2.11
2021-05-21,261500,268000,272000,257500,35555000.0,-1.69
2021-05-23,261500,261500,261500,261500,,0.0
2021-05-24,263500,263000,272000,261000,49008000.0,0.76
2021-05-25,260500,265000,266000,255000,30555000.0,-1.14
2021-05-26,259000,261500,264000,256500,25512000.0,-0.58
2021-05-27,253000,259500,260000,252000,102000000.0,-2.32
2021-05-28,261000,255000,263000,254500,27219000.0,3.16
2021-05-30,261000,261000,261000,261000,,0.0
2021-05-31,265000,263500,267000,261500,22333000.0,1.53
2021-06-01,261000,266000,266500,258000,18215000.0,-1.51
2021-06-02,263500,263000,266500,261500,20305000.0,0.96
2021-06-03,269500,264000,274000,262500,40454000.0,2.28
2021-06-04,266000,268500,269000,260000,28320000.0,-1.3
2021-06-07,265500,267000,268000,261000,15249000.0,-0.19
2021-06-08,265000,265000,267000,263500,15243000.0,-0.19
2021-06-09,262000,265000,265000,261000,16529000.0,-1.13
2021-06-10,272500,262000,279000,261500,83785000.0,4.01
2021-06-11,275500,272500,277500,271500,30532000.0,1.1
2021-06-13,275500,275500,275500,275500,,0.0
2021-06-14,282000,277000,286000,276500,45005000.0,2.36
2021-06-15,289000,285000,293000,279500,40955000.0,2.48
2021-06-16,292000,290500,298000,287000,42624000.0,1.04
2021-06-17,297000,292000,301000,289000,46556000.0,1.71
2021-06-18,313000,298500,326500,297500,125000000.0,5.39
2021-06-20,313000,313000,313000,313000,,0.0
2021-06-21,308000,313000,321000,299500,55288000.0,-1.6
2021-06-22,324500,311000,324500,311000,54367000.0,5.36
2021-06-23,321500,334500,337000,318500,67393000.0,-0.92
2021-06-24,322000,326000,329500,317500,37311000.0,0.16
2021-06-25,314000,326000,326500,312000,35293000.0,-2.48
2021-06-27,314000,314000,314000,314000,,0.0
2021-06-28,312000,310500,317000,307500,26211000.0,-0.64
2021-06-29,289000,288500,294500,286500,195000000.0,-7.37
2021-06-30,292500,290500,298500,289000,99688000.0,1.21
2021-07-01,302000,293500,304500,292500,73163000.0,3.25
2021-07-02,303000,302000,305500,296500,65245000.0,0.33
2021-07-04,303000,303000,303000,303000,,0.0
2021-07-05,306500,306000,315000,303000,43606000.0,1.16
2021-07-06,302000,307500,308500,300500,31823000.0,-1.47
2021-07-07,297500,303000,304000,297000,36690000.0,-1.49
2021-07-08,294000,298500,301500,290000,36722000.0,-1.18
2021-07-09,308000,291500,310000,289000,66065000.0,4.76
2021-07-11,308000,308000,308000,308000,,0.0
2021-07-12,307000,310000,314500,302500,38481000.0,-0.32
2021-07-13,309000,306500,315000,306000,40402000.0,0.65
2021-07-14,319000,312000,323000,309000,52818000.0,3.24
2021-07-15,319500,320000,322000,315500,23613000.0,0.16
2021-07-16,317500,319000,319000,314500,22562000.0,-0.63
2021-07-18,317500,317500,317500,317500,,0.0
2021-07-19,315000,317000,317500,310500,20760000.0,-0.79
2021-07-20,306000,311500,318500,299000,47910000.0,-2.86
2021-07-21,298500,311000,312000,296500,38611000.0,-2.45
2021-07-22,301500,301500,306500,298500,25293000.0,1.01
2021-07-23,303000,300500,306500,299000,19393000.0,0.5
2021-07-25,303000,303000,303000,303000,,0.0
2021-07-26,299000,305000,307000,298500,16816000.0,-1.32
2021-07-27,298500,301000,302000,296500,12784000.0,-0.17
2021-07-28,299000,299000,303500,297500,15198000.0,0.17
2021-07-29,297000,299500,302000,295000,15880000.0,-0.67
2021-07-30,289500,296500,297000,289500,23023000.0,-2.53
2021-08-01,289500,289500,289500,289500,,0.0
2021-08-02,294500,292500,299000,291000,19570000.0,1.73
2021-08-03,291500,295000,301000,289000,20892000.0,-1.02
2021-08-04,295500,291500,297500,290000,13076000.0,1.37
2021-08-05,298500,297000,300500,295500,16175000.0,1.02
2021-08-06,310000,303500,310500,298000,32456000.0,3.85
2021-08-08,310000,310000,310000,310000,,0.0
2021-08-09,308000,307500,311500,304000,18816000.0,-0.65
2021-08-10,313500,308000,316000,306500,25807000.0,1.79
2021-08-11,301000,312500,313000,299000,23821000.0,-3.99
2021-08-12,303500,304000,305500,299500,15835000.0,0.83
2021-08-13,299000,301000,303000,296500,15785000.0,-1.48
2021-08-16,299000,299000,299000,299000,,0.0
2021-08-17,291500,299500,303500,289000,21978000.0,-2.51
2021-08-18,293000,289500,295000,282000,17283000.0,0.51
2021-08-19,285000,290500,294000,285000,15411000.0,-2.73
2021-08-20,274000,284000,290500,267500,37214000.0,-3.86
2021-08-22,274000,274000,274000,274000,,0.0
2021-08-23,283500,274500,284500,274500,13942000.0,3.47
2021-08-24,288500,286000,292000,286000,13119000.0,1.76
2021-08-25,285500,288500,290000,283500,9968000.0,-1.04
2021-08-26,287000,287500,289500,285000,9240000.0,0.53
2021-08-27,284500,286500,288000,283000,9008000.0,-0.87
