날짜,종가,시가,고가,저가,거래량,변동 %
2014-03-14,5900,5710,6200,5710,73182000.0,1.37
2014-03-17,5820,5950,6030,5730,32839000.0,-1.36
2014-03-18,5980,5840,5990,5760,30354000.0,2.75
2014-03-19,5950,5950,6100,5920,30693000.0,-0.5
2014-03-20,5960,5710,6040,5710,34646000.0,0.17
2014-03-21,5910,5940,6000,5890,15530000.0,-0.84
2014-03-24,5980,5910,6100,5870,38710000.0,1.18
2014-03-25,5970,6000,6010,5850,35294000.0,-0.17
2014-03-26,5900,5970,6050,5850,20670000.0,-1.17
2014-03-27,5690,5910,5910,5620,49088000.0,-3.56
2014-03-28,5690,5690,5810,5500,33219000.0,0.0
2014-03-31,5750,5760,5900,5650,22930000.0,1.05
2014-04-01,5780,5690,5780,5600,26932000.0,0.52
2014-04-02,5810,5740,5820,5710,15348000.0,0.52
2014-04-03,5770,5790,5900,5670,23082000.0,-0.69
2014-04-04,5650,5760,5790,5610,28301000.0,-2.08
2014-04-07,5470,5580,5680,5440,23195000.0,-3.19
2014-04-08,5820,5480,5920,5450,58192000.0,6.4
2014-04-09,5920,6030,6180,5900,110000000.0,1.72
2014-04-10,5900,5940,6090,5890,27194000.0,-0.34
2014-04-11,6000,5820,6030,5800,23653000.0,1.69
2014-04-14,6060,6200,6240,6040,34635000.0,1.0
2014-04-15,6080,6080,6100,5960,28739000.0,0.33
2014-04-16,6090,6070,6190,6000,22142000.0,0.16
2014-04-17,5900,6080,6100,5900,23872000.0,-3.12
2014-04-18,5910,5900,5950,5840,19194000.0,0.17
2014-04-21,5950,6000,6000,5890,13222000.0,0.68
2014-04-22,6030,5910,6060,5910,24649000.0,1.34
2014-04-23,5980,6030,6110,5980,23320000.0,-0.83
2014-04-24,5910,5990,6030,5830,24005000.0,-1.17
2014-04-25,5840,5940,5950,5690,46270000.0,-1.18
2014-04-28,5580,5770,5790,5250,128000000.0,-4.45
2014-04-29,5450,5350,5480,5210,188000000.0,-2.33
2014-04-30,5160,5410,5450,5070,166000000.0,-5.32
2014-05-02,5200,5030,5320,4930,193000000.0,0.78
2014-05-07,5030,5270,5270,4985,83529000.0,-3.27
