날짜,종가,시가,고가,저가,거래량,변동 %
2014-03-10,675,656,675,656,1764000.0,4.2
2014-03-11,672,679,692,670,3091000.0,-0.47
2014-03-12,673,677,680,668,3355000.0,0.11
2014-03-13,679,678,679,661,3502000.0,0.94
2014-03-14,659,669,677,659,2424000.0,-2.96
2014-03-17,645,657,662,639,2440000.0,-2.18
2014-03-18,666,651,685,651,2905000.0,3.29
2014-03-19,674,682,691,664,1554000.0,1.28
2014-03-20,671,665,673,657,2479000.0,-0.52
2014-03-21,692,677,692,668,1355000.0,3.1
2014-03-24,674,693,697,672,1343000.0,-2.54
2014-03-25,657,670,670,646,2990000.0,-2.51
2014-03-26,663,661,665,656,3173000.0,0.93
2014-03-27,651,661,662,650,602000.0,-1.78
2014-03-28,655,651,658,648,848000.0,0.55
2014-03-31,653,657,664,641,843000.0,-0.3
2014-04-01,673,654,676,653,686000.0,3.09
2014-04-02,691,679,698,678,1337000.0,2.56
2014-04-03,684,691,694,679,2070000.0,-1.01
2014-04-04,682,683,685,673,1268000.0,-0.26
2014-04-07,662,675,679,659,1556000.0,-2.89
2014-04-08,680,660,680,660,3267000.0,2.65
2014-04-09,676,681,689,670,5285000.0,-0.56
2014-04-10,692,682,692,680,1789000.0,2.43
2014-04-11,694,681,699,681,1874000.0,0.29
2014-04-14,699,696,701,694,1176000.0,0.7
2014-04-15,692,706,706,689,1734000.0,-1.09
2014-04-16,698,693,699,691,1383000.0,0.98
2014-04-17,708,702,710,698,1213000.0,1.38
2014-04-18,719,712,725,707,1784000.0,1.6
2014-04-21,714,719,722,713,1579000.0,-0.74
2014-04-22,727,718,728,715,908000.0,1.79
2014-04-23,721,729,732,721,2222000.0,-0.8
2014-04-24,717,725,727,705,1924000.0,-0.52
2014-04-25,714,715,719,707,2996000.0,-0.43
2014-04-28,719,711,721,710,1237000.0,0.65
2014-04-29,717,724,726,714,2056000.0,-0.24
2014-04-30,728,721,728,719,3285000.0,1.58
2014-05-02,738,736,749,736,2229000.0,1.28
2014-05-07,737,739,741,732,1731000.0,-0.1
2014-05-08,721,743,746,717,1828000.0,-2.2
2014-05-09,709,726,728,697,1279000.0,-1.61
2014-05-12,722,711,728,705,1339000.0,1.84
2014-05-13,742,731,747,730,1165000.0,2.72
2014-05-14,741,743,743,734,1115000.0,-0.08
2014-05-15,723,746,751,721,1333000.0,-2.47
2014-05-16,724,726,730,717,1140000.0,0.19
2014-05-19,710,727,728,705,1191000.0,-2.02
2014-05-20,711,708,711,696,2328000.0,0.16
2014-05-21,709,708,712,706,1048000.0,-0.21
2014-05-22,718,715,718,711,1670000.0,1.26
2014-05-23,710,720,720,709,852000.0,-1.14
2014-05-26,712,716,720,712,1142000.0,0.26
2014-05-27,710,716,717,698,1180000.0,-0.23
2014-05-28,711,711,713,704,2838000.0,0.14
2014-05-29,702,717,718,702,1985000.0,-1.36
2014-05-30,715,707,718,701,3993000.0,1.91
2014-06-02,701,721,721,698,1599000.0,-2.04
2014-06-03,691,702,702,688,1318000.0,-1.38
2014-06-05,679,692,696,675,1825000.0,-1.75
2014-06-09,690,685,694,676,1191000.0,1.68
2014-06-10,701,695,702,690,1471000.0,1.53
2014-06-11,672,702,704,670,1011000.0,-4.08
2014-06-12,676,674,683,672,750000.0,0.5
2014-06-13,678,681,685,674,735000.0,0.4
2014-06-16,692,682,696,679,787000.0,1.99
2014-06-17,688,696,698,688,938000.0,-0.59
2014-06-18,690,689,692,681,1291000.0,0.26
2014-06-19,691,692,695,688,1000000.0,0.19
2014-06-20,695,693,698,689,967000.0,0.63
2014-06-23,679,694,695,674,1474000.0,-2.32
2014-06-24,685,686,694,678,1554000.0,0.88
2014-06-25,668,685,685,668,2092000.0,-2.55
2014-06-26,663,672,680,661,1335000.0,-0.69
2014-06-27,668,666,671,661,862000.0,0.77
2014-06-30,671,669,671,662,767000.0,0.42
2014-07-01,694,669,694,667,913000.0,3.52
2014-07-02,696,697,697,691,919000.0,0.21
2014-07-03,684,696,696,684,1039000.0,-1.67
2014-07-04,689,689,697,676,3094000.0,0.67
2014-07-07,697,692,698,687,1944000.0,1.25
2014-07-08,708,703,714,699,1545000.0,1.52
2014-07-09,710,708,711,700,1168000.0,0.31
2014-07-10,709,710,711,702,953000.0,-0.14
2014-07-11,686,694,698,685,2367000.0,-3.25
2014-07-14,691,693,694,690,1068000.0,0.76
2014-07-15,686,696,698,684,2031000.0,-0.77
2014-07-16,671,688,689,670,1467000.0,-2.17
2014-07-17,665,675,677,662,1175000.0,-0.93
2014-07-18,664,663,670,662,1051000.0,-0.17
2014-07-21,656,667,670,651,942000.0,-1.12
2014-07-22,658,656,668,654,1016000.0,0.31
2014-07-23,647,666,666,647,1302000.0,-1.74
2014-07-24,632,651,651,630,1148000.0,-2.32
2014-07-25,636,633,641,632,1499000.0,0.63
2014-07-28,628,638,639,617,1403000.0,-1.27
2014-07-29,615,629,632,612,1019000.0,-2.11
2014-07-30,619,612,623,611,971000.0,0.8
2014-07-31,611,623,624,607,752000.0,-1.36
2014-08-01,633,602,634,602,685000.0,3.66
2014-08-04,648,639,648,635,692000.0,2.34
2014-08-05,625,650,650,623,1338000.0,-3.59
2014-08-06,636,623,636,621,2210000.0,1.69
2014-08-07,640,634,643,631,1500000.0,0.72
2014-08-08,625,635,638,622,1068000.0,-2.35
2014-08-11,618,631,631,616,1014000.0,-1.09
2014-08-12,623,623,628,618,1242000.0,0.82
2014-08-13,655,644,657,643,1196000.0,5.01
2014-08-14,664,658,667,655,1248000.0,1.44
2014-08-18,669,675,676,663,703000.0,0.7
2014-08-19,670,671,673,665,764000.0,0.22
2014-08-20,669,679,680,668,697000.0,-0.21
2014-08-21,692,682,695,679,1120000.0,3.49
2014-08-22,694,693,703,691,1406000.0,0.3
2014-08-25,713,698,713,698,898000.0,2.65
2014-08-26,713,721,721,706,1022000.0,0.0
2014-08-27,703,715,715,696,882000.0,-1.37
2014-08-28,706,703,709,699,711000.0,0.49
2014-08-29,710,704,713,701,972000.0,0.46
2014-09-01,724,720,725,716,1498000.0,1.98
2014-09-02,712,718,721,710,938000.0,-1.68
2014-09-03,719,715,721,711,761000.0,1.07
2014-09-04,713,729,733,711,830000.0,-0.91
2014-09-05,700,714,718,696,588000.0,-1.82
2014-09-11,688,706,706,687,798000.0,-1.67
2014-09-12,689,692,695,678,784000.0,0.11
2014-09-15,680,692,696,680,855000.0,-1.22
2014-09-16,692,688,695,686,907000.0,1.67
2014-09-17,692,694,697,691,532000.0,0.02
2014-09-18,701,697,701,693,672000.0,1.31
2014-09-19,709,704,713,701,939000.0,1.24
2014-09-22,692,712,712,691,488000.0,-2.47
2014-09-23,673,689,689,670,722000.0,-2.69
2014-09-24,680,673,682,671,875000.0,1.02
2014-09-25,681,681,689,676,839000.0,0.06
2014-09-26,672,671,677,668,777000.0,-1.32
2014-09-29,669,677,680,664,1540000.0,-0.31
2014-09-30,666,669,675,656,879000.0,-0.45
2014-10-01,650,670,671,650,726000.0,-2.52
2014-10-02,661,646,663,637,532000.0,1.8
2014-10-06,659,665,669,659,800000.0,-0.31
2014-10-07,665,663,670,658,732000.0,0.89
2014-10-08,663,664,669,662,687000.0,-0.26
2014-10-10,619,661,662,619,853000.0,-6.72
2014-10-13,575,610,610,566,1502000.0,-7.09
2014-10-14,597,575,598,575,1039000.0,3.8
2014-10-15,589,596,599,583,787000.0,-1.32
2014-10-16,600,582,611,576,1204000.0,1.93
2014-10-17,600,606,613,599,611000.0,0.02
2014-10-20,626,604,628,604,668000.0,4.19
2014-10-21,633,628,633,618,776000.0,1.17
2014-10-22,639,642,643,637,694000.0,0.96
2014-10-23,636,638,642,634,667000.0,-0.41
2014-10-24,624,641,642,617,574000.0,-1.88
2014-10-27,626,623,628,611,655000.0,0.29
2014-10-28,621,630,631,621,446000.0,-0.84
2014-10-29,624,630,630,624,493000.0,0.44
2014-10-30,609,626,628,607,470000.0,-2.31
2014-10-31,610,612,613,605,442000.0,0.08
2014-11-03,599,614,614,598,506000.0,-1.69
2014-11-04,575,598,601,565,659000.0,-4.15
2014-11-05,575,575,584,571,473000.0,0.05
2014-11-06,547,573,576,535,602000.0,-4.84
2014-11-07,549,550,551,536,1395000.0,0.4
2014-11-10,554,549,563,549,887000.0,0.84
2014-11-11,569,560,572,558,1362000.0,2.74
2014-11-12,564,573,573,561,1158000.0,-0.97
2014-11-13,569,569,573,565,1184000.0,0.93
2014-11-14,565,575,575,563,1752000.0,-0.61
2014-11-17,557,566,566,546,822000.0,-1.5
2014-11-18,572,564,575,562,1609000.0,2.68
2014-11-19,579,574,579,572,1644000.0,1.25
2014-11-20,580,584,584,575,1352000.0,0.11
2014-11-21,586,584,588,578,1444000.0,1.15
2014-11-24,587,591,594,582,781000.0,0.21
2014-11-25,602,594,619,594,2296000.0,2.42
2014-11-26,605,601,608,598,980000.0,0.51
2014-11-27,594,607,607,594,873000.0,-1.81
2014-11-28,595,593,601,590,818000.0,0.2
2014-12-01,591,596,601,589,1221000.0,-0.75
2014-12-02,594,594,597,591,822000.0,0.59
2014-12-03,602,596,604,593,1372000.0,1.34
2014-12-04,566,602,603,562,1683000.0,-5.95
2014-12-05,569,572,574,566,981000.0,0.49
2014-12-08,568,571,581,566,1321000.0,-0.11
2014-12-09,565,568,572,564,910000.0,-0.63
2014-12-10,556,568,568,554,977000.0,-1.56
2014-12-11,545,549,553,544,1304000.0,-2.03
2014-12-12,550,548,552,544,1140000.0,0.99
2014-12-15,556,545,559,543,728000.0,1.09
2014-12-16,548,553,561,548,694000.0,-1.53
2014-12-17,538,548,551,538,650000.0,-1.72
2014-12-18,530,543,545,521,862000.0,-1.57
2014-12-19,531,535,537,524,495000.0,0.21
2014-12-22,535,531,536,520,646000.0,0.8
2014-12-23,533,534,535,529,899000.0,-0.4
2014-12-24,532,533,536,530,744000.0,-0.15
2014-12-26,532,533,538,530,599000.0,0.06
2014-12-29,529,533,535,526,476000.0,-0.64
2014-12-30,532,528,533,527,382000.0,0.57
2015-01-02,541,536,542,534,1109000.0,1.6
2015-01-05,563,544,563,541,1531000.0,4.12
2015-01-06,551,557,559,544,1045000.0,-2.15
2015-01-07,548,550,551,541,847000.0,-0.53
2015-01-08,558,550,559,547,1572000.0,1.85
2015-01-09,566,560,569,553,1800000.0,1.41
2015-01-12,570,568,570,561,1169000.0,0.66
2015-01-13,570,569,580,566,1673000.0,0.06
2015-01-14,580,574,583,572,1347000.0,1.77
2015-01-15,589,577,589,576,1302000.0,1.54
2015-01-16,586,588,590,579,1062000.0,-0.55
2015-01-19,587,615,615,587,1129000.0,0.22
2015-01-20,584,584,587,581,1182000.0,-0.52
2015-01-21,578,583,586,578,939000.0,-0.98
2015-01-22,565,579,580,558,1116000.0,-2.31
2015-01-23,580,572,580,566,974000.0,2.71
2015-01-26,573,583,583,572,1078000.0,-1.19
2015-01-27,575,577,578,569,859000.0,0.25
2015-01-28,595,572,595,571,787000.0,3.54
2015-01-29,594,598,604,594,787000.0,-0.24
2015-01-30,585,597,597,581,701000.0,-1.46
2015-02-02,582,583,585,573,903000.0,-0.55
2015-02-03,591,583,593,583,1078000.0,1.68
2015-02-04,597,596,599,591,800000.0,0.91
2015-02-05,596,599,602,580,1014000.0,-0.14
2015-02-06,587,593,597,582,1098000.0,-1.45
2015-02-09,552,585,585,550,1612000.0,-6.07
2015-02-10,552,558,561,549,2187000.0,0.15
2015-02-11,557,556,560,554,1276000.0,0.81
2015-02-12,559,559,560,556,1113000.0,0.43
2015-02-13,546,562,563,545,1091000.0,-2.38
2015-02-16,551,548,553,546,992000.0,0.96
2015-02-17,543,548,548,541,1129000.0,-1.46
2015-02-23,539,545,546,536,820000.0,-0.73
2015-02-24,542,538,545,537,791000.0,0.48
2015-02-25,540,544,545,537,622000.0,-0.33
2015-02-26,535,542,542,534,706000.0,-0.94
2015-02-27,543,543,544,537,857000.0,1.54
2015-03-02,543,548,550,540,1000000.0,-0.11
2015-03-03,543,545,547,540,1030000.0,0.06
2015-03-04,555,542,556,540,852000.0,2.3
2015-03-05,556,556,562,553,983000.0,0.08
2015-03-06,554,556,557,549,1187000.0,-0.28
2015-03-09,553,557,559,551,956000.0,-0.21
2015-03-10,556,558,561,553,2766000.0,0.57
2015-03-11,551,550,560,548,970000.0,-1.0
2015-03-12,556,554,557,551,659000.0,1.04
2015-03-13,570,558,570,556,711000.0,2.5
2015-03-16,568,571,572,566,841000.0,-0.42
2015-03-17,561,570,571,560,774000.0,-1.17
2015-03-18,557,565,566,556,933000.0,-0.8
2015-03-19,557,562,565,552,1015000.0,-0.02
2015-03-20,568,559,569,556,744000.0,2.0
2015-03-23,578,570,578,570,1646000.0,1.78
2015-03-24,577,577,577,571,1656000.0,-0.18
2015-03-25,584,581,584,578,1487000.0,1.31
2015-03-26,580,581,585,575,1711000.0,-0.81
2015-03-27,582,582,584,571,1572000.0,0.33
2015-03-30,587,588,590,580,998000.0,0.85
2015-03-31,605,590,608,587,2057000.0,3.1
2015-04-01,603,609,609,598,1044000.0,-0.22
2015-04-02,601,603,603,596,1385000.0,-0.38
2015-04-03,623,608,625,607,1482000.0,3.56
2015-04-06,616,629,639,615,1565000.0,-1.0
2015-04-07,621,622,622,606,1004000.0,0.72
2015-04-08,602,618,620,602,1112000.0,-3.04
2015-04-09,605,606,609,600,941000.0,0.5
2015-04-10,602,606,607,601,1111000.0,-0.51
2015-04-13,607,604,608,601,954000.0,0.79
2015-04-14,604,608,614,597,1655000.0,-0.37
2015-04-15,623,616,630,615,1686000.0,3.12
2015-04-16,627,626,628,620,1036000.0,0.65
2015-04-17,632,629,634,620,1284000.0,0.69
2015-04-20,636,626,637,624,2169000.0,0.76
2015-04-21,651,642,656,639,2863000.0,2.36
2015-04-22,638,660,678,609,5754000.0,-2.12
2015-04-23,632,641,644,620,3204000.0,-0.94
2015-04-24,637,636,646,624,2349000.0,0.79
2015-04-27,648,641,652,640,2072000.0,1.75
2015-04-28,648,646,650,636,4037000.0,0.0
2015-04-29,641,648,650,631,2416000.0,-1.11
2015-04-30,632,644,644,632,1871000.0,-1.29
2015-05-04,623,636,637,618,1499000.0,-1.49
2015-05-06,612,620,626,608,1615000.0,-1.8
2015-05-07,627,613,629,599,1496000.0,2.45
2015-05-08,634,631,639,629,1340000.0,1.22
2015-05-11,653,643,655,639,2549000.0,2.87
2015-05-12,688,688,698,686,2397000.0,5.39
2015-05-13,686,705,705,674,2374000.0,-0.2
2015-05-14,694,691,697,685,2239000.0,1.16
2015-05-15,695,700,701,691,2126000.0,0.06
2015-05-18,678,687,687,670,2843000.0,-2.37
2015-05-19,682,678,688,675,2174000.0,0.58
2015-05-20,689,688,691,682,1404000.0,0.96
2015-05-21,687,690,691,676,1447000.0,-0.24
2015-05-22,690,692,697,687,1042000.0,0.44
2015-05-26,688,695,697,681,1029000.0,-0.34
2015-05-27,681,683,685,674,1274000.0,-0.95
2015-05-28,710,686,720,682,1435000.0,4.26
2015-05-29,699,713,719,699,948000.0,-1.53
2015-06-01,693,698,704,676,1470000.0,-0.99
2015-06-02,658,686,691,658,1729000.0,-5.03
2015-06-03,652,649,672,638,1271000.0,-0.79
2015-06-04,667,659,667,651,1053000.0,2.18
2015-06-05,669,657,670,656,822000.0,0.28
2015-06-08,688,672,688,663,1324000.0,2.9
2015-06-09,690,686,692,683,997000.0,0.35
2015-06-10,671,691,694,669,831000.0,-2.77
2015-06-11,672,677,680,666,857000.0,0.08
2015-06-12,682,673,682,670,1018000.0,1.47
2015-06-15,678,678,679,666,794000.0,-0.54
2015-06-16,701,680,701,678,1501000.0,3.37
2015-06-17,717,706,717,703,2255000.0,2.27
2015-06-18,689,719,720,687,2426000.0,-3.91
2015-06-19,664,675,677,656,4080000.0,-3.64
2015-06-22,673,670,680,668,2333000.0,1.35
2015-06-23,680,679,686,678,1843000.0,1.13
2015-06-24,675,686,686,671,1596000.0,-0.71
2015-06-25,667,673,675,662,1686000.0,-1.2
2015-06-26,655,668,672,655,1372000.0,-1.89
2015-06-29,638,642,656,638,1081000.0,-2.49
2015-06-30,657,638,657,626,1356000.0,2.89
2015-07-01,662,660,665,657,993000.0,0.8
2015-07-02,661,663,666,656,1162000.0,-0.18
2015-07-03,674,661,675,659,1406000.0,2.06
2015-07-06,654,664,673,651,1693000.0,-3.06
2015-07-07,637,662,662,633,1531000.0,-2.57
2015-07-08,640,643,652,635,1218000.0,0.5
2015-07-09,634,634,636,614,1136000.0,-1.01
2015-07-10,640,641,645,633,1267000.0,1.02
2015-07-13,657,641,657,640,1159000.0,2.57
2015-07-14,677,665,680,662,1468000.0,3.15
2015-07-15,676,680,680,671,983000.0,-0.23
2015-07-16,685,677,688,670,2089000.0,1.38
2015-07-17,688,689,694,685,2133000.0,0.47
2015-07-20,685,692,693,683,1112000.0,-0.46
2015-07-21,682,687,690,680,1454000.0,-0.5
2015-07-22,695,684,698,684,1460000.0,1.93
2015-07-23,685,707,707,685,1285000.0,-1.41
2015-07-24,678,691,692,675,1187000.0,-0.99
2015-07-27,679,675,688,671,3284000.0,0.11
2015-07-28,682,673,687,668,2166000.0,0.46
2015-07-29,678,687,690,677,1219000.0,-0.62
2015-07-30,665,686,687,661,1079000.0,-1.96
2015-07-31,673,665,673,653,847000.0,1.28
2015-08-03,674,676,687,673,893000.0,0.08
2015-08-04,683,674,683,667,569000.0,1.36
2015-08-05,693,684,702,680,973000.0,1.5
2015-08-06,688,696,700,687,839000.0,-0.77
2015-08-07,685,684,692,681,703000.0,-0.4
2015-08-10,678,684,685,670,798000.0,-1.03
2015-08-11,687,687,713,684,2197000.0,1.42
2015-08-12,669,686,692,647,1320000.0,-2.74
2015-08-13,680,669,681,661,838000.0,1.65
2015-08-17,668,679,682,668,822000.0,-1.69
2015-08-18,646,673,673,640,1138000.0,-3.28
2015-08-19,612,638,639,600,1221000.0,-5.29
2015-08-20,599,607,618,599,748000.0,-2.17
2015-08-21,576,568,585,562,1106000.0,-3.74
2015-08-24,569,576,595,561,946000.0,-1.26
2015-08-25,602,583,605,568,1067000.0,5.82
2015-08-26,619,601,620,600,2136000.0,2.81
2015-08-27,632,629,639,623,1256000.0,2.02
2015-08-28,643,645,649,640,1195000.0,1.79
2015-08-31,653,648,653,641,1096000.0,1.54
2015-09-01,647,653,658,647,992000.0,-0.86
2015-09-02,654,634,654,631,876000.0,0.99
2015-09-03,645,663,666,645,1031000.0,-1.38
2015-09-04,618,650,650,618,760000.0,-4.14
2015-09-07,620,622,633,608,727000.0,0.38
2015-09-08,612,623,626,606,693000.0,-1.4
2015-09-09,625,627,627,618,907000.0,2.17
2015-09-10,632,618,633,615,1579000.0,1.21
2015-09-11,635,634,636,626,1034000.0,0.46
