날짜,종가,시가,고가,저가,거래량,변동 %
2021-11-23,40900,41400,48800,36800,431000000.0,5.01
2021-11-24,40450,40050,44200,39050,85819000.0,-1.1
2021-11-25,40750,41100,42950,39950,35759000.0,0.74
2021-11-26,36900,40500,40500,36600,28836000.0,-9.45
2021-11-28,36900,36900,36900,36900,,0.0
2021-11-29,32350,34600,34700,32250,22678000.0,-12.33
2021-11-30,30150,32900,34900,29900,21425000.0,-6.8
2021-12-01,30100,30150,31250,29000,9968000.0,-0.17
2021-12-02,29950,29400,30650,29400,6728000.0,-0.5
2021-12-03,32100,30550,32500,30300,19036000.0,7.18
2021-12-05,32100,32100,32100,32100,,0.0
2021-12-06,30650,31650,31650,30400,5848000.0,-4.52
2021-12-07,31200,30600,31450,30300,7629000.0,1.79
2021-12-08,32800,31500,34500,31300,31963000.0,5.13
2021-12-09,32850,32800,33400,32050,6567000.0,0.15
2021-12-10,32050,33000,33200,31800,6189000.0,-2.44
2021-12-13,31000,31800,32400,30700,5816000.0,-3.28
2021-12-14,30000,30700,30800,29800,5472000.0,-3.23
2021-12-15,29150,30000,30000,29050,4142000.0,-2.83
2021-12-16,28700,29350,29550,28650,4440000.0,-1.54
2021-12-17,27950,28300,29000,27950,3278000.0,-2.61
2021-12-19,27950,27950,27950,27950,,0.0
2021-12-20,26350,27950,27950,26250,7236000.0,-5.72
2021-12-21,27400,26100,27450,25500,8337000.0,3.98
2021-12-22,27950,26800,28650,26500,12350000.0,2.01
2021-12-23,27500,28000,29000,27500,5429000.0,-1.61
2021-12-24,26950,27600,27600,26550,5558000.0,-2.0
2021-12-27,26000,27050,27050,26000,4704000.0,-3.53
2021-12-28,26500,26550,27250,25400,6757000.0,1.92
2021-12-29,27200,26750,27200,26400,3252000.0,2.64
2021-12-30,27200,27250,28150,26900,4610000.0,0.0
2022-01-03,28350,27200,28550,27200,4624000.0,4.23
2022-01-04,29000,28600,29000,27950,5062000.0,2.29
2022-01-05,27500,29100,29300,27500,4274000.0,-5.17
2022-01-06,27300,27150,27500,26300,3777000.0,-0.73
2022-01-07,26550,27350,28400,25950,7732000.0,-2.75
2022-01-10,25200,26450,26450,25150,4362000.0,-5.08
2022-01-11,24550,25250,25500,24500,2864000.0,-2.58
2022-01-12,24550,24400,24950,24400,2406000.0,0.0
2022-01-13,24000,24600,24900,23800,3552000.0,-2.24
2022-01-14,22950,23750,23750,22800,3679000.0,-4.38
2022-01-17,22900,23200,23200,22600,2144000.0,-0.22
2022-01-18,24100,22900,24300,22250,4850000.0,5.24
2022-01-19,24500,23800,28100,23750,29274000.0,1.66
2022-01-20,25000,24350,25550,23950,5132000.0,2.04
2022-01-21,23900,25000,25200,23900,2415000.0,-4.4
2022-01-24,23300,24100,24100,23000,3283000.0,-2.51
2022-01-25,22250,23150,23500,22250,3319000.0,-4.51
2022-01-26,21600,22000,22350,21400,5610000.0,-2.92
2022-01-27,19850,21950,22100,19800,6328000.0,-8.1
2022-01-28,20400,19850,20550,19350,2802000.0,2.77
2022-02-02,20400,20400,20400,20400,,0.0
2022-02-03,20800,20900,21100,20450,1812000.0,1.96
2022-02-04,21400,20800,21600,20300,2096000.0,2.88
2022-02-07,21200,21300,21600,20850,1755000.0,-0.93
2022-02-08,21200,21200,22100,20650,2555000.0,0.0
2022-02-09,21400,21200,21400,21000,1460000.0,0.94
2022-02-10,21000,21450,21500,20500,2722000.0,-1.87
2022-02-11,20050,20800,20800,19800,2316000.0,-4.52
