날짜,종가,시가,고가,저가,거래량,변동 %
2014-03-14,4130,4105,4175,4050,114000000.0,-0.96
2014-03-17,3840,4200,4265,3675,216000000.0,-7.02
2014-03-18,3900,3850,3970,3680,127000000.0,1.56
2014-03-19,3900,3990,4000,3850,107000000.0,0.0
2014-03-20,3835,3565,3850,3520,510000000.0,-1.67
2014-03-21,3845,3885,3910,3740,196000000.0,0.26
2014-03-24,3595,3850,3850,3580,191000000.0,-6.5
2014-03-25,3690,3600,3780,3510,181000000.0,2.64
2014-03-26,3740,3725,3790,3660,86862000.0,1.36
2014-03-27,3640,3730,3780,3595,64077000.0,-2.67
2014-03-28,3795,3550,3795,3440,154000000.0,4.26
2014-03-31,3815,3820,3830,3660,95118000.0,0.53
2014-04-01,3880,3830,3955,3750,153000000.0,1.7
2014-04-02,3795,3930,3930,3795,75234000.0,-2.19
2014-04-03,3755,3805,3830,3685,67038000.0,-1.05
2014-04-04,3845,3750,3930,3735,95839000.0,2.4
2014-04-07,3755,3780,3875,3750,40548000.0,-2.34
2014-04-08,3945,3760,3960,3680,94272000.0,5.06
2014-04-09,3960,3975,4120,3870,174000000.0,0.38
2014-04-10,4010,3980,4055,3925,59804000.0,1.26
2014-04-11,4045,3905,4045,3895,61239000.0,0.87
2014-04-14,4050,4045,4115,4015,73052000.0,0.12
2014-04-15,3980,4050,4100,3955,55621000.0,-1.73
2014-04-16,4200,4020,4375,4015,272000000.0,5.53
2014-04-17,4155,4150,4235,4095,79872000.0,-1.07
2014-04-18,4145,4125,4310,4105,84769000.0,-0.24
2014-04-21,4060,4130,4150,4010,51855000.0,-2.05
2014-04-22,4045,4045,4125,4040,39404000.0,-0.37
2014-04-23,3955,4085,4130,3940,65820000.0,-2.22
2014-04-24,3975,3935,4065,3870,67934000.0,0.51
2014-04-25,3980,3970,3990,3835,40127000.0,0.13
2014-04-28,3910,3980,3980,3905,17120000.0,-1.76
2014-04-29,4100,4040,4245,4015,232000000.0,4.86
2014-04-30,4300,4135,4320,4135,186000000.0,4.88
2014-05-02,4575,4350,4630,4280,296000000.0,6.4
2014-05-07,4805,4640,4875,4510,311000000.0,5.03
2014-05-08,5000,4790,5000,4605,255000000.0,4.06
2014-05-09,4860,5020,5050,4855,172000000.0,-2.8
2014-05-12,4940,4870,5010,4805,129000000.0,1.65
2014-05-13,4880,4940,5000,4835,75578000.0,-1.21
2014-05-14,4800,4870,4980,4730,107000000.0,-1.64
2014-05-15,4645,4770,4930,4520,270000000.0,-3.23
2014-05-16,4650,4670,4695,4530,130000000.0,0.11
2014-05-19,4465,4640,4675,4410,121000000.0,-3.98
2014-05-20,4425,4515,4560,4335,93370000.0,-0.9
2014-05-21,4610,4430,4625,4380,94979000.0,4.18
2014-05-22,4550,4650,4660,4500,57788000.0,-1.3
2014-05-23,4630,4500,4630,4490,66484000.0,1.76
2014-05-26,4650,4650,4730,4600,83260000.0,0.43
2014-05-27,4450,4610,4680,4400,66905000.0,-4.3
2014-05-28,4550,4455,4555,4360,70270000.0,2.25
2014-05-29,4405,4550,4580,4405,34512000.0,-3.19
2014-05-30,4230,4410,4450,4200,58482000.0,-3.97
2014-06-02,4255,4245,4370,4150,47346000.0,0.59
2014-06-03,4005,4230,4315,3900,50368000.0,-5.88
2014-06-05,3780,4000,4075,3725,67773000.0,-5.62
2014-06-09,3830,3850,3920,3685,50534000.0,1.32
2014-06-10,4050,3835,4070,3785,57426000.0,5.74
2014-06-11,3915,4130,4130,3910,56347000.0,-3.33
2014-06-12,3950,3930,4050,3810,36645000.0,0.89
2014-06-13,3840,3950,3975,3800,31532000.0,-2.78
2014-06-16,3720,3850,3900,3655,49855000.0,-3.13
2014-06-17,3550,3720,3725,3525,100000000.0,-4.57
2014-06-18,3595,3525,3665,3470,70012000.0,1.27
2014-06-19,3595,3570,3640,3565,33129000.0,0.0
2014-06-20,3565,3510,3585,3510,32316000.0,-0.83
2014-06-23,3140,3565,3585,3125,129000000.0,-11.92
2014-06-24,3295,3200,3405,3195,151000000.0,4.94
2014-06-25,3250,3390,3410,3245,60261000.0,-1.37
2014-06-26,3325,3300,3385,3250,41761000.0,2.31
2014-06-27,3320,3375,3380,3295,22533000.0,-0.15
2014-06-30,3400,3325,3415,3320,31517000.0,2.41
2014-07-01,3735,3445,3750,3380,120000000.0,9.85
2014-07-02,3745,3790,3800,3675,75916000.0,0.27
2014-07-03,3685,3770,3795,3680,43115000.0,-1.6
2014-07-04,3850,3720,3885,3690,101000000.0,4.48
2014-07-07,3840,3900,3905,3740,56794000.0,-0.26
2014-07-08,3720,3785,3880,3710,38325000.0,-3.13
2014-07-09,3835,3655,3850,3550,72599000.0,3.09
2014-07-10,4000,3900,4090,3760,149000000.0,4.3
2014-07-11,4045,4105,4180,4010,231000000.0,1.13
2014-07-14,4010,4050,4120,3985,56777000.0,-0.87
2014-07-15,4025,4000,4100,3960,74609000.0,0.37
2014-07-16,3980,4000,4040,3680,104000000.0,-1.12
2014-07-17,3930,3970,4145,3930,79400000.0,-1.26
2014-07-18,3890,3935,4010,3850,44471000.0,-1.02
2014-07-21,4095,3875,4125,3875,101000000.0,5.27
2014-07-22,4075,4045,4145,4000,45856000.0,-0.49
2014-07-23,3840,4050,4075,3800,85659000.0,-5.77
2014-07-24,3695,3805,3840,3645,74024000.0,-3.78
2014-07-25,3700,3665,3755,3640,35871000.0,0.14
2014-07-28,3525,3780,3780,3465,53390000.0,-4.73
2014-07-29,3450,3480,3600,3450,29364000.0,-2.13
2014-07-30,3575,3415,3605,3380,34390000.0,3.62
2014-07-31,3400,3495,3650,3320,48602000.0,-4.9
2014-08-01,3480,3330,3515,3320,32298000.0,2.35
2014-08-04,3535,3550,3565,3490,22388000.0,1.58
2014-08-05,3420,3535,3535,3355,33129000.0,-3.25
2014-08-06,3350,3380,3480,3300,40476000.0,-2.05
2014-08-07,3200,3345,3345,3150,95379000.0,-4.48
2014-08-08,3220,3205,3265,3170,34039000.0,0.63
2014-08-11,3170,3200,3250,3165,27210000.0,-1.55
2014-08-12,3250,3175,3270,3140,27227000.0,2.52
2014-08-13,3390,3260,3390,3260,39083000.0,4.31
2014-08-14,3500,3415,3545,3350,48633000.0,3.24
2014-08-18,3400,3575,3575,3370,46703000.0,-2.86
2014-08-19,3320,3380,3400,3275,36766000.0,-2.35
2014-08-20,3310,3320,3400,3255,34695000.0,-0.3
2014-08-21,3590,3325,3650,3325,105000000.0,8.46
