날짜,종가,시가,고가,저가,거래량,변동 %
2014-03-17,47846,50692,51000,47308,38394000.0,-5.47
2014-03-18,49538,48077,50923,47615,38391000.0,3.54
2014-03-19,49231,49538,49769,48538,13003000.0,-0.62
2014-03-20,49154,47769,49538,47692,20890000.0,-0.16
2014-03-21,49615,49538,49769,48846,10489000.0,0.94
2014-03-24,48538,49692,49923,48462,11447000.0,-2.17
2014-03-25,46923,48000,48462,46385,22462000.0,-3.33
2014-03-26,48154,46923,48308,46769,12135000.0,2.62
2014-03-27,47923,48538,48692,47846,8377000.0,-0.48
2014-03-28,48077,47846,48846,47385,6540000.0,0.32
2014-03-31,48769,48769,49000,48154,9307000.0,1.44
2014-04-01,48923,48769,49385,48538,10399000.0,0.32
2014-04-02,48923,49308,49846,48769,10396000.0,0.0
2014-04-03,48385,48846,49077,48154,7559000.0,-1.1
2014-04-04,48077,48462,49154,47692,10264000.0,-0.64
2014-04-07,46538,47692,47923,46154,17677000.0,-3.2
2014-04-08,47846,46538,49846,46538,24664000.0,2.81
2014-04-09,48538,48231,49154,47846,12435000.0,1.45
2014-04-10,48538,49000,49231,48231,7027000.0,0.0
2014-04-11,48462,48000,48923,47923,6247000.0,-0.16
2014-04-14,48538,48231,48692,48154,5458000.0,0.16
2014-04-15,48077,48769,48846,48000,5628000.0,-0.95
2014-04-16,48231,48385,48538,47923,4787000.0,0.32
2014-04-17,47385,48154,48308,47385,6300000.0,-1.75
2014-04-18,47692,47462,48077,47077,10176000.0,0.65
2014-04-21,47000,47769,47769,46923,9145000.0,-1.45
2014-04-22,47231,47077,47769,46385,9708000.0,0.49
2014-04-23,46692,47308,47462,46692,5979000.0,-1.14
2014-04-24,46308,46923,47231,45846,9898000.0,-0.82
2014-04-25,45692,46154,46308,45538,8467000.0,-1.33
2014-04-28,45769,45692,46538,45462,7491000.0,0.17
2014-04-29,45385,46154,46231,45308,8531000.0,-0.84
2014-04-30,47538,45231,47538,45231,19519000.0,4.74
2014-05-02,49300,49300,50900,48600,27985000.0,3.71
2014-05-07,47800,49300,49300,47750,12800000.0,-3.04
2014-05-08,48300,47550,51100,47400,27893000.0,1.05
2014-05-09,48300,47900,48450,47400,6655000.0,0.0
2014-05-12,47800,48300,48350,47650,6095000.0,-1.04
