날짜,종가,시가,고가,저가,거래량,변동 %
2021-02-04,18700,19700,20550,18550,100000000.0,-6.5
2021-02-05,19000,18800,20000,17700,154000000.0,1.6
2021-02-07,19000,19000,19000,19000,,0.0
2021-02-08,20250,19000,21500,18450,136000.0,6.58
2021-02-09,26300,20450,26300,20000,1045000000.0,29.88
2021-02-10,25150,28300,28900,24600,633000000.0,-4.37
2021-02-14,25150,25150,25150,25150,,0.0
2021-02-15,29700,25700,30950,25450,374000.0,18.09
2021-02-16,28800,29950,29950,27150,93000.0,-3.03
2021-02-17,27450,28400,29150,27100,26000.0,-4.69
2021-02-18,28250,27750,28950,26200,191000.0,2.91
2021-02-19,26550,27950,29500,25900,100000000.0,-6.02
2021-02-21,26550,26550,26550,26550,,0.0
2021-02-22,25450,26700,27700,25200,4000.0,-4.14
2021-02-23,23600,24850,24950,23400,48176000.0,-7.27
2021-02-24,23550,24100,25200,23050,5000.0,-0.21
2021-02-25,25650,24000,25900,23700,43687000.0,8.92
2021-02-26,25450,24500,25450,24100,25525000.0,-0.78
2021-03-02,26750,25950,27500,25700,8000.0,5.11
2021-03-03,25700,26250,27000,25100,13000.0,-3.93
2021-03-04,24350,25200,25250,23850,33324000.0,-5.25
2021-03-05,24500,23800,24750,23350,26407000.0,0.62
2021-03-07,24500,24500,24500,24500,,0.0
2021-03-08,23500,24600,27050,23450,53223000.0,-4.08
2021-03-09,22550,23700,23700,21850,124000.0,-4.04
2021-03-10,21400,22750,23100,20750,21022000.0,-5.1
2021-03-11,22350,21350,23500,21050,6000.0,4.44
2021-03-12,23750,22550,24200,22350,26364000.0,6.26
2021-03-15,22950,23750,23750,22900,9196000.0,-3.37
2021-03-16,23000,22950,23300,22350,13680000.0,0.22
2021-03-17,22650,23300,23300,22250,1000.0,-1.52
2021-03-18,22600,22800,23500,22350,0.0,-0.22
2021-03-19,22300,22000,22450,21000,22096000.0,-1.33
2021-03-22,22150,22400,22450,21600,1000.0,-0.67
2021-03-23,21500,22200,22250,21150,1000.0,-2.93
2021-03-24,21700,21800,22450,21400,0.0,0.93
2021-03-25,21650,21650,22200,21050,12319000.0,-0.23
2021-03-26,24050,22050,24200,21950,65777000.0,11.09
2021-03-29,23600,24300,24950,23600,28208000.0,-1.87
2021-03-30,25500,23600,25600,23350,41231000.0,8.05
2021-03-31,25000,25500,25600,24450,10000.0,-1.96
2021-04-01,25050,24850,25650,24450,19534000.0,0.2
2021-04-02,25250,25150,26050,24600,27057000.0,0.8
2021-04-04,25250,25250,25250,25250,,0.0
2021-04-05,26250,25350,26550,24700,25385000.0,3.96
2021-04-06,25700,26700,26800,25600,3000.0,-2.1
2021-04-07,26600,25700,27100,25250,13000.0,3.5
2021-04-08,26600,26550,26900,26050,13493000.0,0.0
2021-04-09,25400,26600,27600,24950,20843000.0,-4.51
2021-04-12,25150,25100,25400,24250,14673000.0,-0.98
