날짜,종가,시가,고가,저가,거래량,변동 %
2001-01-02,557,502,559,502,20121000.0,5.93
2001-01-03,569,545,579,539,28499000.0,2.15
2001-01-04,615,617,621,609,23313000.0,8.1
2001-01-05,625,614,630,602,36723000.0,1.64
2001-01-08,650,614,657,614,35862000.0,3.97
2001-01-09,678,660,678,650,45714000.0,4.34
2001-01-10,639,688,730,639,69732000.0,-5.69
2001-01-11,675,657,675,631,47720000.0,5.55
2001-01-12,713,703,732,699,50283000.0,5.7
2001-01-15,765,745,772,745,51893000.0,7.23
2001-01-16,777,776,790,757,63029000.0,1.56
2001-01-17,750,766,780,732,57209000.0,-3.47
2001-01-18,745,755,777,745,50465000.0,-0.6
2001-01-19,772,769,775,753,53585000.0,3.55
2001-01-22,833,793,834,792,48400000.0,7.91
2001-01-26,800,837,854,794,49979000.0,-3.94
2001-01-29,813,806,826,794,50096000.0,1.67
2001-01-30,827,833,859,816,60549000.0,1.7
2001-01-31,843,836,843,785,71888000.0,1.93
2001-02-01,827,824,861,816,55546000.0,-1.97
2001-02-02,826,838,844,820,45818000.0,-0.05
2001-02-05,779,799,808,769,44136000.0,-5.67
2001-02-06,797,782,797,771,49442000.0,2.24
2001-02-07,778,796,804,777,42689000.0,-2.41
2001-02-08,798,786,802,784,40155000.0,2.57
2001-02-09,807,796,810,794,39341000.0,1.17
2001-02-12,831,803,832,803,46962000.0,2.95
2001-02-13,840,851,853,833,56032000.0,1.17
2001-02-14,853,837,855,835,54817000.0,1.46
2001-02-15,873,869,886,861,64043000.0,2.43
2001-02-16,863,885,896,859,62222000.0,-1.21
2001-02-19,872,853,872,852,53745000.0,1.12
2001-02-20,876,884,888,864,64428000.0,0.41
2001-02-21,852,861,870,850,60905000.0,-2.74
2001-02-22,801,837,837,787,53045000.0,-5.95
2001-02-23,805,790,812,790,42376000.0,0.49
2001-02-26,812,816,820,809,39138000.0,0.84
2001-02-27,781,824,826,779,43782000.0,-3.85
2001-02-28,767,763,774,756,32545000.0,-1.74
2001-03-02,719,764,765,719,32939000.0,-6.21
2001-03-05,743,697,743,685,39189000.0,3.24
2001-03-06,735,746,756,734,41330000.0,-1.08
2001-03-07,753,752,760,742,34668000.0,2.49
2001-03-08,780,767,781,765,42849000.0,3.52
2001-03-09,765,768,775,763,34101000.0,-1.85
2001-03-12,723,739,747,723,30167000.0,-5.53
2001-03-13,685,690,707,677,36498000.0,-5.2
2001-03-14,720,716,720,712,35062000.0,5.06
2001-03-15,712,685,716,682,39577000.0,-1.11
2001-03-16,713,715,723,707,32296000.0,0.2
2001-03-19,713,706,722,706,33284000.0,-0.07
2001-03-20,713,730,731,711,35866000.0,0.03
2001-03-21,712,699,717,697,31087000.0,-0.11
2001-03-22,706,715,718,700,29568000.0,-0.88
2001-03-23,706,714,716,704,36647000.0,-0.04
2001-03-26,727,716,728,715,33506000.0,3.06
2001-03-27,718,730,733,718,34351000.0,-1.25
2001-03-28,705,733,735,704,37919000.0,-1.78
2001-03-29,691,695,705,687,32012000.0,-2.04
2001-03-30,684,693,698,667,29283000.0,-1.03
2001-04-02,682,684,689,679,25797000.0,-0.2
2001-04-03,662,666,666,655,28932000.0,-3.0
2001-04-04,643,643,659,641,25588000.0,-2.87
2001-04-06,665,676,677,662,25674000.0,3.37
2001-04-09,648,656,663,648,25418000.0,-2.56
2001-04-10,645,657,659,643,29105000.0,-0.39
2001-04-11,671,664,671,661,34276000.0,4.06
2001-04-12,683,680,687,675,34419000.0,1.7
2001-04-13,686,693,693,682,36832000.0,0.44
2001-04-16,680,685,693,680,30423000.0,-0.8
2001-04-17,683,677,685,677,30880000.0,0.35
2001-04-18,721,695,721,694,44672000.0,5.68
2001-04-19,749,759,767,744,44730000.0,3.75
2001-04-20,735,757,757,734,42064000.0,-1.87
2001-04-23,758,736,767,736,44267000.0,3.24
2001-04-24,757,744,760,743,44526000.0,-0.21
2001-04-25,769,754,773,753,42135000.0,1.65
2001-04-26,763,783,785,763,42355000.0,-0.82
2001-04-27,753,761,765,746,30487000.0,-1.34
2001-04-30,789,766,789,766,36670000.0,4.85
2001-05-02,810,813,820,807,48422000.0,2.57
2001-05-03,799,813,813,794,41862000.0,-1.25
2001-05-04,804,785,804,783,43851000.0,0.61
2001-05-07,828,821,830,815,48994000.0,2.93
2001-05-08,822,823,833,817,50628000.0,-0.69
2001-05-09,795,822,824,795,44413000.0,-3.26
2001-05-10,814,799,814,796,40882000.0,2.29
2001-05-11,817,815,821,812,45201000.0,0.38
2001-05-14,829,821,830,821,47244000.0,1.48
2001-05-15,814,834,834,814,50418000.0,-1.75
2001-05-16,801,817,825,801,42595000.0,-1.67
2001-05-17,833,829,833,821,51771000.0,3.99
2001-05-18,830,827,835,822,40263000.0,-0.35
2001-05-21,838,847,852,834,42994000.0,0.94
2001-05-22,837,857,858,830,51007000.0,-0.04
2001-05-23,828,836,841,827,46934000.0,-1.1
2001-05-24,830,817,831,816,46552000.0,0.18
2001-05-25,834,836,839,830,52385000.0,0.51
2001-05-28,832,833,837,830,45614000.0,-0.25
2001-05-29,838,831,838,831,51650000.0,0.71
2001-05-30,832,832,835,828,49176000.0,-0.7
2001-05-31,813,817,821,809,43528000.0,-2.25
2001-06-01,801,818,821,798,43234000.0,-1.52
2001-06-04,803,801,808,800,35592000.0,0.32
2001-06-05,789,806,809,789,41356000.0,-1.8
2001-06-07,781,786,790,774,40981000.0,-0.99
2001-06-08,807,793,807,793,42072000.0,3.37
2001-06-11,795,798,798,793,34447000.0,-1.55
2001-06-12,801,793,807,793,40885000.0,0.75
2001-06-13,816,808,816,808,40685000.0,1.95
2001-06-14,821,815,821,813,40275000.0,0.55
2001-06-15,824,814,824,813,38149000.0,0.44
2001-06-18,817,824,827,816,35655000.0,-0.88
2001-06-19,809,812,814,806,38853000.0,-1.02
2001-06-20,788,809,812,781,34012000.0,-2.59
2001-06-21,788,796,800,783,29169000.0,-0.01
2001-06-22,786,787,791,785,33473000.0,-0.28
2001-06-25,776,782,787,776,30002000.0,-1.17
2001-06-26,745,775,780,742,31433000.0,-4.06
2001-06-27,746,744,749,733,29009000.0,0.09
2001-06-28,747,747,756,744,28182000.0,0.16
2001-06-29,768,763,768,761,29392000.0,2.88
2001-07-02,775,772,777,766,28929000.0,0.9
2001-07-03,776,778,781,773,30458000.0,0.12
2001-07-04,774,776,777,765,30654000.0,-0.21
2001-07-05,767,774,778,767,32010000.0,-0.99
