날짜,종가,시가,고가,저가,거래량,변동 %
2014-03-14,2750,2860,2970,2640,1677000000.0,-2.83
2014-03-17,2340,2660,2700,2340,1684000000.0,-14.91
2014-03-18,2410,2340,2430,2215,2274000000.0,2.99
2014-03-19,2280,2250,2365,2215,877000000.0,-5.39
2014-03-20,2415,2275,2510,2250,1738000000.0,5.92
2014-03-21,2455,2405,2480,2345,668000000.0,1.66
2014-03-24,2455,2470,2490,2350,666000000.0,0.0
2014-03-25,2780,2535,2820,2495,2337000000.0,13.24
2014-03-26,2970,2890,3030,2830,2111000000.0,6.83
2014-03-28,3005,3175,3175,3005,242000000.0,1.18
2014-03-31,2900,2895,2900,2705,282000000.0,-3.49
2014-04-01,3130,2930,3130,2895,215000000.0,7.93
2014-04-02,2925,3040,3125,2905,738000000.0,-6.55
2014-04-03,3050,2980,3105,2845,961000000.0,4.27
2014-04-04,2915,2970,3010,2900,439000000.0,-4.43
2014-04-07,2795,2885,2970,2745,495000000.0,-4.12
2014-04-08,3210,2775,3210,2665,2209000000.0,14.85
2014-04-09,2930,3255,3660,2825,4033000000.0,-8.72
2014-04-10,2965,2990,3050,2910,915000000.0,1.19
2014-04-11,3025,2965,3130,2940,839000000.0,2.02
2014-04-14,2975,2900,3010,2870,512000000.0,-1.65
2014-04-15,2945,3010,3065,2880,565000000.0,-1.01
2014-04-16,2845,2930,2940,2740,708000000.0,-3.4
2014-04-17,2820,2895,2920,2800,444000000.0,-0.88
2014-04-18,2830,2835,3050,2705,1187000000.0,0.35
2014-04-21,2885,2850,3045,2830,810000000.0,1.94
2014-04-22,2925,2920,2960,2845,421000000.0,1.39
2014-04-23,2965,2925,3070,2895,1112000000.0,1.37
2014-04-24,3120,3000,3120,2815,691000000.0,5.23
2014-04-25,3035,2885,3290,2860,2267000000.0,-2.72
2014-04-28,3040,3070,3120,3015,506000000.0,0.16
2014-04-29,3125,3080,3180,3055,786000000.0,2.8
2014-04-30,3450,3160,3490,3135,2736000000.0,10.4
2014-05-02,3425,3520,3645,3410,1631000000.0,-0.72
2014-05-07,3490,3470,3590,3365,1211000000.0,1.9
2014-05-08,3425,3570,3620,3405,1031000000.0,-1.86
2014-05-09,3325,3430,3485,3270,713000000.0,-2.92
2014-05-12,3420,3360,3500,3340,729000000.0,2.86
2014-05-13,3445,3445,3465,3355,514000000.0,0.73
2014-05-14,3600,3420,3635,3405,702000000.0,4.5
2014-05-15,3575,3625,3700,3510,806000000.0,-0.69
2014-05-16,3500,3555,3585,3410,562000000.0,-2.1
2014-05-19,3340,3500,3515,3280,567000000.0,-4.57
2014-05-20,3480,3340,3620,3175,1600000000.0,4.19
2014-05-21,3465,3520,3585,3435,659000000.0,-0.43
2014-05-22,3570,3480,3615,3415,736000000.0,3.03
2014-05-23,3550,3585,3615,3505,361000000.0,-0.56
2014-05-26,3555,3550,3640,3475,581000000.0,0.14
2014-05-27,3480,3580,3620,3440,517000000.0,-2.11
2014-05-28,4000,3525,4000,3485,2140000000.0,14.94
2014-05-29,3850,4150,4160,3795,1410000000.0,-3.75
2014-05-30,4140,3850,4345,3820,2984000000.0,7.53
2014-06-02,4105,4200,4250,4045,862000000.0,-0.85
2014-06-03,4025,4065,4165,3870,795000000.0,-1.95
2014-06-05,4140,4140,4350,4080,1278000000.0,2.86
2014-06-09,3940,4120,4195,3940,550000000.0,-4.83
