"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 02- 04","18,700","19,700","20,550","18,550","1.00M","-6.50%"
"2021- 02- 05","19,000","18,800","20,000","17,700","1.54M","1.60%"
"2021- 02- 07","19,000","19,000","19,000","19,000","","0.00%"
"2021- 02- 08","20,250","19,000","21,500","18,450","1.36K","6.58%"
"2021- 02- 09","26,300","20,450","26,300","20,000","10.45M","29.88%"
"2021- 02- 10","25,150","28,300","28,900","24,600","6.33M","-4.37%"
"2021- 02- 14","25,150","25,150","25,150","25,150","","0.00%"
"2021- 02- 15","29,700","25,700","30,950","25,450","3.74K","18.09%"
"2021- 02- 16","28,800","29,950","29,950","27,150","0.93K","-3.03%"
"2021- 02- 17","27,450","28,400","29,150","27,100","0.26K","-4.69%"
"2021- 02- 18","28,250","27,750","28,950","26,200","1.91K","2.91%"
"2021- 02- 19","26,550","27,950","29,500","25,900","1.00M","-6.02%"
"2021- 02- 21","26,550","26,550","26,550","26,550","","0.00%"
"2021- 02- 22","25,450","26,700","27,700","25,200","0.04K","-4.14%"
"2021- 02- 23","23,600","24,850","24,950","23,400","481.76K","-7.27%"
"2021- 02- 24","23,550","24,100","25,200","23,050","0.05K","-0.21%"
"2021- 02- 25","25,650","24,000","25,900","23,700","436.87K","8.92%"
"2021- 02- 26","25,450","24,500","25,450","24,100","255.25K","-0.78%"
"2021- 03- 02","26,750","25,950","27,500","25,700","0.08K","5.11%"
"2021- 03- 03","25,700","26,250","27,000","25,100","0.13K","-3.93%"
"2021- 03- 04","24,350","25,200","25,250","23,850","333.24K","-5.25%"
"2021- 03- 05","24,500","23,800","24,750","23,350","264.07K","0.62%"
"2021- 03- 07","24,500","24,500","24,500","24,500","","0.00%"
"2021- 03- 08","23,500","24,600","27,050","23,450","532.23K","-4.08%"
"2021- 03- 09","22,550","23,700","23,700","21,850","1.24K","-4.04%"
"2021- 03- 10","21,400","22,750","23,100","20,750","210.22K","-5.10%"
"2021- 03- 11","22,350","21,350","23,500","21,050","0.06K","4.44%"
"2021- 03- 12","23,750","22,550","24,200","22,350","263.64K","6.26%"
"2021- 03- 15","22,950","23,750","23,750","22,900","91.96K","-3.37%"
"2021- 03- 16","23,000","22,950","23,300","22,350","136.80K","0.22%"
"2021- 03- 17","22,650","23,300","23,300","22,250","0.01K","-1.52%"
"2021- 03- 18","22,600","22,800","23,500","22,350","0.00K","-0.22%"
"2021- 03- 19","22,300","22,000","22,450","21,000","220.96K","-1.33%"
"2021- 03- 22","22,150","22,400","22,450","21,600","0.01K","-0.67%"
"2021- 03- 23","21,500","22,200","22,250","21,150","0.01K","-2.93%"
"2021- 03- 24","21,700","21,800","22,450","21,400","0.00K","0.93%"
"2021- 03- 25","21,650","21,650","22,200","21,050","123.19K","-0.23%"
"2021- 03- 26","24,050","22,050","24,200","21,950","657.77K","11.09%"
"2021- 03- 29","23,600","24,300","24,950","23,600","282.08K","-1.87%"
"2021- 03- 30","25,500","23,600","25,600","23,350","412.31K","8.05%"
"2021- 03- 31","25,000","25,500","25,600","24,450","0.10K","-1.96%"
"2021- 04- 01","25,050","24,850","25,650","24,450","195.34K","0.20%"
"2021- 04- 02","25,250","25,150","26,050","24,600","270.57K","0.80%"
"2021- 04- 04","25,250","25,250","25,250","25,250","","0.00%"
"2021- 04- 05","26,250","25,350","26,550","24,700","253.85K","3.96%"
"2021- 04- 06","25,700","26,700","26,800","25,600","0.03K","-2.10%"
"2021- 04- 07","26,600","25,700","27,100","25,250","0.13K","3.50%"
"2021- 04- 08","26,600","26,550","26,900","26,050","134.93K","0.00%"
"2021- 04- 09","25,400","26,600","27,600","24,950","208.43K","-4.51%"
"2021- 04- 12","25,150","25,100","25,400","24,250","146.73K","-0.98%"
"2021- 04- 13","25,000","25,550","26,300","24,800","260.49K","-0.60%"
"2021- 04- 14","25,450","25,100","25,600","24,800","109.60K","1.80%"
"2021- 04- 15","24,650","25,250","25,500","24,350","128.94K","-3.14%"
"2021- 04- 16","25,300","24,650","25,550","24,550","89.81K","2.64%"
"2021- 04- 19","24,350","25,100","25,250","24,000","180.66K","-3.75%"
"2021- 04- 20","23,450","24,300","24,300","23,300","0.05K","-3.70%"
"2021- 04- 21","24,000","23,300","24,000","23,300","0.01K","2.35%"
"2021- 04- 22","23,450","24,050","24,200","23,300","61.72K","-2.29%"
"2021- 04- 23","23,050","23,450","23,600","22,750","59.59K","-1.71%"
"2021- 04- 26","23,150","23,000","23,600","22,900","56.70K","0.43%"
"2021- 04- 27","22,650","23,400","23,400","22,150","94.51K","-2.16%"
"2021- 04- 28","21,700","22,650","22,650","21,700","0.02K","-4.19%"
"2021- 04- 29","22,150","21,800","22,750","21,200","75.22K","2.07%"
"2021- 04- 30","22,000","22,150","22,700","21,600","32.16K","-0.68%"
"2021- 05- 03","20,350","21,700","21,950","20,350","145.43K","-7.50%"
"2021- 05- 04","21,250","20,350","21,400","19,450","111.15K","4.42%"
"2021- 05- 05","21,250","21,250","21,250","21,250","","0.00%"
"2021- 05- 06","22,100","21,700","22,450","21,350","77.69K","4.00%"
"2021- 05- 07","21,500","22,200","22,200","21,400","57.92K","-2.71%"
"2021- 05- 10","21,400","21,500","21,750","20,800","55.65K","-0.47%"
"2021- 05- 11","20,800","21,100","21,300","19,950","0.00K","-2.80%"
"2021- 05- 12","20,300","20,800","20,800","20,150","0.01K","-2.40%"
"2021- 05- 13","19,950","19,750","20,800","19,700","57.06K","-1.72%"
"2021- 05- 14","20,000","20,450","20,450","19,700","63.78K","0.25%"
"2021- 05- 17","19,500","19,950","19,950","19,450","43.26K","-2.50%"
"2021- 05- 18","19,900","19,700","20,000","19,600","37.65K","2.05%"
"2021- 05- 20","19,850","20,050","20,500","19,550","63.65K","-0.25%"
"2021- 05- 21","19,850","19,800","20,300","19,550","39.51K","0.00%"
"2021- 05- 23","19,850","19,850","19,850","19,850","","0.00%"
"2021- 05- 24","19,650","19,800","20,450","19,600","47.43K","-1.01%"
"2021- 05- 25","20,200","19,650","20,200","19,650","51.20K","2.80%"
"2021- 05- 26","21,500","20,200","21,550","20,100","133.05K","6.44%"
"2021- 05- 27","21,800","21,400","21,850","21,200","69.43K","1.40%"
"2021- 05- 28","22,050","21,700","22,100","21,400","69.43K","1.15%"
"2021- 05- 31","21,650","22,400","22,600","21,500","85.34K","-1.81%"
"2021- 06- 01","21,950","21,650","21,950","21,550","30.93K","1.39%"
"2021- 06- 02","21,700","21,950","21,950","21,200","51.84K","-1.14%"
"2021- 06- 03","21,200","21,600","21,700","21,100","64.44K","-2.30%"
"2021- 06- 04","21,350","20,900","21,350","20,700","41.59K","0.71%"
"2021- 06- 07","20,800","21,050","21,400","20,800","23.36K","-2.58%"
"2021- 06- 08","21,600","21,200","21,700","20,750","39.00K","3.85%"
"2021- 06- 09","21,650","21,400","21,900","21,350","28.98K","0.23%"
"2021- 06- 10","21,900","21,750","22,050","21,500","31.39K","1.15%"
"2021- 06- 11","22,100","22,000","22,150","21,700","31.91K","0.91%"
"2021- 06- 14","22,200","22,100","22,200","21,600","34.60K","0.45%"
"2021- 06- 15","23,500","22,200","23,500","22,100","162.06K","5.86%"
"2021- 06- 16","23,600","23,500","23,800","22,950","84.99K","0.43%"
"2021- 06- 17","23,450","23,350","24,450","23,000","128.83K","-0.64%"
"2021- 06- 18","23,800","23,500","24,100","23,200","92.56K","1.49%"
"2021- 06- 21","23,650","23,800","23,900","23,150","47.82K","-0.63%"
"2021- 06- 22","23,750","23,500","24,400","23,150","50.04K","0.42%"
"2021- 06- 23","23,950","24,000","24,100","23,550","43.85K","0.84%"
"2021- 06- 24","23,850","23,950","24,300","23,650","21.00K","-0.42%"
"2021- 06- 25","24,250","24,000","25,050","24,000","228.11K","1.68%"
"2021- 06- 27","24,250","24,250","24,250","24,250","","0.00%"
"2021- 06- 28","23,650","24,250","24,400","23,300","57.99K","-2.47%"
"2021- 06- 29","23,300","23,650","23,650","23,000","38.05K","-1.48%"
"2021- 06- 30","24,050","23,550","24,250","23,550","87.45K","3.22%"
"2021- 07- 01","24,100","24,150","24,450","23,850","36.75K","0.21%"
"2021- 07- 02","23,950","24,300","24,300","23,500","34.57K","-0.62%"
"2021- 07- 05","23,650","23,950","24,000","23,350","26.82K","-1.25%"
"2021- 07- 06","23,300","23,450","23,550","22,650","85.03K","-1.48%"
"2021- 07- 07","23,050","22,850","23,350","22,700","25.24K","-1.07%"
"2021- 07- 08","22,650","23,450","23,450","22,300","54.25K","-1.74%"
"2021- 07- 09","22,700","22,400","22,750","21,850","52.80K","0.22%"
"2021- 07- 12","22,650","22,600","22,850","22,300","24.05K","-0.22%"
"2021- 07- 13","22,850","22,650","23,150","22,550","40.54K","0.88%"
"2021- 07- 14","23,450","22,900","23,450","22,450","51.14K","2.63%"
"2021- 07- 15","24,950","23,250","25,100","23,250","213.90K","6.40%"
"2021- 07- 16","24,500","24,900","24,950","24,250","88.83K","-1.80%"
"2021- 07- 19","24,900","24,250","25,100","23,800","105.33K","1.63%"
"2021- 07- 20","24,250","24,600","24,900","23,900","76.79K","-2.61%"
"2021- 07- 21","24,500","24,400","24,800","23,900","80.46K","1.03%"
