날짜,종가,시가,고가,저가,거래량,변동 %,로그 수익률,거래량 변화율
2021-02-05,19000,18800,20000,17700,154000000.0,1.6,0.0159154553058995,
2021-02-08,20250,19000,21500,18450,136000.0,6.58,0.0637158143861077,-0.9991168831168831
2021-02-09,26300,20450,26300,20000,1045000000.0,29.88,0.2614141456311706,7682.823529411765
2021-02-10,25150,28300,28900,24600,633000000.0,-4.37,-0.0447110426379706,-0.39425837320574164
2021-02-15,29700,25700,30950,25450,374000.0,18.09,0.1662891492629057,-0.9994091627172196
2021-02-16,28800,29950,29950,27150,93000.0,-3.03,-0.0307716586667536,-0.7513368983957219
2021-02-17,27450,28400,29150,27100,26000.0,-4.69,-0.0480092191863606,-0.7204301075268817
2021-02-18,28250,27750,28950,26200,191000.0,2.91,0.0287272896369102,6.346153846153846
2021-02-19,26550,27950,29500,25900,100000000.0,-6.02,-0.0620637099045021,522.5602094240837
2021-02-22,25450,26700,27700,25200,4000.0,-4.14,-0.042314004691416,-0.99996
2021-02-23,23600,24850,24950,23400,48176000.0,-7.27,-0.0754690309649673,12043.0
2021-02-24,23550,24100,25200,23050,5000.0,-0.21,-0.0021208915691376,-0.9998962138824311
2021-02-25,25650,24000,25900,23700,43687000.0,8.92,0.0854177511543517,8736.4
2021-02-26,25450,24500,25450,24100,25525000.0,-0.78,-0.0078278286202467,-0.41573007988646504
2021-03-02,26750,25950,27500,25700,8000.0,5.11,0.0498187303454838,-0.9996865817825661
2021-03-03,25700,26250,27000,25100,13000.0,-3.93,-0.0400434814408414,0.625
2021-03-04,24350,25200,25250,23850,33324000.0,-5.25,-0.0539591423725753,2562.3846153846152
2021-03-05,24500,23800,24750,23350,26407000.0,0.62,0.0061412680220824,-0.2075681190733405
2021-03-08,23500,24600,27050,23450,53223000.0,-4.08,-0.041672696400568,1.0154883174915743
2021-03-09,22550,23700,23700,21850,124000.0,-4.04,-0.0412653552014259,-0.9976701801852582
2021-03-10,21400,22750,23100,20750,21022000.0,-5.1,-0.0523441439208815,168.53225806451613
2021-03-11,22350,21350,23500,21050,6000.0,4.44,0.043435399031772,-0.9997145847207687
2021-03-12,23750,22550,24200,22350,26364000.0,6.26,0.0607562094210724,4393.0
2021-03-15,22950,23750,23750,22900,9196000.0,-3.37,-0.034264593974096,-0.6511910180549234
2021-03-16,23000,22950,23300,22350,13680000.0,0.22,0.0021762794225954,0.4876033057851239
2021-03-17,22650,23300,23300,22250,1000.0,-1.52,-0.0153343640001066,-0.9999269005847953
2021-03-18,22600,22800,23500,22350,0.0,-0.22,-0.0022099456508028,-1.0
2021-03-19,22300,22000,22450,21000,22096000.0,-1.33,-0.0133632278121671,inf
2021-03-22,22150,22400,22450,21600,1000.0,-0.67,-0.0067491819749284,-0.9999547429398986
2021-03-23,21500,22200,22250,21150,1000.0,-2.93,-0.0297845613575275,0.0
2021-03-24,21700,21800,22450,21400,0.0,0.93,0.0092593254127967,-1.0
2021-03-25,21650,21650,22200,21050,12319000.0,-0.23,-0.002306806097915,inf
2021-03-26,24050,22050,24200,21950,65777000.0,11.09,0.1051295421032713,4.339475606786265
2021-03-29,23600,24300,24950,23600,28208000.0,-1.87,-0.0188882845202057,-0.5711570913845265
2021-03-30,25500,23600,25600,23350,41231000.0,8.05,0.077431740132816,0.46167753828701086
2021-03-31,25000,25500,25600,24450,10000.0,-1.96,-0.0198026272961797,-0.9997574640440445
2021-04-01,25050,24850,25650,24450,19534000.0,0.2,0.001998002662673,1952.4
2021-04-02,25250,25150,26050,24600,27057000.0,0.8,0.007952328190495,0.38512337462885227
2021-04-05,26250,25350,26550,24700,25385000.0,3.96,0.0388398333162639,-0.06179546882507303
2021-04-06,25700,26700,26800,25600,3000.0,-2.1,-0.0211749971364586,-0.9998818199724246
2021-04-07,26600,25700,27100,25250,13000.0,3.5,0.0344202238864793,3.333333333333333
2021-04-08,26600,26550,26900,26050,13493000.0,0.0,0.0,1036.923076923077
2021-04-09,25400,26600,27600,24950,20843000.0,-4.51,-0.0461620417631624,0.5447268954272586
2021-04-12,25150,25100,25400,24250,14673000.0,-0.98,-0.0098912774787426,-0.29602264549249147
2021-04-13,25000,25550,26300,24800,26049000.0,-0.6,-0.0059820716775474,0.7753015743201799
2021-04-14,25450,25100,25600,24800,10960000.0,1.8,0.017839918128331,-0.5792544819378863
2021-04-15,24650,25250,25500,24350,12894000.0,-3.14,-0.0319388425078325,0.17645985401459852
