일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2023-11-27,3050,25,0.83,3085,3085,2965,13467,40541180,21070260100,6908282
2023-11-28,3020,-30,-0.98,2990,3035,2945,14887,44349895,20863011640,6908282
2023-11-29,2865,-155,-5.13,3020,3020,2850,22892,66799585,19792227930,6908282
2023-11-30,2910,45,1.57,2865,2945,2820,7490,21519145,20103100620,6908282
2023-12-01,2930,20,0.69,2880,2930,2870,10111,29380240,20241266260,6908282
2023-12-04,2765,-165,-5.63,2930,3150,2750,131998,392713890,19101399730,6908282
2023-12-05,3590,825,29.84,2775,3590,2765,372205,1270801990,24800732380,6908282
2023-12-06,3400,-190,-5.29,3775,3980,3200,883510,3132347120,23488158800,6908282
2023-12-07,3715,315,9.26,3400,3895,3380,459967,1688075420,25664267630,6908282
2023-12-08,4825,1110,29.88,3740,4825,3730,1636780,7476969565,33332460650,6908282
2023-12-11,6270,1445,29.95,6270,6270,6270,72657,455195250,43314928140,6908282
2023-12-12,8150,1880,29.98,8150,8150,8150,114876,935111400,56302498300,6908282
2023-12-13,10590,2440,29.94,10590,10590,10590,324792,3436297200,73158706380,6908282
2023-12-14,10590,0,0.0,0,0,0,0,0,73158706380,6908282
2023-12-15,13760,3170,29.93,13760,13760,13760,270489,3721928640,95057960320,6908282
2023-12-18,17880,4120,29.94,17880,17880,17880,934326,16705744760,123520082160,6908282
2023-12-19,17880,0,0.0,0,0,0,0,0,123520082160,6908282
2023-12-20,23200,5320,29.75,20650,23200,20000,4405488,97102413300,160272142400,6908282
2023-12-21,23350,150,0.65,27300,29850,23100,13054120,336817673850,161308384700,6908282
2023-12-22,22000,-1350,-5.78,22200,23000,20550,4090404,89742227050,151982204000,6908282
2023-12-26,22100,100,0.45,21500,22550,19650,3589241,75796669910,152673032200,6908282
2023-12-27,19350,-2750,-12.44,20650,21150,18730,1604202,32107455720,133675256700,6908282
2023-12-28,19950,600,3.1,19700,20800,19400,1765094,35427216350,137820225900,6908282
2024-01-02,22400,2450,12.28,19830,22400,18830,2276545,46787655440,154745516800,6908282
2024-01-03,22200,-200,-0.89,21550,22200,20700,1304134,28114082800,153363860400,6908282
2024-01-04,20950,-1250,-5.63,22300,22400,20100,946420,19981679450,144728507900,6908282
2024-01-05,20800,-150,-0.72,20250,20850,19700,602987,12156985450,270522387200,13005884
2024-01-08,19900,-900,-4.33,20250,21100,19880,541592,11091093640,258817091600,13005884
