날짜,종가,시가,고가,저가,거래량,변동 %,로그 수익률,거래량 변화율
2010-01-06,539,537,539,532,113000000.0,1.13,0.0111941467431527,
2010-01-07,535,542,545,534,118000000.0,-0.67,-0.0074488240129906,0.04424778761061954
2010-01-08,538,539,540,529,89303000.0,0.64,0.0055918132657779,-0.2431949152542373
2010-01-11,540,543,544,539,86395000.0,0.27,0.0037105793965355,-0.03256329574594363
2010-01-12,538,542,542,534,91810000.0,-0.42,-0.0037105793965356,0.06267723826610339
2010-01-13,534,535,538,534,92686000.0,-0.68,-0.0074627212015896,0.009541444287114675
2010-01-14,542,539,542,538,87044000.0,1.47,0.0148701624794514,-0.060872192132576664
2010-01-15,549,546,549,545,91748000.0,1.41,0.0128324400698843,0.05404163411607921
2010-01-18,553,550,553,548,87773000.0,0.57,0.0072595600128041,-0.04332519509962074
2010-01-19,549,557,557,547,108000000.0,-0.72,-0.0072595600128042,0.230446720517699
2010-01-20,544,553,553,543,105000000.0,-0.91,-0.0091491946535879,-0.02777777777777779
2010-01-21,549,542,549,539,99547000.0,0.9,0.009149194653588,-0.05193333333333339
2010-01-22,546,542,547,536,98080000.0,-0.43,-0.0054794657646255,-0.014736757511527254
2010-01-25,534,540,548,529,115000000.0,-2.28,-0.0222231367847102,0.17251223491027723
2010-01-26,522,540,540,518,117000000.0,-2.27,-0.0227282510775561,0.017391304347825987
2010-01-27,516,526,526,515,106000000.0,-1.08,-0.0115608224010759,-0.09401709401709402
2010-01-28,517,520,521,508,85460000.0,0.19,0.0019361090268664,-0.19377358490566032
2010-01-29,496,508,509,493,83581000.0,-4.03,-0.0414669477835016,-0.021986894453545514
2010-02-01,502,498,502,495,68883000.0,1.09,0.0120241929668018,-0.17585336380277816
2010-02-02,504,508,512,503,81005000.0,0.54,0.0039761483796394,0.17597955954299316
2010-02-03,515,512,515,510,88189000.0,2.11,0.0215906325923674,0.0886858835874329
2010-02-04,516,516,517,513,82727000.0,0.18,0.0019398648178266,-0.06193516198165305
2010-02-05,497,493,498,492,84896000.0,-3.65,-0.0375167393849339,0.026218767754179417
2010-02-08,487,502,502,487,81276000.0,-2.0,-0.0203259030140389,-0.04264040708631733
2010-02-09,491,484,491,483,84211000.0,0.78,0.0081800047119306,0.03611152123628125
2010-02-10,491,498,498,491,78659000.0,0.02,0.0,-0.065929629145836
2010-02-11,498,493,498,493,73184000.0,1.37,0.0141559492301322,-0.06960424109129282
2010-02-12,503,501,504,498,72718000.0,1.18,0.0099900930750861,-0.006367512024486266
2010-02-16,508,505,509,505,67814000.0,1.01,0.0098912774787427,-0.06743859842129873
2010-02-17,515,513,515,513,86218000.0,1.22,0.0136854530852542,0.2713893886218186
2010-02-18,513,518,518,513,81663000.0,-0.36,-0.0038910554929665,-0.05283119534203995
2010-02-19,504,512,515,504,95670000.0,-1.74,-0.0176995770994009,0.1715219867014437
2010-02-22,512,511,512,510,79430000.0,1.56,0.0157483569681391,-0.16975018292045574
2010-02-23,513,513,515,511,84226000.0,0.32,0.0019512201312617,0.06038020898904706
2010-02-24,514,512,515,510,85127000.0,0.03,0.0019474202843956,0.010697409351031695
2010-02-25,504,517,517,503,92491000.0,-1.83,-0.0196469973837965,0.0865060439108627
2010-02-26,507,507,508,502,74054000.0,0.48,0.0059347355198145,-0.19933831399811874
2010-03-02,507,511,511,507,75465000.0,0.18,0.0,0.01905366354282001
2010-03-03,509,509,510,508,88388000.0,0.33,0.0039370129593395,0.17124494798913403
2010-03-04,507,511,511,506,98275000.0,-0.4,-0.0039370129593395,0.1118590758926552
2010-03-05,511,510,511,508,96056000.0,0.73,0.0078585866125213,-0.022579496311371128
2010-03-08,517,515,517,515,90782000.0,1.24,0.0116732843047248,-0.054905471808111894
2010-03-09,518,518,518,517,94235000.0,0.09,0.0019323677510538,0.03803617457205166
2010-03-10,518,520,520,518,86939000.0,0.11,0.0,-0.07742346262004562
2010-03-11,517,521,521,517,94881000.0,-0.21,-0.0019323677510539,0.09135140730857261
2010-03-12,519,521,522,518,90872000.0,0.36,0.0038610086574595,-0.042252927351102976
2010-03-15,517,521,521,516,91044000.0,-0.33,-0.0038610086574595,0.0018927722510784228
2010-03-16,520,519,520,518,103000000.0,0.6,0.0057859370670439,0.13132111945872316
2010-03-17,522,523,523,521,94565000.0,0.4,0.0038387763071656,-0.08189320388349519
2010-03-18,524,524,526,523,94938000.0,0.25,0.0038240964384034,0.003944376883624923
2010-03-19,527,526,528,526,89817000.0,0.62,0.0057088642203202,-0.05394046640965677
2010-03-22,527,528,528,526,96624000.0,-0.1,0.0,0.07578743445004843
2010-03-23,526,531,531,526,95171000.0,-0.12,-0.0018993358036525,-0.015037671799966845
2010-03-24,519,530,530,518,98820000.0,-1.26,-0.0133973295718211,0.03834151159491861
2010-03-25,520,519,520,517,77461000.0,0.08,0.0019249284095844,-0.21614045739728804
2010-03-26,524,522,524,521,67046000.0,0.85,0.007662872745569,-0.13445475787815808
2010-03-29,518,519,523,517,67656000.0,-1.26,-0.011516442061559,0.009098231065238771
2010-03-30,518,522,523,517,68916000.0,0.0,0.0,0.018623625399077692
2010-03-31,515,520,520,514,68899000.0,-0.45,-0.0058083415957469,-0.0002466771141679258
2010-04-01,519,517,519,517,65747000.0,0.67,0.0077369825021524,-0.04574812406566131
2010-04-02,514,521,521,513,59548000.0,-0.82,-0.0096806177107235,-0.09428567082908723
2010-04-05,505,517,517,494,67222000.0,-1.91,-0.0176648361798053,0.12887082689594953
2010-04-06,506,507,508,504,52097000.0,0.25,0.0019782400121057,-0.22500074380411172
2010-04-07,510,508,511,508,53590000.0,0.89,0.0078740564309058,0.028658080119776663
2010-04-08,513,511,513,511,55511000.0,0.47,0.005865119452398,0.03584623997014358
2010-04-09,512,515,515,508,60481000.0,-0.22,-0.0019512201312618,0.08953180450721487
2010-04-12,507,514,514,507,56184000.0,-0.87,-0.0098136214483246,-0.0710471057026173
2010-04-13,506,509,509,505,57769000.0,-0.22,-0.0019743343037176,0.028210878541933715
2010-04-14,509,508,510,508,61210000.0,0.62,0.0059113472630571,0.059564818501272265
2010-04-15,508,512,512,506,59912000.0,-0.21,-0.0019665689720408,-0.0212056853455318
2010-04-16,508,509,509,505,58092000.0,-0.04,0.0,-0.030377887568433737
2010-04-19,502,501,506,501,61389000.0,-1.13,-0.0118813278867526,0.0567548027267093
2010-04-20,510,507,510,507,59758000.0,1.55,0.0158106060266422,-0.026568277704474785
2010-04-21,515,513,516,513,57967000.0,1.08,0.0097561749453646,-0.029970882559657297
2010-04-22,516,517,517,514,62886000.0,0.09,0.0019398648178266,0.08485862645988229
2010-04-23,516,519,519,516,62617000.0,0.01,0.0,-0.0042775816556944735
2010-04-26,517,519,519,517,56707000.0,0.23,0.0019361090268664,-0.09438331443537695
2010-04-27,519,518,519,517,52198000.0,0.3,0.0038610086574595,-0.07951399298146611
2010-04-28,517,509,517,508,71929000.0,-0.27,-0.0038610086574595,0.3780029886202536
2010-04-29,519,522,524,518,66103000.0,0.26,0.0038610086574595,-0.08099653825299946
2010-04-30,523,525,525,522,75030000.0,0.87,0.0076775808990343,0.13504682087045983
2010-05-03,519,523,525,516,64664000.0,-0.76,-0.0076775808990343,-0.13815807010529124
2010-05-04,518,524,525,518,55483000.0,-0.15,-0.0019286409064055,-0.1419800816528517
2010-05-06,509,507,512,505,58992000.0,-1.88,-0.0175272257089602,0.06324459744426214
2010-05-07,499,492,503,488,74019000.0,-1.87,-0.019841920799004,0.25472945484133436
2010-05-10,512,503,512,502,54909000.0,2.49,0.025718529287989,-0.25817695456571965
2010-05-11,512,518,520,509,63548000.0,0.01,0.0,0.1573330419421224
2010-05-12,512,514,515,510,69475000.0,-0.02,0.0,0.09326808082079685
2010-05-13,522,519,523,519,64622000.0,2.03,0.0193429628431309,-0.06985246491543717
2010-05-14,524,522,525,521,67063000.0,0.47,0.0038240964384034,0.03777351366407733
2010-05-17,510,520,522,510,61907000.0,-2.81,-0.0270809586026706,-0.07688293097535148
2010-05-18,504,516,516,499,65141000.0,-1.12,-0.0118344576470027,0.05223964979727658
2010-05-19,500,501,501,493,68583000.0,-0.81,-0.0079681696491768,0.05283922567967947
2010-05-20,481,500,503,476,56739000.0,-3.87,-0.0387408283164305,-0.17269585757403438
2010-05-24,476,476,480,470,46466000.0,-0.98,-0.0104494158743411,-0.18105712120411
2010-05-25,449,471,471,436,69783000.0,-5.54,-0.0583949664891657,0.5018077734257307
2010-05-26,463,454,463,450,51177000.0,2.9,0.0307041663439796,-0.2666265422810713
2010-05-27,473,460,473,460,59977000.0,2.23,0.0213683344056988,0.1719522441721868
2010-05-28,479,482,483,477,52699000.0,1.21,0.0126052089189821,-0.12134651616452974
2010-05-31,489,481,489,481,43713000.0,2.17,0.0206618920639568,-0.17051556955539948
2010-06-01,488,491,493,486,49553000.0,-0.13,-0.0020470836217247,0.1335987006153776
2010-06-03,495,494,496,494,43809000.0,1.42,0.0142423567155431,-0.11591629164732709
2010-06-04,493,498,499,493,48022000.0,-0.41,-0.0040485885260002,0.09616745417608263
