"날짜","종가","시가","고가","저가","거래량","변동 %"
"2014- 03- 19","2,150","2,100","2,155","2,100","9.12K","2.87%"
"2014- 03- 20","2,150","2,150","2,150","2,150","0.46K","0.00%"
"2014- 03- 21","2,140","2,160","2,160","2,075","7.46K","-0.47%"
"2014- 03- 24","2,130","2,195","2,195","2,080","2.78K","-0.47%"
"2014- 03- 25","2,105","2,075","2,130","2,075","9.21K","-1.17%"
"2014- 03- 26","2,130","2,130","2,130","2,130","0.02K","1.19%"
"2014- 03- 27","2,120","2,125","2,125","2,120","0.01K","-0.47%"
"2014- 03- 28","2,120","2,080","2,120","2,080","2.48K","0.00%"
"2014- 03- 31","2,120","2,085","2,120","2,085","1.96K","0.00%"
"2014- 04- 01","2,080","2,080","2,150","2,080","17.01K","-1.89%"
"2014- 04- 02","2,075","2,070","2,095","2,070","5.02K","-0.24%"
"2014- 04- 03","2,080","2,075","2,080","2,075","0.52K","0.24%"
"2014- 04- 04","2,095","2,090","2,095","2,090","1.57K","0.72%"
"2014- 04- 07","2,095","2,095","2,095","2,095","2.00K","0.00%"
"2014- 04- 09","2,085","2,050","2,085","2,050","0.00K","-0.48%"
"2014- 04- 10","2,080","2,030","2,080","2,030","16.28K","-0.24%"
"2014- 04- 11","2,090","2,090","2,095","2,090","18.43K","0.48%"
"2014- 04- 14","2,110","2,100","2,110","2,095","12.00K","0.96%"
"2014- 04- 15","2,120","2,110","2,130","2,110","21.26K","0.47%"
"2014- 04- 16","2,120","2,100","2,120","2,080","21.70K","0.00%"
"2014- 04- 17","2,125","2,100","2,130","2,100","23.73K","0.24%"
"2014- 04- 18","2,125","2,100","2,125","2,100","4.70K","0.00%"
"2014- 04- 21","2,130","2,130","2,130","2,130","0.01K","0.24%"
"2014- 04- 22","2,135","2,130","2,140","2,120","24.79K","0.23%"
"2014- 04- 23","2,135","2,120","2,135","2,120","17.48K","0.00%"
"2014- 04- 24","2,120","2,125","2,125","2,120","1.95K","-0.70%"
"2014- 04- 25","2,150","2,135","2,150","2,100","32.05K","1.42%"
"2014- 04- 28","2,145","2,150","2,150","2,120","16.79K","-0.23%"
"2014- 04- 29","2,145","2,145","2,150","2,140","19.25K","0.00%"
"2014- 04- 30","2,140","2,105","2,140","2,105","2.08K","-0.23%"
"2014- 05- 02","2,140","2,135","2,140","2,135","4.78K","0.00%"
"2014- 05- 07","2,140","2,140","2,140","2,130","5.70K","0.00%"
"2014- 05- 08","2,120","2,140","2,150","2,120","69.31K","-0.93%"
"2014- 05- 09","2,135","2,130","2,150","2,115","58.92K","0.71%"
"2014- 05- 12","2,140","2,120","2,140","2,115","25.41K","0.23%"
"2014- 05- 13","2,155","2,130","2,155","2,125","25.21K","0.70%"
"2014- 05- 14","2,175","2,170","2,220","2,160","122.63K","0.93%"
"2014- 05- 15","2,195","2,175","2,195","2,175","16.56K","0.92%"
"2014- 05- 16","2,200","2,155","2,200","2,155","10.33K","0.23%"
"2014- 05- 19","2,235","2,200","2,235","2,165","54.98K","1.59%"
"2014- 05- 20","2,230","2,180","2,230","2,175","13.22K","-0.22%"
"2014- 05- 21","2,185","2,225","2,225","2,175","29.82K","-2.02%"
"2014- 05- 22","2,205","2,195","2,235","2,190","40.84K","0.92%"
"2014- 05- 23","2,250","2,220","2,400","2,220","191.65K","2.04%"
"2014- 05- 26","2,280","2,300","2,380","2,250","102.59K","1.33%"
"2014- 05- 27","2,285","2,320","2,320","2,275","194.40K","0.22%"
"2014- 05- 28","2,430","2,300","2,470","2,300","514.02K","6.35%"
"2014- 07- 21","2,180","2,110","2,185","2,110","513.09K","-10.29%"
"2014- 07- 22","2,155","2,200","2,200","2,140","45.77K","-1.15%"
"2014- 07- 23","2,120","2,130","2,145","2,110","36.26K","-1.62%"
"2014- 07- 24","2,160","2,145","2,165","2,125","55.13K","1.89%"
"2014- 07- 25","2,150","2,160","2,190","2,120","91.15K","-0.46%"
"2014- 07- 28","2,125","2,120","2,150","2,115","56.20K","-1.16%"
"2014- 07- 29","2,135","2,115","2,135","2,115","63.33K","0.47%"
"2014- 07- 30","2,150","2,130","2,150","2,110","0.83K","0.70%"
"2014- 07- 31","2,150","2,100","2,150","2,100","0.50K","0.00%"
"2014- 08- 01","2,140","2,150","2,150","2,125","0.19K","-0.47%"
"2014- 08- 04","2,135","2,140","2,145","2,120","9.53K","-0.23%"
"2014- 08- 05","2,140","2,135","2,145","2,130","23.96K","0.23%"
"2014- 08- 06","2,140","2,115","2,140","2,115","20.46K","0.00%"
"2014- 08- 07","2,150","2,140","2,150","2,130","44.10K","0.47%"
"2014- 08- 08","2,145","2,150","2,150","2,115","11.20K","-0.23%"
"2014- 08- 11","2,130","2,140","2,140","2,125","21.81K","-0.70%"
"2014- 08- 12","2,145","2,120","2,145","2,120","19.37K","0.70%"
"2014- 08- 13","2,145","2,125","2,145","2,105","67.46K","0.00%"
"2014- 08- 14","2,145","2,145","2,145","2,140","1.09K","0.00%"
"2014- 08- 18","2,180","2,145","2,180","2,090","32.69K","1.63%"
"2014- 08- 19","2,170","2,120","2,170","2,120","8.01K","-0.46%"
"2014- 08- 20","2,125","2,140","2,170","2,125","77.03K","-2.07%"
"2014- 08- 21","2,125","2,190","2,190","2,120","34.98K","0.00%"
"2014- 08- 22","2,130","2,115","2,145","2,115","76.28K","0.24%"
"2014- 08- 25","2,130","2,125","2,155","2,125","3.83K","0.00%"
"2014- 08- 26","2,185","2,185","2,190","2,185","1.20K","2.58%"
"2014- 08- 27","2,155","2,165","2,165","2,130","3.07K","-1.37%"
"2014- 08- 28","2,170","2,180","2,180","2,135","5.91K","0.70%"
"2014- 08- 29","2,150","2,175","2,175","2,150","0.10K","-0.92%"
"2014- 09- 01","2,170","2,130","2,175","2,130","7.35K","0.93%"
"2014- 09- 02","2,170","2,170","2,170","2,135","7.80K","0.00%"
"2014- 09- 03","2,170","2,130","2,170","2,130","10.30K","0.00%"
"2014- 09- 04","2,170","2,160","2,175","2,135","7.80K","0.00%"
"2014- 09- 05","2,145","2,135","2,170","2,135","16.66K","-1.15%"
"2014- 09- 11","2,165","2,195","2,195","2,130","6.17K","0.93%"
"2014- 09- 12","2,170","2,130","2,170","2,120","20.36K","0.23%"
"2014- 09- 15","2,170","2,130","2,175","2,130","11.50K","0.00%"
"2014- 09- 16","2,170","2,165","2,170","2,130","5.25K","0.00%"
"2014- 09- 17","2,170","2,135","2,170","2,135","28.00K","0.00%"
"2014- 09- 18","2,140","2,160","2,160","2,135","37.79K","-1.38%"
"2014- 09- 19","2,135","2,135","2,140","2,130","20.30K","-0.23%"
"2014- 09- 22","2,140","2,140","2,140","2,125","5.42K","0.23%"
"2014- 09- 23","2,155","2,140","2,155","2,130","24.21K","0.70%"
"2014- 09- 24","2,245","2,155","2,245","2,150","25.52K","4.18%"
"2014- 09- 25","2,230","2,240","2,275","2,215","8.15K","-0.67%"
"2014- 09- 26","2,210","2,230","2,230","2,160","4.81K","-0.90%"
"2014- 09- 29","2,210","2,210","2,210","2,210","0.22K","0.00%"
"2014- 09- 30","2,180","2,195","2,195","2,180","0.58K","-1.36%"
"2014- 10- 01","2,120","2,175","2,175","2,095","7.58K","-2.75%"
"2014- 10- 02","2,120","2,140","2,140","2,100","6.00K","0.00%"
"2014- 10- 06","2,140","2,100","2,145","2,080","4.19K","0.94%"
"2014- 10- 07","2,160","2,150","2,160","2,150","0.57K","0.93%"
"2014- 10- 08","2,160","2,160","2,160","2,160","0.01K","0.00%"
"2014- 10- 10","2,170","2,170","2,170","2,170","0.05K","0.46%"
"2014- 10- 13","2,150","2,130","2,150","2,130","0.11K","-0.92%"
"2014- 10- 14","2,150","2,100","2,155","2,100","3.07K","0.00%"
"2014- 10- 15","2,145","2,150","2,165","2,130","8.56K","-0.23%"
"2014- 10- 16","2,145","2,145","2,190","2,140","3.44K","0.00%"
"2014- 10- 17","2,140","2,125","2,140","2,065","63.01K","-0.23%"
"2014- 10- 20","2,165","2,110","2,165","2,105","63.39K","1.17%"
"2014- 10- 21","2,140","2,160","2,175","2,140","93.71K","-1.15%"
"2014- 10- 22","2,200","2,125","2,200","2,125","100.17K","2.80%"
"2014- 10- 23","2,395","2,200","2,395","2,200","291.41K","8.86%"
"2014- 10- 24","2,330","2,395","2,430","2,330","116.70K","-2.71%"
"2014- 10- 27","2,235","2,385","2,385","2,230","52.03K","-4.08%"
"2014- 12- 26","2,235","2,335","2,385","2,200","1.08M","0.00%"
"2014- 12- 29","2,265","2,335","2,340","2,235","565.03K","1.34%"
"2014- 12- 30","2,275","2,250","2,280","2,200","141.36K","0.44%"
"2015- 01- 02","2,280","2,255","2,325","2,250","340.12K","0.22%"
"2015- 01- 05","2,285","2,280","2,310","2,255","233.29K","0.22%"
"2015- 01- 06","2,245","2,275","2,285","2,245","117.58K","-1.75%"
"2015- 01- 07","2,245","2,255","2,275","2,235","180.41K","0.00%"
"2015- 01- 08","2,280","2,270","2,300","2,230","128.79K","1.56%"
"2015- 01- 09","2,270","2,260","2,295","2,235","92.18K","-0.44%"
"2015- 01- 12","2,255","2,285","2,285","2,250","83.27K","-0.66%"
"2015- 01- 13","2,200","2,260","2,285","2,200","300.48K","-2.44%"
"2015- 01- 14","2,235","2,200","2,250","2,155","103.09K","1.59%"
"2015- 01- 15","2,210","2,235","2,235","2,170","79.18K","-1.12%"
"2015- 01- 16","2,215","2,240","2,240","2,180","40.93K","0.23%"
"2015- 01- 19","2,200","2,220","2,235","2,180","88.02K","-0.68%"
"2015- 01- 20","2,215","2,230","2,230","2,180","74.40K","0.68%"
"2015- 01- 21","2,200","2,200","2,225","2,170","44.22K","-0.68%"
"2015- 01- 22","2,255","2,180","2,255","2,120","88.65K","2.50%"
"2015- 01- 23","2,570","2,230","2,590","2,230","566.02K","13.97%"
"2015- 01- 26","2,570","2,550","2,650","2,515","168.37K","0.00%"
"2015- 01- 27","2,475","2,590","2,640","2,380","501.15K","-3.70%"
"2015- 01- 28","2,480","2,455","2,570","2,405","175.67K","0.20%"
"2015- 01- 29","2,470","2,425","2,525","2,420","125.88K","-0.40%"
"2015- 01- 30","2,445","2,520","2,520","2,405","279.68K","-1.01%"
"2015- 02- 02","2,650","2,485","2,770","2,450","418.23K","8.38%"
"2015- 02- 03","2,690","2,660","2,790","2,630","306.12K","1.51%"
"2015- 02- 04","2,725","2,690","2,735","2,635","313.49K","1.30%"
"2015- 02- 05","2,700","2,725","2,760","2,665","204.60K","-0.92%"
"2015- 02- 06","2,695","2,760","2,760","2,675","283.20K","-0.19%"
"2015- 02- 09","2,830","2,695","2,965","2,695","464.01K","5.01%"
"2015- 02- 10","2,840","2,940","2,940","2,770","192.69K","0.35%"
"2015- 02- 11","2,780","2,870","2,870","2,780","81.65K","-2.11%"
"2015- 02- 12","2,720","2,775","2,840","2,710","158.29K","-2.16%"
"2015- 02- 13","2,775","2,750","2,775","2,690","77.90K","2.02%"
"2015- 02- 16","2,895","2,780","2,940","2,750","98.94K","4.32%"
"2015- 02- 17","2,910","2,940","2,940","2,850","52.73K","0.52%"
"2015- 02- 23","2,970","2,910","2,990","2,910","160.08K","2.06%"
"2015- 02- 24","3,015","2,995","3,015","2,930","158.95K","1.52%"
"2015- 02- 25","3,020","3,050","3,050","2,965","112.36K","0.17%"
"2015- 02- 26","3,060","3,040","3,080","2,960","212.36K","1.32%"
"2015- 02- 27","3,120","3,070","3,160","3,020","271.39K","1.96%"
"2015- 03- 02","2,970","3,130","3,130","2,970","165.50K","-4.81%"
"2015- 03- 03","3,010","2,970","3,025","2,895","131.37K","1.35%"
"2015- 03- 04","3,010","2,985","3,020","2,915","86.66K","0.00%"
"2015- 03- 05","2,995","3,020","3,030","2,920","131.06K","-0.50%"
"2015- 03- 06","3,085","2,985","3,350","2,930","196.91K","3.01%"
"2015- 03- 09","3,105","3,190","3,235","3,090","168.89K","0.65%"
"2015- 03- 10","3,100","3,150","3,200","3,020","152.98K","-0.16%"
"2015- 03- 11","3,160","3,145","3,160","3,055","111.69K","1.94%"
"2015- 03- 12","3,215","3,110","3,300","3,105","275.99K","1.74%"
"2015- 03- 13","3,290","3,345","3,345","3,215","64.24K","2.33%"
"2015- 03- 16","3,330","3,300","3,395","3,225","198.56K","1.22%"
"2015- 03- 17","3,300","3,400","3,400","3,285","232.75K","-0.90%"
"2015- 03- 18","3,440","3,310","3,450","3,310","182.47K","4.24%"
"2015- 03- 19","3,780","3,410","3,820","3,410","522.13K","9.88%"
"2015- 03- 20","3,820","3,800","3,995","3,750","514.95K","1.06%"
"2015- 03- 23","3,975","3,940","4,000","3,845","286.27K","4.06%"
