날짜,종가,시가,고가,저가,거래량,변동 %,로그 수익률
2014-03-20,2150,2150,2150,2150,46000.0,0.0,0.0
2014-03-21,2140,2160,2160,2075,746000.0,-0.47,-0.004662013105811301
2014-03-24,2130,2195,2195,2080,278000.0,-0.47,-0.004683849312426314
2014-03-25,2105,2075,2130,2075,921000.0,-1.17,-0.011806512586988952
2014-03-26,2130,2130,2130,2130,2000.0,1.19,0.011806512586989044
2014-03-27,2120,2125,2125,2120,1000.0,-0.47,-0.004705891037412617
2014-03-28,2120,2080,2120,2080,248000.0,0.0,0.0
2014-03-31,2120,2085,2120,2085,196000.0,0.0,0.0
2014-04-01,2080,2080,2150,2080,1701000.0,-1.89,-0.019048194970694474
2014-04-02,2075,2070,2095,2070,502000.0,-0.24,-0.0024067400305649764
2014-04-03,2080,2075,2080,2075,52000.0,0.24,0.0024067400305650593
2014-04-04,2095,2090,2095,2090,157000.0,0.72,0.007185659660874533
2014-04-07,2095,2095,2095,2095,200000.0,0.0,0.0
2014-04-09,2085,2050,2085,2050,0.0,-0.48,-0.0047846981233362704
2014-04-10,2080,2030,2080,2030,1628000.0,-0.24,-0.0024009615375381503
2014-04-11,2090,2090,2095,2090,1843000.0,0.48,0.0047961722634930135
2014-04-14,2110,2100,2110,2095,1200000.0,0.96,0.009523881511255541
2014-04-15,2120,2110,2130,2110,2126000.0,0.47,0.004728141195945896
2014-04-16,2120,2100,2120,2080,2170000.0,0.0,0.0
2014-04-17,2125,2100,2130,2100,2373000.0,0.24,0.0023557136924589835
2014-04-18,2125,2100,2125,2100,470000.0,0.0,0.0
2014-04-21,2130,2130,2130,2130,1000.0,0.24,0.002350177344953673
2014-04-22,2135,2130,2140,2120,2479000.0,0.23,0.0023446669592540547
2014-04-23,2135,2120,2135,2120,1748000.0,0.0,0.0
2014-04-24,2120,2125,2125,2120,195000.0,-0.7,-0.007050557996666799
2014-04-25,2150,2135,2150,2100,3205000.0,1.42,0.014051753455650287
2014-04-28,2145,2150,2150,2120,1679000.0,-0.23,-0.0023282897595911845
2014-04-29,2145,2145,2150,2140,1925000.0,0.0,0.0
2014-04-30,2140,2105,2140,2105,208000.0,-0.23,-0.0023337233462202116
2014-05-02,2140,2135,2140,2135,478000.0,0.0,0.0
2014-05-07,2140,2140,2140,2130,570000.0,0.0,0.0
2014-05-08,2120,2140,2150,2120,6931000.0,-0.93,-0.009389740349839032
2014-05-09,2135,2130,2150,2115,5892000.0,0.71,0.007050557996666762
2014-05-12,2140,2120,2140,2115,2541000.0,0.23,0.002339182353172241
2014-05-13,2155,2130,2155,2125,2521000.0,0.7,0.006984894521950969
2014-05-14,2175,2170,2220,2160,12263000.0,0.93,0.00923794098493636
2014-05-15,2195,2175,2195,2175,1656000.0,0.92,0.009153381986487201
2014-05-16,2200,2155,2200,2155,1033000.0,0.23,0.0022753138371356054
2014-05-19,2235,2200,2235,2165,5498000.0,1.59,0.01578386770126195
2014-05-20,2230,2180,2230,2175,1322000.0,-0.22,-0.0022396425935047983
2014-05-21,2185,2225,2225,2175,2982000.0,-2.02,-0.020385756924473863
2014-05-22,2205,2195,2235,2190,4084000.0,0.92,0.009111680351255813
2014-05-23,2250,2220,2400,2220,19165000.0,2.04,0.02020270731751947
2014-05-26,2280,2300,2380,2250,10259000.0,1.33,0.013245226750020723
2014-05-27,2285,2320,2320,2275,19440000.0,0.22,0.0021905813798186818
2014-05-28,2430,2300,2470,2300,51402000.0,6.35,0.061525233006289
2014-07-21,2180,2110,2185,2110,51309000.0,-10.29,-0.10856638055145942
2014-07-22,2155,2200,2200,2140,4577000.0,-1.15,-0.011534153245286519
2014-07-23,2120,2130,2145,2110,3626000.0,-1.62,-0.016374634871790066
2014-07-24,2160,2145,2165,2125,5513000.0,1.89,0.018692133012152546
2014-07-25,2150,2160,2190,2120,9115000.0,-0.46,-0.004640379556502225
2014-07-28,2125,2120,2150,2115,5620000.0,-1.16,-0.011696039763191298
2014-07-29,2135,2115,2135,2115,6333000.0,0.47,0.0046948443042076635
2014-07-30,2150,2130,2150,2110,83000.0,0.7,0.007001195458983561
2014-07-31,2150,2100,2150,2100,50000.0,0.0,0.0
2014-08-01,2140,2150,2150,2125,19000.0,-0.47,-0.004662013105811301
2014-08-04,2135,2140,2145,2120,953000.0,-0.23,-0.002339182353172266
2014-08-05,2140,2135,2145,2130,2396000.0,0.23,0.002339182353172241
2014-08-06,2140,2115,2140,2115,2046000.0,0.0,0.0
2014-08-07,2150,2140,2150,2130,4410000.0,0.47,0.004662013105811371
2014-08-08,2145,2150,2150,2115,1120000.0,-0.23,-0.0023282897595911845
2014-08-11,2130,2140,2140,2125,2181000.0,-0.7,-0.007017572658646535
2014-08-12,2145,2120,2145,2120,1937000.0,0.7,0.00701757265864654
2014-08-13,2145,2125,2145,2105,6746000.0,0.0,0.0
2014-08-14,2145,2145,2145,2140,109000.0,0.0,0.0
2014-08-18,2180,2145,2180,2090,3269000.0,1.63,0.01618532442101735
2014-08-19,2170,2120,2170,2120,801000.0,-0.46,-0.0045977092486294314
2014-08-20,2125,2140,2170,2125,7703000.0,-2.07,-0.020955365175987995
2014-08-21,2125,2190,2190,2120,3498000.0,0.0,0.0
2014-08-22,2130,2115,2145,2115,7628000.0,0.24,0.002350177344953673
2014-08-25,2130,2125,2155,2125,383000.0,0.0,0.0
2014-08-26,2185,2185,2190,2185,120000.0,2.58,0.025493848826219766
2014-08-27,2155,2165,2165,2130,307000.0,-1.37,-0.013825104991842318
2014-08-28,2170,2180,2180,2135,591000.0,0.7,0.006936443996657169
2014-08-29,2150,2175,2175,2150,10000.0,-0.92,-0.009259325412796712
2014-09-01,2170,2130,2175,2130,735000.0,0.93,0.009259325412796726
2014-09-02,2170,2170,2170,2135,780000.0,0.0,0.0
2014-09-03,2170,2130,2170,2130,1030000.0,0.0,0.0
2014-09-04,2170,2160,2175,2135,780000.0,0.0,0.0
2014-09-05,2145,2135,2170,2135,1666000.0,-1.15,-0.011587615172387895
2014-09-11,2165,2195,2195,2130,617000.0,0.93,0.009280809074472783
2014-09-12,2170,2130,2170,2120,2036000.0,0.23,0.002306806097915092
2014-09-15,2170,2130,2175,2130,1150000.0,0.0,0.0
2014-09-16,2170,2165,2170,2130,525000.0,0.0,0.0
2014-09-17,2170,2135,2170,2135,2800000.0,0.0,0.0
2014-09-18,2140,2160,2160,2135,3779000.0,-1.38,-0.01392133851860812
2014-09-19,2135,2135,2140,2130,2030000.0,-0.23,-0.002339182353172266
2014-09-22,2140,2140,2140,2125,542000.0,0.23,0.002339182353172241
2014-09-23,2155,2140,2155,2130,2421000.0,0.7,0.006984894521950969
2014-09-24,2245,2155,2245,2150,2552000.0,4.18,0.040914797638506424
2014-09-25,2230,2240,2275,2215,815000.0,-0.67,-0.006703935722190218
2014-09-26,2210,2230,2230,2160,481000.0,-0.9,-0.009009069942365968
2014-09-29,2210,2210,2210,2210,22000.0,0.0,0.0
2014-09-30,2180,2195,2195,2180,58000.0,-1.36,-0.013667638728663757
2014-10-01,2120,2175,2175,2095,758000.0,-2.75,-0.0279087881170765
2014-10-02,2120,2140,2140,2100,600000.0,0.0,0.0
2014-10-06,2140,2100,2145,2080,419000.0,0.94,0.009389740349839137
2014-10-07,2160,2150,2160,2150,57000.0,0.93,0.00930239266231341
2014-10-08,2160,2160,2160,2160,1000.0,0.0,0.0
