일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,거래량 변화율
2014-07-28,2220,-26,-1.16,2215,2246,2210,56199,119211760,14875000000,7000000,
2014-07-29,2231,11,0.47,2210,2231,2210,63334,134644970,14945000000,7000000,0.12695955444047047
2014-07-30,2246,15,0.7,2225,2246,2204,832,1784110,15050000000,7000000,-0.9868632961758297
2014-07-31,2246,0,0.0,2194,2246,2194,504,1083495,15050000000,7000000,-0.3942307692307693
2014-08-01,2236,-10,-0.47,2246,2246,2220,185,396230,14980000000,7000000,-0.6329365079365079
2014-08-04,2231,-5,-0.23,2236,2241,2215,9529,20364720,14945000000,7000000,50.50810810810811
2014-08-05,2236,5,0.23,2231,2241,2225,23956,51222280,14980000000,7000000,1.5140098646237798
2014-08-06,2236,0,0.0,2210,2236,2210,20457,43714105,14980000000,7000000,-0.1460594423109033
2014-08-07,2246,10,0.47,2236,2246,2225,44097,94348580,15050000000,7000000,1.1555946619738964
2014-08-08,2241,-5,-0.23,2246,2246,2210,11204,23839025,15015000000,7000000,-0.745923758985872
2014-08-11,2225,-16,-0.7,2236,2236,2220,21808,46592120,14910000000,7000000,0.9464476972509819
2014-08-12,2241,16,0.7,2215,2241,2215,19371,41221840,15015000000,7000000,-0.11174798239178285
2014-08-13,2241,0,0.0,2220,2241,2199,67461,143173990,15015000000,7000000,2.4825770481647824
2014-08-14,2241,0,0.0,2241,2241,2236,1086,2329445,15015000000,7000000,-0.983901809934629
2014-08-18,2278,37,1.63,2241,2278,2184,32693,69500195,15260000000,7000000,29.10405156537753
2014-08-19,2267,-11,-0.46,2215,2267,2215,8010,17075050,15190000000,7000000,-0.7549934236686753
2014-08-20,2220,-47,-2.07,2236,2267,2220,77025,164629150,14875000000,7000000,8.616104868913858
2014-08-21,2220,0,0.0,2288,2288,2215,34978,74247550,14875000000,7000000,-0.5458876987990913
2014-08-22,2225,5,0.24,2210,2241,2210,76277,162161840,14910000000,7000000,1.1807135914003086
