"날짜","종가","시가","고가","저가","거래량","변동 %"
"2014- 03- 14","2,750","2,860","2,970","2,640","16.77M","-2.83%"
"2014- 03- 17","2,340","2,660","2,700","2,340","16.84M","-14.91%"
"2014- 03- 18","2,410","2,340","2,430","2,215","22.74M","2.99%"
"2014- 03- 19","2,280","2,250","2,365","2,215","8.77M","-5.39%"
"2014- 03- 20","2,415","2,275","2,510","2,250","17.38M","5.92%"
"2014- 03- 21","2,455","2,405","2,480","2,345","6.68M","1.66%"
"2014- 03- 24","2,455","2,470","2,490","2,350","6.66M","0.00%"
"2014- 03- 25","2,780","2,535","2,820","2,495","23.37M","13.24%"
"2014- 03- 26","2,970","2,890","3,030","2,830","21.11M","6.83%"
"2014- 03- 28","3,005","3,175","3,175","3,005","2.42M","1.18%"
"2014- 03- 31","2,900","2,895","2,900","2,705","2.82M","-3.49%"
"2014- 04- 01","3,130","2,930","3,130","2,895","2.15M","7.93%"
"2014- 04- 02","2,925","3,040","3,125","2,905","7.38M","-6.55%"
"2014- 04- 03","3,050","2,980","3,105","2,845","9.61M","4.27%"
"2014- 04- 04","2,915","2,970","3,010","2,900","4.39M","-4.43%"
"2014- 04- 07","2,795","2,885","2,970","2,745","4.95M","-4.12%"
"2014- 04- 08","3,210","2,775","3,210","2,665","22.09M","14.85%"
"2014- 04- 09","2,930","3,255","3,660","2,825","40.33M","-8.72%"
"2014- 04- 10","2,965","2,990","3,050","2,910","9.15M","1.19%"
"2014- 04- 11","3,025","2,965","3,130","2,940","8.39M","2.02%"
"2014- 04- 14","2,975","2,900","3,010","2,870","5.12M","-1.65%"
"2014- 04- 15","2,945","3,010","3,065","2,880","5.65M","-1.01%"
"2014- 04- 16","2,845","2,930","2,940","2,740","7.08M","-3.40%"
"2014- 04- 17","2,820","2,895","2,920","2,800","4.44M","-0.88%"
"2014- 04- 18","2,830","2,835","3,050","2,705","11.87M","0.35%"
"2014- 04- 21","2,885","2,850","3,045","2,830","8.10M","1.94%"
"2014- 04- 22","2,925","2,920","2,960","2,845","4.21M","1.39%"
"2014- 04- 23","2,965","2,925","3,070","2,895","11.12M","1.37%"
"2014- 04- 24","3,120","3,000","3,120","2,815","6.91M","5.23%"
"2014- 04- 25","3,035","2,885","3,290","2,860","22.67M","-2.72%"
"2014- 04- 28","3,040","3,070","3,120","3,015","5.06M","0.16%"
"2014- 04- 29","3,125","3,080","3,180","3,055","7.86M","2.80%"
"2014- 04- 30","3,450","3,160","3,490","3,135","27.36M","10.40%"
"2014- 05- 02","3,425","3,520","3,645","3,410","16.31M","-0.72%"
"2014- 05- 07","3,490","3,470","3,590","3,365","12.11M","1.90%"
"2014- 05- 08","3,425","3,570","3,620","3,405","10.31M","-1.86%"
"2014- 05- 09","3,325","3,430","3,485","3,270","7.13M","-2.92%"
"2014- 05- 12","3,420","3,360","3,500","3,340","7.29M","2.86%"
"2014- 05- 13","3,445","3,445","3,465","3,355","5.14M","0.73%"
"2014- 05- 14","3,600","3,420","3,635","3,405","7.02M","4.50%"
"2014- 05- 15","3,575","3,625","3,700","3,510","8.06M","-0.69%"
"2014- 05- 16","3,500","3,555","3,585","3,410","5.62M","-2.10%"
"2014- 05- 19","3,340","3,500","3,515","3,280","5.67M","-4.57%"
"2014- 05- 20","3,480","3,340","3,620","3,175","16.00M","4.19%"
"2014- 05- 21","3,465","3,520","3,585","3,435","6.59M","-0.43%"
"2014- 05- 22","3,570","3,480","3,615","3,415","7.36M","3.03%"
"2014- 05- 23","3,550","3,585","3,615","3,505","3.61M","-0.56%"
