날짜,종가,시가,고가,저가,거래량,변동 %,로그 수익률,거래량 변화율
2014-03-17,2340,2660,2700,2340,1684000000.0,-14.91,-0.1614499823088698,
2014-03-18,2410,2340,2430,2215,2274000000.0,2.99,0.0294758181329534,0.35035629453681705
2014-03-19,2280,2250,2365,2215,877000000.0,-5.39,-0.0554513045362142,-0.6143359718557608
2014-03-20,2415,2275,2510,2250,1738000000.0,5.92,0.0575238441381865,0.9817559863169898
2014-03-21,2455,2405,2480,2345,668000000.0,1.66,0.0164274741419479,-0.6156501726121979
2014-03-24,2455,2470,2490,2350,666000000.0,0.0,0.0,-0.0029940119760478723
2014-03-25,2780,2535,2820,2495,2337000000.0,13.24,0.1243241664560617,2.509009009009009
2014-03-26,2970,2890,3030,2830,2111000000.0,6.83,0.0661110251120625,-0.0967051775780916
2014-03-28,3005,3175,3175,3005,242000000.0,1.18,0.0117156151725625,-0.8853623874940786
2014-03-31,2900,2895,2900,2705,282000000.0,-3.49,-0.0355668309947425,0.165289256198347
2014-04-01,3130,2930,3130,2895,215000000.0,7.93,0.0763222675596335,-0.23758865248226946
2014-04-02,2925,3040,3125,2905,738000000.0,-6.55,-0.067738523868242,2.432558139534884
2014-04-03,3050,2980,3105,2845,961000000.0,4.27,0.0418471099355005,0.3021680216802167
2014-04-04,2915,2970,3010,2900,439000000.0,-4.43,-0.0452717708168645,-0.5431841831425599
2014-04-07,2795,2885,2970,2745,495000000.0,-4.12,-0.0420377131953932,0.1275626423690206
2014-04-08,3210,2775,3210,2665,2209000000.0,14.85,0.138438830534862,3.4626262626262623
2014-04-09,2930,3255,3660,2825,4033000000.0,-8.72,-0.0912685141129485,0.8257129923042101
2014-04-10,2965,2990,3050,2910,915000000.0,1.19,0.0118746094207129,-0.7731217455988098
2014-04-11,3025,2965,3130,2940,839000000.0,2.02,0.020034059033116,-0.08306010928961749
2014-04-14,2975,2900,3010,2870,512000000.0,-1.65,-0.0166670524852116,-0.3897497020262217
2014-04-15,2945,3010,3065,2880,565000000.0,-1.01,-0.010135221894043,0.103515625
2014-04-16,2845,2930,2940,2740,708000000.0,-3.4,-0.0345457495252557,0.2530973451327434
2014-04-17,2820,2895,2920,2800,444000000.0,-0.88,-0.008826182628272,-0.3728813559322034
2014-04-18,2830,2835,3050,2705,1187000000.0,0.35,0.0035398267051239,1.6734234234234235
2014-04-21,2885,2850,3045,2830,810000000.0,1.94,0.0192481883049165,-0.3176074136478517
2014-04-22,2925,2920,2960,2845,421000000.0,1.39,0.013769580723757,-0.48024691358024696
2014-04-23,2965,2925,3070,2895,1112000000.0,1.37,0.0135825517658689,1.6413301662707838
2014-04-24,3120,3000,3120,2815,691000000.0,5.23,0.0509559693717021,-0.37859712230215825
2014-04-25,3035,2885,3290,2860,2267000000.0,-2.72,-0.0276215773099294,2.2807525325615052
2014-04-28,3040,3070,3120,3015,506000000.0,0.16,0.0016460909066687,-0.7767975297750331
2014-04-29,3125,3080,3180,3055,786000000.0,2.8,0.0275767677702344,0.5533596837944663
2014-04-30,3450,3160,3490,3135,2736000000.0,10.4,0.0989399478549036,2.480916030534351
2014-05-02,3425,3520,3645,3410,1631000000.0,-0.72,-0.0072727593290798,-0.403874269005848
2014-05-07,3490,3470,3590,3365,1211000000.0,1.9,0.0188002645001471,-0.2575107296137339
2014-05-08,3425,3570,3620,3405,1031000000.0,-1.86,-0.0188002645001471,-0.1486374896779521
2014-05-09,3325,3430,3485,3270,713000000.0,-2.92,-0.0296317976063711,-0.30843840931134825
2014-05-12,3420,3360,3500,3340,729000000.0,2.86,0.0281708769666962,0.02244039270687237
