일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2014-05-30,4140,290,7.53,3850,4345,3820,30007222,124348461255,292552375500,70664825
2014-06-02,4105,-35,-0.85,4200,4250,4045,8737440,36193649245,290079106625,70664825
2014-06-03,4025,-80,-1.95,4065,4165,3870,8027291,32420888880,284425920625,70664825
2014-06-05,4140,115,2.86,4140,4350,4080,12861032,54440173145,292552375500,70664825
2014-06-09,3940,-200,-4.83,4120,4195,3940,5529339,22348662360,278419410500,70664825
2014-06-10,4080,140,3.55,4035,4215,4020,9471312,38991018570,288312486000,70664825
2014-06-11,4050,-30,-0.74,4075,4140,4000,5575113,22722837900,286192541250,70664825
2014-06-12,4005,-45,-1.11,4055,4075,3985,2949685,11892209270,283012624125,70664825
2014-06-13,3895,-110,-2.75,3985,4010,3835,3932356,15348683040,275239493375,70664825
2014-06-16,3905,10,0.26,3875,3945,3820,3811170,14779275255,275946141625,70664825
2014-06-17,3410,-495,-12.68,3865,3930,3410,5302625,19738203570,240967053250,70664825
2014-06-18,3650,240,7.04,3470,3720,3465,9195013,33248640470,257926611250,70664825
2014-06-19,3495,-155,-4.25,3650,3690,3330,6226752,21823712955,246973563375,70664825
2014-06-20,3580,85,2.43,3570,3775,3525,5664700,20511506510,252980073500,70664825
2014-06-23,3240,-340,-9.5,3440,3525,3050,10238153,33670114740,228954033000,70664825
2014-06-24,3165,-75,-2.31,3265,3330,3160,5105922,16577628520,223654171125,70664825
2014-06-25,3280,115,3.63,3065,3525,3000,14862709,49310657620,231780626000,70664825
2014-06-26,3385,105,3.2,3380,3530,3365,6409558,22042211080,239200432625,70664825
2014-06-27,3430,45,1.33,3415,3510,3365,4085443,14080392945,242380349750,70664825
2014-06-30,3440,10,0.29,3440,3550,3430,2482752,8651895460,243086998000,70664825
2014-07-01,3500,60,1.74,3495,3510,3430,2332013,8080089400,247326887500,70664825
2014-07-02,3510,10,0.29,3630,3650,3485,3566901,12734309115,248033535750,70664825
2014-07-03,3645,135,3.85,3500,3645,3490,4072266,14511259520,257573287125,70664825
2014-07-04,3790,145,3.98,3725,3925,3685,9844451,37666293505,267819686750,70664825
2014-07-07,3760,-30,-0.79,3820,3855,3685,5509014,20804676950,265699742000,70664825
2014-07-08,3700,-60,-1.6,3790,3845,3700,3470538,13057481745,261459852500,70664825
2014-07-09,3545,-155,-4.19,3690,3705,3465,4926468,17555281030,250506804625,70664825
2014-07-10,3530,-15,-0.42,3515,3600,3515,2268299,8051644680,249446832250,70664825
2014-07-11,3740,210,5.95,3570,3830,3505,8027772,29793229095,264286445500,70664825
2014-07-14,3600,-140,-3.74,3810,3830,3600,4521219,16742161765,254393370000,70664825
2014-07-15,3575,-25,-0.69,3775,3800,3550,8123542,30108803415,252626749375,70664825
2014-07-16,3585,10,0.28,3590,3685,3535,2846009,10276920700,253333397625,70664825
2014-07-17,3480,-105,-2.93,3620,3635,3455,3877418,13809466590,245913591000,70664825
2014-07-18,3550,70,2.01,3450,3625,3390,3892834,13783719500,250860128750,70664825
2014-07-21,3650,100,2.82,3525,3685,3515,3856708,13902352615,257926611250,70664825
2014-07-22,3650,0,0.0,3665,3670,3585,2929993,10648956435,257926611250,70664825
2014-07-23,3530,-120,-3.29,3650,3695,3490,4234016,15274049550,249446832250,70664825
