소속사,그룹,연예인 이름,url
SM,엑소,시우민,
SM,엑소,수호,
SM,엑소,백현,https://namu.wiki/w/%EB%B0%B1%ED%98%84/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,엑소,첸,https://namu.wiki/w/%EC%B2%B8(EXO)/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,엑소,찬열,https://namu.wiki/w/%EC%B0%AC%EC%97%B4/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,엑소,디오,https://namu.wiki/w/EXO/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0#%EB%94%94%EC%98%A4
SM,엑소,카이,https://namu.wiki/w/%EC%B9%B4%EC%9D%B4(EXO)/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,엑소,세훈,
SM,소녀시대,태연,https://namu.wiki/w/%ED%83%9C%EC%97%B0/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,소녀시대,효연,https://namu.wiki/w/%ED%9A%A8%EC%97%B0/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,소녀시대,유리,https://namu.wiki/w/%EC%9C%A0%EB%A6%AC(%EC%86%8C%EB%85%80%EC%8B%9C%EB%8C%80)/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,소녀시대,윤아,https://namu.wiki/w/%EC%9C%A4%EC%95%84/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,소녀시대,써니,https://namu.wiki/w/%EC%8D%A8%EB%8B%88(%EC%86%8C%EB%85%80%EC%8B%9C%EB%8C%80)/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,소녀시대,티파니,https://namu.wiki/w/%ED%8B%B0%ED%8C%8C%EB%8B%88%20%EC%98%81/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,소녀시대,수영,https://namu.wiki/w/%EC%88%98%EC%98%81(%EC%86%8C%EB%85%80%EC%8B%9C%EB%8C%80)/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,소녀시대,서현,https://namu.wiki/w/%EC%84%9C%ED%98%84/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,소녀시대,제시카,https://namu.wiki/w/%EC%A0%9C%EC%8B%9C%EC%B9%B4(%EA%B0%80%EC%88%98)/%EB%85%BC%EB%9E%80%20%EB%B0%8F%20%EC%82%AC%EA%B1%B4%20%EC%82%AC%EA%B3%A0
SM,에스파,카리나,
SM,에스파,윈터,
SM,에스파,지젤,
SM,에스파,닝닝,
SM,샤이니,키,
SM,샤이니,온유,
SM,샤이니,종현,
SM,샤이니,태민,
SM,샤이니,민호,
SM,동방신기,유노윤호,
SM,동반신기,최강창민,
SM,레드벨벳,아이린,
SM,레드벨벳,조이,
SM,레드벨벳,슬기,
SM,레드벨벳,웬디,
SM,레드벨벳,예리,
SM,라이즈,쇼타로,
SM,라이즈,은석,
SM,라이즈,성찬,
SM,라이즈,원빈,
SM,라이즈,소희,
SM,라이즈,앤톤,
SM,강타,강타,
SM,보아,보아,
